Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-04-30,0.001999,0.002344,0.001999,0.002338,499.0,-1.0,0.0
2015-05-01,0.002336,0.002464,0.002251,0.002437,223.0,-1.0,0.0
2015-05-02,0.00244,0.002548,0.00244,0.00254,45.0,-1.0,0.0
2015-05-03,0.002539,0.002627,0.002248,0.002356,268.0,-1.0,0.0
2015-05-04,0.002355,0.002596,0.002343,0.002553,213.0,-1.0,0.0
2015-05-05,0.002551,0.002555,0.002233,0.002361,105.0,-1.0,0.0
2015-05-06,0.002362,0.002363,0.002269,0.002275,171.0,-1.0,0.0
2015-05-07,0.002274,0.002457,0.002263,0.002352,23.0,-1.0,0.0
2015-05-08,0.002351,0.002593,0.00225,0.002573,290.0,-1.0,0.0
2015-05-09,0.002572,0.002591,0.002218,0.002225,94.0,-1.0,0.0
2015-05-10,0.002224,0.002359,0.002197,0.002211,69.0,-1.0,0.0
2015-05-11,0.002211,0.002367,0.002176,0.002179,172.0,-1.0,0.0
2015-05-12,0.002179,0.002555,0.002161,0.002544,417.0,-1.0,0.0
2015-05-13,0.002547,0.002557,0.002417,0.002482,48.0,-1.0,0.0
2015-05-14,0.00248,0.002497,0.002458,0.002488,42.0,-1.0,0.0
2015-05-15,0.002488,0.002507,0.002368,0.002376,0.0,-1.0,0.0
2015-05-16,0.002376,0.002377,0.002353,0.002362,33.0,-1.0,0.0
2015-05-17,0.002362,0.002509,0.002361,0.002368,34.0,-1.0,0.0
2015-05-18,0.002369,0.002372,0.002325,0.002331,1.0,-1.0,0.0
2015-05-19,0.00233,0.002342,0.002318,0.002319,12.0,-1.0,0.0
2015-05-20,0.002319,0.002347,0.002318,0.00234,10.0,-1.0,0.0
2015-05-21,0.00234,0.002348,0.002322,0.002339,11.0,-1.0,0.0
2015-05-22,0.002339,0.002529,0.002337,0.002379,18.0,-1.0,0.0
2015-05-23,0.002379,0.00253,0.00233,0.002515,28.0,-1.0,0.0
2015-05-24,0.002516,0.002528,0.002316,0.002518,35.0,-1.0,0.0
2015-05-25,0.002518,0.002519,0.002295,0.0023,24.0,-1.0,0.0
2015-05-26,0.0023,0.00248,0.002275,0.002478,14.0,-1.0,0.0
2015-05-27,0.002477,0.002494,0.002473,0.00248,17.0,-1.0,0.0
2015-05-28,0.002479,0.002485,0.002278,0.002279,18.0,-1.0,0.0
2015-05-29,0.002279,0.002474,0.002263,0.002473,14.0,-1.0,0.0
2015-05-30,0.002473,0.002473,0.002416,0.002429,21.0,-1.0,0.0
2015-05-31,0.002427,0.002428,0.002387,0.002394,20.0,-1.0,0.0
2015-06-01,0.002394,0.00241,0.002304,0.002321,7.0,-1.0,0.0
2015-06-02,0.00232,0.002357,0.002315,0.002348,18.0,-1.0,0.0
2015-06-03,0.002348,0.00236,0.002165,0.002168,13.0,-1.0,0.0
2015-06-04,0.002168,0.002175,0.002152,0.002154,13.0,-1.0,0.0
2015-06-05,0.002152,0.002169,0.002143,0.002169,4.0,-1.0,0.0
2015-06-06,0.00216,0.002347,0.00216,0.002166,33.0,-1.0,0.0
2015-06-07,0.002166,0.002171,0.002137,0.002144,10.0,-1.0,0.0
2015-06-08,0.002328,0.002386,0.002191,0.002381,36.0,-1.0,0.0
2015-06-09,0.002381,0.002407,0.002201,0.002201,40.0,-1.0,0.0
2015-06-10,0.002201,0.002208,0.002191,0.002197,24.0,-1.0,0.0
2015-06-11,0.002197,0.002377,0.002196,0.002375,23.0,-1.0,0.0
2015-06-12,0.002375,0.002389,0.00236,0.00236,17.0,-1.0,0.0
2015-06-13,0.002359,0.002371,0.002217,0.002231,14.0,-1.0,0.0
2015-06-14,0.002231,0.002255,0.002227,0.002245,4.0,-1.0,0.0
2015-06-15,0.002418,0.002421,0.002409,0.002411,26.0,-1.0,0.0
2015-06-16,0.00241,0.002563,0.002404,0.002554,24.0,-1.0,0.0
2015-06-17,0.002553,0.002615,0.002418,0.002538,29.0,-1.0,0.0
