Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-17,1.03,1.08,0.773294,0.848795,22824.0,-1.0,0.93
2017-11-18,0.766051,3.07,0.762746,2.25,125788.0,-1.0,1.92
2017-11-19,2.04,2.92,1.48,1.66,79344.0,-1.0,2.2
2017-11-20,1.86,2.38,1.64,1.84,67228.0,-1.0,2.01
2017-11-21,1.84,1.87,1.16,1.61,49996.0,-1.0,1.52
2017-11-22,1.66,1.98,1.26,1.51,14103.0,-1.0,1.62
2017-11-23,1.51,2.06,1.51,1.78,8929.0,-1.0,1.79
2017-11-24,1.77,2.24,1.46,1.88,11840.0,-1.0,1.85
2017-11-25,1.87,2.16,1.75,1.94,6124.0,-1.0,1.96
2017-11-26,1.94,2.13,1.64,2.05,11599.0,-1.0,1.88
2017-11-27,2.05,2.14,1.71,1.75,9738.0,-1.0,1.93
2017-11-28,1.76,2.02,1.7,1.71,7172.0,-1.0,1.86
2017-11-29,1.7,1.97,1.29,1.4,4518.0,-1.0,1.63
2017-11-30,1.42,1.99,0.860917,1.56,14750.0,-1.0,1.43
2017-12-01,1.55,1.7,0.842299,1.02,21712.0,-1.0,1.27
2017-12-02,0.945879,0.953459,0.581519,0.787506,7696.0,-1.0,0.77
2017-12-03,0.788258,0.850759,0.419936,0.427113,19525.0,-1.0,0.64
2017-12-04,0.503807,0.708453,0.374321,0.566355,6136.0,-1.0,0.54
2017-12-05,0.572563,1.16,0.422714,0.927192,9830.0,-1.0,0.79
2017-12-06,0.925136,1.03,0.377661,1.03,31410.0,-1.0,0.7
2017-12-07,1.03,1.1,0.320821,0.596848,40833.0,-1.0,0.71
2017-12-08,0.598252,0.599826,0.050943,0.269904,15313.0,-1.0,0.33
2017-12-09,0.269632,0.397826,0.041483,0.22288,27513.0,196666.0,0.22
2017-12-10,0.223619,0.27499,0.109699,0.230462,11112.0,163105.0,0.19
2017-12-11,0.227145,0.236167,0.118349,0.141367,7313.0,165676.0,0.18
2017-12-12,0.14174,0.168056,0.117135,0.12535,1876.0,103383.0,0.14
2017-12-13,0.125455,0.158854,0.111534,0.11238,5276.0,91505.0,0.14
2017-12-14,0.11202,0.197583,0.043584,0.136107,2062.0,81706.0,0.12
2017-12-15,0.136312,1.38,0.119819,0.151214,11015.0,99424.0,0.75
2017-12-16,0.151438,0.182483,0.120444,0.180931,5014.0,144667.0,0.15
2017-12-17,0.180954,0.208734,0.147701,0.202245,4707.0,174140.0,0.18
2017-12-18,0.202857,1.08,0.055193,0.150495,12125.0,200207.0,0.57
2017-12-19,0.150649,0.157094,0.119208,0.13288,2227.0,189829.0,0.14
2017-12-20,0.132749,0.134406,0.094166,0.125539,5169.0,168639.0,0.11
2017-12-21,0.125868,0.16223,0.044457,0.135634,10040.0,160972.0,0.1
2017-12-22,0.136104,0.137445,0.051222,0.075134,1594.0,199724.0,0.09
2017-12-23,0.075843,0.1038,0.063298,0.070436,1723.0,163425.0,0.08
2017-12-24,0.071214,0.095041,0.061564,0.09231,300.0,107744.0,0.08
2017-12-25,0.093268,0.115754,0.076855,0.076855,4857.0,141907.0,0.1
2017-12-26,0.076776,0.122435,0.076696,0.087638,1012.0,116815.0,0.1
2017-12-27,0.085002,0.091246,0.076254,0.080589,553.0,129330.0,0.08
2017-12-28,0.08042,0.134601,0.070516,0.134601,327.0,122358.0,0.1
2017-12-29,0.135995,0.263325,0.117017,0.120087,4781.0,206915.0,0.19
2017-12-30,0.119785,0.342043,0.118724,0.253602,2252.0,182252.0,0.23
2017-12-31,0.250863,0.387098,0.183519,0.37617,4609.0,381685.0,0.29
2018-01-01,0.377625,0.377918,0.131875,0.162086,4342.0,574554.0,0.25
2018-01-02,0.162073,1.35,0.106641,0.10767,6175.0,246593.0,0.73
2018-01-03,0.107287,0.153146,0.083427,0.144733,7456.0,163237.0,0.12
2018-01-04,0.145526,0.248649,0.115255,0.129055,9544.0,221416.0,0.18
2018-01-05,0.12908,0.223484,0.081902,0.090268,7007.0,196395.0,0.15
2018-01-06,0.09034,0.184524,0.089349,0.18403,5099.0,137451.0,0.14
2018-01-07,0.183895,0.330001,0.115404,0.326155,17782.0,279795.0,0.22
2018-01-08,0.325699,0.32692,0.168207,0.173813,3375.0,495549.0,0.25
2018-01-09,0.173339,0.446398,0.121437,0.421516,25174.0,263734.0,0.28
2018-01-10,0.422069,0.423001,0.177173,0.189429,6031.0,642174.0,0.3
2018-01-11,0.189217,0.327966,0.132531,0.174286,13867.0,287892.0,0.23
2018-01-12,0.175437,0.233343,0.150179,0.226218,26735.0,266926.0,0.19
2018-01-13,0.225959,0.27345,0.212989,0.26249,53418.0,343795.0,0.24
2018-01-14,0.262805,0.40529,0.227335,0.355897,100643.0,399856.0,0.32
2018-01-15,0.353316,0.713241,0.084819,0.231745,69090.0,537568.0,0.4
