Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-02-06,0.018936,0.020723,0.018921,0.019115,4854.0,-1.0,0.02
2015-02-07,0.019146,0.020712,0.019039,0.020202,10730.0,751817.0,0.02
2015-02-08,0.020196,0.020196,0.017717,0.019213,4859.0,42421.0,0.02
2015-02-09,0.019211,0.019823,0.018566,0.01981,6381.0,40794.0,0.02
2015-02-10,0.019825,0.019845,0.018413,0.019676,2172.0,42566.0,0.02
2015-02-11,0.019666,0.019682,0.018645,0.019069,4316.0,42677.0,0.02
2015-02-12,0.019071,0.019537,0.018274,0.019515,3045.0,41847.0,0.02
2015-02-13,0.019533,0.020726,0.019427,0.020482,3256.0,43311.0,0.02
2015-02-14,0.020491,0.021352,0.017728,0.018784,2910.0,45921.0,0.02
2015-02-15,0.018798,0.0223,0.015848,0.018316,2419.0,42573.0,0.02
2015-02-16,0.018316,0.019035,0.014116,0.01824,2883.0,41923.0,0.02
2015-02-17,0.018207,0.018925,0.014615,0.018758,3150.0,42097.0,0.02
2015-02-18,0.018771,0.019145,0.016034,0.018672,1846.0,43840.0,0.02
2015-02-19,0.018679,0.02281,0.014916,0.022611,3256.0,44082.0,0.02
2015-02-20,0.022608,0.02545,0.017185,0.02194,1385.0,53908.0,0.02
2015-02-21,0.021938,0.022213,0.017882,0.019563,1758.0,52819.0,0.02
2015-02-22,0.019564,0.022172,0.01856,0.019303,887.0,47571.0,0.02
2015-02-23,0.019304,0.019592,0.017339,0.019135,1589.0,47395.0,0.02
2015-02-24,0.019144,0.019631,0.017111,0.0188,871.0,47455.0,0.02
2015-02-25,0.018813,0.019051,0.015087,0.018523,2054.0,47074.0,0.02
2015-02-26,0.018512,0.018535,0.008305,0.012058,651.0,46759.0,0.01
2015-02-27,0.012058,0.015701,0.010344,0.014087,585.0,30752.0,0.01
2015-02-28,0.01492,0.01492,0.008361,0.011696,867.0,38405.0,0.01
2015-03-01,0.011697,0.011742,0.002496,0.009107,696.0,30382.0,0.01
2015-03-02,0.009112,0.009892,0.003901,0.00607,246.0,23880.0,0.01
2015-03-03,0.006057,0.008233,0.004379,0.00729,468.0,16014.0,0.01
2015-03-04,0.00729,0.007397,0.005558,0.006035,49.0,19447.0,0.01
2015-03-05,0.006028,0.011151,0.004259,0.010357,446.0,16220.0,0.01
2015-03-06,0.010335,0.010546,0.004354,0.004388,65.0,28056.0,0.01
2015-03-07,0.004381,0.005556,0.004292,0.005525,128.0,11994.0,0.0
2015-03-08,0.005529,0.005696,0.004254,0.004258,121.0,15268.0,0.0
2015-03-09,0.004265,0.005506,0.003643,0.004347,88.0,11876.0,0.0
2015-03-10,0.004351,0.005589,0.003552,0.004668,113.0,12218.0,0.0
2015-03-11,0.004664,0.005276,0.004135,0.004135,81.0,13207.0,0.0
2015-03-12,0.004131,0.00524,0.004131,0.005151,182.0,11788.0,0.0
2015-03-13,0.005147,0.005524,0.003482,0.004069,199.0,14801.0,0.0
2015-03-14,0.004056,0.00435,0.003967,0.004017,67.0,11760.0,0.0
2015-03-15,0.00401,0.004841,0.004004,0.004156,92.0,11721.0,0.0
2015-03-16,0.004145,0.005197,0.004145,0.004504,121.0,12214.0,0.0
2015-03-17,0.004504,0.004727,0.004319,0.004454,86.0,13381.0,0.0
2015-03-18,0.004447,0.007152,0.003592,0.006151,256.0,13319.0,0.01
2015-03-19,0.006141,0.006153,0.004595,0.004751,102.0,18535.0,0.01
2015-03-20,0.004752,0.004851,0.004665,0.004711,31.0,14456.0,0.0
2015-03-21,0.00471,0.00471,0.003852,0.004688,99.0,14443.0,0.0
2015-03-22,0.004686,0.004819,0.004157,0.004309,40.0,14482.0,0.0
2015-03-23,0.004308,0.004504,0.004217,0.004367,81.0,13412.0,0.0
2015-03-24,0.004364,0.004479,0.003684,0.003684,106.0,13690.0,0.0
2015-03-25,0.003712,0.007399,0.003548,0.004188,153.0,11735.0,0.01
2015-03-26,0.004189,0.006917,0.004166,0.004262,73.0,13346.0,0.01
2015-03-27,0.004262,0.004984,0.004205,0.004224,31.0,13683.0,0.0
2015-03-28,0.004223,0.004375,0.004053,0.004057,41.0,13661.0,0.0
2015-03-29,0.004056,0.00413,0.003863,0.003893,49.0,13219.0,0.0
2015-03-30,0.003896,0.004479,0.003845,0.004,93.0,12788.0,0.0
2015-03-31,0.003996,0.007325,0.003899,0.00634,204.0,13218.0,0.01
2015-04-01,0.00634,0.006345,0.003933,0.004055,18.0,21132.0,0.01
2015-04-02,0.004052,0.004783,0.004034,0.004782,121.0,13613.0,0.0
2015-04-03,0.004783,0.005593,0.004154,0.004201,62.0,16201.0,0.0
2015-04-04,0.004201,0.0053,0.004139,0.004331,115.0,14342.0,0.0
2015-04-05,0.004332,0.005455,0.004301,0.004508,151.0,14900.0,0.0
2015-04-06,0.00451,0.005242,0.004489,0.004504,157.0,15628.0,0.0
2015-04-07,0.0045,0.005244,0.00443,0.004438,55.0,15702.0,0.0
2015-04-08,0.004436,0.004983,0.004187,0.004263,101.0,15584.0,0.0
2015-04-09,0.004259,0.004737,0.004168,0.00425,78.0,15063.0,0.0
2015-04-10,0.00425,0.004639,0.004081,0.004148,98.0,15133.0,0.0
2015-04-11,0.004147,0.004412,0.004114,0.004187,72.0,14862.0,0.0
2015-04-12,0.004187,0.004963,0.004177,0.004957,150.0,15104.0,0.0
2015-04-13,0.004953,0.004954,0.003771,0.003955,164.0,17985.0,0.0
2015-04-14,0.003958,0.004217,0.003496,0.003813,142.0,14467.0,0.0
2015-04-15,0.003812,0.004433,0.003793,0.004029,91.0,14025.0,0.0
2015-04-16,0.004031,0.005117,0.003983,0.004366,188.0,14925.0,0.0
2015-04-17,0.004366,0.017499,0.004314,0.006289,424.0,16271.0,0.01
2015-04-18,0.006289,0.010531,0.005998,0.00717,97.0,23583.0,0.01
2015-04-19,0.007173,0.009468,0.007171,0.008014,162.0,27065.0,0.01
2015-04-20,0.008014,0.00966,0.00773,0.009659,70.0,30422.0,0.01
2015-04-21,0.009659,0.014417,0.007902,0.009434,269.0,36894.0,0.01
2015-04-22,0.009448,0.00945,0.006523,0.006534,196.0,36311.0,0.01
2015-04-23,0.00653,0.009682,0.006348,0.006524,56.0,25186.0,0.01
2015-04-24,0.00651,0.012534,0.00633,0.007297,132.0,25110.0,0.01
2015-04-25,0.007295,0.012989,0.007131,0.007146,328.0,28435.0,0.01
2015-04-26,0.007143,0.011047,0.006778,0.006934,57.0,27842.0,0.01
2015-04-27,0.006934,0.010051,0.006584,0.008828,186.0,27026.0,0.01
2015-04-28,0.006926,0.010437,0.006815,0.007938,100.0,27589.0,0.01
2015-04-29,0.007929,0.01076,0.007916,0.009042,188.0,31770.0,0.01
2015-04-30,0.009029,0.013906,0.009001,0.010759,266.0,36390.0,0.01
2015-05-01,0.010759,0.013638,0.01068,0.01068,159.0,43420.0,0.01
2015-05-02,0.010689,0.01882,0.010653,0.011491,588.0,43570.0,0.01
2015-05-03,0.011483,0.017326,0.011448,0.012017,202.0,47108.0,0.01
2015-05-04,0.012017,0.016795,0.00865,0.010856,454.0,49589.0,0.01
2015-05-05,0.010849,0.013811,0.009684,0.009688,328.0,45028.0,0.01
2015-05-06,0.009693,0.011782,0.009398,0.009858,235.0,40463.0,0.01
2015-05-07,0.009853,0.014518,0.009835,0.011204,466.0,41372.0,0.01
2015-05-08,0.011198,0.017857,0.011186,0.016822,402.0,47288.0,0.01
2015-05-09,0.016816,0.016831,0.013386,0.016425,427.0,71409.0,0.02
2015-05-10,0.016425,0.017374,0.013286,0.014404,308.0,70146.0,0.02
2015-05-11,0.014404,0.017824,0.013161,0.014727,776.0,61857.0,0.02
2015-05-12,0.014726,0.016573,0.01164,0.014128,234.0,63351.0,0.01
2015-05-13,0.014145,0.018245,0.014128,0.016619,356.0,60914.0,0.02
2015-05-14,0.015522,0.01886,0.014921,0.017327,222.0,66921.0,0.02
2015-05-15,0.017327,0.018901,0.016613,0.01667,82.0,74785.0,0.02
2015-05-16,0.016671,0.018269,0.016057,0.016344,132.0,72029.0,0.02
2015-05-17,0.016344,0.01825,0.012366,0.014207,216.0,70695.0,0.02
2015-05-18,0.014213,0.017074,0.014184,0.014962,72.0,61544.0,0.02
2015-05-19,0.014962,0.016742,0.014783,0.014875,74.0,64863.0,0.02
2015-05-20,0.014871,0.015883,0.014007,0.014282,92.0,64542.0,0.01
2015-05-21,0.014282,0.016942,0.01402,0.015417,219.0,62056.0,0.02
2015-05-22,0.015416,0.017665,0.015412,0.017306,90.0,67055.0,0.02
2015-05-23,0.017293,0.018036,0.016159,0.017316,124.0,78561.0,0.02
2015-05-24,0.017323,0.017382,0.014734,0.017298,95.0,78990.0,0.02
2015-05-25,0.015675,0.020225,0.013565,0.019434,791.0,71585.0,0.02
2015-05-26,0.019435,0.021409,0.016105,0.018248,163.0,88947.0,0.02
2015-05-27,0.018245,0.019887,0.015471,0.018266,236.0,83635.0,0.02
2015-05-28,0.018264,0.019197,0.017982,0.019192,79.0,84160.0,0.02
2015-05-29,0.01919,0.019202,0.016366,0.018441,285.0,88585.0,0.02
2015-05-30,0.018441,0.018441,0.016176,0.017561,161.0,85284.0,0.02
2015-05-31,0.017543,0.018479,0.016474,0.016717,95.0,81272.0,0.02
2015-06-01,0.01672,0.018285,0.015489,0.015603,243.0,77560.0,0.02
2015-06-02,0.0156,0.018311,0.015574,0.015844,198.0,72457.0,0.02
2015-06-03,0.015839,0.017411,0.01553,0.017022,95.0,73660.0,0.02
2015-06-04,0.017022,0.017638,0.016103,0.017558,127.0,79273.0,0.02
2015-06-05,0.017545,0.018215,0.015762,0.015804,390.0,81811.0,0.02
2015-06-06,0.015806,0.017895,0.015738,0.017522,155.0,73800.0,0.02
2015-06-07,0.017518,0.017874,0.015889,0.017874,186.0,81904.0,0.02
2015-06-08,0.017833,0.018296,0.01618,0.018262,97.0,83489.0,0.02
2015-06-09,0.018262,0.018874,0.017305,0.018766,257.0,85614.0,0.02
2015-06-10,0.018762,0.018772,0.018203,0.018533,252.0,88077.0,0.02
2015-06-11,0.018537,0.018878,0.018098,0.018833,516.0,87138.0,0.02
2015-06-12,0.018835,0.018941,0.018434,0.018859,792.0,88660.0,0.02
2015-06-13,0.018853,0.045179,0.018542,0.020794,768.0,88902.0,0.03
2015-06-14,0.020798,0.024321,0.019283,0.021459,377.0,98194.0,0.02
2015-06-15,0.021447,0.024735,0.021405,0.024629,1010.0,101428.0,0.02
2015-06-16,0.024629,0.026046,0.021815,0.024548,321.0,116636.0,0.02
2015-06-17,0.024548,0.026248,0.02005,0.022446,548.0,116380.0,0.02
2015-06-18,0.022458,0.026066,0.021741,0.024917,1853.0,106614.0,0.02
2015-06-19,0.024921,0.025722,0.022684,0.022874,962.0,118455.0,0.02
2015-06-20,0.022867,0.025345,0.022502,0.023483,245.0,108823.0,0.02
2015-06-21,0.023483,0.025399,0.023335,0.023672,661.0,111901.0,0.02
2015-06-22,0.023675,0.025747,0.023668,0.024702,592.0,112944.0,0.02
