Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-07-04,0.00778,0.008337,0.007225,0.007455,-1.0,2588.0,0.01
2013-07-05,0.007405,0.013132,0.0064,0.01095,-1.0,2486.0,0.01
2013-07-06,0.010962,0.0126,0.01029,0.010893,-1.0,3707.0,0.01
2013-07-07,0.010711,0.013048,0.010438,0.013048,-1.0,3658.0,0.01
2013-07-08,0.013388,0.015196,0.011772,0.015066,-1.0,4595.0,0.01
2013-07-09,0.014964,0.015099,0.012118,0.013806,-1.0,5229.0,0.01
2013-07-10,0.014888,0.033106,0.014888,0.019963,-1.0,5254.0,0.02
2013-07-11,0.020249,0.048347,0.020249,0.037372,-1.0,7205.0,0.03
2013-07-12,0.036659,0.044588,0.030225,0.037438,-1.0,13137.0,0.04
2013-07-13,0.037596,0.052965,0.031145,0.040235,-1.0,13535.0,0.04
2013-07-14,0.040615,0.060319,0.0396,0.047346,-1.0,14698.0,0.05
2013-07-15,0.046802,0.049108,0.039473,0.044479,-1.0,17100.0,0.04
2013-07-16,0.04475,0.0488,0.000228,0.044209,-1.0,16368.0,0.02
2013-07-17,0.043844,0.057015,0.042098,0.052255,-1.0,16089.0,0.05
2013-07-18,0.052255,0.085836,0.052255,0.072555,-1.0,19222.0,0.07
2013-07-19,0.072146,0.10023,0.057295,0.075951,-1.0,26821.0,0.08
2013-07-20,0.075812,0.110496,0.068868,0.082241,-1.0,28372.0,0.09
2013-07-21,0.082638,0.117845,0.080461,0.08395,-1.0,31215.0,0.1
2013-07-22,0.085097,0.089672,0.074156,0.081533,-1.0,32376.0,0.08
2013-07-23,0.081525,0.083423,0.062317,0.06283,-1.0,31153.0,0.07
2013-07-24,0.06283,0.066034,0.043062,0.053513,-1.0,24106.0,0.05
2013-07-25,0.057473,0.065619,0.053538,0.062985,-1.0,22136.0,0.06
2013-07-26,0.063018,0.063498,0.043202,0.056652,-1.0,24352.0,0.05
2013-07-27,0.052829,0.060736,0.045121,0.047062,-1.0,20435.0,0.05
2013-07-28,0.047204,0.059519,0.040198,0.043894,-1.0,18314.0,0.05
2013-07-29,0.043385,0.053365,0.043321,0.04554,-1.0,16890.0,0.05
2013-07-30,0.04567,0.061378,0.044269,0.059396,-1.0,17788.0,0.05
