Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-02-20,0.000405,0.000453,0.000294,0.000321,364.0,7370.0,0.0
2014-02-21,0.000369,0.000434,0.000269,0.000412,277.0,6871.0,0.0
2014-02-22,0.000412,0.00055,0.000407,0.000457,365.0,8102.0,0.0
2014-02-23,0.000461,0.000505,0.000403,0.000413,340.0,9529.0,0.0
2014-02-24,0.000413,0.000418,0.000299,0.000313,259.0,8955.0,0.0
2014-02-25,0.000312,0.000431,0.00029,0.000343,424.0,7078.0,0.0
2014-02-26,0.000342,0.001725,0.000339,0.000908,4300.0,8102.0,0.0
2014-02-27,0.00091,0.000964,0.000461,0.000554,3094.0,22551.0,0.0
2014-02-28,0.000553,0.000553,0.000409,0.000413,402.0,14248.0,0.0
2014-03-01,0.000413,0.000434,0.000344,0.000432,225.0,11073.0,0.0
2014-03-02,0.000433,0.000438,0.000235,0.00034,326.0,12055.0,0.0
2014-03-03,0.000342,0.000421,0.00011,0.000288,875.0,9848.0,0.0
2014-03-04,0.000288,0.000337,0.000145,0.000278,224.0,8611.0,0.0
2014-03-05,0.000278,0.000321,0.000171,0.000217,283.0,8589.0,0.0
2014-03-06,0.000218,0.000269,0.000207,0.000265,258.0,6939.0,0.0
2014-03-07,0.000265,0.000383,0.000182,0.000382,596.0,8732.0,0.0
2014-03-08,0.000383,0.000383,0.000288,0.000308,423.0,13004.0,0.0
2014-03-09,0.000308,0.000386,0.000306,0.000318,474.0,10777.0,0.0
2014-03-10,0.000305,0.000322,0.000246,0.000251,11.0,11008.0,0.0
2014-03-11,0.000294,0.000747,0.00025,0.000533,11788.0,10880.0,0.0
2014-03-12,0.000531,0.000534,0.000372,0.000383,1687.0,19973.0,0.0
2014-03-13,0.000375,0.000699,0.000356,0.000415,7678.0,14282.0,0.0
2014-03-14,0.000415,0.000482,0.000397,0.000398,1225.0,15995.0,0.0
2014-03-15,0.000399,0.000437,0.000266,0.000281,974.0,15554.0,0.0
2014-03-16,0.000281,0.000411,0.000252,0.000271,854.0,11096.0,0.0
2014-03-17,0.000271,0.00038,0.000245,0.00038,1062.0,10805.0,0.0
2014-03-18,0.000379,0.00038,0.000233,0.000277,813.0,15317.0,0.0
2014-03-19,0.000276,0.000349,0.000266,0.000274,301.0,11289.0,0.0
2014-03-20,0.000274,0.000294,0.00023,0.000236,205.0,11342.0,0.0
2014-03-21,0.000236,0.000257,0.000198,0.000215,266.0,9861.0,0.0
2014-03-22,0.000215,0.000217,0.000178,0.000193,201.0,9064.0,0.0
2014-03-23,0.000193,0.000202,0.00017,0.00017,322.0,8264.0,0.0
2014-03-24,0.00017,0.000349,0.000146,0.000146,3270.0,7352.0,0.0
2014-03-25,0.000147,0.000199,0.000146,0.000148,443.0,6410.0,0.0
2014-03-26,0.000148,0.000199,0.000148,0.000152,194.0,6534.0,0.0
2014-03-27,0.000152,0.000168,0.000124,0.000124,100.0,6760.0,0.0
2014-03-28,0.000125,0.000157,0.000118,0.00012,74.0,5636.0,0.0
2014-03-29,0.000122,0.000124,0.000115,0.000116,59.0,5535.0,0.0
2014-03-30,0.000116,0.000116,9.4e-05,9.8e-05,101.0,5320.0,0.0
2014-03-31,9.9e-05,0.00011,8.3e-05,8.8e-05,55.0,4577.0,0.0
2014-04-01,8.8e-05,0.000127,7.6e-05,9.4e-05,44.0,4118.0,0.0
2014-04-02,9.4e-05,9.5e-05,6.6e-05,7.3e-05,32.0,4446.0,0.0
2014-04-03,7.3e-05,8.8e-05,5.5e-05,6.6e-05,37.0,3494.0,0.0
2014-04-04,6.6e-05,0.000102,6.4e-05,7.2e-05,583.0,3203.0,0.0
2014-04-05,7.2e-05,8.3e-05,6.7e-05,6.9e-05,34.0,3505.0,0.0
2014-04-06,6.9e-05,0.000133,6.8e-05,0.000133,374.0,3419.0,0.0
2014-04-07,0.000134,0.000134,7.6e-05,7.6e-05,56.0,6648.0,0.0
2014-04-08,7.6e-05,9.1e-05,7.6e-05,7.7e-05,17.0,3792.0,0.0
2014-04-09,7.7e-05,9.5e-05,7.5e-05,7.5e-05,24.0,3899.0,0.0
2014-04-10,7.5e-05,8.2e-05,6.5e-05,6.6e-05,14.0,3845.0,0.0
2014-04-11,6.5e-05,7.2e-05,5.7e-05,7.2e-05,19.0,3376.0,0.0
2014-04-12,6.3e-05,7.6e-05,6.2e-05,6.3e-05,117.0,3284.0,0.0
