Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-10-09,0.157494,0.247353,0.065957,0.074776,2693.0,3860.0,0.16
2014-10-10,0.074707,0.185233,0.074109,0.107751,1934.0,1928.0,0.13
2014-10-11,0.107691,0.161317,0.078607,0.119483,898.0,2919.0,0.12
2014-10-12,0.119585,0.137393,0.080191,0.118972,909.0,3430.0,0.11
2014-10-13,0.118775,0.118775,0.067533,0.104113,1753.0,3555.0,0.09
2014-10-14,0.104455,0.106679,0.06167,0.099758,3889.0,3279.0,0.08
2014-10-15,0.099779,0.100095,0.036395,0.068852,2581.0,3255.0,0.07
2014-10-16,0.041769,0.078411,0.023139,0.053324,282.0,1415.0,0.05
2014-10-17,0.053352,0.060824,0.026674,0.039036,247.0,1881.0,0.04
2014-10-18,0.039058,0.04268,0.036786,0.041227,202.0,1434.0,0.04
2014-10-19,0.041207,0.04121,0.005063,0.01222,151.0,1569.0,0.02
2014-10-20,0.01221,0.022483,0.010076,0.01459,108.0,483.0,0.02
2014-10-21,0.014573,0.014866,0.013687,0.013799,33.0,597.0,0.01
2014-10-22,0.013786,0.013872,0.01364,0.013706,0.0,583.0,0.01
2014-10-23,0.013699,0.025332,0.011059,0.011121,3.0,597.0,0.02
2014-10-24,0.011126,0.012478,0.010942,0.012415,0.0,501.0,0.01
2014-10-25,0.012424,0.012862,0.012254,0.012398,0.0,577.0,0.01
2014-10-26,0.012405,0.015166,0.012278,0.012601,6.0,594.0,0.01
2014-10-27,0.012604,0.01264,0.011995,0.012146,7.0,620.0,0.01
2014-10-28,0.012154,0.012877,0.012094,0.012792,0.0,615.0,0.01
2014-10-29,0.012773,0.0128,0.009054,0.009061,3.0,660.0,0.01
2014-10-30,0.009064,0.012155,0.004694,0.004827,14.0,476.0,0.01
2014-10-31,0.004823,0.004866,0.00471,0.00474,10.0,253.0,0.0
2014-11-01,0.004744,0.004764,0.00305,0.003095,0.0,249.0,0.0
