Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-04-11,0.001263,0.001264,0.000426,0.000841,833.0,22829.0,0.0
2016-04-12,0.000841,0.001277,0.000425,0.000425,395.0,15310.0,0.0
2016-04-13,0.000617,0.000655,0.000319,0.000381,171.0,11332.0,0.0
2016-04-14,0.000377,0.004228,0.00034,0.003793,7396.0,6993.0,0.0
2016-04-15,0.002419,0.008479,0.002419,0.005268,12153.0,45251.0,0.01
2016-04-16,0.005267,0.006226,0.00155,0.00282,8573.0,99390.0,0.0
2016-04-17,0.002821,0.004297,0.002156,0.002949,3853.0,53716.0,0.0
2016-04-18,0.002951,0.003855,0.001933,0.002254,3227.0,56668.0,0.0
2016-04-19,0.002701,0.002701,0.001623,0.00172,2888.0,52310.0,0.0
2016-04-20,0.00172,0.00194,0.001309,0.001518,1861.0,33584.0,0.0
2016-04-21,0.001518,0.001636,0.001108,0.001636,1873.0,29911.0,0.0
2016-04-22,0.001637,0.001637,0.001113,0.001137,1247.0,32538.0,0.0
2016-04-23,0.001137,0.001255,0.001035,0.00122,561.0,22784.0,0.0
2016-04-24,0.001257,0.00135,0.000901,0.001059,369.0,25391.0,0.0
2016-04-25,0.001061,0.001383,0.00076,0.001154,389.0,21524.0,0.0
2016-04-26,0.001154,0.001338,0.000508,0.0009,400.0,23713.0,0.0
2016-04-27,0.0009,0.00091,0.000521,0.000756,192.0,18644.0,0.0
2016-04-28,0.000757,0.000757,0.000522,0.000539,64.0,15809.0,0.0
2016-04-29,0.000539,0.00061,0.000454,0.000523,254.0,11361.0,0.0
2016-04-30,0.000523,0.001031,0.000272,0.001031,1019.0,11117.0,0.0
2016-05-01,0.001032,0.001801,0.000897,0.00113,3139.0,22079.0,0.0
2016-05-02,0.00113,0.001556,0.000475,0.000832,2065.0,24384.0,0.0
2016-05-03,0.000832,0.000914,0.000783,0.000887,261.0,18087.0,0.0
2016-05-04,0.000887,0.001143,0.000584,0.000764,770.0,19446.0,0.0
2016-05-05,0.000764,0.000861,0.000585,0.000632,342.0,16884.0,0.0
2016-05-06,0.000632,0.000835,0.000532,0.000616,307.0,14073.0,0.0
2016-05-07,0.000616,0.000885,0.000468,0.000647,2023.0,13833.0,0.0
2016-05-08,0.000555,0.00065,0.000522,0.000523,172.0,12559.0,0.0
2016-05-09,0.000522,0.000668,0.000498,0.000539,161.0,11921.0,0.0
2016-05-10,0.000539,0.000756,0.000501,0.000622,411.0,12391.0,0.0
2016-05-11,0.000622,0.000694,0.000462,0.000629,439.0,14423.0,0.0
2016-05-12,0.000629,0.000629,0.000459,0.000482,192.0,14690.0,0.0
2016-05-13,0.000482,0.000536,0.000464,0.000465,230.0,11346.0,0.0
2016-05-14,0.000483,0.000629,0.00041,0.000601,413.0,11455.0,0.0
2016-05-15,0.000602,0.000602,0.00046,0.00048,166.0,14364.0,0.0
2016-05-16,0.00048,0.000494,0.000416,0.000436,221.0,11553.0,0.0
2016-05-17,0.000436,0.000477,0.000418,0.000467,145.0,10552.0,0.0
2016-05-18,0.000467,0.000509,0.000401,0.000414,439.0,11392.0,0.0
2016-05-19,0.000414,0.000589,0.000391,0.000417,295.0,10154.0,0.0
2016-05-20,0.000482,0.000482,0.000375,0.000381,98.0,11902.0,0.0
2016-05-21,0.000381,0.000452,0.000381,0.000381,70.0,9473.0,0.0
2016-05-22,0.000381,0.000434,0.000376,0.000378,64.0,9545.0,0.0
2016-05-23,0.000378,0.00043,0.00036,0.000369,105.0,9461.0,0.0
2016-05-24,0.000369,0.000441,0.000365,0.000366,115.0,9360.0,0.0
2016-05-25,0.000366,0.000421,0.000363,0.000364,73.0,9347.0,0.0
2016-05-26,0.000364,0.000409,0.000362,0.000367,97.0,9369.0,0.0
2016-05-27,0.000367,0.00039,0.00027,0.000279,380.0,9512.0,0.0
2016-05-28,0.000279,0.000518,0.000279,0.000445,561.0,7276.0,0.0
2016-05-29,0.000443,0.000515,0.000306,0.000321,306.0,11627.0,0.0
2016-05-30,0.000321,0.000388,0.000308,0.000321,37.0,8480.0,0.0
2016-05-31,0.000363,0.000424,0.000151,0.000372,349.0,9656.0,0.0
2016-06-01,0.000372,0.000426,0.000215,0.000215,200.0,9947.0,0.0
2016-06-02,0.000215,0.000377,0.000214,0.000237,229.0,5775.0,0.0
2016-06-03,0.000237,0.000355,0.000237,0.000256,59.0,6410.0,0.0
2016-06-04,0.000256,0.000347,0.000251,0.000326,130.0,6991.0,0.0
2016-06-05,0.000327,0.000333,0.000258,0.000276,86.0,8966.0,0.0
2016-06-06,0.000276,0.000326,0.000259,0.000269,78.0,7616.0,0.0
2016-06-07,0.000269,0.000288,0.000255,0.000265,87.0,7482.0,0.0
2016-06-08,0.000265,0.000289,0.000145,0.000145,380.0,7421.0,0.0
2016-06-09,0.000146,0.000568,0.000145,0.000184,205.0,4094.0,0.0
2016-06-10,0.000184,0.000271,0.000121,0.000121,83.0,5215.0,0.0
2016-06-11,0.000122,0.000187,0.000122,0.00014,36.0,3460.0,0.0
2016-06-12,0.00014,0.000205,0.00014,0.000202,34.0,4016.0,0.0
2016-06-13,0.000201,0.000211,0.000109,0.000127,254.0,5804.0,0.0
2016-06-14,0.000127,0.000152,0.000119,0.00013,33.0,3674.0,0.0
2016-06-15,0.00013,0.000164,0.000121,0.000125,29.0,3796.0,0.0
2016-06-16,0.000125,0.000161,0.000125,0.000138,26.0,3675.0,0.0
2016-06-17,0.000138,0.000204,0.000129,0.000135,26.0,4067.0,0.0
2016-06-18,0.000135,0.000204,0.000132,0.000144,29.0,3997.0,0.0
2016-06-19,0.000144,0.000144,0.000135,0.000137,32.0,4285.0,0.0
2016-06-20,0.000138,0.000153,0.000132,0.000133,31.0,4124.0,0.0
2016-06-21,0.000132,0.000171,0.000115,0.00012,34.0,3994.0,0.0
2016-06-22,0.00012,0.000174,0.000106,0.000107,22.0,3633.0,0.0
2016-06-23,0.000108,0.000207,0.0001,0.000119,176.0,3278.0,0.0
2016-06-24,0.000119,0.00014,0.000115,0.000126,22.0,3633.0,0.0
2016-06-25,0.000126,0.00051,0.000117,0.00012,950.0,3895.0,0.0
2016-06-26,0.00012,0.000278,0.000119,0.000132,115.0,3714.0,0.0
