Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-07-31,0.000298,0.000613,0.000223,0.000229,8396.0,-1,0.0
2017-08-01,0.000229,0.000389,0.000226,0.000327,7808.0,-1,0.0
2017-08-02,0.000464,0.000464,0.000215,0.000296,4263.0,-1,0.0
2017-08-03,0.000297,0.000301,0.000165,0.000195,407.0,-1,0.0
2017-08-04,0.000195,0.000258,0.000142,0.0002,87.0,-1,0.0
2017-08-05,0.0002,0.00026,6.5e-05,0.000228,11551.0,-1,0.0
2017-08-06,0.000228,0.00023,0.000159,0.000194,156.0,-1,0.0
2017-08-07,0.000193,0.000238,0.000101,0.000169,28192.0,-1,0.0
2017-08-08,0.00017,0.000175,6.9e-05,0.000175,2258.0,-1,0.0
2017-08-09,0.000175,0.000175,7.2e-05,0.00013,169.0,-1,0.0
2017-08-10,0.00013,0.000142,0.000102,0.000103,19168.0,-1,0.0
2017-08-11,0.000103,0.000168,0.000102,0.000166,267.0,-1,0.0
2017-08-12,0.000166,0.000183,0.000121,0.000156,354.0,-1,0.0
2017-08-13,0.000156,0.00017,7.9e-05,8.1e-05,22.0,-1,0.0
2017-08-14,8.1e-05,0.00017,8e-05,0.00017,86.0,-1,0.0
2017-08-15,0.000171,0.000172,0.000116,0.000123,16.0,-1,0.0
2017-08-16,0.000123,0.000193,8.8e-05,0.000158,184.0,-1,0.0
2017-08-17,0.000158,0.000182,4.4e-05,4.5e-05,1210.0,-1,0.0
2017-08-18,4.5e-05,8.8e-05,4.4e-05,8.2e-05,49.0,-1,0.0
2017-08-19,8.2e-05,8.4e-05,6e-05,8.3e-05,59.0,-1,0.0
2017-08-20,8.3e-05,8.3e-05,7.8e-05,8.2e-05,21.0,-1,0.0
2017-08-21,8.1e-05,8.2e-05,4e-05,4e-05,4.0,-1,0.0
2017-08-22,4e-05,7.8e-05,3.9e-05,7.7e-05,51.0,-1,0.0
2017-08-23,7.7e-05,0.000159,7.7e-05,8.3e-05,160.0,-1,0.0
2017-08-24,8.3e-05,0.000132,8.2e-05,0.000132,132.0,-1,0.0
2017-08-25,0.000132,0.000133,4.4e-05,7.7e-05,50.0,-1,0.0
2017-08-26,7.7e-05,0.000131,7.5e-05,9.7e-05,121.0,-1,0.0
2017-08-27,9.7e-05,0.000131,8.7e-05,8.7e-05,153.0,-1,0.0
2017-08-28,8.7e-05,0.000136,8.6e-05,0.00013,140.0,-1,0.0
2017-08-29,0.00013,0.000222,9.2e-05,0.000219,928.0,-1,0.0
2017-08-30,0.000219,0.000221,9.2e-05,9.3e-05,496.0,-1,0.0
2017-08-31,9.2e-05,0.00017,9.2e-05,0.000142,56.0,-1,0.0
2017-09-01,0.000141,0.000205,9.4e-05,0.000204,150.0,-1,0.0
2017-09-02,0.000204,0.000266,0.000178,0.000247,24.0,-1,0.0
2017-09-03,0.000247,0.000642,0.000118,0.000128,115.0,-1,0.0
2017-09-04,0.000128,0.000677,0.000126,0.000263,172.0,-1,0.0
2017-09-05,0.000262,0.000263,0.000209,0.000221,18.0,-1,0.0
2017-09-06,0.000221,0.000226,8.8e-05,9.2e-05,49.0,-1,0.0
2017-09-07,9.2e-05,0.00014,9e-05,0.000139,14.0,-1,0.0
2017-09-08,0.000139,0.000139,8.1e-05,8.5e-05,15.0,-1,0.0
2017-09-09,8.5e-05,8.8e-05,8.3e-05,8.7e-05,129.0,-1,0.0
2017-09-10,8.7e-05,0.000171,8.1e-05,0.000127,486.0,-1,0.0
2017-09-11,0.000127,0.00017,8.4e-05,8.4e-05,5.0,-1,0.0
2017-09-12,8.6e-05,0.000128,8.5e-05,0.000125,34.0,-1,0.0
2017-09-13,0.000125,0.000125,0.000102,0.00012,21.0,-1,0.0
2017-09-14,0.00012,0.000122,6.7e-05,6.7e-05,40.0,-1,0.0
2017-09-15,6.8e-05,0.000115,6.8e-05,0.000111,4.0,-1,0.0
2017-09-16,0.000112,0.000118,7.5e-05,8.2e-05,21.0,-1,0.0
2017-09-17,8.2e-05,8.2e-05,7e-05,7.4e-05,9.0,-1,0.0
2017-09-18,7.4e-05,8.2e-05,3.8e-05,4.1e-05,4.0,-1,0.0
2017-09-19,4.1e-05,7.9e-05,3.9e-05,7.7e-05,85.0,-1,0.0
2017-09-20,7.7e-05,8.1e-05,6.4e-05,7.8e-05,27.0,-1,0.0
2017-09-21,7.8e-05,0.000111,7.6e-05,0.000109,3.0,-1,0.0
2017-09-22,0.000109,0.000113,4.5e-05,4.7e-05,0.0,-1,0.0
2017-09-23,4.6e-05,0.000114,4.6e-05,0.000114,5.0,-1,0.0
2017-09-24,0.000114,0.000114,0.000109,0.00011,3.0,-1,0.0
2017-09-25,0.00011,0.000114,7.5e-05,7.8e-05,1.0,-1,0.0
2017-09-26,7.8e-05,0.000126,4.9e-05,0.000105,52.0,-1,0.0
2017-09-27,0.000105,0.000107,7.9e-05,8.9e-05,11.0,-1,0.0
2017-09-28,8.9e-05,0.000218,8.7e-05,0.000143,12.0,-1,0.0
2017-09-29,0.000142,0.000142,0.000112,0.000126,20.0,-1,0.0
2017-09-30,0.000126,0.000173,4.4e-05,4.4e-05,53.0,-1,0.0
2017-10-01,4.4e-05,8.8e-05,4.3e-05,8.8e-05,18.0,-1,0.0
2017-10-02,8.8e-05,0.000134,8.8e-05,8.8e-05,42.0,-1,0.0
2017-10-03,8.8e-05,8.9e-05,8.5e-05,8.6e-05,10.0,-1,0.0
2017-10-04,8.6e-05,0.00017,8.4e-05,8.4e-05,7.0,-1,0.0
2017-10-05,8.4e-05,0.000106,8.3e-05,0.000105,10.0,-1,0.0
2017-10-06,0.000105,0.000132,0.000104,0.000122,167.0,-1,0.0
2017-10-07,0.000122,0.000134,0.00012,0.000134,4.0,-1,0.0
2017-10-08,0.000133,0.000184,8.9e-05,0.000184,14.0,-1,0.0
2017-10-09,0.000184,0.000195,4.6e-05,0.000191,163.0,-1,0.0
2017-10-10,0.000191,0.000193,8.4e-05,0.000102,6.0,-1,0.0
2017-10-11,0.000102,0.000145,9.5e-05,0.000145,20.0,-1,0.0
2017-10-12,0.000145,0.000163,0.000144,0.000163,5.0,-1,0.0
2017-10-13,0.000163,0.000176,5.8e-05,0.000113,109.0,-1,0.0
2017-10-14,0.000113,0.000164,0.000112,0.000127,161.0,-1,0.0
2017-10-15,0.000128,0.000128,7.5e-05,0.000115,14.0,-1,0.0
2017-10-16,0.000115,0.000116,0.000112,0.000112,3.0,-1,0.0
2017-10-17,5.6e-05,5.6e-05,5.6e-05,5.6e-05,6.0,-1,0.0
