Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-01-22,0.037007,0.037183,0.03617,0.036865,103.0,-1,0.04
2016-01-23,0.036859,0.062117,0.036856,0.060003,7.0,-1,0.05
2016-01-24,0.060098,0.062725,0.038727,0.057593,20.0,-1,0.05
2016-01-25,0.057499,0.068,0.0377,0.066445,137.0,-1,0.05
2016-01-26,0.066491,0.067461,0.066249,0.066509,3.0,-1,0.07
2016-01-27,0.066559,0.067297,0.037451,0.063219,207.0,-1,0.05
2016-01-28,0.063247,0.066841,0.037619,0.062748,387.0,-1,0.05
2016-01-29,0.062718,0.062718,0.003825,0.05878,125.0,-1,0.03
2016-01-30,0.058686,0.060834,0.037734,0.052907,66.0,-1,0.05
2016-01-31,0.052912,0.06017,0.05289,0.058634,62.0,-1,0.06
2016-02-01,0.058727,0.058839,0.055251,0.055996,45.0,-1,0.06
2016-02-02,0.055975,0.057912,0.041572,0.057691,33.0,-1,0.05
2016-02-03,0.057722,0.057737,0.040974,0.048101,47.0,-1,0.05
2016-02-04,0.04813,0.058733,0.048107,0.058396,57.0,-1,0.05
2016-02-05,0.058292,0.058402,0.050606,0.05068,36.0,-1,0.05
2016-02-06,0.050686,0.056418,0.049062,0.05495,10.0,-1,0.05
2016-02-07,0.054948,0.055207,0.045812,0.053235,59.0,-1,0.05
2016-02-08,0.053255,0.053566,0.045252,0.045266,94.0,-1,0.05
2016-02-09,0.045263,0.056137,0.045206,0.05452,288.0,-1,0.05
2016-02-10,0.054537,0.061056,0.04188,0.06101,417.0,-1,0.05
2016-02-11,0.061085,0.061137,0.041826,0.045559,679.0,-1,0.05
2016-02-12,0.045562,0.060795,0.034721,0.060425,534.0,-1,0.05
2016-02-13,0.060485,0.060829,0.036787,0.058701,482.0,-1,0.05
2016-02-14,0.058861,0.059437,0.02927,0.038373,382.0,-1,0.04
2016-02-15,0.038405,0.03867,0.030015,0.037613,66.0,-1,0.03
2016-02-16,0.037731,0.059678,0.0303,0.052953,211.0,-1,0.04
2016-02-17,0.052975,0.058502,0.033109,0.03331,92.0,-1,0.05
2016-02-18,0.03333,0.034084,0.023283,0.03379,173.0,-1,0.03
2016-02-19,0.033818,0.057953,0.009335,0.016621,1940.0,-1,0.03
2016-02-20,0.016653,0.018972,0.012497,0.012682,359.0,-1,0.02
2016-02-21,0.0127,0.019787,0.011438,0.019303,186.0,-1,0.02
2016-02-22,0.019311,0.019314,0.009833,0.017488,66.0,-1,0.01
2016-02-23,0.017508,0.043774,0.012626,0.012626,473.0,-1,0.03
2016-02-24,0.012633,0.024207,0.008474,0.021214,17.0,-1,0.02
2016-02-25,0.021214,0.021352,0.008517,0.009765,642.0,-1,0.01
2016-02-26,0.018259,0.018259,0.008319,0.008457,719.0,-1,0.01
2016-02-27,0.008471,0.009509,0.007486,0.009507,121.0,-1,0.01
2016-02-28,0.009508,0.009581,0.005955,0.009091,50.0,-1,0.01
2016-02-29,0.009089,0.010102,0.006281,0.010019,79.0,-1,0.01
2016-03-01,0.009634,0.010055,0.006458,0.008698,796.0,-1,0.01
2016-03-02,0.008698,0.009169,0.006908,0.007115,652.0,-1,0.01
2016-03-03,0.007109,0.042099,0.007048,0.008441,3143.0,-1,0.02
2016-03-04,0.008445,0.008508,0.008231,0.008231,963.0,-1,0.01
2016-03-05,0.008228,0.008237,0.00766,0.007667,41.0,-1,0.01
2016-03-06,0.007666,0.007901,0.005422,0.007828,8.0,-1,0.01
2016-03-07,0.007828,0.00814,0.005658,0.007251,121.0,-1,0.01
2016-03-08,0.007253,0.008178,0.005745,0.005903,201.0,-1,0.01
2016-03-09,0.005902,0.00827,0.00587,0.007368,180.0,-1,0.01
2016-03-10,0.007366,0.010427,0.006112,0.010424,380.0,-1,0.01
2016-03-11,0.010427,0.023223,0.007805,0.022493,1186.0,-1,0.02
2016-03-12,0.022488,0.022488,0.008214,0.008241,2989.0,-1,0.02
2016-03-13,0.008241,0.014505,0.008075,0.013246,1023.0,-1,0.01
2016-03-14,0.01325,0.057961,0.008298,0.012493,7747.0,-1,0.03
2016-03-15,0.012492,0.014614,0.008312,0.010421,1175.0,-1,0.01
2016-03-16,0.010422,0.014453,0.008597,0.010421,2781.0,-1,0.01
2016-03-17,0.010443,0.010471,0.008374,0.008833,2032.0,-1,0.01
2016-03-18,0.008831,0.009315,0.006401,0.006401,507.0,-1,0.01
2016-03-19,0.006397,0.006413,0.005608,0.005664,24.0,-1,0.01
2016-03-20,0.005664,0.012425,0.004408,0.012413,354.0,-1,0.01
2016-03-21,0.012403,0.012807,0.006353,0.009006,1785.0,-1,0.01
2016-03-22,0.009002,0.016606,0.007735,0.012961,2403.0,-1,0.01
2016-03-23,0.012963,0.016679,0.0107,0.014882,3920.0,-1,0.01
2016-03-24,0.014896,0.014905,0.008169,0.010143,5355.0,-1,0.01
2016-03-25,0.010146,0.010179,0.007926,0.007926,929.0,-1,0.01
2016-03-26,0.00793,0.01213,0.007917,0.008392,5831.0,-1,0.01
2016-03-27,0.008396,0.010547,0.007953,0.010545,3768.0,-1,0.01
2016-03-28,0.01054,0.01054,0.008477,0.009897,4885.0,-1,0.01
2016-03-29,0.009899,0.025801,0.00831,0.010829,18004.0,-1,0.02
2016-03-30,0.025798,0.025798,0.009393,0.010785,21038.0,-1,0.02
2016-03-31,0.010797,0.011695,0.008571,0.010397,17039.0,-1,0.01
2016-04-01,0.010398,0.010409,0.008949,0.009287,1382.0,-1,0.01
2016-04-02,0.009297,0.009297,0.008848,0.009094,664.0,-1,0.01
2016-04-03,0.009102,0.011309,0.009102,0.009887,2316.0,-1,0.01
2016-04-04,0.009896,0.010457,0.008443,0.009693,3991.0,-1,0.01
2016-04-05,0.010117,0.010235,0.008448,0.009914,5703.0,-1,0.01
2016-04-06,0.00992,0.009934,0.008368,0.009285,4251.0,-1,0.01
2016-04-07,0.00929,0.009291,0.00799,0.00873,7047.0,-1,0.01
2016-04-08,0.008733,0.008784,0.008034,0.008092,1381.0,-1,0.01
2016-04-09,0.008101,0.008558,0.007945,0.008225,3687.0,-1,0.01
2016-04-10,0.008228,0.008294,0.007972,0.008001,1632.0,-1,0.01
2016-04-11,0.008007,0.00851,0.00745,0.007457,226.0,-1,0.01
2016-04-12,0.007463,0.009808,0.007463,0.009767,183.0,-1,0.01
2016-04-13,0.009767,0.00983,0.007764,0.009737,602.0,-1,0.01
2016-04-14,0.009742,0.009764,0.007792,0.009699,1637.0,-1,0.01
2016-04-15,0.009699,0.009785,0.008185,0.008276,3048.0,-1,0.01
2016-04-16,0.008274,0.009047,0.007722,0.007733,159.0,-1,0.01
2016-04-17,0.007734,0.00899,0.007729,0.008663,159.0,-1,0.01
2016-04-18,0.008668,0.008701,0.008657,0.008679,80.0,-1,0.01
2016-04-19,0.008759,0.012013,0.008439,0.008929,5647.0,-1,0.01
2016-04-20,0.008928,0.009632,0.008291,0.0096,508.0,-1,0.01
2016-04-21,0.009601,0.009661,0.007975,0.009353,116.0,-1,0.01
2016-04-22,0.009358,0.009411,0.00801,0.008077,5808.0,-1,0.01
2016-04-23,0.008079,0.009285,0.008051,0.009285,114.0,-1,0.01
2016-04-24,0.009291,0.009474,0.009257,0.009437,577.0,-1,0.01
2016-04-25,0.009449,0.009449,0.008132,0.009265,1061.0,-1,0.01
2016-04-26,0.00927,0.009576,0.006053,0.009322,543.0,-1,0.01
2016-04-27,0.009325,0.009567,0.007921,0.009076,1406.0,-1,0.01
2016-04-28,0.009083,0.009091,0.008123,0.00904,2605.0,-1,0.01
2016-04-29,0.00904,0.009149,0.00828,0.009056,5221.0,-1,0.01
2016-04-30,0.009058,0.009176,0.007865,0.009054,262.0,-1,0.01
2016-05-01,0.009059,0.009137,0.007805,0.009024,1178.0,-1,0.01
2016-05-02,0.009025,0.00911,0.008911,0.00901,1056.0,-1,0.01
2016-05-03,0.009012,0.009297,0.007941,0.009124,4803.0,-1,0.01
2016-05-04,0.009121,0.009125,0.008619,0.008631,616.0,-1,0.01
2016-05-05,0.00863,0.009033,0.008285,0.009022,414.0,-1,0.01
2016-05-06,0.009022,0.009532,0.005885,0.009339,15514.0,-1,0.01
2016-05-07,0.00934,0.009433,0.008038,0.009432,7476.0,-1,0.01
2016-05-08,0.00943,0.00945,0.00938,0.009423,2195.0,-1,0.01
2016-05-09,0.009416,0.009513,0.00879,0.009472,3693.0,-1,0.01
2016-05-10,0.008556,0.010688,0.008556,0.010673,7109.0,-1,0.01
2016-05-11,0.010673,0.011747,0.009781,0.010013,6088.0,-1,0.01
2016-05-12,0.010267,0.010269,0.008478,0.008963,680.0,-1,0.01
2016-05-13,0.008963,0.009534,0.007842,0.007842,760.0,-1,0.01
2016-05-14,0.007845,0.014468,0.006375,0.014437,1003.0,-1,0.01
2016-05-15,0.01444,0.014446,0.007253,0.012388,1691.0,-1,0.01
2016-05-16,0.012385,0.012497,0.006614,0.010743,5714.0,-1,0.01
2016-05-17,0.010736,0.010748,0.007769,0.010023,118.0,-1,0.01
2016-05-18,0.010023,0.010048,0.007805,0.009994,608.0,-1,0.01
2016-05-19,0.009993,0.010005,0.007927,0.009669,480.0,-1,0.01
2016-05-20,0.009648,0.009728,0.007756,0.009681,124.0,-1,0.01
2016-05-21,0.009686,0.009709,0.007977,0.008018,545.0,-1,0.01
2016-05-22,0.008017,0.009582,0.007844,0.009211,1252.0,-1,0.01
2016-05-23,0.009209,0.009238,0.00792,0.009007,1034.0,-1,0.01
2016-05-24,0.009005,0.043512,0.008542,0.01114,5352.0,-1,0.03
2016-05-25,0.011141,0.011296,0.008626,0.008645,608.0,-1,0.01
2016-05-26,0.008646,0.009784,0.008601,0.009221,682.0,-1,0.01
2016-05-27,0.009221,0.009681,0.008697,0.008697,642.0,-1,0.01
