Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-01,2.92,6.48,0.632623,0.926913,1889480.0,-1,3.56
2017-11-02,0.686922,2.19,0.686922,1.38,1748760.0,-1,1.44
2017-11-03,1.34,1.34,0.05818,0.358576,3807870.0,-1,0.7
2017-11-04,0.329386,0.345931,0.063029,0.084659,2693130.0,-1,0.2
2017-11-05,0.084436,0.094877,0.027184,0.030825,1110560.0,-1,0.06
2017-11-06,0.030885,0.056254,0.025911,0.033392,310327.0,-1,0.04
2017-11-07,0.033341,0.037148,0.031891,0.037067,85592.0,-1,0.03
2017-11-08,0.036997,0.040685,0.031839,0.038365,66215.0,-1,0.04
2017-11-09,0.038621,0.048723,0.038308,0.048723,34268.0,-1,0.04
2017-11-10,0.048954,0.05208,0.018482,0.019267,26815.0,-1,0.04
2017-11-11,0.019199,0.021467,0.015766,0.018334,10709.0,-1,0.02
2017-11-12,0.01832,0.01832,0.01196,0.012663,10084.0,-1,0.02
2017-11-13,0.012681,0.016635,0.009664,0.010818,10489.0,-1,0.01
2017-11-14,0.010841,0.017458,0.007347,0.007796,7592.0,-1,0.01
2017-11-15,0.007802,0.010346,0.006832,0.007991,11364.0,-1,0.01
2017-11-16,0.008033,0.016326,0.006381,0.009665,8365.0,-1,0.01
2017-11-17,0.009649,0.014972,0.008712,0.010108,6495.0,-1,0.01
2017-11-18,0.01007,0.013872,0.009561,0.012716,3478.0,-1,0.01
2017-11-19,0.012693,0.012757,0.00782,0.009093,4681.0,-1,0.01
2017-11-20,0.009089,0.011725,0.007407,0.007416,5729.0,-1,0.01
2017-11-21,0.007417,0.009101,0.007055,0.008985,1406.0,-1,0.01
2017-11-22,0.009007,0.009018,0.006893,0.007981,1387.0,-1,0.01
2017-11-23,0.007978,0.008159,0.004411,0.004668,6344.0,-1,0.01
2017-11-24,0.004661,0.006152,0.004494,0.004525,1349.0,-1,0.01
2017-11-25,0.004515,0.005844,0.00449,0.004987,1506.0,-1,0.01
2017-11-26,0.004985,0.006401,0.004915,0.005217,2305.0,-1,0.01
2017-11-27,0.005218,0.006456,0.005122,0.005352,1997.0,-1,0.01
2017-11-28,0.005365,0.006287,0.005254,0.006161,869.0,-1,0.01
2017-11-29,0.006155,0.006848,0.003728,0.003969,1157.0,-1,0.01
2017-11-30,0.00403,0.00499,0.002633,0.004118,1545.0,-1,0.0
2017-12-01,0.004097,0.004143,0.003217,0.003704,500.0,-1,0.0
2017-12-02,0.003701,0.004982,0.002832,0.003604,1310.0,-1,0.0
2017-12-03,0.003607,0.00377,0.002946,0.003137,415.0,-1,0.0
2017-12-04,0.003148,0.019687,0.003144,0.009074,12775.0,-1,0.01
2017-12-05,0.009092,0.009723,0.003918,0.004925,5536.0,-1,0.01
2017-12-06,0.004914,0.006602,0.004846,0.005641,1309.0,-1,0.01
2017-12-07,0.005632,0.007448,0.004395,0.005021,1319.0,-1,0.01
2017-12-08,0.005033,0.005536,0.003235,0.005535,2587.0,-1,0.0
2017-12-09,0.00553,0.006122,0.003632,0.003744,1392.0,-1,0.0
2017-12-10,0.003759,0.004943,0.00331,0.004607,435.0,-1,0.0
2017-12-11,0.004574,0.004901,0.003951,0.004364,668.0,-1,0.0
2017-12-12,0.004378,0.005189,0.003788,0.003798,1881.0,-1,0.0
2017-12-13,0.003801,0.004073,0.001912,0.00345,355.0,-1,0.0
2017-12-14,0.003439,0.003488,0.001945,0.003147,252.0,-1,0.0
2017-12-15,0.003152,0.003313,0.002109,0.002115,674.0,-1,0.0
2017-12-16,0.002118,0.002552,0.000719,0.002532,708.0,-1,0.0
2017-12-17,0.002532,0.005007,0.001918,0.003433,1554.0,-1,0.0
2017-12-18,0.003444,0.005393,0.002933,0.005156,1707.0,-1,0.0
2017-12-19,0.005162,0.005185,0.003581,0.00388,387.0,-1,0.0
2017-12-20,0.003876,0.005107,0.003332,0.003946,1262.0,-1,0.0
2017-12-21,0.003956,0.004888,0.002956,0.003758,556.0,-1,0.0
2017-12-22,0.003771,0.003967,0.002033,0.003142,232.0,-1,0.0
2017-12-23,0.003172,0.003914,0.002224,0.0026,373.0,-1,0.0
2017-12-24,0.002629,0.003601,0.002441,0.002649,195.0,-1,0.0
2017-12-25,0.002677,0.003824,0.002521,0.002789,669.0,-1,0.0
2017-12-26,0.002786,0.004192,0.002775,0.004115,391.0,-1,0.0
