Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-23,479.82,539.72,479.82,500.13,7652060.0,-1.0,509.77
2017-10-24,498.44,500.75,141.09,142.92,23301700.0,-1.0,320.92
2017-10-25,143.15,165.8,125.83,137.09,16040700.0,-1.0,145.81
2017-10-26,137.03,143.64,121.05,136.23,11556600.0,-1.0,132.34
2017-10-27,137.24,137.98,118.33,120.66,8217860.0,-1.0,128.16
2017-10-28,120.52,123.43,106.18,115.82,5635800.0,-1.0,114.81
2017-10-29,115.92,139.26,115.21,139.18,11295300.0,-1.0,127.23
2017-10-30,138.65,138.65,126.42,132.8,6730380.0,-1.0,132.53
2017-10-31,133.84,164.55,132.16,156.73,18906800.0,-1.0,148.36
2017-11-01,157.03,159.76,140.55,144.88,14898100.0,-1.0,150.16
2017-11-02,144.9,147.03,122.97,127.51,12020600.0,-1.0,135.0
2017-11-03,126.35,137.29,123.55,131.76,8035790.0,-1.0,130.42
2017-11-04,131.6,144.41,128.28,142.17,9145650.0,-1.0,136.34
2017-11-05,141.79,175.96,140.0,165.76,16915700.0,-1.0,157.98
2017-11-06,165.49,170.19,148.12,148.77,10901900.0,-1.0,159.16
2017-11-07,149.25,159.22,149.25,153.35,7219510.0,-1.0,154.24
2017-11-08,153.13,159.34,135.21,139.39,12513700.0,-1.0,147.28
2017-11-09,140.51,156.66,138.23,156.66,13140500.0,-1.0,147.44
2017-11-10,157.49,213.4,155.39,213.4,36198500.0,-1.0,184.39
2017-11-11,213.12,509.81,213.12,427.13,187191000.0,-1.0,361.47
2017-11-12,421.75,465.62,281.55,282.41,90339900.0,-1.0,373.59
2017-11-13,277.0,307.26,218.34,249.22,45916500.0,-1.0,262.8
2017-11-14,253.22,253.22,154.05,159.94,39340400.0,-1.0,203.63
2017-11-15,160.54,187.28,151.47,161.69,30094100.0,-1.0,169.38
2017-11-16,161.87,181.33,136.4,140.78,27949200.0,-1.0,158.87
2017-11-17,138.75,165.94,133.05,152.02,24935100.0,-1.0,149.5
2017-11-18,153.07,172.45,151.79,155.73,24642900.0,-1.0,162.12
2017-11-19,154.91,155.55,133.96,135.69,19503400.0,-1.0,144.75
2017-11-20,135.2,247.1,105.79,236.37,93826900.0,-1.0,176.44
2017-11-21,250.85,364.78,201.9,267.21,370782000.0,-1.0,283.34
2017-11-22,264.18,275.05,232.92,241.72,111451000.0,-1.0,253.99
2017-11-23,241.97,299.89,241.97,293.61,154038000.0,-1.0,270.93
2017-11-24,295.75,413.74,284.26,394.22,537472000.0,-1.0,349.0
2017-11-25,394.04,394.04,339.1,356.04,208662000.0,-1.0,366.57
2017-11-26,355.72,366.79,334.74,366.79,141228000.0,5930460000.0,350.76
2017-11-27,370.18,387.88,353.67,359.25,129160000.0,6172140000.0,370.77
2017-11-28,359.36,360.12,325.56,329.78,101004000.0,5992370000.0,342.84
2017-11-29,329.4,360.75,287.73,295.41,252313000.0,5493510000.0,324.24
2017-11-30,294.33,323.56,269.03,304.63,151331000.0,4909140000.0,296.29
