Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-03-17,0.018918,0.17863,0.005845,0.068467,5158.0,86120.0,0.09
2014-03-18,0.068415,0.176098,0.006096,0.101314,12716.0,311437.0,0.09
2014-03-19,0.10138,0.440764,0.090291,0.246211,40995.0,465801.0,0.27
2014-03-20,0.246001,1.09,0.056606,0.310884,141308.0,1135880.0,0.57
2014-03-21,0.312902,0.4477,0.132075,0.169837,57024.0,1449100.0,0.29
2014-03-22,0.16975,0.211454,0.124219,0.130033,14549.0,789295.0,0.17
2014-03-23,0.122419,0.155379,0.097808,0.114048,15754.0,570424.0,0.13
2014-03-24,0.115642,0.135611,0.097264,0.12956,13253.0,539204.0,0.12
2014-03-25,0.124729,0.13757,0.090575,0.099686,9119.0,582859.0,0.11
2014-03-26,0.119742,0.129487,0.052276,0.052276,4925.0,559866.0,0.09
2014-03-27,0.080749,0.105095,0.062538,0.06833,2340.0,378146.0,0.08
2014-03-28,0.069186,0.101933,0.059949,0.06461,3139.0,323997.0,0.08
2014-03-29,0.065398,0.072296,0.049532,0.060973,4186.0,306568.0,0.06
2014-03-30,0.05883,0.063176,0.046036,0.052655,1826.0,276021.0,0.05
2014-03-31,0.052546,0.064096,0.034854,0.038893,1857.0,246851.0,0.05
2014-04-01,0.038843,0.056473,0.028858,0.052744,3431.0,182476.0,0.04
2014-04-02,0.052659,0.061553,0.02643,0.041154,2054.0,247382.0,0.04
2014-04-03,0.041088,0.047513,0.025422,0.044369,1839.0,193025.0,0.04
2014-04-04,0.044091,0.071717,0.037514,0.047118,1825.0,207713.0,0.05
2014-04-05,0.047186,0.051219,0.038781,0.040696,556.0,222297.0,0.04
2014-04-06,0.040822,0.049603,0.033625,0.035448,877.0,192723.0,0.04
2014-04-07,0.035523,0.055468,0.031151,0.05539,2216.0,167857.0,0.04
2014-04-08,0.055163,0.055163,0.035737,0.05061,1746.0,260982.0,0.05
2014-04-09,0.050639,0.055322,0.034793,0.035429,426.0,239844.0,0.05
2014-04-10,0.03544,0.053443,0.024444,0.025057,1096.0,167857.0,0.04
2014-04-11,0.024885,0.034047,0.023957,0.034023,323.0,118000.0,0.03
2014-04-12,0.034018,0.036275,0.028999,0.029484,184.0,161324.0,0.03
2014-04-13,0.029478,0.032492,0.024821,0.025381,979.0,139953.0,0.03
2014-04-14,0.025345,0.033097,0.022979,0.032683,1323.0,120362.0,0.03
2014-04-15,0.032654,0.039028,0.02955,0.034101,685.0,155262.0,0.03
2014-04-16,0.034059,0.040293,0.021374,0.032405,1203.0,161943.0,0.03
2014-04-17,0.03241,0.036017,0.022826,0.027223,758.0,154099.0,0.03
2014-04-18,0.027278,0.032732,0.025909,0.029387,192.0,129700.0,0.03
2014-04-19,0.029383,0.036914,0.028516,0.031096,4684.0,139707.0,0.03
2014-04-20,0.031107,0.037479,0.031074,0.035737,862.0,147906.0,0.03
2014-04-21,0.035707,0.036055,0.026623,0.032229,886.0,169775.0,0.03
2014-04-22,0.032209,0.033162,0.023189,0.024636,1644.0,153144.0,0.03
2014-04-23,0.024658,0.031949,0.019694,0.028816,604.0,117243.0,0.03
2014-04-24,0.028788,0.028788,0.019096,0.022467,639.0,136879.0,0.02
2014-04-25,0.022473,0.022473,0.012602,0.018214,420.0,106853.0,0.02
2014-04-26,0.018224,0.023845,0.012726,0.023067,818.0,86653.0,0.02
2014-04-27,0.023076,0.029171,0.015859,0.019683,244.0,109719.0,0.02
2014-04-28,0.019598,0.025741,0.015709,0.022884,904.0,93183.0,0.02
2014-04-29,0.022894,0.055047,0.017838,0.023703,11260.0,108856.0,0.04
2014-04-30,0.023703,0.02638,0.017896,0.023439,1061.0,112701.0,0.02
2014-05-01,0.02339,0.032067,0.022395,0.027085,1204.0,111212.0,0.03
2014-05-02,0.027108,0.027116,0.021303,0.023521,920.0,128891.0,0.02
2014-05-03,0.023592,0.025916,0.018304,0.018438,735.0,112175.0,0.02
