Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-01-20,0.162671,0.166808,0.145625,0.145625,5978.0,812236.0,0.16
2017-01-21,0.14571,0.236289,0.144554,0.174829,12872.0,727753.0,0.19
2017-01-22,0.174903,0.178088,0.123697,0.128067,526.0,874666.0,0.15
2017-01-23,0.128182,0.156983,0.126968,0.154695,6921.0,641762.0,0.14
2017-01-24,0.152959,0.671748,0.134264,0.142972,33237.0,766670.0,0.4
2017-01-25,0.142849,0.313312,0.142811,0.154217,14945.0,716763.0,0.23
2017-01-26,0.154363,0.179255,0.147483,0.161915,9966.0,775361.0,0.16
2017-01-27,0.162051,0.242873,0.151854,0.16788,24828.0,814864.0,0.2
2017-01-28,0.167891,0.191118,0.167889,0.185115,12342.0,845152.0,0.18
2017-01-29,0.185211,0.191636,0.178,0.183409,10832.0,933414.0,0.18
2017-01-30,0.18354,0.211474,0.183411,0.201773,25986.0,926047.0,0.2
2017-01-31,0.2019,0.248894,0.192904,0.234476,38955.0,1019790.0,0.22
2017-02-01,0.234603,0.625286,0.23433,0.380666,70857.0,1186290.0,0.43
2017-02-02,0.376986,0.510052,0.374696,0.42451,49021.0,1908590.0,0.44
2017-02-03,0.424369,0.616739,0.423258,0.513246,104851.0,2151070.0,0.52
2017-02-04,0.513954,0.618865,0.511836,0.568446,41471.0,2611770.0,0.57
2017-02-05,0.568783,0.594951,0.465195,0.465195,22814.0,2893950.0,0.53
2017-02-06,0.465675,0.53186,0.445042,0.447002,92361.0,2372230.0,0.49
2017-02-07,0.447859,0.516073,0.422868,0.4254,65544.0,2343170.0,0.47
2017-02-08,0.425789,0.620504,0.425789,0.573734,97396.0,2230210.0,0.52
2017-02-09,0.574614,0.635086,0.529744,0.566729,40765.0,3013100.0,0.58
2017-02-10,0.567441,0.652978,0.546511,0.634202,136220.0,2979990.0,0.6
2017-02-11,0.634346,0.728807,0.62172,0.702202,73165.0,3335540.0,0.68
2017-02-12,0.701552,0.72462,0.693313,0.696708,90321.0,3693230.0,0.71
2017-02-13,0.696483,0.718306,0.615641,0.711195,100391.0,3670810.0,0.67
2017-02-14,0.711982,0.744774,0.665671,0.730306,84926.0,3756710.0,0.71
2017-02-15,0.731512,0.748031,0.721461,0.725943,84565.0,3864230.0,0.73
2017-02-16,0.726066,0.76264,0.725988,0.738451,64234.0,3839920.0,0.74
2017-02-17,0.737502,0.765716,0.711911,0.712135,73305.0,3905080.0,0.74
2017-02-18,0.714177,0.770619,0.712649,0.723435,69567.0,3786090.0,0.74
2017-02-19,0.723668,0.759755,0.718855,0.722082,17807.0,3840990.0,0.74
2017-02-20,0.722645,0.744402,0.718499,0.744051,79052.0,3845050.0,0.73
2017-02-21,0.743569,0.788681,0.742046,0.765488,46477.0,3968830.0,0.77
2017-02-22,0.765145,0.800321,0.663462,0.751017,102991.0,4088710.0,0.73
2017-02-23,0.750903,0.800626,0.697684,0.716413,104601.0,4018590.0,0.75
2017-02-24,0.720091,0.833797,0.710127,0.800726,80798.0,3858450.0,0.77
2017-02-25,0.798545,0.821233,0.764979,0.779878,96943.0,4283810.0,0.79
2017-02-26,0.780171,0.814878,0.769603,0.799392,75564.0,4190100.0,0.79
2017-02-27,0.798417,0.819324,0.798143,0.804716,71439.0,4292460.0,0.81
