Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-11-18,0.00023,0.000233,0.00023,0.000233,7.0,-1.0,0.0
2016-11-19,0.000233,0.000233,0.000149,0.00015,1.0,-1.0,0.0
2016-11-20,0.00015,0.000234,0.00015,0.000227,3.0,-1.0,0.0
2016-11-21,0.000227,0.000227,0.00014,0.000214,1.0,-1.0,0.0
2016-11-22,0.000214,0.000215,0.000207,0.00021,0.0,-1.0,0.0
2016-11-23,0.00021,0.000211,0.000135,0.000208,1.0,-1.0,0.0
2016-11-24,0.000208,0.000209,0.000183,0.000185,0.0,-1.0,0.0
2016-11-25,0.000185,0.000185,0.000118,0.000119,1.0,-1.0,0.0
2016-11-26,0.000119,0.000177,9.6e-05,0.000176,7.0,-1.0,0.0
2016-11-27,0.000177,0.000177,0.000168,0.000168,2.0,-1.0,0.0
2016-11-28,0.000168,0.000169,8.8e-05,8.8e-05,2.0,-1.0,0.0
2016-11-29,8.8e-05,0.00017,8.8e-05,0.000162,1.0,-1.0,0.0
2016-11-30,0.000162,0.000162,8.8e-05,9.7e-05,2.0,-1.0,0.0
2016-12-01,9.7e-05,0.000121,9.7e-05,0.000121,0.0,-1.0,0.0
2016-12-02,0.000121,0.000125,0.000121,0.000124,0.0,-1.0,0.0
2016-12-03,0.000139,0.000147,0.000139,0.000147,2.0,-1.0,0.0
2016-12-04,0.000147,0.000147,0.000146,0.000147,2.0,-1.0,0.0
2016-12-05,0.000147,0.000147,0.000143,0.000144,0.0,-1.0,0.0
2016-12-06,0.000144,0.000145,0.000144,0.000145,0.0,-1.0,0.0
2016-12-07,0.000145,0.000145,0.000144,0.000145,0.0,-1.0,0.0
2016-12-16,0.000141,0.000149,0.000141,0.000149,0.0,-1.0,0.0
2016-12-17,0.000149,0.000151,0.000103,0.000142,1.0,-1.0,0.0
2016-12-18,0.000142,0.000143,0.000142,0.000142,0.0,-1.0,0.0
2016-12-19,0.000143,0.000143,0.000143,0.000143,0.0,-1.0,0.0
2016-12-20,0.000143,0.000143,0.000103,0.000104,0.0,-1.0,0.0
2016-12-21,0.000104,0.000105,9.6e-05,0.0001,0.0,-1.0,0.0
