Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-05-13,0.000264,0.000375,0.000256,0.000256,710.0,26411.0,0.0
2014-05-14,0.000256,0.000313,0.0002,0.0002,837.0,25576.0,0.0
2014-05-15,0.0002,0.000303,0.000165,0.000181,565.0,19994.0,0.0
2014-05-16,0.000181,0.000336,0.000118,0.000261,1570.0,18121.0,0.0
2014-05-17,0.000261,0.00041,0.000235,0.000271,1092.0,26115.0,0.0
2014-05-18,0.000271,0.000402,0.000246,0.000271,411.0,27096.0,0.0
2014-05-19,0.000271,0.000335,0.000204,0.000278,1192.0,27102.0,0.0
2014-05-20,0.000278,0.000309,0.000191,0.000283,864.0,27798.0,0.0
2014-05-21,0.000283,0.000288,0.000157,0.000158,399.0,28338.0,0.0
2014-05-22,0.000158,0.000196,0.000157,0.000176,263.0,15778.0,0.0
2014-05-23,0.000176,0.000182,0.000157,0.000157,783.0,17648.0,0.0
2014-05-24,0.000157,0.000172,0.000133,0.00015,63.0,15698.0,0.0
2014-05-25,0.00015,0.000183,0.000128,0.000128,108.0,15008.0,0.0
2014-05-26,0.000129,0.000132,1.7e-05,4.1e-05,244.0,12881.0,0.0
2014-05-27,4.1e-05,0.000167,4.1e-05,0.000166,70.0,4144.0,0.0
2014-05-28,0.000166,0.000179,9e-05,0.000123,35.0,16621.0,0.0
2014-05-29,0.000123,0.000135,7.4e-05,0.000103,90.0,12337.0,0.0
2014-05-30,0.000103,0.000106,8.6e-05,9.4e-05,75.0,10307.0,0.0
2014-05-31,9.4e-05,0.000102,3.7e-05,0.000102,155.0,9457.0,0.0
2014-06-01,0.000102,0.000154,8.5e-05,9.4e-05,9.0,10198.0,0.0
2014-06-02,9.4e-05,0.000153,7.1e-05,9.8e-05,285.0,9470.0,0.0
2014-06-03,9.8e-05,0.000134,9.1e-05,0.000132,38.0,9826.0,0.0
2014-06-04,0.000132,0.000161,8.9e-05,0.00016,194.0,13217.0,0.0
2014-06-05,0.00016,0.000171,0.000135,0.000137,62.0,16039.0,0.0
2014-06-06,0.000137,0.000158,0.000136,0.000137,277.0,13769.0,0.0
2014-06-07,0.000137,0.000157,0.00011,0.000155,59.0,13763.0,0.0
2014-06-08,0.000155,0.000168,0.000117,0.000168,55.0,15605.0,0.0
2014-06-09,0.000168,0.000193,0.000118,0.000193,98.0,16899.0,0.0
2014-06-10,0.000193,0.000196,0.000161,0.000161,15.0,19391.0,0.0
2014-06-11,0.000161,0.000189,8.9e-05,0.000189,200.0,16176.0,0.0
2014-06-12,0.000189,0.000191,8.7e-05,0.000151,37.0,19004.0,0.0
2014-06-13,0.00015,0.000153,0.000133,0.000139,18.0,15052.0,0.0
2014-06-14,0.000139,0.000139,0.000111,0.000122,198.0,13946.0,0.0
2014-06-15,0.000121,0.000121,6.7e-05,7.7e-05,280.0,12159.0,0.0
2014-06-16,7.7e-05,0.000126,7.7e-05,7.7e-05,108.0,7755.0,0.0
2014-06-17,7.7e-05,0.000132,7.7e-05,0.000111,10.0,7756.0,0.0
2014-06-18,0.000111,0.000119,8e-05,8.5e-05,25.0,11179.0,0.0
2014-06-19,8.5e-05,0.000112,8.5e-05,8.5e-05,2.0,8569.0,0.0
2014-06-20,8.5e-05,0.000142,8.4e-05,0.000141,65.0,8555.0,0.0
2014-06-21,0.000141,0.000245,0.00014,0.000196,610.0,14214.0,0.0
2014-06-22,0.000196,0.000199,8.5e-05,0.000126,164.0,19740.0,0.0
2014-06-23,0.000126,0.000126,8.3e-05,0.000124,162.0,12699.0,0.0
2014-06-24,0.000124,0.000125,8.3e-05,0.000122,159.0,12524.0,0.0
2014-06-25,0.000122,0.000122,0.000118,0.000119,155.0,12279.0,0.0
2014-06-26,0.000119,0.00012,8e-05,8.1e-05,1.0,11941.0,0.0
2014-06-27,8.1e-05,8.4e-05,8.1e-05,8.4e-05,2.0,8195.0,0.0
2014-06-28,8.4e-05,8.5e-05,8.3e-05,8.4e-05,2.0,8448.0,0.0
2014-06-29,8.3e-05,8.5e-05,8.3e-05,8.4e-05,2.0,8409.0,0.0
2014-06-30,8.4e-05,0.000239,8.4e-05,0.000115,28.0,8499.0,0.0
2014-07-01,0.000115,0.000118,0.000109,0.000109,1.0,11600.0,0.0
2014-07-02,0.000109,0.00019,9e-05,0.000117,41.0,10975.0,0.0
2014-07-03,0.000117,0.000221,9.6e-05,0.000123,98.0,11803.0,0.0
2014-07-04,0.000129,0.000129,8.8e-05,8.8e-05,55.0,12999.0,0.0
2014-07-05,8.8e-05,9.5e-05,8.2e-05,8.8e-05,16.0,8885.0,0.0
2014-07-06,8.8e-05,0.000133,8.8e-05,9.5e-05,61.0,8906.0,0.0
2014-07-07,9.5e-05,9.5e-05,8e-05,8.7e-05,315.0,9608.0,0.0
2014-07-08,6.2e-05,9.4e-05,5.6e-05,7.5e-05,4.0,6267.0,0.0
2014-07-09,7.5e-05,0.00015,5.6e-05,9.6e-05,37.0,7559.0,0.0
2014-07-10,9.6e-05,0.000182,9.3e-05,9.8e-05,100.0,9699.0,0.0
2014-07-11,9.8e-05,0.000157,2.6e-05,0.000157,101.0,9914.0,0.0
2014-07-12,0.000157,0.000157,3.1e-05,8.9e-05,128.0,15785.0,0.0
2014-07-13,8.9e-05,0.000106,5.9e-05,7.4e-05,48.0,8945.0,0.0
2014-07-14,7.4e-05,0.00013,6.7e-05,7.4e-05,35.0,7492.0,0.0
2014-07-15,7.4e-05,9.3e-05,3.8e-05,6.2e-05,49.0,7493.0,0.0
2014-07-16,6.2e-05,7.4e-05,1.9e-05,1.9e-05,153.0,6255.0,0.0
2014-07-17,1.9e-05,9.3e-05,1.9e-05,2.7e-05,69.0,1871.0,0.0
2014-07-18,2.7e-05,4.3e-05,2.5e-05,2.5e-05,51.0,2727.0,0.0
2014-07-19,2.5e-05,3.8e-05,1.9e-05,2.5e-05,38.0,2536.0,0.0
2014-07-20,2.5e-05,5e-05,2.5e-05,2.5e-05,10.0,2535.0,0.0
2014-07-21,2.5e-05,3.3e-05,1.9e-05,1.9e-05,11.0,2515.0,0.0
2014-07-22,1.9e-05,5e-05,1.9e-05,3.1e-05,81.0,1881.0,0.0
2014-07-23,1.3e-05,2.5e-05,1.2e-05,2.5e-05,13.0,1281.0,0.0
2014-07-24,2.5e-05,2.5e-05,1.2e-05,1.2e-05,3.0,2496.0,0.0
2014-07-25,1.2e-05,2.4e-05,1.2e-05,1.8e-05,18.0,1215.0,0.0
2014-07-26,1.8e-05,3e-05,1.6e-05,1.6e-05,15.0,1818.0,0.0
2014-07-27,1.6e-05,1.8e-05,1.2e-05,1.8e-05,46.0,1567.0,0.0
2014-07-28,1.8e-05,2.4e-05,1.2e-05,2.3e-05,11.0,1796.0,0.0
2014-07-29,2.3e-05,2.9e-05,1.2e-05,1.2e-05,3.0,2360.0,0.0
2014-07-30,1.2e-05,2.9e-05,1.2e-05,1.7e-05,12.0,1172.0,0.0
2014-07-31,1.7e-05,3.4e-05,1.7e-05,2.3e-05,17.0,1710.0,0.0
2014-08-01,2.3e-05,2.9e-05,1.8e-05,1.9e-05,63.0,2284.0,0.0
2014-08-02,1.9e-05,1.9e-05,1.8e-05,1.8e-05,6.0,1866.0,0.0
2014-08-03,1.8e-05,2.3e-05,1.7e-05,2.3e-05,0.0,1770.0,0.0
2014-08-04,2.3e-05,2.9e-05,1.8e-05,1.8e-05,20.0,2350.0,0.0
2014-08-05,1.8e-05,3.5e-05,1.8e-05,3.5e-05,15.0,1780.0,0.0
2014-08-06,3.5e-05,4.1e-05,2.3e-05,2.3e-05,19.0,3541.0,0.0
2014-08-07,2.3e-05,5.2e-05,1.8e-05,1.8e-05,77.0,2356.0,0.0
2014-08-08,1.8e-05,4.7e-05,1.8e-05,4.7e-05,6.0,1780.0,0.0
2014-08-09,4.7e-05,4.7e-05,1.8e-05,1.8e-05,35.0,4773.0,0.0
2014-08-10,1.8e-05,4.7e-05,1.8e-05,3.5e-05,129.0,1785.0,0.0
2014-08-11,3.5e-05,0.006038,1.8e-05,0.002412,1280.0,3565.0,0.0
2014-08-15,0.000157,0.000158,3.5e-05,0.000114,319.0,15784.0,0.0
2014-08-16,0.000115,0.000119,5.4e-05,5.7e-05,92.0,11537.0,0.0
2014-08-17,5.6e-05,5.7e-05,5.1e-05,5.3e-05,19.0,5690.0,0.0
2014-08-18,5.3e-05,5.4e-05,3.4e-05,5e-05,59.0,5373.0,0.0
2014-08-19,5e-05,5.2e-05,3.7e-05,3.9e-05,36.0,5050.0,0.0
2014-08-20,3.9e-05,7.2e-05,2e-05,7.2e-05,11.0,3965.0,0.0
2014-08-21,7.1e-05,7.2e-05,3.6e-05,3.6e-05,57.0,7198.0,0.0
2014-08-22,3.6e-05,3.6e-05,2e-05,2.6e-05,46.0,3651.0,0.0
