Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-03-18,0.000192,0.000462,7.2e-05,8.6e-05,262.0,8099.0,0.0
2014-03-19,8.6e-05,0.000154,7.9e-05,9.1e-05,108.0,3734.0,0.0
2014-03-20,9.1e-05,0.000184,9e-05,0.000177,144.0,4107.0,0.0
2014-03-21,0.000176,0.000176,0.000105,0.000109,12.0,8183.0,0.0
2014-03-22,0.000109,0.00013,8e-05,0.000119,80.0,5192.0,0.0
2014-03-23,0.000119,0.000119,7.9e-05,0.000112,57.0,5845.0,0.0
2014-03-24,0.000113,0.000258,8.3e-05,0.000105,239.0,5701.0,0.0
2014-03-25,0.000105,0.000191,8.6e-05,0.000116,142.0,5470.0,0.0
2014-03-26,0.000115,0.0002,0.000108,0.000116,137.0,6150.0,0.0
2014-03-27,0.000116,0.000126,8.5e-05,8.5e-05,57.0,6203.0,0.0
2014-03-28,8.6e-05,0.000167,8.5e-05,0.000109,238.0,4844.0,0.0
2014-03-29,0.00011,0.000155,9.5e-05,0.000108,117.0,6391.0,0.0
2014-03-30,0.000138,0.000138,0.000102,0.000106,110.0,8162.0,0.0
2014-03-31,0.000106,0.000119,9e-05,9.2e-05,101.0,6427.0,0.0
2014-04-01,0.000119,0.000119,5.7e-05,6.2e-05,75.0,7384.0,0.0
2014-04-02,6.2e-05,8.7e-05,5.2e-05,5.2e-05,9.0,3952.0,0.0
2014-04-03,5.2e-05,6.3e-05,9e-06,9e-06,1.0,3400.0,0.0
2014-04-04,9e-06,4.5e-05,9e-06,1.3e-05,10.0,589.0,0.0
2014-04-05,1.3e-05,5e-05,1.3e-05,4.6e-05,54.0,910.0,0.0
2014-04-06,4.6e-05,4.7e-05,2.7e-05,4.6e-05,12.0,3205.0,0.0
2014-04-07,4.6e-05,4.6e-05,3.1e-05,3.2e-05,1.0,3263.0,0.0
2014-04-08,3.1e-05,5.9e-05,1.3e-05,3.2e-05,107.0,2272.0,0.0
2014-04-09,3.2e-05,5.9e-05,2.7e-05,2.7e-05,23.0,2333.0,0.0
2014-04-10,2.7e-05,3.7e-05,2.4e-05,3.7e-05,15.0,1995.0,0.0
2014-04-11,2.1e-05,6.3e-05,2.1e-05,6.3e-05,94.0,1637.0,0.0
2014-04-12,6.3e-05,6.6e-05,1.7e-05,1.7e-05,31.0,4921.0,0.0
2014-04-13,1.7e-05,4.1e-05,1.6e-05,4.1e-05,24.0,1337.0,0.0
2014-04-14,4.1e-05,4.5e-05,1.3e-05,3.2e-05,26.0,3339.0,0.0
2014-04-15,3.2e-05,4e-05,2e-05,3.1e-05,89.0,2639.0,0.0
2014-04-16,3.1e-05,3.3e-05,2.6e-05,2.6e-05,19.0,2590.0,0.0
2014-04-17,2.6e-05,4.9e-05,1.5e-05,2e-05,92.0,2245.0,0.0
2014-04-18,2e-05,2.9e-05,1.9e-05,1.9e-05,5.0,1717.0,0.0
2014-04-19,1.9e-05,3.5e-05,1.5e-05,2.5e-05,5.0,1688.0,0.0
2014-04-20,2.5e-05,2.5e-05,1.5e-05,1.5e-05,7.0,2241.0,0.0
2014-04-21,1.5e-05,2e-05,1e-05,1e-05,14.0,1334.0,0.0
2014-04-22,1e-05,1e-05,5e-06,5e-06,6.0,885.0,0.0
2014-04-23,5e-06,1.5e-05,5e-06,5e-06,17.0,436.0,0.0
2014-04-24,5e-06,5e-06,5e-06,5e-06,2.0,438.0,0.0
2014-04-25,5e-06,5e-06,4e-06,5e-06,3.0,447.0,0.0
2014-04-26,5e-06,9e-06,4e-06,5e-06,8.0,412.0,0.0
2014-04-27,5e-06,9e-06,4e-06,4e-06,8.0,410.0,0.0
2014-04-28,4e-06,4e-06,4e-06,4e-06,5.0,390.0,0.0
2014-04-29,4e-06,1.3e-05,4e-06,4e-06,16.0,393.0,0.0
2014-04-30,4e-06,5e-06,4e-06,4e-06,3.0,399.0,0.0
2014-05-01,4e-06,9e-06,4e-06,5e-06,21.0,400.0,0.0
2014-05-02,5e-06,5e-06,4e-06,4e-06,6.0,409.0,0.0
2014-05-03,4e-06,4e-06,4e-06,4e-06,2.0,401.0,0.0
2014-05-04,4e-06,9e-06,4e-06,4e-06,18.0,391.0,0.0
2014-05-05,4e-06,9e-06,4e-06,9e-06,4.0,390.0,0.0
2014-05-06,9e-06,2.2e-05,8e-06,9e-06,71.0,774.0,0.0
2014-05-07,9e-06,1.3e-05,9e-06,9e-06,19.0,766.0,0.0
2014-05-08,9e-06,9e-06,9e-06,9e-06,9.0,784.0,0.0
2014-05-09,9e-06,9e-06,4e-06,5e-06,1.0,786.0,0.0
2014-05-10,4e-06,9e-06,4e-06,9e-06,3.0,401.0,0.0
2014-05-11,9e-06,9e-06,4e-06,4e-06,17.0,812.0,0.0
2014-05-12,4e-06,4e-06,4e-06,4e-06,2.0,392.0,0.0
2014-05-13,4e-06,9e-06,4e-06,4e-06,8.0,394.0,0.0
2014-05-14,4e-06,1.3e-05,4e-06,4e-06,22.0,394.0,0.0
2014-05-15,4e-06,9e-06,4e-06,4e-06,1.0,397.0,0.0
2014-05-16,4e-06,9e-06,4e-06,4e-06,1.0,399.0,0.0
2014-05-17,4e-06,1.8e-05,4e-06,4e-06,39.0,400.0,0.0
2014-05-18,4e-06,1.3e-05,4e-06,9e-06,1.0,401.0,0.0
2014-05-19,9e-06,9e-06,4e-06,4e-06,4.0,797.0,0.0
2014-05-20,4e-06,5e-06,4e-06,5e-06,9.0,398.0,0.0
2014-05-21,5e-06,1e-05,5e-06,5e-06,13.0,434.0,0.0
2014-05-22,5e-06,1e-05,5e-06,5e-06,11.0,439.0,0.0
2014-05-23,5e-06,5e-06,5e-06,5e-06,7.0,468.0,0.0
2014-05-24,5e-06,5e-06,5e-06,5e-06,4.0,465.0,0.0
2014-05-25,5e-06,6e-06,5e-06,6e-06,9.0,469.0,0.0
2014-05-26,6e-06,6e-06,6e-06,6e-06,25.0,510.0,0.0
2014-05-27,6e-06,6e-06,6e-06,6e-06,6.0,521.0,0.0
2014-05-28,6e-06,6e-06,6e-06,6e-06,10.0,511.0,0.0
2014-05-29,6e-06,1.1e-05,6e-06,6e-06,28.0,515.0,0.0
2014-05-30,6e-06,6e-06,6e-06,6e-06,2.0,507.0,0.0
2014-05-31,6e-06,6e-06,6e-06,6e-06,11.0,550.0,0.0
2014-06-01,6e-06,1.3e-05,6e-06,6e-06,24.0,557.0,0.0
2014-06-02,6e-06,7e-06,6e-06,7e-06,7.0,563.0,0.0
2014-06-03,7e-06,7e-06,7e-06,7e-06,2.0,590.0,0.0
2014-06-04,7e-06,7e-06,6e-06,6e-06,0.0,596.0,0.0
2014-06-06,7e-06,7e-06,7e-06,7e-06,1.0,587.0,0.0
2014-06-07,7e-06,7e-06,6e-06,7e-06,0.0,584.0,0.0
2014-06-08,7e-06,7e-06,7e-06,7e-06,1.0,585.0,0.0
2014-06-09,7e-06,7e-06,6e-06,6e-06,1.0,586.0,0.0
2014-06-10,7e-06,7e-06,7e-06,7e-06,45.0,584.0,0.0
2014-06-11,7e-06,1.3e-05,6e-06,1.3e-05,23.0,583.0,0.0
2014-06-12,1.3e-05,1.3e-05,6e-06,6e-06,4.0,1131.0,0.0
2014-06-13,6e-06,1.2e-05,6e-06,6e-06,61.0,523.0,0.0
2014-06-14,6e-06,6e-06,5e-06,6e-06,0.0,536.0,0.0
2014-06-15,6e-06,6e-06,6e-06,6e-06,7.0,516.0,0.0
2014-06-16,6e-06,6e-06,6e-06,6e-06,8.0,529.0,0.0
2014-06-17,6e-06,1.2e-05,6e-06,1.2e-05,32.0,529.0,0.0
2014-06-18,1.2e-05,1.2e-05,6e-06,6e-06,7.0,1089.0,0.0
2014-06-19,6e-06,1.2e-05,6e-06,1.2e-05,3.0,543.0,0.0
2014-06-21,6e-06,1.2e-05,6e-06,6e-06,3.0,526.0,0.0
2014-06-22,6e-06,1.2e-05,6e-06,6e-06,7.0,531.0,0.0
2014-06-23,6e-06,1.2e-05,6e-06,1.2e-05,0.0,538.0,0.0
2014-06-24,1.2e-05,1.2e-05,6e-06,6e-06,12.0,1061.0,0.0
2014-06-25,6e-06,6e-06,6e-06,6e-06,5.0,520.0,0.0
2014-06-26,6e-06,6e-06,6e-06,6e-06,3.0,506.0,0.0
2014-06-27,6e-06,6e-06,6e-06,6e-06,3.0,519.0,0.0
2014-06-28,6e-06,6e-06,6e-06,6e-06,8.0,535.0,0.0
2014-06-29,6e-06,6e-06,6e-06,6e-06,6.0,534.0,0.0
2014-06-30,6e-06,6e-06,6e-06,6e-06,12.0,538.0,0.0
2014-07-01,6e-06,7e-06,6e-06,6e-06,5.0,571.0,0.0
2014-07-02,6e-06,7e-06,6e-06,7e-06,4.0,572.0,0.0
2014-07-03,7e-06,7e-06,6e-06,6e-06,0.0,581.0,0.0
2014-07-04,6e-06,6e-06,6e-06,6e-06,0.0,576.0,0.0
2014-07-07,6e-06,3.1e-05,6e-06,1.2e-05,347.0,569.0,0.0
2014-07-08,1.2e-05,1.2e-05,1.2e-05,1.2e-05,346.0,1112.0,0.0
2014-09-01,0.000159,0.000159,0.000142,0.000142,9.0,-1.0,0.0
2014-09-02,0.000142,0.00021,0.000142,0.000148,13.0,-1.0,0.0
2014-09-03,0.000148,0.000149,0.000143,0.000143,25.0,-1.0,0.0
2014-09-04,0.000143,0.000148,0.000143,0.000147,10.0,-1.0,0.0
2014-09-05,0.000147,0.000147,0.000144,0.000145,3.0,-1.0,0.0
2014-09-06,0.000145,0.000145,6.3e-05,6.3e-05,0.0,-1.0,0.0
2014-09-07,6.3e-05,0.00017,6.3e-05,6.8e-05,6.0,-1.0,0.0
2014-09-08,6.7e-05,6.9e-05,6.6e-05,6.6e-05,5.0,-1.0,0.0
2014-09-09,6.6e-05,0.000166,6.5e-05,0.000143,19.0,-1.0,0.0
2014-09-10,0.000143,0.000383,7.3e-05,0.000379,48.0,-1.0,0.0
2014-09-11,0.000379,0.000381,7.6e-05,0.000379,55.0,-1.0,0.0
2014-09-12,0.000379,0.000379,7.6e-05,7.6e-05,8.0,-1.0,0.0
2014-09-13,7.6e-05,7.7e-05,7.6e-05,7.7e-05,0.0,-1.0,0.0
2014-09-14,7.7e-05,0.000187,7.6e-05,0.000186,1.0,-1.0,0.0
2014-09-15,0.000186,0.000187,0.000185,0.000185,1.0,-1.0,0.0
2014-09-16,0.000185,0.000186,7e-05,7e-05,0.0,-1.0,0.0
2014-09-17,7e-05,7e-05,6.3e-05,6.4e-05,1.0,-1.0,0.0
2014-09-18,6.4e-05,6.4e-05,5e-05,5.1e-05,52.0,-1.0,0.0
2014-09-19,5.1e-05,5.1e-05,3.5e-05,3.6e-05,1.0,-1.0,0.0
2014-09-20,3.6e-05,3.8e-05,3.5e-05,3.7e-05,0.0,-1.0,0.0
2014-09-21,3.7e-05,3.7e-05,3.5e-05,3.6e-05,0.0,-1.0,0.0
2014-09-22,4e-05,0.000101,4e-05,0.000101,0.0,-1.0,0.0
2014-09-23,0.000101,0.000101,4e-05,4.4e-05,0.0,-1.0,0.0
2014-09-24,4.4e-05,4.4e-05,4.2e-05,4.2e-05,0.0,-1.0,0.0
2014-09-25,4.2e-05,0.000101,4.1e-05,4.1e-05,1.0,-1.0,0.0
2014-09-26,4.1e-05,4.1e-05,4e-05,4e-05,1.0,-1.0,0.0
2014-09-27,4e-05,4.1e-05,2.8e-05,2.8e-05,2.0,-1.0,0.0
2014-09-28,2.8e-05,2.8e-05,2.6e-05,2.6e-05,2.0,-1.0,0.0
2014-09-29,2.6e-05,2.7e-05,2.6e-05,2.6e-05,0.0,-1.0,0.0
2014-09-30,2.6e-05,0.000105,2.6e-05,0.000104,10.0,-1.0,0.0
2014-10-01,0.000105,0.000106,1.9e-05,1.9e-05,8.0,-1.0,0.0
2014-10-02,1.9e-05,1.9e-05,1.9e-05,1.9e-05,0.0,-1.0,0.0
2014-10-03,1.9e-05,2.2e-05,1.8e-05,2.2e-05,0.0,-1.0,0.0
2014-10-04,2.2e-05,2.2e-05,2e-05,2e-05,0.0,-1.0,0.0
2014-10-05,2e-05,6.9e-05,1.7e-05,3.2e-05,112.0,-1.0,0.0
2014-10-06,3.2e-05,3.5e-05,3e-05,3.3e-05,1.0,-1.0,0.0
2014-10-07,3.3e-05,6.1e-05,3.2e-05,6.1e-05,5.0,-1.0,0.0
2014-10-08,6.1e-05,6.3e-05,3.3e-05,3.5e-05,0.0,-1.0,0.0
2014-10-09,3.5e-05,4.5e-05,3.5e-05,4.4e-05,2.0,-1.0,0.0
2014-10-10,4.4e-05,4.4e-05,3.5e-05,3.6e-05,2.0,-1.0,0.0
2014-10-11,3.6e-05,6.9e-05,3.6e-05,3.6e-05,2.0,-1.0,0.0
2014-10-12,3.6e-05,6.8e-05,3.6e-05,6.8e-05,4.0,-1.0,0.0
2014-10-13,6.8e-05,9.5e-05,3.7e-05,3.9e-05,11.0,-1.0,0.0
2014-10-14,3.9e-05,0.000202,3.9e-05,4.8e-05,23.0,-1.0,0.0
2014-10-15,4.8e-05,4.8e-05,4.3e-05,4.7e-05,2.0,-1.0,0.0
2014-10-16,4.7e-05,4.8e-05,4.1e-05,4.2e-05,1.0,-1.0,0.0
2014-10-17,4.2e-05,4.2e-05,4.1e-05,4.2e-05,2.0,-1.0,0.0
2014-10-18,4.2e-05,4.3e-05,3.9e-05,3.9e-05,1.0,-1.0,0.0
2014-10-19,3.9e-05,3.9e-05,3.1e-05,3.1e-05,2.0,-1.0,0.0
2014-10-20,3.1e-05,3.5e-05,3.1e-05,3.4e-05,2.0,-1.0,0.0
2014-10-21,3.4e-05,5.9e-05,3.4e-05,3.9e-05,5.0,-1.0,0.0
2014-10-22,3.9e-05,3.9e-05,3.8e-05,3.8e-05,1.0,-1.0,0.0
2014-10-23,3.8e-05,3.9e-05,3.6e-05,3.6e-05,2.0,-1.0,0.0
2014-10-24,3.6e-05,3.6e-05,3.5e-05,3.6e-05,0.0,-1.0,0.0
2014-10-25,3.6e-05,3.6e-05,3.4e-05,3.5e-05,2.0,-1.0,0.0
2014-10-26,3.5e-05,3.6e-05,3.4e-05,3.5e-05,2.0,-1.0,0.0
2014-10-27,3.5e-05,3.9e-05,3.2e-05,3.2e-05,5.0,-1.0,0.0
