Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-04-18,0.001504,0.007153,0.001504,0.007149,297.0,543.0,0.0
2017-04-19,0.007152,0.017979,0.003635,0.009053,1177.0,2743.0,0.01
2017-04-20,0.009059,0.018523,0.004518,0.018436,507.0,3666.0,0.01
2017-04-21,0.011065,0.018926,0.005791,0.012221,682.0,4655.0,0.01
2017-04-22,0.012227,0.021432,0.009441,0.020816,578.0,5443.0,0.02
2017-04-23,0.020819,0.020819,0.008493,0.008499,232.0,9689.0,0.01
2017-04-24,0.008516,0.00854,0.006815,0.007901,91.0,4147.0,0.01
2017-04-25,0.007903,0.013907,0.006307,0.00882,261.0,4016.0,0.01
2017-04-26,0.008824,0.011402,0.006405,0.006405,136.0,4688.0,0.01
2017-04-27,0.006409,0.006834,0.006406,0.006826,147.0,3524.0,0.01
2017-04-28,0.006826,0.00714,0.006672,0.006793,47.0,3823.0,0.01
2017-04-29,0.0068,0.006814,0.003262,0.003675,113.0,3826.0,0.01
2017-04-30,0.005777,0.006492,0.003609,0.00372,22.0,3298.0,0.01
2017-05-01,0.003721,0.005938,0.003721,0.003995,22.0,2135.0,0.0
2017-05-02,0.003993,0.006121,0.003978,0.004213,60.0,2327.0,0.01
2017-05-03,0.004216,0.010419,0.004198,0.010401,97.0,2471.0,0.01
2017-05-04,0.010405,0.010748,0.004649,0.005028,95.0,6123.0,0.01
2017-05-05,0.005039,0.008017,0.004257,0.004277,115.0,2970.0,0.01
2017-05-06,0.004281,0.00757,0.004281,0.004342,170.0,2541.0,0.01
2017-05-07,0.004344,0.007021,0.004289,0.004391,30.0,2582.0,0.01
2017-05-08,0.004392,0.007338,0.004392,0.004756,22.0,2634.0,0.01
2017-05-09,0.004758,0.007811,0.004342,0.004406,55.0,2875.0,0.01
2017-05-10,0.004409,0.007867,0.004333,0.004835,34.0,2693.0,0.01
2017-05-11,0.004843,0.005305,0.00479,0.005202,43.0,2982.0,0.01
2017-05-12,0.005189,0.007735,0.003534,0.003534,40.0,3238.0,0.01
2017-05-13,0.003527,0.006938,0.003494,0.004647,40.0,2228.0,0.01
2017-05-14,0.004662,0.006949,0.003641,0.003705,44.0,2973.0,0.01
2017-05-15,0.003707,0.006607,0.002192,0.002198,104.0,2388.0,0.0
2017-05-16,0.002195,0.006652,0.00214,0.006609,167.0,1423.0,0.0
2017-05-17,0.006607,0.00695,0.004769,0.004847,68.0,4338.0,0.01
2017-05-18,0.004844,0.006019,0.003757,0.005956,74.0,3197.0,0.0
2017-05-19,0.005959,0.005964,0.003793,0.003972,15.0,3956.0,0.0
2017-05-20,0.003968,0.005884,0.003967,0.004155,7.0,2649.0,0.0
2017-05-21,0.004153,0.004218,0.003028,0.003049,21.0,2779.0,0.0
2017-05-22,0.003059,0.006684,0.00273,0.006269,35.0,2055.0,0.0
2017-05-23,0.006087,0.019055,0.005593,0.012944,296.0,4104.0,0.01
2017-05-24,0.01296,0.013275,0.005853,0.0121,75.0,8771.0,0.01
2017-05-25,0.012078,0.013371,0.005771,0.005926,32.0,8190.0,0.01
2017-05-26,0.005883,0.009925,0.004106,0.004459,4.0,3997.0,0.01
2017-05-27,0.004474,0.004608,0.003499,0.004099,4.0,3043.0,0.0
2017-05-28,0.004124,0.008212,0.004124,0.00794,25.0,2809.0,0.01
2017-05-29,0.007924,0.008003,0.00374,0.004518,12.0,5398.0,0.01
2017-05-30,0.004523,0.004715,0.004415,0.004538,2.0,3094.0,0.0
2017-05-31,0.004555,0.012767,0.002185,0.006231,1172.0,3118.0,0.01
2017-06-01,0.006237,0.011465,0.006237,0.007621,132.0,4281.0,0.01
2017-06-02,0.007625,0.008614,0.006043,0.00619,103.0,5245.0,0.01
2017-06-03,0.006187,0.00804,0.004133,0.007801,37.0,4256.0,0.01
2017-06-04,0.00778,0.007833,0.003759,0.007398,86.0,5351.0,0.01
2017-06-05,0.007399,0.007578,0.002981,0.006744,951.0,5090.0,0.01
2017-06-06,0.006764,0.008401,0.004093,0.007923,124.0,4659.0,0.01
2017-06-07,0.007925,0.007945,0.004479,0.007254,21.0,5481.0,0.01
2017-06-08,0.007291,0.007713,0.004268,0.007713,43.0,5054.0,0.01
2017-06-09,0.0077,0.027294,0.007681,0.027282,725.0,5339.0,0.02
2017-06-10,0.027323,0.028408,0.018132,0.028408,354.0,19039.0,0.02
2017-06-11,0.028392,0.029198,0.010365,0.010424,1412.0,19798.0,0.02
2017-06-12,0.01041,0.018521,0.008581,0.01835,225.0,7282.0,0.01
2017-06-13,0.018289,0.019864,0.008065,0.008237,31.0,12848.0,0.01
2017-06-14,0.008232,0.016688,0.006898,0.006942,20.0,5791.0,0.01
2017-06-15,0.006942,0.010422,0.005716,0.010351,23.0,4899.0,0.01
2017-06-16,0.010343,0.014264,0.010072,0.014264,31.0,7334.0,0.01
2017-06-17,0.014264,0.014264,0.006874,0.012205,41.0,10118.0,0.01
2017-06-18,0.012205,0.012205,0.007276,0.00735,30.0,8705.0,0.01
2017-06-19,0.00735,0.016078,0.007045,0.013709,191.0,5286.0,0.01
2017-06-20,0.013709,0.016062,0.008044,0.016062,55.0,9924.0,0.01
2017-06-21,0.016062,0.016062,0.008044,0.008094,34.0,11627.0,0.01
2017-06-22,0.008094,0.015391,0.007122,0.007122,6.0,5871.0,0.01
2017-06-23,0.007122,0.014097,0.006507,0.008498,34.0,5167.0,0.01
2017-06-24,0.008497,0.07714,0.008497,0.07714,5366.0,6174.0,0.04
2017-06-25,0.079528,0.08929,0.010304,0.018871,88961.0,57781.0,0.05
2017-06-26,0.018858,0.018858,0.012981,0.013202,424.0,13818.0,0.02
2017-06-27,0.013497,0.013497,0.009658,0.013492,271.0,9923.0,0.01
2017-06-28,0.013579,0.014209,0.013181,0.014191,290.0,10089.0,0.01
2017-06-29,0.014178,0.014655,0.013221,0.013221,36.0,10552.0,0.01
2017-06-30,0.013247,0.017814,0.012267,0.016329,244.0,9860.0,0.02
2017-07-01,0.016323,0.018561,0.012274,0.012293,300.0,12149.0,0.02
2017-07-02,0.012292,0.019162,0.010047,0.019082,72.0,9148.0,0.01
2017-07-03,0.019012,0.024068,0.016278,0.023326,535.0,14150.0,0.02
2017-07-04,0.023273,0.026579,0.019415,0.019757,74.0,17321.0,0.02
2017-07-05,0.019747,0.022208,0.013346,0.017015,133.0,14697.0,0.02
2017-07-06,0.017024,0.025629,0.016885,0.025576,11.0,12670.0,0.02
2017-07-07,0.025595,0.025642,0.017361,0.017536,590.0,19050.0,0.02
2017-07-08,0.017551,0.020247,0.017424,0.017954,273.0,13063.0,0.02
2017-07-09,0.01797,0.02027,0.017869,0.019753,38.0,13375.0,0.02
2017-07-10,0.019791,0.019844,0.015989,0.016441,38.0,14730.0,0.02
2017-07-11,0.016406,0.016747,0.015782,0.016272,6.0,12210.0,0.02
2017-07-12,0.016247,0.016856,0.015751,0.016691,78.0,12092.0,0.02
2017-07-13,0.016704,0.016944,0.016249,0.016399,209.0,12432.0,0.02
2017-07-14,0.016387,0.019359,0.016172,0.019308,190.0,12196.0,0.02
2017-07-15,0.019275,0.01931,0.014148,0.015929,41.0,14346.0,0.02
2017-07-16,0.015881,0.019008,0.011959,0.0154,75.0,11820.0,0.02
2017-07-17,0.015383,0.017766,0.007866,0.017737,99.0,11449.0,0.01
2017-07-18,0.017783,0.019053,0.01722,0.018392,2.0,13235.0,0.02
2017-07-19,0.018422,0.019108,0.010298,0.01036,5.0,13711.0,0.01
2017-07-20,0.010329,0.013368,0.010329,0.012959,65.0,7687.0,0.01
2017-07-21,0.013055,0.013478,0.012264,0.013339,0.0,9717.0,0.01
2017-07-22,0.013336,0.070353,0.013272,0.051121,62975.0,9926.0,0.04
2017-07-23,0.051121,0.053969,0.029523,0.039748,1382.0,38048.0,0.04
2017-07-24,0.039701,0.039701,0.029037,0.02935,184.0,29548.0,0.03
2017-07-25,0.029346,0.039334,0.026635,0.027024,13.0,21842.0,0.03
2017-07-26,0.027036,0.027518,0.025443,0.026561,23.0,20122.0,0.03
2017-07-27,0.026637,0.028285,0.025312,0.028015,291.0,19825.0,0.03
2017-07-28,0.028101,0.029765,0.028092,0.029483,1.0,20914.0,0.03
2017-07-29,0.029371,0.029452,0.02678,0.027181,89.0,21860.0,0.03
2017-07-30,0.027177,0.038111,0.019846,0.037863,61.0,20227.0,0.03
2017-07-31,0.037902,0.038497,0.018973,0.020084,1.0,28209.0,0.03
2017-08-01,0.020093,0.020421,0.018658,0.019163,26.0,14955.0,0.02
2017-08-02,0.01916,0.019332,0.018653,0.018945,26.0,14260.0,0.02
2017-08-03,0.018979,0.01928,0.018967,0.019216,26.0,14126.0,0.02
2017-08-04,0.02008,0.02008,0.019799,0.019991,79.0,14945.0,0.02
2017-08-05,0.019982,0.022967,0.01534,0.015659,4.0,14872.0,0.02
2017-08-06,0.015663,0.031484,0.015382,0.021849,21.0,11658.0,0.02
2017-08-07,0.0218,0.023041,0.020068,0.02033,3.0,16225.0,0.02
2017-08-08,0.02035,0.020736,0.018736,0.020526,74.0,15146.0,0.02
2017-08-09,0.020512,0.020561,0.018055,0.018585,0.0,15267.0,0.02
2017-08-10,0.018587,0.024888,0.015776,0.015776,389.0,13834.0,0.02
2017-08-11,0.015775,0.027325,0.015705,0.02696,3.0,11741.0,0.02
2017-08-12,0.02694,0.027121,0.016967,0.01799,121.0,20050.0,0.02
2017-08-13,0.022793,0.038005,0.019995,0.021617,63.0,16964.0,0.03
2017-08-14,0.019968,0.025893,0.018795,0.025893,12.0,14862.0,0.02
2017-08-15,0.025962,0.02706,0.018231,0.025517,3.0,19323.0,0.02
2017-08-16,0.025545,0.026738,0.024292,0.026616,1.0,19013.0,0.03
2017-08-17,0.026387,0.026389,0.019356,0.019361,62.0,19639.0,0.02
