Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-02-15,5.82,7.82,4.54,7.62,42170.0,15418500.0,6.18
2014-02-16,7.62,18.48,6.23,9.26,191391.0,20184100.0,12.36
2014-02-17,9.22,10.72,5.64,5.82,87979.0,24422100.0,8.18
2014-02-18,5.83,7.88,5.21,7.39,86795.0,15449300.0,6.54
2014-02-19,7.39,8.45,1.25,6.17,149579.0,19563200.0,4.85
2014-02-20,6.17,6.21,5.8,5.8,44.0,16339000.0,6.0
2014-02-23,12.05,12.05,5.4,5.54,53991.0,31927400.0,8.73
2014-02-24,5.55,6.38,4.59,4.61,39656.0,14688000.0,5.48
2014-02-25,4.6,4.97,3.28,4.22,39805.0,12184200.0,4.12
2014-02-26,4.2,5.21,4.08,4.66,11861.0,11130900.0,4.64
2014-02-27,4.65,5.02,4.23,4.54,10657.0,12325100.0,4.62
2014-02-28,4.64,5.83,4.05,4.83,33144.0,12294200.0,4.94
2014-03-01,4.84,5.64,4.26,4.75,30099.0,12816600.0,4.95
2014-03-02,4.76,5.13,4.22,4.71,29405.0,12620500.0,4.67
2014-03-03,4.73,5.91,4.36,5.34,15527.0,12531500.0,5.13
2014-03-04,5.35,5.79,5.1,5.19,6040.0,14159900.0,5.45
2014-03-05,5.18,5.54,4.61,5.25,13037.0,13729300.0,5.08
2014-03-06,5.32,5.35,4.87,4.98,5643.0,14102000.0,5.11
2014-03-07,4.98,5.13,3.53,4.57,24127.0,13198600.0,4.33
2014-03-08,4.58,5.21,3.51,3.77,26165.0,12124900.0,4.36
2014-03-09,3.76,8.92,3.74,5.3,71733.0,9957840.0,6.33
2014-03-10,5.27,6.36,4.57,4.97,48899.0,13959400.0,5.46
2014-03-11,4.97,5.28,3.34,5.0,14165.0,13156500.0,4.31
2014-03-12,4.98,4.99,4.27,4.55,10882.0,13189000.0,4.63
2014-03-13,4.56,4.82,4.34,4.55,18416.0,12079500.0,4.58
2014-03-14,4.55,4.57,4.14,4.36,16923.0,12061800.0,4.36
2014-03-15,4.36,5.95,4.25,4.96,103758.0,11545900.0,5.1
2014-03-16,4.96,5.6,4.68,5.41,60595.0,13140800.0,5.14
2014-03-17,5.41,5.42,4.16,4.75,20903.0,14337000.0,4.79
2014-03-18,4.74,4.75,3.53,3.54,45312.0,12564300.0,4.14
2014-03-19,3.53,3.93,3.27,3.43,46592.0,9354710.0,3.6
2014-03-20,3.43,3.89,3.08,3.81,34734.0,9092410.0,3.49
2014-03-21,3.81,3.88,3.07,3.79,30234.0,10091600.0,3.47
2014-03-22,3.78,3.78,2.7,3.09,66092.0,10023600.0,3.24
2014-03-23,3.1,3.63,2.88,3.5,20533.0,8200650.0,3.25
2014-03-24,3.51,3.51,3.02,3.34,19078.0,9285790.0,3.26
2014-03-25,3.35,3.39,2.86,2.87,24888.0,8862690.0,3.12
2014-03-26,2.87,3.21,2.51,2.51,82210.0,7598270.0,2.86
2014-03-27,2.51,2.89,2.07,2.09,62411.0,6641470.0,2.48
2014-03-28,1.87,2.21,1.73,1.98,48445.0,4942170.0,1.97
2014-03-29,2.01,2.37,1.94,2.32,9109.0,5310250.0,2.16
2014-03-30,2.32,2.41,1.98,2.23,7821.0,6151720.0,2.2
2014-03-31,2.23,2.51,1.85,1.86,8230.0,5911070.0,2.18
2014-04-01,1.86,2.26,1.86,2.17,6893.0,4926040.0,2.06
2014-04-02,2.18,2.23,1.7,1.76,6452.0,5761600.0,1.96
2014-04-03,1.76,2.09,1.69,2.05,9736.0,4653470.0,1.89
2014-04-04,2.05,2.33,1.85,2.29,7072.0,5441830.0,2.09
2014-04-05,2.28,2.6,2.08,2.54,13009.0,6043520.0,2.34
2014-04-06,2.55,2.86,2.39,2.74,11860.0,6749680.0,2.62
2014-04-07,2.75,3.03,2.21,2.5,20851.0,7281280.0,2.62
2014-04-08,2.49,2.71,2.07,2.3,17480.0,6592080.0,2.39
2014-04-09,2.3,2.31,2.05,2.24,3238.0,6093400.0,2.18
2014-04-10,2.24,2.25,1.75,1.8,4739.0,5947540.0,2.0
2014-04-11,1.8,2.13,1.66,2.1,14487.0,4763040.0,1.9
2014-04-12,2.1,2.17,1.67,1.69,11037.0,5565440.0,1.92
2014-04-13,1.69,1.86,1.49,1.66,18186.0,4485480.0,1.68
2014-04-14,1.78,1.95,1.39,1.7,33597.0,4718520.0,1.67
2014-04-15,1.7,1.96,1.62,1.78,19654.0,4494900.0,1.79
2014-04-16,1.79,2.06,1.73,1.77,34991.0,4747660.0,1.9
2014-04-17,1.77,2.04,1.77,1.87,11974.0,4694880.0,1.91
2014-04-18,1.87,2.04,1.77,1.8,25060.0,4945030.0,1.91
2014-04-19,1.8,1.97,1.72,1.96,12414.0,4780180.0,1.84
2014-04-20,1.96,2.01,1.67,1.68,10182.0,5198380.0,1.84
2014-04-21,1.68,1.81,1.63,1.64,7316.0,4459520.0,1.72
2014-04-22,1.64,1.72,1.5,1.5,16025.0,4345200.0,1.61
2014-04-23,1.5,1.65,1.39,1.56,12870.0,3982910.0,1.52
2014-04-24,1.56,1.67,1.47,1.52,7525.0,4125490.0,1.57
2014-04-25,1.52,1.8,1.43,1.49,15524.0,4021300.0,1.61
2014-04-26,1.49,1.95,1.45,1.95,15743.0,3950860.0,1.7
2014-04-27,1.95,1.95,1.55,1.55,16898.0,5164290.0,1.75
2014-04-28,1.53,1.72,1.49,1.54,9644.0,4059520.0,1.6
2014-04-29,1.54,1.7,1.35,1.57,12566.0,4084610.0,1.52
2014-04-30,1.57,1.57,1.37,1.46,6070.0,4162290.0,1.47
2014-05-01,1.46,1.59,1.41,1.56,1070.0,3867450.0,1.5
2014-05-02,1.56,1.56,1.3,1.3,1388.0,4135420.0,1.43
2014-05-03,1.3,1.36,0.938326,1.17,21428.0,3456010.0,1.15
2014-05-04,1.17,1.23,1.0,1.12,5506.0,3110720.0,1.11
2014-05-05,1.11,1.37,1.04,1.36,1651.0,2949140.0,1.21
2014-05-06,1.36,1.37,1.12,1.23,3308.0,3616210.0,1.25
2014-05-07,1.23,1.29,1.17,1.17,3570.0,3264560.0,1.23
2014-05-08,1.17,1.38,1.14,1.38,7189.0,3102060.0,1.26
2014-05-09,1.38,1.76,1.21,1.69,29401.0,3645190.0,1.48
2014-05-10,1.59,1.83,1.56,1.81,20982.0,4222260.0,1.7
2014-05-11,1.81,2.13,1.7,1.88,16245.0,4801110.0,1.92
2014-05-12,1.88,1.94,1.69,1.76,6685.0,4986320.0,1.81
2014-05-13,1.76,2.09,1.75,1.94,3726.0,4662690.0,1.92
2014-05-14,1.94,1.99,1.76,1.8,17532.0,5141360.0,1.88
2014-05-15,1.8,1.84,1.55,1.57,5148.0,4769900.0,1.7
2014-05-16,1.57,2.06,1.56,1.67,18661.0,4150330.0,1.81
2014-05-17,1.67,2.03,1.62,1.78,16047.0,4424640.0,1.82
2014-05-18,1.78,2.13,1.72,1.75,3773.0,4713780.0,1.92
2014-05-19,1.75,1.76,1.63,1.69,2375.0,4635330.0,1.69
2014-05-20,1.69,1.96,1.66,1.95,4354.0,4479710.0,1.81
2014-05-21,1.95,1.97,1.84,1.89,5119.0,5177680.0,1.91
2014-05-22,1.89,2.55,1.88,2.38,22575.0,4999170.0,2.21
2014-05-23,2.38,3.8,2.38,3.11,92784.0,6317580.0,3.09
2014-05-24,3.11,3.11,2.73,2.76,13753.0,8239250.0,2.92
2014-05-25,2.76,3.39,2.76,3.18,17013.0,7314310.0,3.08
2014-05-26,3.18,3.45,2.88,2.9,9395.0,8429990.0,3.17
2014-05-27,2.9,3.06,2.37,2.55,11616.0,7678600.0,2.71
2014-05-28,2.55,2.64,2.35,2.43,10173.0,6751360.0,2.5
