Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-06,0.01468,0.037124,0.014654,0.035198,58108.0,3730650.0,0.03
2017-10-07,0.035209,0.042766,0.017498,0.037426,84727.0,357119.0,0.03
2017-10-08,0.034882,0.036936,0.012667,0.0156,140383.0,355699.0,0.02
2017-10-09,0.015603,0.019137,0.012605,0.017662,10189.0,159921.0,0.02
2017-10-10,0.017661,0.026496,0.013528,0.017196,37921.0,182060.0,0.02
2017-10-11,0.017194,0.035495,0.016682,0.034671,73354.0,178208.0,0.03
2017-10-12,0.034701,0.034788,0.017944,0.019038,95615.0,361502.0,0.03
2017-10-13,0.019097,0.025521,0.018975,0.024143,17263.0,200026.0,0.02
2017-10-14,0.02415,0.024956,0.017225,0.017581,32209.0,254375.0,0.02
2017-10-15,0.017612,0.020241,0.01413,0.018496,15791.0,186526.0,0.02
2017-10-16,0.016905,0.020486,0.013966,0.017103,18267.0,180022.0,0.02
2017-10-17,0.017106,0.022341,0.015618,0.018537,18608.0,183128.0,0.02
2017-10-18,0.018538,0.021782,0.014993,0.018931,22594.0,199398.0,0.02
2017-10-19,0.018941,0.021222,0.015323,0.017052,11959.0,204739.0,0.02
2017-10-20,0.017057,0.020422,0.014755,0.017151,16222.0,185326.0,0.02
2017-10-21,0.017115,0.022523,0.016902,0.018276,14684.0,186961.0,0.02
2017-10-22,0.018282,0.021825,0.01747,0.019165,3633.0,200769.0,0.02
2017-10-23,0.019134,0.027101,0.014598,0.019987,20584.0,211205.0,0.02
2017-10-24,0.019943,0.022103,0.015317,0.022009,8419.0,221263.0,0.02
2017-10-25,0.022018,0.025739,0.016997,0.025693,8602.0,245547.0,0.02
2017-10-26,0.02569,0.026802,0.017403,0.017656,13290.0,287959.0,0.02
2017-10-27,0.01766,0.021347,0.016813,0.017128,2340.0,198944.0,0.02
2017-10-28,0.018385,0.022849,0.015602,0.015716,18827.0,208131.0,0.02
2017-10-29,0.015695,0.019198,0.003994,0.01412,10292.0,178538.0,0.01
2017-10-30,0.014038,0.018385,0.012433,0.018385,4090.0,160466.0,0.02
2017-10-31,0.018322,0.018513,0.012981,0.013284,1412.0,210467.0,0.02
2017-11-01,0.013081,0.014441,0.007252,0.009746,5736.0,151047.0,0.01
2017-11-02,0.009756,0.012715,0.007194,0.010549,1208.0,113211.0,0.01
2017-11-03,0.010535,0.012693,0.007391,0.010491,42071.0,122864.0,0.01
2017-11-04,0.010464,0.021497,0.009879,0.019068,120202.0,122614.0,0.02
2017-11-05,0.019032,0.019072,0.008675,0.011139,15761.0,224146.0,0.01
2017-11-06,0.011164,0.012622,0.006887,0.009061,24180.0,132115.0,0.01
2017-11-07,0.009047,0.009793,0.006853,0.008209,8396.0,107059.0,0.01
2017-11-08,0.008184,0.008211,0.004097,0.007475,9615.0,96845.0,0.01
2017-11-09,0.007467,0.008265,0.004777,0.006681,7148.0,88370.0,0.01
2017-11-10,0.006701,0.006897,0.00321,0.0064,15703.0,79302.0,0.01
2017-11-11,0.006378,0.007252,0.004869,0.005666,1493.0,75473.0,0.01
2017-11-12,0.005661,0.005661,0.003709,0.003928,7430.0,66998.0,0.0
2017-11-13,0.003933,0.004523,0.00377,0.004497,3426.0,46549.0,0.0
2017-11-14,0.004506,0.004709,0.003966,0.004229,1590.0,53328.0,0.0
2017-11-15,0.004231,0.004928,0.003761,0.004868,4504.0,50075.0,0.0
2017-11-16,0.004893,0.004893,0.004089,0.004715,398.0,57905.0,0.0
2017-11-17,0.005099,0.00527,0.003858,0.003858,854.0,60343.0,0.0
2017-11-18,0.003843,0.005373,0.002262,0.002262,103105.0,45483.0,0.0
2017-11-19,0.004205,0.004926,0.003562,0.004024,2149.0,49762.0,0.0
2017-11-20,0.004022,0.004761,0.003925,0.003955,1688.0,47593.0,0.0
2017-11-21,0.003956,0.004433,0.003244,0.00429,988.0,46814.0,0.0
2017-11-22,0.0043,0.004801,0.002448,0.002468,852.0,50892.0,0.0
2017-11-23,0.002468,0.003716,0.002431,0.003058,1291.0,29201.0,0.0
2017-11-24,0.003054,0.003479,0.00243,0.002715,556.0,36142.0,0.0
2017-11-25,0.002709,0.003412,0.001646,0.003412,1944.0,32062.0,0.0
2017-11-26,0.003411,0.003433,0.001403,0.002888,1378.0,40367.0,0.0
2017-11-27,0.002888,0.003496,0.002888,0.003114,1519.0,34183.0,0.0
2017-11-28,0.003122,0.004485,0.003092,0.003279,1599.0,36943.0,0.0
2017-11-29,0.003276,0.004711,0.00235,0.002614,2845.0,38771.0,0.0
2017-11-30,0.002654,0.003438,0.002134,0.003013,2084.0,31405.0,0.0
2017-12-01,0.002998,0.003894,0.002081,0.003268,1827.0,35478.0,0.0
2017-12-02,0.003265,0.003977,0.002688,0.003932,413.0,38642.0,0.0
2017-12-03,0.003935,0.004034,0.003071,0.003249,368.0,46572.0,0.0
2017-12-04,0.00326,0.00331,0.002831,0.003025,82.0,38581.0,0.0
2017-12-05,0.003031,0.003933,0.002997,0.003753,122.0,35865.0,0.0
2017-12-06,0.003744,0.003804,0.003196,0.003577,862.0,44310.0,0.0
2017-12-07,0.003571,0.005223,0.003526,0.004502,1247.0,42263.0,0.0
2017-12-08,0.004512,0.005458,0.003943,0.004233,1075.0,53400.0,0.0
2017-12-09,0.004229,0.004873,0.002921,0.003594,2008.0,50042.0,0.0
2017-12-10,0.003609,0.00399,0.002819,0.003225,154.0,42709.0,0.0
2017-12-11,0.003202,0.003384,0.001846,0.001846,953.0,37891.0,0.0
2017-12-12,0.001852,0.005094,0.001845,0.004315,39907.0,21917.0,0.0
2017-12-13,0.004319,0.004515,0.002709,0.003943,1180.0,51111.0,0.0
2017-12-14,0.00393,0.004328,0.003109,0.004141,999.0,46509.0,0.0
2017-12-15,0.004147,0.005061,0.002584,0.004229,905.0,49075.0,0.0
2017-12-16,0.004235,0.006456,0.001762,0.004284,3644.0,50120.0,0.0
2017-12-17,0.004285,0.004285,0.002151,0.002861,1206.0,50708.0,0.0
2017-12-18,0.00287,0.00328,0.00171,0.002485,58077.0,33961.0,0.0
2017-12-19,0.002487,0.00541,0.000951,0.00388,24151.0,29436.0,0.0
2017-12-20,0.003876,0.004819,0.002085,0.003124,5364.0,45870.0,0.0
2017-12-21,0.003132,0.004088,0.001515,0.003602,6204.0,37062.0,0.0
2017-12-22,0.003614,0.003706,0.001831,0.003415,1323.0,42768.0,0.0
2017-12-23,0.003447,0.00355,0.001697,0.002745,2674.0,40797.0,0.0
2017-12-24,0.002775,0.002775,0.001508,0.001673,3195.0,32842.0,0.0
2017-12-25,0.00169,0.002719,0.001592,0.00237,3291.0,20005.0,0.0
2017-12-26,0.002368,0.002756,0.001802,0.002057,6088.0,28024.0,0.0
2017-12-27,0.002059,0.003411,0.001781,0.002643,8011.0,24364.0,0.0
2017-12-28,0.002638,0.002646,0.001682,0.002434,4942.0,31215.0,0.0
2017-12-29,0.002459,0.003195,0.001855,0.002906,5063.0,29106.0,0.0
2017-12-30,0.002899,0.002904,0.002012,0.002571,5047.0,34309.0,0.0
2017-12-31,0.002543,0.00431,0.002124,0.0039,11778.0,30093.0,0.0
2018-01-01,0.003915,0.004121,0.002711,0.003781,5932.0,46328.0,0.0
2018-01-02,0.00378,0.005086,0.002998,0.005062,7589.0,44738.0,0.0
2018-01-03,0.005044,0.023824,0.005041,0.018153,151737.0,59693.0,0.01
2018-01-04,0.020839,0.050308,0.01723,0.036428,463432.0,246608.0,0.03
2018-01-05,0.036435,0.054513,0.033434,0.048875,475871.0,431172.0,0.04
2018-01-06,0.048744,0.052487,0.019706,0.027889,443742.0,576841.0,0.04
2018-01-07,0.027868,0.037247,0.025114,0.037019,151225.0,329794.0,0.03
2018-01-08,0.036967,0.036967,0.01872,0.023407,214914.0,437469.0,0.03
2018-01-09,0.022439,0.041992,0.00326,0.014294,291029.0,265547.0,0.02
2018-01-10,0.014312,0.014312,0.00804,0.010649,126935.0,169374.0,0.01
2018-01-11,0.010637,0.012014,0.006886,0.008312,98928.0,125878.0,0.01
2018-01-12,0.008367,0.012867,0.006745,0.012815,94400.0,99016.0,0.01
2018-01-13,0.012801,0.015818,0.010049,0.015069,168063.0,151484.0,0.01
2018-01-14,0.015079,0.034765,0.015048,0.025096,570639.0,178446.0,0.02
2018-01-15,0.024914,0.024914,0.011108,0.012283,123854.0,294837.0,0.02
