Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-04-11,0.01144,0.0115,0.008313,0.009413,20561.0,63887.0,0.01
2015-04-12,0.009412,0.011272,0.003546,0.00781,28301.0,54219.0,0.01
2015-04-13,0.007803,0.009322,0.00612,0.006721,11978.0,47764.0,0.01
2015-04-14,0.006208,0.006728,0.005457,0.006113,11442.0,39291.0,0.01
2015-04-15,0.006111,0.008579,0.005875,0.007119,11084.0,38678.0,0.01
2015-04-16,0.007122,0.008131,0.006853,0.006983,4619.0,45081.0,0.01
2015-04-17,0.006978,0.007669,0.005462,0.006237,6353.0,44175.0,0.01
2015-04-18,0.006234,0.006596,0.005642,0.006062,2041.0,39462.0,0.01
2015-04-19,0.006064,0.006863,0.004495,0.004606,3913.0,38393.0,0.01
2015-04-20,0.004607,0.005794,0.003668,0.003844,2885.0,29164.0,0.0
2015-04-21,0.003844,0.004989,0.003534,0.003699,2100.0,24337.0,0.0
2015-04-22,0.003704,0.004206,0.002355,0.002358,2004.0,23451.0,0.0
2015-04-23,0.002357,0.003469,0.001896,0.002606,1333.0,14922.0,0.0
2015-04-24,0.002601,0.00276,0.001803,0.002062,602.0,16469.0,0.0
2015-04-25,0.002062,0.002765,0.002062,0.002761,1475.0,13054.0,0.0
2015-04-26,0.002761,0.003288,0.002644,0.003288,899.0,17485.0,0.0
2015-04-27,0.003288,0.00343,0.002659,0.002897,810.0,20824.0,0.0
2015-04-28,0.002893,0.002994,0.002145,0.002287,1075.0,18320.0,0.0
2015-04-29,0.002284,0.002299,0.001804,0.001825,217.0,14467.0,0.0
2015-04-30,0.001824,0.002619,0.001736,0.002372,1009.0,11555.0,0.0
2015-05-01,0.00237,0.002546,0.001771,0.00253,398.0,15011.0,0.0
2015-05-02,0.002533,0.003515,0.001906,0.002352,1038.0,16045.0,0.0
2015-05-03,0.00234,0.003149,0.002333,0.002538,357.0,14825.0,0.0
2015-05-04,0.002538,0.003142,0.002068,0.002311,577.0,16084.0,0.0
2015-05-05,0.002133,0.003029,0.002057,0.002125,401.0,13516.0,0.0
2015-05-06,0.002126,0.002786,0.001803,0.002006,1641.0,13473.0,0.0
2015-05-07,0.002005,0.002591,0.001952,0.00258,599.0,12705.0,0.0
2015-05-08,0.002579,0.002681,0.002169,0.002387,266.0,16341.0,0.0
2015-05-09,0.002386,0.002517,0.002243,0.002339,233.0,15121.0,0.0
2015-05-10,0.002338,0.002549,0.00216,0.002163,120.0,14813.0,0.0
2015-05-11,0.002163,0.002427,0.001761,0.002226,154.0,13704.0,0.0
2015-05-12,0.002226,0.002361,0.001795,0.001797,450.0,14104.0,0.0
2015-05-13,0.001799,0.001909,0.001645,0.001655,236.0,11397.0,0.0
2015-05-14,0.001654,0.001722,0.001251,0.001371,185.0,10477.0,0.0
2015-05-15,0.001371,0.001772,0.001308,0.001317,41.0,8685.0,0.0
2015-05-16,0.001317,0.002125,0.001305,0.002019,586.0,8346.0,0.0
2015-05-17,0.001739,0.001975,0.001683,0.001684,31.0,11017.0,0.0
2015-05-18,0.001684,0.001691,0.001311,0.001508,103.0,10671.0,0.0
2015-05-19,0.001508,0.001548,0.001201,0.00128,183.0,9554.0,0.0
2015-05-20,0.00128,0.001371,0.001197,0.001219,258.0,8109.0,0.0
2015-05-21,0.001219,0.001528,0.001169,0.001296,220.0,7725.0,0.0
2015-05-22,0.001295,0.001367,0.000781,0.00123,308.0,8208.0,0.0
2015-05-23,0.00123,0.001231,0.001041,0.001166,15.0,7793.0,0.0
2015-05-24,0.001167,0.001171,0.000619,0.001046,121.0,7392.0,0.0
2015-05-25,0.001046,0.001608,0.000776,0.001425,134.0,6628.0,0.0
2015-05-26,0.001426,0.002048,0.001014,0.00197,108.0,9033.0,0.0
2015-05-27,0.001969,0.001973,0.001213,0.001217,39.0,12479.0,0.0
2015-05-28,0.001217,0.001308,0.001108,0.001109,19.0,7713.0,0.0
2015-05-29,0.001109,0.001366,0.001109,0.001362,15.0,7025.0,0.0
2015-05-30,0.001361,0.001382,0.001294,0.00131,39.0,8627.0,0.0
2015-05-31,0.001308,0.001414,0.000835,0.000836,88.0,8290.0,0.0
2015-06-01,0.000836,0.001332,0.000682,0.000868,264.0,5295.0,0.0
2015-06-02,0.000868,0.001005,0.000467,0.000496,344.0,5502.0,0.0
2015-06-03,0.000496,0.000652,0.000474,0.000611,95.0,3143.0,0.0
2015-06-04,0.000611,0.00093,0.000608,0.00075,119.0,3869.0,0.0
2015-06-05,0.000749,0.000752,0.00059,0.000747,68.0,4748.0,0.0
2015-06-06,0.000748,0.000777,0.000726,0.000755,33.0,4737.0,0.0
2015-06-07,0.000756,0.000838,0.000739,0.000822,58.0,4792.0,0.0
2015-06-08,0.000822,0.000863,0.000821,0.000857,44.0,5205.0,0.0
2015-06-09,0.000857,0.001095,0.000847,0.001077,36.0,5433.0,0.0
2015-06-10,0.001077,0.00109,0.000958,0.001086,36.0,6821.0,0.0
2015-06-11,0.001086,0.0011,0.000874,0.000881,52.0,6884.0,0.0
2015-06-12,0.000881,0.000987,0.000864,0.000886,57.0,5582.0,0.0
2015-06-13,0.000886,0.00103,0.000865,0.001003,96.0,5613.0,0.0
2015-06-14,0.001003,0.001038,0.000936,0.00102,207.0,6358.0,0.0
2015-06-15,0.00102,0.001044,0.000824,0.000824,106.0,6461.0,0.0
2015-06-16,0.000823,0.001021,0.000741,0.000892,275.0,5218.0,0.0
2015-06-17,0.000892,0.00103,0.000811,0.00103,148.0,5673.0,0.0
2015-06-18,0.00103,0.002201,0.000821,0.002197,1784.0,6554.0,0.0
2015-06-19,0.002197,0.002319,0.00112,0.001172,175.0,13978.0,0.0
2015-06-20,0.001171,0.00124,0.001009,0.00113,93.0,7453.0,0.0
2015-06-21,0.00113,0.001139,0.00101,0.00101,166.0,7190.0,0.0
2015-06-22,0.00101,0.00111,0.000994,0.001036,103.0,6426.0,0.0
2015-06-23,0.001036,0.001054,0.000989,0.001003,128.0,6595.0,0.0
2015-06-24,0.001003,0.001084,0.000995,0.001035,118.0,6382.0,0.0
2015-06-25,0.001034,0.001058,0.000969,0.001057,63.0,6582.0,0.0
2015-06-26,0.001056,0.001068,0.001048,0.001067,60.0,6725.0,0.0
2015-06-27,0.001067,0.001106,0.001065,0.001106,16.0,6789.0,0.0
2015-06-28,0.001106,0.001384,0.001104,0.001336,115.0,7039.0,0.0
2015-06-29,0.001335,0.00143,0.001202,0.001429,77.0,8497.0,0.0
2015-06-30,0.001429,0.001445,0.001009,0.001124,601.0,9094.0,0.0
2015-07-01,0.001125,0.001355,0.001111,0.001282,99.0,7162.0,0.0
2015-07-02,0.001282,0.001325,0.001253,0.001273,102.0,8159.0,0.0
2015-07-03,0.001273,0.001535,0.00107,0.001324,266.0,8105.0,0.0
2015-07-04,0.001325,0.001916,0.001116,0.001385,312.0,8432.0,0.0
2015-07-05,0.001385,0.001519,0.001264,0.001418,223.0,8813.0,0.0
2015-07-06,0.001413,0.001824,0.001402,0.001707,132.0,8997.0,0.0
2015-07-07,0.001723,0.001733,0.001079,0.001492,214.0,10967.0,0.0
2015-07-08,0.001491,0.001814,0.001483,0.00178,115.0,9491.0,0.0
2015-07-09,0.00178,0.00178,0.001027,0.001711,110.0,11330.0,0.0
2015-07-10,0.00171,0.001796,0.001505,0.001515,427.0,10888.0,0.0
2015-07-11,0.001515,0.001588,0.001213,0.001572,188.0,9641.0,0.0
2015-07-12,0.001572,0.001796,0.001206,0.001217,276.0,10005.0,0.0
2015-07-13,0.001217,0.001716,0.00119,0.001227,86.0,7748.0,0.0
2015-07-14,0.001226,0.001869,0.001186,0.001531,180.0,7807.0,0.0
2015-07-15,0.001533,0.001784,0.001234,0.00178,97.0,9758.0,0.0
2015-07-16,0.001782,0.001844,0.000988,0.000997,127.0,11341.0,0.0
2015-07-17,0.000997,0.001536,0.000991,0.00152,100.0,6346.0,0.0
2015-07-18,0.00152,0.001544,0.001013,0.001489,75.0,9672.0,0.0
2015-07-19,0.001488,0.001489,0.000944,0.001427,86.0,9474.0,0.0
2015-07-20,0.001426,0.001506,0.001404,0.001415,96.0,9076.0,0.0
2015-07-21,0.001415,0.001549,0.001414,0.001459,75.0,9006.0,0.0
2015-07-22,0.001459,0.001461,0.000985,0.001176,143.0,9284.0,0.0
2015-07-23,0.001176,0.001236,0.001094,0.001228,172.0,7487.0,0.0
2015-07-24,0.001228,0.001228,0.00083,0.001174,159.0,7814.0,0.0
2015-07-25,0.001173,0.001281,0.000653,0.000957,268.0,7469.0,0.0
2015-07-26,0.000957,0.001059,0.000757,0.001047,115.0,6090.0,0.0
2015-07-27,0.001047,0.001156,0.001045,0.00114,106.0,6664.0,0.0
