Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-12-10,0.110157,0.110176,0.109986,0.11,121.0,-1.0,0.11
2016-12-11,0.110015,0.110021,0.10923,0.109386,121.0,-1.0,0.11
2016-12-12,0.110956,0.172088,0.110642,0.165692,502.0,-1.0,0.14
2016-12-13,0.165791,0.1925,0.163427,0.192247,796.0,-1.0,0.18
2016-12-14,0.192247,0.192247,0.186961,0.188068,741.0,-1.0,0.19
2016-12-15,0.188102,0.188102,0.090035,0.12045,978.0,-1.0,0.14
2016-12-16,0.120511,0.123276,0.10344,0.103674,869.0,-1.0,0.11
2016-12-17,0.103708,0.104678,0.103573,0.103813,610.0,-1.0,0.1
2016-12-18,0.103837,0.197465,0.103559,0.188823,9.0,-1.0,0.15
2016-12-19,0.188861,0.192546,0.173251,0.181436,8.0,-1.0,0.18
2016-12-20,0.18136,0.183255,0.106059,0.106781,4.0,-1.0,0.14
2016-12-21,0.10675,0.191818,0.106585,0.117819,31.0,-1.0,0.15
2016-12-22,0.117805,0.120771,0.09484,0.103116,16.0,-1.0,0.11
2016-12-23,0.103105,0.169741,0.094855,0.168797,2.0,-1.0,0.13
2016-12-24,0.168997,0.169941,0.163402,0.166074,2.0,-1.0,0.17
2016-12-25,0.117248,0.119584,0.117248,0.119488,90.0,-1.0,0.12
2016-12-26,0.119584,0.121755,0.085081,0.08767,36.0,-1.0,0.1
2016-12-27,0.087671,0.16819,0.08606,0.164582,2.0,-1.0,0.13
2016-12-28,0.16469,0.165602,0.126961,0.13011,1.0,-1.0,0.15
2016-12-29,0.130004,0.13054,0.128894,0.129099,1.0,-1.0,0.13
2017-01-01,0.157233,0.162212,0.154679,0.161955,12.0,-1.0,0.16
2017-01-02,0.162011,0.162464,0.161805,0.162402,12.0,-1.0,0.16
2017-01-04,0.163068,0.180196,0.160432,0.177281,158.0,-1.0,0.17
2017-01-05,0.177284,0.178634,0.09147,0.096342,1.0,-1.0,0.14
2017-01-06,0.096424,0.133458,0.092791,0.120272,21.0,-1.0,0.11
2017-01-07,0.120444,0.201867,0.078296,0.201867,102.0,-1.0,0.14
2017-01-08,0.201778,0.201778,0.133087,0.13668,102.0,-1.0,0.17
2017-01-09,0.136987,0.20079,0.131971,0.141416,292.0,-1.0,0.17
2017-01-10,0.141356,0.201099,0.092229,0.141903,438.0,-1.0,0.15
2017-01-11,0.141903,0.144941,0.121343,0.129947,33.0,-1.0,0.13
2017-01-12,0.129623,0.132919,0.092309,0.129756,86.0,-1.0,0.11
2017-01-13,0.129637,0.188438,0.125994,0.180402,7.0,-1.0,0.16
2017-01-14,0.180776,0.189749,0.176518,0.188738,7.0,-1.0,0.18
2017-01-15,0.188931,0.189959,0.086484,0.087114,316.0,-1.0,0.14
2017-01-16,0.087109,0.129811,0.086949,0.129345,240.0,-1.0,0.11
2017-01-17,0.129254,0.141638,0.12923,0.14123,64.0,-1.0,0.14
2017-01-18,0.141453,0.142717,0.135323,0.137869,9.0,-1.0,0.14
2017-01-19,0.138136,0.151955,0.137515,0.151222,420.0,-1.0,0.14
