Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-06,0.610618,0.733988,0.534317,0.60857,12058.0,-1.0,0.63
2017-11-07,0.607596,0.668345,0.442409,0.574653,22034.0,-1.0,0.56
2017-11-08,0.572848,0.638846,0.485975,0.531032,15007.0,-1.0,0.56
2017-11-09,0.530485,3.65,0.107506,0.713618,988140.0,-1.0,1.88
2017-11-10,0.715737,0.785305,0.463646,0.612993,32013.0,-1.0,0.62
2017-11-11,0.610811,0.618431,0.475272,0.480776,16429.0,-1.0,0.55
2017-11-12,0.480422,0.536765,0.429024,0.468982,10266.0,-1.0,0.48
2017-11-13,0.469665,0.61277,0.445676,0.586535,22246.0,-1.0,0.53
2017-11-14,0.587777,0.587777,0.066503,0.479033,16060.0,-1.0,0.33
2017-11-15,0.479361,0.539636,0.429581,0.506733,25053.0,-1.0,0.48
2017-11-16,0.509388,0.541195,0.260596,0.535143,17215.0,-1.0,0.4
2017-11-17,0.498137,0.544387,0.162435,0.348646,14262.0,-1.0,0.35
2017-11-18,0.34578,4.99,0.155877,0.303885,12784.0,-1.0,2.57
2017-11-19,0.303689,0.312083,0.178177,0.281392,9375.0,-1.0,0.25
2017-11-20,0.280714,0.280714,0.189857,0.22168,10733.0,-1.0,0.24
2017-11-21,0.22172,0.393362,0.192316,0.223513,20528.0,-1.0,0.29
2017-11-22,0.244705,0.256785,0.184121,0.209797,55718.0,-1.0,0.22
2017-11-23,0.208001,0.227002,0.17652,0.199675,30091.0,-1.0,0.2
2017-11-24,0.199406,0.20519,0.10742,0.163089,34369.0,-1.0,0.16
2017-11-25,0.151856,0.172845,0.12377,0.14638,33724.0,-1.0,0.15
2017-11-26,0.143696,0.162566,0.06513,0.074933,32100.0,-1.0,0.11
2017-11-27,0.105684,0.269505,0.072043,0.180619,40171.0,-1.0,0.17
2017-11-28,0.194564,0.338709,0.152736,0.187101,26304.0,-1.0,0.25
2017-11-29,0.187107,0.279594,0.172288,0.21692,25400.0,-1.0,0.23
2017-11-30,0.220252,0.261548,0.189291,0.225741,41858.0,-1.0,0.23
2017-12-01,0.245474,0.266724,0.198821,0.246065,49508.0,-1.0,0.23
