Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-09-23,0.035008,0.051568,0.032357,0.038305,98579.0,-1.0,0.04
2017-09-24,0.038302,0.041118,0.024329,0.035585,34205.0,-1.0,0.03
2017-09-25,0.03665,0.036716,0.022798,0.035104,25049.0,-1.0,0.03
2017-09-26,0.035009,0.035283,0.02789,0.031151,25771.0,-1.0,0.03
2017-09-27,0.031066,0.041003,0.029599,0.033758,59608.0,-1.0,0.04
2017-09-28,0.037116,0.042622,0.030909,0.03785,36656.0,-1.0,0.04
2017-09-29,0.037818,0.037965,0.033502,0.036138,19910.0,-1.0,0.04
2017-09-30,0.036363,0.037966,0.03527,0.037817,10656.0,-1.0,0.04
2017-10-01,0.037836,0.039654,0.029019,0.039026,16050.0,-1.0,0.03
2017-10-02,0.039012,0.039079,0.024111,0.030454,21980.0,-1.0,0.03
2017-10-03,0.030455,0.036768,0.021626,0.031372,25029.0,-1.0,0.03
2017-10-04,0.028163,0.031033,0.021833,0.02195,12442.0,-1.0,0.03
2017-10-05,0.023896,0.033477,0.022223,0.029821,31128.0,-1.0,0.03
2017-10-06,0.029821,0.047554,0.028738,0.033802,50425.0,-1.0,0.04
2017-10-07,0.033896,0.038092,0.029939,0.030714,11313.0,-1.0,0.03
2017-10-08,0.030632,0.032799,0.026171,0.030792,5234.0,-1.0,0.03
2017-10-09,0.026138,0.038517,0.025489,0.033118,12064.0,-1.0,0.03
2017-10-10,0.033114,0.035455,0.016235,0.023269,8108.0,-1.0,0.03
2017-10-11,0.023266,0.030985,0.01633,0.027041,9261.0,-1.0,0.02
2017-10-12,0.027064,0.027075,0.019421,0.024121,9283.0,-1.0,0.02
2017-10-13,0.024172,0.033403,0.011627,0.023443,22053.0,-1.0,0.02
2017-10-14,0.023451,0.026172,0.017526,0.023428,10085.0,-1.0,0.02
2017-10-15,0.021608,0.024232,0.015085,0.020524,5457.0,-1.0,0.02
2017-10-16,0.020655,0.022382,0.01484,0.018527,7196.0,-1.0,0.02
2017-10-17,0.018566,0.018984,0.012124,0.012627,1465.0,-1.0,0.02
2017-10-18,0.012627,0.029383,0.012171,0.024237,22528.0,-1.0,0.02
2017-10-19,0.024245,0.025149,0.022286,0.024702,5893.0,-1.0,0.02
2017-10-20,0.024708,0.025581,0.019978,0.02148,12929.0,-1.0,0.02
2017-10-21,0.020506,0.032863,0.019391,0.025163,23564.0,-1.0,0.03
2017-10-22,0.02517,0.034287,0.023639,0.026669,28461.0,-1.0,0.03
2017-10-23,0.02652,0.02653,0.017376,0.020263,6226.0,-1.0,0.02
2017-10-24,0.020218,0.021631,0.016623,0.017282,3763.0,-1.0,0.02
2017-10-25,0.017324,0.025342,0.01085,0.01819,11457.0,-1.0,0.02
2017-10-26,0.016805,0.031014,0.016077,0.020865,48471.0,-1.0,0.02
2017-10-27,0.020869,0.023206,0.015817,0.017901,7848.0,-1.0,0.02
2017-10-28,0.018535,0.020341,0.014343,0.015191,4661.0,-1.0,0.02
2017-10-29,0.015176,0.019246,0.015151,0.01628,3940.0,-1.0,0.02
2017-10-30,0.016186,0.016792,0.012554,0.01311,5467.0,-1.0,0.01
2017-10-31,0.013074,0.023544,0.013074,0.014064,11783.0,-1.0,0.02
2017-11-01,0.013996,0.01534,0.009168,0.011154,6878.0,-1.0,0.01
