Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-06-15,0.000467,0.000604,0.000466,0.000506,27.0,9621.0,0.0
2014-06-16,0.000508,0.000619,0.000275,0.000275,36.0,10476.0,0.0
2014-06-17,0.000275,0.000543,0.000149,0.000188,2.0,5697.0,0.0
2014-06-18,0.000188,0.000435,0.000188,0.00025,18.0,3907.0,0.0
2014-06-19,0.00025,0.00043,0.00025,0.00043,4.0,5220.0,0.0
2014-06-20,0.00043,0.000604,0.000429,0.000434,1.0,8991.0,0.0
2014-06-21,0.000435,0.000542,0.000235,0.000326,33.0,9126.0,0.0
2014-06-22,0.000325,0.000523,7.3e-05,0.000111,39.0,6844.0,0.0
2014-06-23,0.000111,0.00015,7.3e-05,0.000111,3.0,2333.0,0.0
2014-06-24,0.000111,0.000246,0.000102,0.000242,3.0,2345.0,0.0
2014-06-25,0.000242,0.000583,9e-05,0.000111,8.0,5126.0,0.0
2014-06-26,9.2e-05,0.0001,7.3e-05,9.9e-05,1.0,1958.0,0.0
2014-06-27,0.000104,0.000418,0.000103,0.00012,1.0,2211.0,0.0
2014-06-28,9.5e-05,0.000474,9e-05,0.00035,45.0,2045.0,0.0
2014-06-29,0.00035,0.000444,0.00035,0.000402,3.0,7513.0,0.0
2014-06-30,0.000403,0.000628,9.4e-05,9.9e-05,3.0,8678.0,0.0
2014-07-01,9.9e-05,0.000267,7.4e-05,7.4e-05,11.0,2150.0,0.0
2014-07-02,7.4e-05,0.000262,7.4e-05,0.000166,1.0,1607.0,0.0
2014-07-03,0.000165,0.000366,3.5e-05,0.000366,50.0,3597.0,0.0
2014-07-04,0.000366,0.000366,8.6e-05,8.6e-05,3.0,7974.0,0.0
2014-07-05,8.6e-05,0.000166,6.7e-05,0.000166,18.0,1889.0,0.0
2014-07-06,0.000166,0.000302,9.2e-05,0.000114,1.0,3639.0,0.0
2014-07-07,0.000114,0.000159,0.000113,0.000159,0.0,2509.0,0.0
2014-07-08,8.7e-05,8.8e-05,6.2e-05,6.2e-05,1.0,357.0,0.0
2014-07-09,6.3e-05,8.1e-05,3.5e-05,3.7e-05,1.0,260.0,0.0
2014-07-10,3.7e-05,3.8e-05,3.1e-05,3.1e-05,3.0,159.0,0.0
2014-07-11,3.1e-05,6.3e-05,3.1e-05,6.3e-05,1.0,133.0,0.0
2014-07-12,6.3e-05,6.4e-05,3.1e-05,3.2e-05,0.0,277.0,0.0
2014-07-13,3.3e-05,3.7e-05,3.2e-05,3.7e-05,0.0,145.0,0.0
2014-07-14,3.7e-05,3.7e-05,3.1e-05,3.2e-05,5.0,168.0,0.0
2014-07-15,3.2e-05,3.3e-05,7e-06,3.1e-05,0.0,147.0,0.0
2014-07-16,3.1e-05,3.1e-05,2.5e-05,2.7e-05,0.0,143.0,0.0
2014-07-17,2.7e-05,3.1e-05,2.6e-05,3e-05,0.0,126.0,0.0
2014-07-18,3e-05,4.9e-05,3e-05,3.7e-05,3.0,140.0,0.0
2014-07-19,3.7e-05,3.7e-05,2.6e-05,3.6e-05,1.0,173.0,0.0
2014-07-20,3.6e-05,4.2e-05,3.4e-05,4e-05,0.0,164.0,0.0
2014-07-21,4e-05,4e-05,3e-05,3.1e-05,0.0,186.0,0.0
2014-07-22,3.1e-05,3.6e-05,2.9e-05,3.5e-05,0.0,144.0,0.0
2014-07-23,3.5e-05,4.9e-05,3.5e-05,3.7e-05,3.0,163.0,0.0
2014-07-24,3.7e-05,6.6e-05,3.6e-05,6.6e-05,1.0,171.0,0.0
2014-07-25,6.6e-05,6.6e-05,3.6e-05,3.6e-05,0.0,304.0,0.0
2014-07-26,3.6e-05,0.000125,6e-06,6e-06,2.0,165.0,0.0
2014-07-27,6e-06,1e-05,6e-06,1e-05,0.0,28.0,0.0
2014-07-28,1e-05,4.1e-05,9e-06,4.1e-05,1.0,44.0,0.0
2014-07-29,4.1e-05,0.000287,1.2e-05,1.2e-05,2.0,188.0,0.0
2014-07-30,1.2e-05,5.7e-05,1.2e-05,5.6e-05,4.0,54.0,0.0
2014-07-31,5.6e-05,5.7e-05,1.6e-05,1.6e-05,1.0,258.0,0.0
2014-08-01,1.6e-05,0.000187,1.6e-05,0.000186,3.0,73.0,0.0
2014-08-02,0.000186,0.000186,8e-05,8e-05,1.0,857.0,0.0
2014-08-03,8e-05,8e-05,1.8e-05,1.8e-05,0.0,368.0,0.0
2014-08-04,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,81.0,0.0
2014-08-05,1.8e-05,2e-05,1.8e-05,2e-05,0.0,83.0,0.0
2014-08-06,2e-05,0.000122,1.9e-05,4e-05,3.0,92.0,0.0
2014-08-07,4e-05,4.3e-05,2.3e-05,4.2e-05,5.0,183.0,0.0
2014-08-08,4.2e-05,4.7e-05,2.4e-05,2.4e-05,3.0,195.0,0.0
2014-08-09,2.4e-05,2.4e-05,2.4e-05,2.4e-05,3.0,113.0,0.0
2014-08-10,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.0,111.0,0.0
2014-08-11,2.4e-05,2.4e-05,2.3e-05,2.3e-05,4.0,109.0,0.0
2014-08-12,2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.0,106.0,0.0
2014-08-13,2.3e-05,2.3e-05,2.1e-05,2.2e-05,2.0,106.0,0.0
2014-08-14,2.2e-05,2.2e-05,2e-05,2e-05,2.0,101.0,0.0
2014-08-15,2.1e-05,2.1e-05,1.5e-05,1.5e-05,2.0,95.0,0.0
2014-08-16,1.5e-05,1.6e-05,1.4e-05,1.6e-05,2.0,69.0,0.0
2014-08-17,1.6e-05,1.6e-05,1.4e-05,1.5e-05,2.0,72.0,0.0
2014-08-18,1.5e-05,2.3e-05,1.3e-05,1.4e-05,2.0,67.0,0.0
2014-08-19,1.4e-05,1.4e-05,1.3e-05,1.4e-05,3.0,63.0,0.0
2014-08-20,1.4e-05,1.6e-05,1.4e-05,1.5e-05,0.0,65.0,0.0
2014-08-21,1.5e-05,1.6e-05,1.5e-05,1.6e-05,1.0,71.0,0.0
2014-08-22,1.6e-05,1.6e-05,1.4e-05,1.4e-05,1.0,72.0,0.0
2014-08-23,1.4e-05,1.5e-05,1.4e-05,1.4e-05,1.0,64.0,0.0
2014-08-24,1.4e-05,1.5e-05,1.4e-05,1.5e-05,1.0,64.0,0.0
2014-08-25,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.0,70.0,0.0
2014-08-26,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.0,69.0,0.0
2014-08-27,1.5e-05,1.6e-05,1.5e-05,1.5e-05,1.0,71.0,0.0
2014-08-28,1.5e-05,1.5e-05,1.4e-05,1.4e-05,0.0,70.0,0.0
2014-08-29,1.4e-05,1.5e-05,1.1e-05,1.5e-05,4.0,65.0,0.0
2014-08-30,1.5e-05,1.5e-05,1.1e-05,1.3e-05,1.0,70.0,0.0
2014-08-31,1.3e-05,1.5e-05,1.3e-05,1.4e-05,2.0,62.0,0.0
2014-09-01,1.4e-05,1.4e-05,1.2e-05,1.2e-05,2.0,66.0,0.0
2014-09-02,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.0,56.0,0.0
2014-09-03,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.0,61.0,0.0
