Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-04-18,0.013973,0.229611,0.006106,0.01454,25277.0,10465.0,0.12
2017-04-19,0.014545,0.026581,0.013627,0.013906,1975.0,10923.0,0.02
2017-04-20,0.013915,0.014889,0.001579,0.014724,5018.0,10487.0,0.01
2017-04-21,0.014729,0.025712,0.002251,0.014652,11528.0,11138.0,0.01
2017-04-22,0.01466,0.014814,0.003382,0.014768,3414.0,11099.0,0.01
2017-04-23,0.014771,0.015414,0.013454,0.015332,6164.0,11229.0,0.01
2017-04-24,0.015362,0.015688,0.014849,0.015127,5724.0,11720.0,0.02
2017-04-25,0.01513,0.032288,0.01513,0.015445,8524.0,11573.0,0.02
2017-04-26,0.015451,0.023579,0.01545,0.016842,11341.0,11873.0,0.02
2017-04-27,0.016852,0.023297,0.010999,0.011206,10228.0,13010.0,0.02
2017-04-28,0.011206,0.016336,0.007905,0.015469,15678.0,8665.0,0.01
2017-04-29,0.015485,0.016492,0.010246,0.010839,1681.0,12021.0,0.01
2017-04-30,0.010839,0.011026,0.010762,0.011026,166.0,8445.0,0.01
2017-05-01,0.011029,0.011618,0.011029,0.011302,264.0,8613.0,0.01
2017-05-02,0.011297,0.011865,0.006553,0.006596,15344.0,8863.0,0.01
2017-05-03,0.006601,0.012241,0.006581,0.012219,1122.0,5187.0,0.01
2017-05-04,0.012224,0.014608,0.01151,0.014608,5203.0,9642.0,0.01
2017-05-05,0.014638,0.014755,0.012411,0.012605,1150.0,11588.0,0.01
2017-05-06,0.012616,0.012741,0.010042,0.010297,464.0,10022.0,0.01
2017-05-07,0.010301,0.012667,0.010301,0.010506,30.0,8213.0,0.01
2017-05-08,0.010508,0.011288,0.010508,0.011288,455.0,8401.0,0.01
2017-05-09,0.011291,0.011954,0.011083,0.01141,146.0,9067.0,0.01
2017-05-10,0.011417,0.011443,0.009582,0.009669,413.0,9204.0,0.01
2017-05-11,0.009687,0.010179,0.009005,0.009127,91.0,7837.0,0.01
2017-05-12,0.009136,0.009155,0.007086,0.008308,148.0,7416.0,0.01
2017-05-13,0.008291,0.008304,0.006321,0.006509,4.0,6752.0,0.01
2017-05-14,0.00653,0.006605,0.006456,0.006569,5.0,5335.0,0.01
2017-05-15,0.006573,0.012949,0.006362,0.012116,20680.0,5386.0,0.01
2017-05-16,0.012098,0.012106,0.008623,0.008713,35.0,9955.0,0.01
2017-05-17,0.008711,0.01361,0.008619,0.013435,814.0,7193.0,0.01
2017-05-18,0.013428,0.013455,0.009055,0.009498,173.0,11123.0,0.01
2017-05-19,0.009504,0.013497,0.005041,0.005167,173.0,7896.0,0.01
2017-05-20,0.005161,0.014201,0.005156,0.014122,22071.0,4305.0,0.01
2017-05-21,0.014116,0.014346,0.010028,0.014046,2354.0,11812.0,0.01
2017-05-22,0.014093,0.014545,0.012163,0.012692,1063.0,11841.0,0.01
2017-05-23,0.012674,0.015498,0.012674,0.013463,319.0,10671.0,0.01
2017-05-24,0.01348,0.014143,0.010426,0.010978,2942.0,11398.0,0.01
2017-05-25,0.010227,0.012493,0.007203,0.010377,1695.0,8669.0,0.01
2017-05-26,0.0103,0.011634,0.009137,0.010145,194.0,8759.0,0.01
2017-05-27,0.010179,0.010484,0.008388,0.009031,89.0,8687.0,0.01
2017-05-28,0.009085,0.01015,0.009085,0.009743,146.0,7776.0,0.01
2017-05-29,0.009723,0.010335,0.009421,0.010079,159.0,8357.0,0.01
2017-05-30,0.010091,0.011664,0.006964,0.010908,29659.0,8698.0,0.01
2017-05-31,0.010951,0.011576,0.010737,0.011333,288.0,9465.0,0.01
2017-06-01,0.011344,0.012245,0.011344,0.011753,916.0,9840.0,0.01
2017-06-02,0.011758,0.011898,0.008379,0.010523,1119.0,10227.0,0.01
2017-06-03,0.010518,0.010934,0.010134,0.010189,280.0,9178.0,0.01
2017-06-04,0.010162,0.01018,0.00988,0.010158,88.0,8895.0,0.01
2017-06-05,0.010159,0.0115,0.010006,0.011499,1542.0,8923.0,0.01
2017-06-06,0.011534,0.012285,0.008137,0.008598,1507.0,10161.0,0.01
2017-06-07,0.0086,0.012146,0.004898,0.010736,640.0,7602.0,0.01
2017-06-08,0.01079,0.011633,0.010502,0.011475,140.0,9569.0,0.01
2017-06-09,0.011457,0.047992,0.01141,0.012185,132.0,10193.0,0.03
2017-06-10,0.012203,0.012896,0.009897,0.010428,344.0,10894.0,0.01
2017-06-11,0.010422,0.012653,0.010373,0.012063,345.0,9331.0,0.01
2017-06-12,0.012046,0.012113,0.01022,0.01076,133.0,10815.0,0.01
2017-06-13,0.010724,0.011018,0.005373,0.005473,108.0,9660.0,0.01
2017-06-14,0.00547,0.010598,0.005469,0.009584,162.0,4942.0,0.01
2017-06-15,0.009584,0.011273,0.008859,0.00988,2442.0,8687.0,0.01
2017-06-16,0.009872,0.011416,0.009431,0.010242,1356.0,8977.0,0.01
2017-06-17,0.010242,0.011266,0.010242,0.011266,337.0,9342.0,0.01
2017-06-18,0.011266,0.011266,0.009942,0.009967,210.0,10314.0,0.01
2017-06-19,0.009967,0.011266,0.009817,0.010988,1172.0,9153.0,0.01
2017-06-20,0.010988,0.011113,0.009765,0.010964,767.0,10128.0,0.01
2017-06-21,0.010964,0.010964,0.004996,0.005121,182.0,10123.0,0.01
2017-06-22,0.005121,0.010542,0.005121,0.010017,150.0,4741.0,0.01
2017-06-23,0.010017,0.013073,0.010017,0.011492,50.0,9307.0,0.01
2017-06-24,0.01149,0.011617,0.004365,0.004368,33.0,10696.0,0.01
2017-06-25,0.004602,0.00989,0.004578,0.009826,91.0,4301.0,0.01
2017-06-26,0.009821,0.009993,0.008921,0.009162,159.0,9199.0,0.01
2017-06-27,0.009379,0.01109,0.009232,0.01109,1717.0,8798.0,0.01
2017-06-28,0.011162,0.011527,0.010748,0.01142,1730.0,10521.0,0.01
2017-06-29,0.01141,0.011688,0.011054,0.011524,371.0,10783.0,0.01
2017-06-30,0.011546,0.011591,0.004899,0.010137,222.0,10949.0,0.01
2017-07-01,0.010133,0.011206,0.007373,0.010708,377.0,9636.0,0.01
2017-07-02,0.010707,0.012772,0.010561,0.011019,45.0,10182.0,0.01
2017-07-03,0.010979,0.01159,0.010807,0.011415,559.0,10481.0,0.01
2017-07-04,0.011389,0.011726,0.00845,0.01148,176.0,10908.0,0.01
2017-07-05,0.011474,0.015599,0.010981,0.013746,7286.0,11015.0,0.01
2017-07-06,0.013753,0.031864,0.009192,0.014591,11217.0,13251.0,0.02
2017-07-07,0.014602,0.042714,0.010852,0.015304,11716.0,14109.0,0.03
2017-07-08,0.015317,0.02457,0.015316,0.015849,11530.0,14843.0,0.02
2017-07-09,0.015863,0.022725,0.015705,0.015777,4711.0,15425.0,0.02
2017-07-10,0.016534,0.101996,0.01649,0.020421,27461.0,16123.0,0.06
2017-07-11,0.020373,0.020958,0.014807,0.014912,10466.0,19920.0,0.02
2017-07-12,0.01489,0.019236,0.012373,0.017528,10657.0,14594.0,0.02
2017-07-13,0.017541,0.017946,0.014434,0.016015,3319.0,17246.0,0.02
2017-07-14,0.016004,0.017385,0.012151,0.012226,11099.0,15779.0,0.01
2017-07-15,0.012205,0.015926,0.012181,0.014177,4184.0,12055.0,0.01
2017-07-16,0.014134,0.014241,0.011449,0.012444,4500.0,14011.0,0.01
2017-07-17,0.01243,0.015457,0.007208,0.015321,4632.0,12340.0,0.01
2017-07-18,0.01536,0.02274,0.013952,0.019793,32359.0,15292.0,0.02
2017-07-19,0.019824,0.02103,0.013982,0.016123,14939.0,19812.0,0.02
2017-07-20,0.016075,0.022508,0.015259,0.016859,58512.0,16100.0,0.02
2017-07-21,0.019813,0.020832,0.015837,0.019102,27484.0,19906.0,0.02
2017-07-22,0.019098,0.019453,0.016321,0.017832,22760.0,19240.0,0.02
2017-07-23,0.017832,0.01929,0.01616,0.017073,33819.0,18018.0,0.02
2017-07-24,0.017053,0.018041,0.01613,0.016826,8992.0,17277.0,0.02
2017-07-25,0.016824,0.01694,0.013841,0.015508,24813.0,17094.0,0.02
2017-07-26,0.015515,0.015792,0.013947,0.015129,3518.0,15813.0,0.01
2017-07-27,0.015172,0.015669,0.014728,0.015361,27668.0,15502.0,0.02
2017-07-28,0.015407,0.016822,0.015201,0.016754,28401.0,15784.0,0.02
2017-07-29,0.01669,0.016736,0.015339,0.015901,7206.0,17145.0,0.02
2017-07-30,0.015899,0.016445,0.01529,0.015852,33529.0,16377.0,0.02
2017-07-31,0.015868,0.017037,0.015183,0.015878,16488.0,16369.0,0.02
2017-08-01,0.015886,0.016518,0.01388,0.015697,7775.0,16417.0,0.02
2017-08-02,0.015694,0.015825,0.013789,0.014059,2363.0,16261.0,0.01
2017-08-03,0.014084,0.015399,0.014073,0.015332,9158.0,14640.0,0.01
2017-08-04,0.015329,0.016759,0.010143,0.013768,6281.0,15981.0,0.01
2017-08-05,0.013762,0.018865,0.013321,0.013989,9512.0,14375.0,0.02
2017-08-06,0.013993,0.015759,0.01319,0.013232,4889.0,14672.0,0.01
2017-08-07,0.013203,0.014158,0.0128,0.013417,3282.0,13882.0,0.01
2017-08-08,0.013431,0.01397,0.007274,0.012956,3000.0,14152.0,0.01
2017-08-09,0.012947,0.013597,0.011579,0.013036,779.0,13654.0,0.01
2017-08-10,0.013038,0.015295,0.012104,0.014963,33792.0,13797.0,0.01
2017-08-11,0.014962,0.015142,0.013194,0.014503,3598.0,15888.0,0.01
2017-08-12,0.014492,0.015769,0.012752,0.013627,13496.0,15401.0,0.01
2017-08-13,0.013614,0.015817,0.008384,0.014072,15619.0,14518.0,0.01
2017-08-14,0.014081,0.016157,0.011549,0.012558,14198.0,15037.0,0.01
2017-08-15,0.012592,0.016647,0.011939,0.01307,10759.0,13476.0,0.01
2017-08-16,0.013084,0.01368,0.008672,0.013574,4973.0,14025.0,0.01
2017-08-17,0.013562,0.014747,0.011451,0.013824,2503.0,14536.0,0.01
2017-08-18,0.013782,0.0144,0.011764,0.012542,94663.0,14850.0,0.01
2017-08-19,0.012531,0.012628,0.010198,0.012411,4590.0,13534.0,0.01
2017-08-20,0.012353,0.012353,0.007025,0.011239,34370.0,13366.0,0.01
2017-08-21,0.011196,0.012108,0.010652,0.011137,8558.0,12117.0,0.01
2017-08-22,0.011163,0.011563,0.009564,0.011341,3173.0,12132.0,0.01
2017-08-23,0.011318,0.011609,0.010204,0.010353,4406.0,12340.0,0.01
2017-08-24,0.010357,0.012386,0.007838,0.007847,9118.0,11325.0,0.01
2017-08-25,0.007835,0.011338,0.002828,0.008672,4537.0,8589.0,0.01
2017-08-26,0.008689,0.009911,0.007141,0.008258,1891.0,9548.0,0.01
2017-08-27,0.008256,0.012512,0.008252,0.009435,78743.0,9106.0,0.01
2017-08-28,0.009425,0.0104,0.008709,0.009201,19212.0,10403.0,0.01
2017-08-29,0.009217,0.009508,0.008314,0.0092,8441.0,10200.0,0.01
2017-08-30,0.009372,0.009372,0.008603,0.009222,5813.0,10405.0,0.01
2017-08-31,0.009206,0.009354,0.008094,0.008101,6016.0,10227.0,0.01
2017-09-01,0.008102,0.008578,0.0077,0.007918,5183.0,9018.0,0.01
2017-09-02,0.007927,0.008768,0.005029,0.005178,9530.0,8846.0,0.01
2017-09-03,0.005181,0.00801,0.005098,0.005726,5292.0,5797.0,0.01
2017-09-04,0.005728,0.005732,0.004422,0.004839,1384.0,6424.0,0.01
2017-09-05,0.004864,0.005667,0.004218,0.004901,3581.0,5470.0,0.0
2017-09-06,0.004906,0.0054,0.004793,0.004856,1202.0,5533.0,0.01
2017-09-07,0.004846,0.005934,0.004706,0.005791,1353.0,5482.0,0.01
2017-09-08,0.005792,0.005792,0.004421,0.004752,2044.0,6554.0,0.01
2017-09-09,0.004762,0.005303,0.004417,0.004907,3491.0,5389.0,0.0
2017-09-10,0.004894,0.008816,0.003978,0.006514,6352.0,5561.0,0.01
2017-09-11,0.006503,0.009077,0.005072,0.005686,13925.0,7405.0,0.01
2017-09-12,0.005684,0.008969,0.005684,0.007711,12738.0,6501.0,0.01
2017-09-13,0.007682,0.008228,0.006365,0.006436,15052.0,8794.0,0.01
2017-09-14,0.006436,0.007561,0.005216,0.005216,9317.0,7370.0,0.01
2017-09-15,0.005256,0.006783,0.004751,0.00675,3148.0,6040.0,0.01
2017-09-16,0.006745,0.007929,0.005272,0.006988,14384.0,7750.0,0.01
2017-09-17,0.006834,0.006834,0.005671,0.006146,4273.0,7882.0,0.01
2017-09-18,0.006134,0.007317,0.00612,0.006508,7485.0,7076.0,0.01
2017-09-19,0.006524,0.007046,0.006002,0.006466,3656.0,7553.0,0.01
2017-09-20,0.006457,0.006624,0.003889,0.003899,9.0,7483.0,0.01
2017-09-21,0.003879,0.007225,0.003813,0.00609,194192.0,4503.0,0.01
2017-09-22,0.006083,0.006755,0.004571,0.006005,229641.0,7088.0,0.01
2017-09-23,0.005988,0.006018,0.005183,0.005873,236983.0,6988.0,0.01
2017-09-24,0.005872,0.006395,0.004886,0.005183,1032650.0,6870.0,0.01
2017-09-25,0.005178,0.005622,0.00393,0.005391,39565.0,6078.0,0.0
2017-09-26,0.00539,0.005403,0.002512,0.003718,7301.0,6336.0,0.0
2017-09-27,0.003708,0.003748,0.000847,0.000848,4814.0,4359.0,0.0
2017-09-28,0.00093,0.003838,0.000891,0.002191,9385.0,1096.0,0.0
2017-09-29,0.002189,0.002474,0.001495,0.001877,1498.0,2586.0,0.0
2017-09-30,0.001877,0.002088,0.001197,0.001563,1650.0,2223.0,0.0
2017-10-01,0.001564,0.001906,0.001426,0.001714,589.0,1856.0,0.0
2017-10-02,0.001714,0.001786,0.001529,0.00176,696.0,2040.0,0.0
2017-10-03,0.00176,0.00177,0.001244,0.001293,401.0,2100.0,0.0
2017-10-04,0.001296,0.001609,0.001083,0.001603,798.0,1550.0,0.0
2017-10-05,0.001604,0.001606,0.001185,0.00134,2637.0,1923.0,0.0
2017-10-06,0.00134,0.001858,0.001253,0.001608,1109.0,1610.0,0.0
2017-10-07,0.001609,0.002167,0.001316,0.001791,1667.0,1933.0,0.0
2017-10-08,0.001786,0.005795,0.001399,0.002824,3049.0,2146.0,0.0
2017-10-09,0.002825,0.00291,0.001641,0.001809,785.0,3408.0,0.0
2017-10-10,0.001809,0.002357,0.001744,0.001873,1277.0,2189.0,0.0
2017-10-11,0.001873,0.006705,0.001859,0.002736,3432.0,2273.0,0.0
2017-10-12,0.002565,0.007107,0.002015,0.003097,5156.0,3121.0,0.0
2017-10-13,0.003107,0.004867,0.002373,0.002383,2218.0,3791.0,0.0
2017-10-14,0.002384,0.002787,0.001407,0.00175,4589.0,2915.0,0.0
2017-10-15,0.001753,0.002306,0.001228,0.001511,2186.0,2148.0,0.0
2017-10-16,0.001511,0.001996,0.001381,0.001392,231.0,1854.0,0.0
2017-10-17,0.001393,0.001619,0.00133,0.001582,170.0,1709.0,0.0
2017-10-18,0.001582,0.001594,0.000694,0.000719,1626.0,1947.0,0.0
2017-10-19,0.000719,0.00241,0.000711,0.001203,640.0,886.0,0.0
2017-10-20,0.001203,0.002322,0.000927,0.000979,502.0,1487.0,0.0
2017-10-21,0.000977,0.001167,0.00092,0.001008,333.0,1210.0,0.0
2017-10-22,0.001008,0.001027,0.00055,0.000738,187.0,1250.0,0.0
2017-10-23,0.000737,0.000758,0.000582,0.000591,33.0,914.0,0.0
2017-10-24,0.00059,0.001132,0.000567,0.000717,188.0,733.0,0.0
2017-10-25,0.000717,0.000723,0.000551,0.000574,80.0,894.0,0.0
2017-10-26,0.000573,0.000598,0.000402,0.000589,32.0,716.0,0.0
2017-10-27,0.000589,0.000702,0.000588,0.000639,72.0,736.0,0.0
2017-10-28,0.000641,0.000653,0.000525,0.000568,22.0,804.0,0.0
2017-10-29,0.000567,0.000956,0.000566,0.000675,205.0,713.0,0.0
2017-10-30,0.000671,0.000862,0.000192,0.000193,233.0,845.0,0.0
2017-10-31,0.000193,0.000281,0.000133,0.000258,297.0,243.0,0.0
2017-11-01,0.000258,0.000287,0.000129,0.000254,52.0,326.0,0.0
2017-11-02,0.000254,0.000314,0.000156,0.000286,131.0,322.0,0.0
2017-11-03,0.000286,0.000372,0.000148,0.000359,742.0,362.0,0.0
2017-11-04,0.000358,0.000368,0.000289,0.000296,103.0,453.0,0.0
2017-11-05,0.000295,0.000381,0.000292,0.000295,125.0,373.0,0.0
2017-11-06,0.000296,0.000365,0.00021,0.000213,79.0,374.0,0.0
2017-11-07,0.000212,0.000381,0.000212,0.000225,256.0,268.0,0.0
2017-11-08,0.000224,0.000597,0.000223,0.000597,52.0,283.0,0.0
2017-11-09,0.000596,0.001579,0.000143,0.000886,2032.0,754.0,0.0
2017-11-10,0.000889,0.001838,0.000405,0.000405,103.0,1124.0,0.0
2017-11-11,0.000414,0.000429,0.000202,0.000268,97.0,524.0,0.0
2017-11-12,0.000254,0.000931,0.000166,0.000879,23.0,322.0,0.0
2017-11-13,0.000881,0.001512,0.000209,0.000847,122.0,1114.0,0.0
2017-11-14,0.000848,0.001205,0.000277,0.000281,281.0,1073.0,0.0
2017-11-15,0.000281,0.00038,0.000212,0.000366,285.0,356.0,0.0
2017-11-16,0.000368,0.00112,0.000359,0.0011,1.0,465.0,0.0
2017-11-17,0.001098,0.001124,0.000395,0.000705,188.0,1389.0,0.0
2017-11-18,0.000703,0.001487,0.000489,0.000642,617.0,888.0,0.0
2017-11-19,0.000641,0.001532,0.000639,0.001281,204.0,811.0,0.0
2017-11-20,0.001281,0.001284,0.000481,0.000636,95.0,1619.0,0.0
2017-11-21,0.000636,0.001665,0.000601,0.001451,210.0,804.0,0.0
2017-11-22,0.001454,0.001574,0.000727,0.000804,132.0,1839.0,0.0
2017-11-23,0.000804,0.00123,0.000344,0.001207,121.0,1017.0,0.0
2017-11-24,0.001205,0.001584,0.001182,0.001557,3.0,1524.0,0.0
2017-11-25,0.002218,0.002923,0.001502,0.001959,501.0,2805.0,0.0
2017-11-26,0.001958,0.002885,0.000632,0.001524,202.0,2476.0,0.0
2017-11-27,0.001524,0.001587,0.000379,0.000681,19.0,1927.0,0.0
2017-11-28,0.000683,0.002691,0.000493,0.002683,27.0,864.0,0.0
2017-11-29,0.002681,0.003274,0.002664,0.00305,544.0,3390.0,0.0
2017-11-30,0.003096,0.003367,0.001377,0.002473,97.0,3916.0,0.0
2017-12-01,0.00246,0.00254,0.00176,0.001825,102.0,3111.0,0.0
2017-12-02,0.001824,0.001864,0.000215,0.000218,11.0,2306.0,0.0
2017-12-03,0.000219,0.000236,0.000217,0.000234,12.0,276.0,0.0
2017-12-04,0.002135,0.002327,0.002069,0.002327,70.0,2700.0,0.0
2017-12-05,0.002331,0.003322,0.00186,0.001873,131.0,2948.0,0.0
2017-12-06,0.001868,0.003594,0.000764,0.002614,58.0,2363.0,0.0
2017-12-07,0.00261,0.004156,0.002576,0.004156,487.0,3300.0,0.0
2017-12-08,0.004165,0.004227,0.001083,0.001145,196.0,5267.0,0.0
2017-12-09,0.001144,0.001373,0.000851,0.001166,107.0,1446.0,0.0
2017-12-10,0.001171,0.001417,0.000514,0.00139,116.0,1480.0,0.0
2017-12-11,0.00138,0.001925,0.001023,0.001023,34.0,1746.0,0.0
2017-12-12,0.001026,0.001877,0.000168,0.000601,36.0,1297.0,0.0
2017-12-13,0.000601,0.000823,0.000565,0.000703,19.0,760.0,0.0
2017-12-14,0.0007,0.001994,0.000692,0.001986,3.0,885.0,0.0
2017-12-15,0.002146,0.002146,0.002092,0.002115,1.0,2713.0,0.0
2017-12-16,0.002118,0.002164,0.000211,0.000529,69.0,2678.0,0.0
2017-12-17,0.000529,0.01153,0.000458,0.010793,2528.0,669.0,0.01
2017-12-18,0.010826,0.010826,0.001266,0.006021,3173.0,13689.0,0.01
2017-12-19,0.006026,0.006047,0.000353,0.000353,35.0,7620.0,0.0
2017-12-20,0.000352,0.004793,0.000321,0.002376,361.0,446.0,0.0
2017-12-21,0.002382,0.005108,0.001723,0.004541,198.0,3012.0,0.0
2017-12-22,0.004557,0.008232,0.0039,0.007104,1520.0,5762.0,0.01
2017-12-23,0.007171,0.007657,0.004098,0.00462,41.0,9067.0,0.01
2017-12-24,0.004671,0.040234,0.00301,0.020599,7909.0,5906.0,0.02
2017-12-25,0.020813,0.021012,0.009934,0.010134,726.0,26318.0,0.02
2017-12-26,0.010124,0.014027,0.010082,0.013768,307.0,12802.0,0.01
2017-12-27,0.013778,0.013993,0.010106,0.012905,334.0,17423.0,0.01
2017-12-28,0.012878,0.013868,0.006404,0.00673,48.0,16285.0,0.01
2017-12-29,0.0068,0.0132,0.006705,0.012934,347.0,8598.0,0.01
2017-12-30,0.012901,0.014312,0.007033,0.014139,365.0,16314.0,0.01
2017-12-31,0.013986,0.014814,0.007218,0.013927,173.0,17685.0,0.01
2018-01-01,0.013981,0.013981,0.005546,0.006751,558.0,17680.0,0.01
2018-01-02,0.006751,0.006964,0.002643,0.005658,1225.0,8536.0,0.0
2018-01-03,0.005638,0.006185,0.004412,0.005295,2203.0,7129.0,0.01
2018-01-04,0.005324,0.005409,0.003448,0.004705,342.0,6732.0,0.0
2018-01-05,0.004706,0.006618,0.003526,0.006618,394.0,5951.0,0.01
2018-01-06,0.006624,0.006782,0.001684,0.002754,1615.0,8376.0,0.0
2018-01-07,0.002752,0.010645,0.001676,0.003262,9912.0,3480.0,0.01
2018-01-08,0.003257,0.006849,0.002976,0.003473,7973.0,4119.0,0.0
2018-01-09,0.003464,0.006937,0.002989,0.005542,13566.0,4380.0,0.0
2018-01-10,0.00555,0.006108,0.003833,0.005249,7456.0,7018.0,0.0
2018-01-11,0.005244,0.005822,0.001342,0.002413,14401.0,6631.0,0.0
2018-01-12,0.002429,0.004107,0.00237,0.003622,4843.0,3072.0,0.0
2018-01-13,0.003618,0.004007,0.002562,0.003157,4291.0,4574.0,0.0
2018-01-14,0.003159,0.003832,0.002653,0.002758,7644.0,3995.0,0.0
2018-01-15,0.002738,0.003843,0.002592,0.00273,8361.0,3462.0,0.0
