Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-04-30,0.002028,0.005829,5e-06,0.001417,1243.0,-1,0.0
2015-05-01,0.001416,0.001425,0.000249,0.000912,10.0,-1,0.0
2015-05-02,0.000913,0.000925,0.000275,0.000275,1.0,-1,0.0
2015-05-03,0.000275,0.000285,0.000274,0.000279,9.0,-1,0.0
2015-05-04,0.000279,0.000281,0.000276,0.000276,9.0,-1,0.0
2015-05-06,8.9e-05,9e-05,8.7e-05,8.7e-05,0.0,-1,0.0
2015-05-07,8.7e-05,0.000423,8.7e-05,0.0001,29.0,-1,0.0
2015-05-08,0.0001,0.000103,3.4e-05,3.4e-05,8.0,-1,0.0
2015-05-09,3.4e-05,3.5e-05,3.4e-05,3.4e-05,1.0,-1,0.0
2015-05-10,3.4e-05,3.4e-05,3.3e-05,3.4e-05,1.0,-1,0.0
2015-05-11,3.4e-05,3.4e-05,3.1e-05,3.4e-05,2.0,-1,0.0
2015-05-12,3.4e-05,3.6e-05,3.4e-05,3.6e-05,0.0,-1,0.0
2015-05-13,3.6e-05,4.4e-05,3.6e-05,4.3e-05,1.0,-1,0.0
2015-05-14,4.3e-05,0.001836,4.2e-05,0.000784,4738.0,-1,0.0
2015-05-15,0.000784,0.000785,0.000185,0.000261,41.0,-1,0.0
2015-05-16,0.000261,0.000261,0.00026,0.00026,0.0,-1,0.0
2015-05-18,0.000186,0.000187,0.000186,0.000187,6.0,-1,0.0
2015-05-19,0.000186,0.000187,0.000185,0.000186,5.0,-1,0.0
2015-05-20,0.000186,0.000188,0.000185,0.000187,0.0,-1,0.0
2015-05-21,0.000187,0.000328,0.000187,0.000327,0.0,-1,0.0
2015-05-22,0.000327,0.000329,0.000188,0.000192,4.0,-1,0.0
2015-05-23,0.000192,0.000193,0.000191,0.000193,4.0,-1,0.0
2015-05-28,8.6e-05,8.6e-05,8.5e-05,8.5e-05,0.0,-1,0.0
2015-05-29,8.5e-05,8.6e-05,8.5e-05,8.5e-05,0.0,-1,0.0
2015-06-02,8.7e-05,8.8e-05,8.7e-05,8.8e-05,0.0,-1,0.0
2015-06-03,8.8e-05,9.3e-05,8.7e-05,9.3e-05,2.0,-1,0.0
2015-06-04,9.3e-05,9.3e-05,8.5e-05,8.5e-05,4.0,-1,0.0
2015-06-05,8.5e-05,8.6e-05,8.5e-05,8.5e-05,4.0,-1,0.0
2015-06-08,0.000177,0.000181,0.000177,0.000181,1.0,-1,0.0
2015-06-09,0.000181,0.000181,0.00018,0.00018,1.0,-1,0.0
2015-06-16,7.7e-05,7.8e-05,7.6e-05,7.8e-05,0.0,-1,0.0
2015-06-17,7.8e-05,8e-05,7.6e-05,7.8e-05,0.0,-1,0.0
2015-06-24,6e-05,0.000232,6e-05,0.000216,16.0,-1,0.0
2015-06-25,0.000216,0.000382,0.000216,0.000381,17.0,-1,0.0
2015-06-26,0.000381,0.000381,0.000379,0.000381,17.0,-1,0.0
2015-06-27,0.000243,0.000369,2.4e-05,0.000341,5260.0,-1,0.0
2015-06-28,0.000341,0.000342,0.000337,0.000339,0.0,-1,0.0
2015-06-29,6.6e-05,6.7e-05,6.6e-05,6.7e-05,5.0,-1,0.0
2015-06-30,6.7e-05,6.9e-05,6.7e-05,6.8e-05,5.0,-1,0.0
2015-07-04,0.00031,0.000314,0.000309,0.000313,1.0,-1,0.0
2015-07-05,0.000313,0.000316,0.00031,0.000314,1.0,-1,0.0
2015-07-17,8.6e-05,8.7e-05,8.6e-05,8.7e-05,3.0,-1,0.0
2015-07-18,8.7e-05,8.8e-05,8.5e-05,8.5e-05,2.0,-1,0.0
2015-07-21,5.8e-05,5.9e-05,5.8e-05,5.8e-05,1.0,-1,0.0
2015-07-22,5.8e-05,5.8e-05,5.5e-05,5.5e-05,2.0,-1,0.0
2015-07-23,5.5e-05,5.6e-05,5.5e-05,5.5e-05,2.0,-1,0.0
2015-07-24,0.000137,0.000139,0.000136,0.000138,10.0,-1,0.0
2015-07-25,0.000138,0.000139,0.000137,0.000139,10.0,-1,0.0
2015-08-07,1.7e-05,0.000263,1.7e-05,0.000263,14.0,-1,0.0
2015-08-08,0.000263,0.000263,0.000251,0.000251,9.0,-1,0.0
2015-08-18,0.000123,0.000123,0.000101,0.000101,4.0,-1,0.0
2015-08-19,0.000108,0.000114,0.000108,0.000112,4.0,-1,0.0
2015-08-27,3.4e-05,3.4e-05,3.4e-05,3.4e-05,2.0,-1,0.0
2015-08-28,3.4e-05,3.4e-05,3.3e-05,3.3e-05,2.0,-1,0.0
2015-09-03,0.000114,0.000114,0.000114,0.000114,8.0,-1,0.0
2015-09-04,0.000114,0.000115,0.000114,0.000115,8.0,-1,0.0
2015-09-27,7e-05,7e-05,7e-05,7e-05,24.0,-1,0.0
2015-09-28,7e-05,7.2e-05,7e-05,7.1e-05,25.0,-1,0.0
2015-10-03,0.000212,0.000213,0.000212,0.000213,0.0,-1,0.0
2015-10-04,0.000212,0.000213,0.000212,0.000212,0.0,-1,0.0
2015-10-12,0.000225,0.000225,0.000223,0.000223,8.0,-1,0.0
2015-10-13,0.000223,0.000225,0.000222,0.000225,8.0,-1,0.0
2015-10-20,7e-05,7e-05,7e-05,7e-05,2.0,-1,0.0
2015-10-21,7e-05,7e-05,5.1e-05,5.1e-05,2.0,-1,0.0
2015-10-22,5.1e-05,5.3e-05,5.1e-05,5.2e-05,2.0,-1,0.0
2015-10-23,5.2e-05,5.2e-05,5.2e-05,5.2e-05,2.0,-1,0.0
2016-06-14,0.020283,0.034375,0.01102,0.01982,2131.0,-1,0.02
2016-06-15,0.019813,0.019816,0.004814,0.006954,154.0,-1,0.01
2016-06-16,0.006959,0.008234,0.00161,0.001617,13.0,-1,0.0
2016-06-17,0.001617,0.005607,0.000503,0.00051,21.0,-1,0.0
2016-06-18,0.000509,0.000529,0.000472,0.000477,0.0,-1,0.0
2016-06-19,0.000476,0.000498,0.00047,0.000496,0.0,-1,0.0
2016-06-20,0.000496,0.000497,0.000456,0.000457,1.0,-1,0.0
2016-06-21,0.000457,0.000457,0.000396,0.000412,1.0,-1,0.0
2016-06-23,0.000403,0.000441,0.000393,0.000437,0.0,-1,0.0
2016-06-24,0.000437,0.000477,0.000437,0.000465,0.0,-1,0.0
2016-06-28,0.000427,0.000428,0.000415,0.000421,0.0,-1,0.0
2016-06-29,0.000421,0.000421,0.000408,0.000409,0.0,-1,0.0
2016-07-07,0.000434,0.000448,0.000428,0.000448,0.0,-1,0.0
2016-07-08,0.000448,0.00046,0.000446,0.000459,0.0,-1,0.0
2016-07-13,0.00099,0.007864,0.000492,0.000492,32.0,-1,0.0
2016-07-14,0.000491,0.000497,0.00049,0.000495,0.0,-1,0.0
2016-07-15,0.007849,0.007857,0.001328,0.006625,254.0,-1,0.0
2016-07-16,0.006619,0.006651,0.006532,0.006556,0.0,-1,0.01
2016-07-17,0.006542,0.00675,0.006542,0.006707,0.0,-1,0.01
2016-07-18,0.006713,0.027152,0.006713,0.00872,3153.0,-1,0.02
2016-07-19,0.008717,0.008719,0.001337,0.001346,3.0,-1,0.01
2016-07-20,0.001346,0.001346,0.001229,0.001232,0.0,-1,0.0
2016-07-21,0.001232,0.001233,0.001222,0.001231,0.0,-1,0.0
2016-07-23,0.000655,0.000656,0.000655,0.000656,0.0,-1,0.0
2016-07-24,0.000656,0.000701,0.000653,0.000701,0.0,-1,0.0
2016-07-25,0.000701,0.000702,0.000686,0.000693,0.0,-1,0.0
2016-07-26,0.000693,0.003271,0.000646,0.001304,0.0,-1,0.0
2016-07-27,0.001304,0.001309,0.000632,0.000635,1.0,-1,0.0
2016-07-28,0.000635,0.006486,0.000635,0.000655,70.0,-1,0.0
2016-07-29,0.000655,0.000658,0.000655,0.000657,6.0,-1,0.0
2016-07-31,0.000672,0.000675,0.000662,0.000663,1.0,-1,0.0
2016-08-01,0.000662,0.004383,0.000656,0.000685,0.0,-1,0.0
2016-08-02,0.000685,0.000693,0.000652,0.000654,0.0,-1,0.0
2016-08-03,0.000664,0.003813,0.000662,0.003767,0.0,-1,0.0
2016-08-04,0.003766,0.003844,0.00069,0.003406,2.0,-1,0.0
2016-08-05,0.003406,0.003862,0.003357,0.003848,14.0,-1,0.0
2016-08-06,0.003847,0.00393,0.00381,0.003914,0.0,-1,0.0
2016-08-08,0.003895,0.003906,0.003889,0.003895,0.0,-1,0.0
2016-08-09,0.003895,0.003895,0.003854,0.003883,0.0,-1,0.0
2016-08-10,0.000906,0.000906,0.000898,0.0009,0.0,-1,0.0
2016-08-11,0.0009,0.000908,0.000899,0.000899,0.0,-1,0.0
2016-08-13,0.000928,0.000933,0.000924,0.000925,0.0,-1,0.0
2016-08-14,0.000925,0.000925,0.000875,0.000884,1.0,-1,0.0
2016-08-15,0.000884,0.000889,0.000883,0.000883,1.0,-1,0.0
2016-08-17,0.001562,0.001568,0.001543,0.001548,0.0,-1,0.0
2016-08-18,0.001548,0.00155,0.00089,0.00089,4.0,-1,0.0
2016-08-19,0.00089,0.000896,0.00089,0.000894,4.0,-1,0.0
2016-08-27,0.000944,0.000944,0.000912,0.000912,1.0,-1,0.0
2016-08-28,0.000912,0.000918,0.000912,0.000916,1.0,-1,0.0
2016-08-30,0.002855,0.002874,0.002854,0.00287,3.0,-1,0.0
2016-08-31,0.00287,0.002872,0.002854,0.002858,0.0,-1,0.0
2016-09-03,0.001013,0.001019,0.001013,0.001016,0.0,-1,0.0
2016-09-04,0.001017,0.00104,0.001011,0.001016,3.0,-1,0.0
2016-09-05,0.001016,0.001017,0.000946,0.000946,17.0,-1,0.0
2016-09-06,0.000946,0.000953,0.000944,0.000952,7.0,-1,0.0
2016-09-08,0.0016,0.001601,0.001584,0.001591,1.0,-1,0.0
2016-09-09,0.001591,0.001592,0.000987,0.00099,1.0,-1,0.0
2016-09-10,0.00099,0.001062,0.00099,0.00106,1.0,-1,0.0
2016-09-11,0.00106,0.00106,0.000955,0.000964,2.0,-1,0.0
2016-09-12,0.000965,0.000967,0.000957,0.000961,0.0,-1,0.0
2016-09-13,0.000961,0.000962,0.000959,0.00096,0.0,-1,0.0
2016-09-14,0.001467,0.001469,0.001465,0.001466,0.0,-1,0.0
2016-09-15,0.001466,0.001571,0.001462,0.001567,0.0,-1,0.0
2016-09-16,0.001566,0.001572,0.001092,0.001093,0.0,-1,0.0
2016-09-17,0.001093,0.003944,0.000969,0.00097,127.0,-1,0.0
