Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-04-13,0.025702,0.080313,0.010351,0.010352,4088.0,172.0,0.05
2016-04-14,0.010357,0.03173,0.00509,0.008486,515.0,75.0,0.02
2016-04-15,0.008489,0.016289,0.006794,0.008599,85.0,78.0,0.01
2016-04-16,0.008596,0.015142,0.007333,0.007337,134.0,99.0,0.01
2016-04-17,0.007338,0.013765,0.007316,0.009416,90.0,101.0,0.01
2016-04-18,0.009416,0.025679,0.009413,0.009528,81.0,151.0,0.02
2016-04-19,0.00953,0.018833,0.009425,0.010048,52.0,158.0,0.01
2016-04-20,0.010043,0.018006,0.009696,0.009733,17.0,167.0,0.01
2016-04-21,0.009733,0.017171,0.009723,0.009887,15.0,162.0,0.01
2016-04-22,0.009893,0.024512,0.00446,0.024039,91.0,164.0,0.01
2016-04-23,0.024045,0.024052,0.0045,0.005881,10.0,400.0,0.01
2016-04-24,0.005884,0.01173,0.005867,0.005998,9.0,98.0,0.01
2016-04-25,0.006005,0.012091,0.004685,0.004854,36.0,100.0,0.01
2016-04-26,0.004857,0.010997,0.004856,0.004922,16.0,81.0,0.01
2016-04-27,0.004924,0.010888,0.004816,0.0049,22.0,82.0,0.01
2016-04-28,0.004904,0.010467,0.004812,0.004957,7.0,82.0,0.01
2016-04-29,0.004961,0.010697,0.004928,0.005061,6.0,82.0,0.01
2016-04-30,0.005062,0.009179,0.004993,0.005115,7.0,84.0,0.01
2016-05-01,0.005117,0.008776,0.005111,0.005427,14.0,85.0,0.01
2016-05-02,0.005428,0.008375,0.00536,0.005843,27.0,90.0,0.01
2016-05-03,0.005844,0.006253,0.005491,0.005494,9.0,97.0,0.01
2016-05-04,0.005492,0.010528,0.005423,0.005772,11.0,91.0,0.01
2016-05-05,0.005772,0.006366,0.005467,0.005555,16.0,96.0,0.01
2016-05-06,0.005554,0.008115,0.005548,0.005763,6.0,92.0,0.01
2016-05-07,0.005764,0.005764,0.005577,0.00558,10.0,96.0,0.01
2016-05-08,0.005579,0.017881,0.005561,0.017879,20.0,93.0,0.01
2016-05-09,0.008119,0.017109,0.005574,0.005779,67.0,135.0,0.01
2016-05-10,0.005779,0.015508,0.005774,0.005884,6.0,96.0,0.01
2016-05-11,0.005884,0.010246,0.005704,0.005718,2.0,98.0,0.01
2016-05-12,0.005714,0.005737,0.00567,0.005735,3.0,95.0,0.01
2016-05-13,0.005736,0.010195,0.005723,0.00576,3.0,95.0,0.01
2016-05-14,0.005762,0.009771,0.005731,0.005769,13.0,96.0,0.01
2016-05-15,0.00577,0.005814,0.005564,0.005564,33.0,96.0,0.01
2016-05-16,0.005564,0.008701,0.000498,0.000591,13.0,93.0,0.0
2016-05-17,0.00059,0.007719,0.00059,0.007678,1.0,10.0,0.0
2016-05-18,0.007676,0.007686,0.001405,0.00145,9.0,128.0,0.0
2016-05-19,0.00145,0.008406,0.001449,0.008243,76.0,24.0,0.0
2016-05-20,0.008226,0.014582,0.002242,0.003063,52.0,137.0,0.01
2016-05-21,0.003063,0.015063,0.003061,0.012269,74.0,51.0,0.01
2016-05-22,0.012268,0.013294,0.003104,0.011409,108.0,204.0,0.01
2016-05-23,0.01141,0.011516,0.004044,0.004268,12.0,190.0,0.01
2016-05-24,0.00427,0.011531,0.004266,0.004562,49.0,71.0,0.01
2016-05-25,0.004563,0.006738,0.004563,0.00473,16.0,76.0,0.01
2016-05-26,0.004731,0.023798,0.00285,0.023798,191.0,79.0,0.01
2016-05-27,0.023798,0.024886,0.004777,0.015766,8.0,396.0,0.01
2016-05-28,0.015752,0.016782,0.007979,0.008512,9.0,262.0,0.01
2016-05-29,0.008471,0.015902,0.006747,0.006862,28.0,141.0,0.01
2016-05-30,0.006891,0.007088,0.006819,0.006946,28.0,115.0,0.01
2016-05-31,0.006939,0.006988,0.002095,0.002152,5.0,115.0,0.0
2016-06-01,0.002151,0.01431,0.002129,0.002228,10.0,36.0,0.01
2016-06-02,0.002414,0.010195,0.002222,0.002259,35.0,40.0,0.01
2016-06-03,0.002258,0.00857,0.002258,0.003415,10.0,38.0,0.01
2016-06-04,0.003418,0.003422,0.003069,0.00335,4.0,57.0,0.0
2016-06-05,0.003354,0.015707,0.003354,0.0092,20.0,56.0,0.01
2016-06-06,0.009194,0.009785,0.004455,0.004977,7.0,153.0,0.01
2016-06-07,0.004976,0.007162,0.004825,0.004907,8.0,83.0,0.01
2016-06-08,0.004912,0.013882,0.004364,0.004647,21.0,82.0,0.01
2016-06-09,0.004652,0.007486,0.004294,0.004425,19.0,77.0,0.01
2016-06-10,0.004434,0.004802,0.004434,0.004487,5.0,74.0,0.0
2016-06-11,0.004496,0.006961,0.004496,0.00472,4.0,75.0,0.01
