Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-09-19,0.109728,0.87356,0.091306,0.590555,449524.0,-1.0,0.48
2017-09-20,0.582455,0.780978,0.518468,0.655839,417884.0,-1.0,0.65
2017-09-21,0.66031,0.669942,0.35578,0.410707,180945.0,-1.0,0.51
2017-09-22,0.403356,0.497941,0.301678,0.431846,141021.0,-1.0,0.4
2017-09-23,0.450642,0.460329,0.325055,0.38174,188694.0,-1.0,0.39
2017-09-24,0.385064,0.737588,0.35431,0.629348,531317.0,-1.0,0.55
2017-09-25,0.665966,0.945712,0.417663,0.629695,1682940.0,-1.0,0.68
2017-09-26,0.626177,0.67045,0.547804,0.570197,282925.0,939265.0,0.61
2017-09-27,0.567971,0.673242,0.51443,0.658534,322849.0,851956.0,0.59
2017-09-28,0.658546,0.68635,0.61316,0.648406,146593.0,987818.0,0.65
2017-09-29,0.647873,0.677001,0.607456,0.641751,101409.0,971810.0,0.64
2017-09-30,0.641835,0.704935,0.640524,0.70227,153215.0,962752.0,0.67
2017-10-01,0.702643,0.999488,0.674651,0.90056,336874.0,1053960.0,0.84
2017-10-02,0.891811,0.91536,0.73371,0.785434,387166.0,1337720.0,0.82
2017-10-03,0.757296,1.17,0.717467,0.924894,399010.0,1135940.0,0.94
2017-10-04,0.942061,1.56,0.877401,1.45,820165.0,1413090.0,1.22
2017-10-05,1.37,2.55,1.37,2.39,1853820.0,2049940.0,1.96
2017-10-06,2.37,5.21,2.36,4.52,6716130.0,3548620.0,3.79
2017-10-07,4.55,4.55,2.3,2.89,3733990.0,6829550.0,3.42
2017-10-08,3.09,3.43,1.36,1.6,3148350.0,4630560.0,2.4
2017-10-09,1.58,2.07,0.923409,1.01,2397010.0,2366600.0,1.5
2017-10-10,1.03,1.76,0.976402,1.14,1398900.0,1549410.0,1.37
2017-10-11,1.13,1.31,0.61301,0.708893,907631.0,1697550.0,0.96
2017-10-12,0.717617,0.98779,0.676694,0.757907,641612.0,1076430.0,0.83
2017-10-13,0.774875,0.778812,0.566323,0.623798,335064.0,1162310.0,0.67
2017-10-14,0.624072,0.635004,0.369903,0.445923,264337.0,936108.0,0.5
