Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-09-15,0.137486,0.137532,0.081207,0.107759,3473.0,-1.0,0.11
2015-09-16,0.107771,0.194704,0.093863,0.194704,4481.0,-1.0,0.14
2015-09-17,0.194715,0.482601,0.134267,0.318205,43193.0,-1.0,0.31
2015-09-18,0.306083,0.36308,0.282458,0.286334,17796.0,-1.0,0.32
2015-09-19,0.286156,0.294929,0.243254,0.267399,9875.0,-1.0,0.27
2015-09-20,0.26739,0.268431,0.157527,0.173364,12548.0,-1.0,0.21
2015-09-21,0.173368,0.18362,0.155556,0.183492,10977.0,-1.0,0.17
2015-09-22,0.18388,0.200743,0.167579,0.175521,1826.0,-1.0,0.18
2015-09-23,0.175765,0.181867,0.16864,0.173051,4270.0,-1.0,0.18
2015-09-24,0.173107,0.174089,0.112125,0.138255,3207.0,58277.0,0.14
2015-09-25,0.138156,0.139592,0.104933,0.121849,1826.0,46380.0,0.12
2015-09-26,0.121814,0.121962,0.094692,0.110205,444.0,40979.0,0.11
2015-09-27,0.11011,0.11018,0.099947,0.107067,500.0,37071.0,0.11
2015-09-28,0.107103,0.114053,0.094012,0.104372,723.0,36141.0,0.1
2015-09-29,0.104317,0.104437,0.062761,0.076513,1192.0,35107.0,0.08
2015-09-30,0.076498,0.080557,0.074207,0.074286,222.0,26069.0,0.08
2015-10-01,0.074269,0.077583,0.061009,0.077452,891.0,25606.0,0.07
2015-10-02,0.07707,0.077166,0.057406,0.062588,829.0,27143.0,0.07
2015-10-03,0.062799,0.077431,0.051193,0.051201,1025.0,22939.0,0.06
2015-10-04,0.059478,0.065056,0.047313,0.056201,477.0,22167.0,0.06
2015-10-05,0.056175,0.064339,0.052799,0.05283,576.0,21340.0,0.06
2015-10-06,0.052826,0.057392,0.042321,0.043014,820.0,20424.0,0.05
2015-10-07,0.043032,0.048487,0.038731,0.04003,556.0,17009.0,0.04
2015-10-08,0.040048,0.04111,0.038072,0.038252,271.0,16051.0,0.04
2015-10-09,0.038283,0.040378,0.031917,0.032961,522.0,15674.0,0.04
2015-10-10,0.032935,0.041746,0.0269,0.028138,347.0,13663.0,0.03
2015-10-11,0.028115,0.035205,0.028071,0.029617,212.0,11879.0,0.03
2015-10-12,0.029596,0.036823,0.029385,0.030943,399.0,12759.0,0.03
2015-10-13,0.030929,0.034908,0.027211,0.029757,439.0,13573.0,0.03
2015-10-14,0.027711,0.031994,0.027616,0.028191,449.0,12369.0,0.03
2015-10-15,0.028205,0.033596,0.027995,0.029825,868.0,12804.0,0.03
2015-10-16,0.029822,0.032754,0.027196,0.027651,770.0,13752.0,0.03
2015-10-17,0.027638,0.03009,0.026224,0.026946,318.0,12957.0,0.03
2015-10-18,0.026973,0.028022,0.024487,0.024635,288.0,12648.0,0.03
2015-10-19,0.024657,0.026351,0.017524,0.01791,188.0,11823.0,0.02
2015-10-20,0.01792,0.031808,0.01792,0.021865,357.0,8682.0,0.02
2015-10-21,0.021852,0.02187,0.014963,0.015023,195.0,10726.0,0.02
2015-10-22,0.015036,0.016406,0.015033,0.015286,127.0,7485.0,0.02
2015-10-23,0.015265,0.030389,0.015259,0.022855,454.0,7747.0,0.02
2015-10-24,0.022856,0.022893,0.018592,0.022339,375.0,11765.0,0.02
2015-10-25,0.022322,0.0233,0.018075,0.018124,307.0,11491.0,0.02
2015-10-26,0.01812,0.019399,0.017576,0.017586,62.0,9328.0,0.02
2015-10-27,0.017577,0.026097,0.017566,0.019008,208.0,9048.0,0.02
2015-10-28,0.018309,0.030448,0.018309,0.019781,141.0,9425.0,0.02
2015-10-29,0.019668,0.035491,0.019267,0.028417,1373.0,10124.0,0.03
2015-10-30,0.028426,0.028502,0.022466,0.022874,436.0,14633.0,0.03
2015-10-31,0.022661,0.026326,0.022661,0.025845,198.0,11665.0,0.02
2015-11-01,0.025914,0.026072,0.022693,0.02327,185.0,13340.0,0.02
2015-11-02,0.023306,0.026477,0.022976,0.026216,148.0,11997.0,0.02
2015-11-03,0.026266,0.032597,0.025694,0.029045,863.0,15415.0,0.03
2015-11-04,0.029063,0.033897,0.023484,0.025233,1335.0,17304.0,0.03
2015-11-05,0.025182,0.027036,0.022983,0.024613,85.0,15170.0,0.03
2015-11-06,0.024721,0.024721,0.020872,0.023294,254.0,15033.0,0.02
2015-11-07,0.023422,0.023974,0.022113,0.022572,101.0,14457.0,0.02
2015-11-08,0.022588,0.023633,0.02011,0.022263,112.0,14105.0,0.02
2015-11-09,0.022382,0.023714,0.021752,0.023438,175.0,14177.0,0.02
2015-11-10,0.023421,0.024702,0.020525,0.021213,429.0,15034.0,0.02
2015-11-11,0.021402,0.022294,0.018239,0.019046,524.0,13947.0,0.02
2015-11-12,0.01923,0.02295,0.019185,0.022902,148.0,12660.0,0.02
2015-11-13,0.022926,0.023089,0.018849,0.019696,142.0,15213.0,0.02
2015-11-14,0.019688,0.019779,0.018359,0.01858,169.0,13225.0,0.02
2015-11-15,0.018588,0.0193,0.017492,0.017736,81.0,12644.0,0.02
2015-11-16,0.017712,0.018227,0.016391,0.016524,396.0,12190.0,0.02
2015-11-17,0.016524,0.018473,0.01616,0.016233,83.0,11510.0,0.02
2015-11-18,0.016208,0.016274,0.014202,0.014237,112.0,11389.0,0.02
2015-11-19,0.01424,0.015733,0.014233,0.014873,89.0,10086.0,0.01
2015-11-20,0.014889,0.015075,0.013825,0.013947,35.0,10658.0,0.01
2015-11-21,0.013944,0.02029,0.013838,0.014225,3.0,10094.0,0.02
2015-11-22,0.014227,0.015783,0.012817,0.013671,160.0,10339.0,0.01
2015-11-23,0.013663,0.01381,0.010295,0.010326,93.0,9929.0,0.01
2015-11-24,0.00851,0.010136,0.008265,0.008272,73.0,6184.0,0.01
2015-11-25,0.00829,0.008952,0.007721,0.008951,47.0,6025.0,0.01
2015-11-26,0.008949,0.010446,0.007375,0.007375,48.0,6810.0,0.01
2015-11-27,0.007357,0.010204,0.006396,0.006863,118.0,5651.0,0.01
2015-11-28,0.006846,0.009625,0.006733,0.009625,28.0,5287.0,0.01
2015-11-29,0.009626,0.010372,0.00713,0.009307,125.0,7514.0,0.01
2015-11-30,0.009311,0.013598,0.007852,0.011344,266.0,7345.0,0.01
2015-12-01,0.011347,0.012219,0.008013,0.010699,176.0,8989.0,0.01
2015-12-02,0.01068,0.010812,0.008061,0.010387,166.0,8564.0,0.01
2015-12-03,0.010391,0.010499,0.007688,0.008029,97.0,8402.0,0.01
2015-12-04,0.008034,0.00966,0.007762,0.008167,99.0,6564.0,0.01
2015-12-05,0.008179,0.009571,0.008032,0.009561,83.0,6761.0,0.01
2015-12-06,0.009576,0.009789,0.008377,0.008377,32.0,8023.0,0.01
2015-12-07,0.008403,0.011735,0.008304,0.008806,124.0,7120.0,0.01
2015-12-08,0.00881,0.010196,0.008712,0.010196,19.0,7525.0,0.01
2015-12-09,0.010169,0.010649,0.008155,0.008382,224.0,8737.0,0.01
2015-12-10,0.00839,0.010246,0.008157,0.008329,4.0,7273.0,0.01
2015-12-11,0.008322,0.008737,0.004705,0.00479,240.0,7280.0,0.01
2015-12-12,0.004794,0.010244,0.004228,0.010059,337.0,4232.0,0.01
2015-12-13,0.010807,0.04149,0.006581,0.04135,12759.0,9577.0,0.02
2015-12-14,0.03333,0.039017,0.013477,0.014505,6472.0,29791.0,0.03
2015-12-15,0.014475,0.01803,0.013525,0.015326,677.0,13140.0,0.02
2015-12-16,0.014986,0.015398,0.012225,0.012314,93.0,13660.0,0.01
2015-12-17,0.01231,0.021252,0.010434,0.018975,286.0,11338.0,0.02
2015-12-18,0.018966,0.022078,0.011607,0.011631,132.0,17628.0,0.02
2015-12-19,0.011629,0.013768,0.011453,0.013768,62.0,10914.0,0.01
2015-12-20,0.013765,0.013771,0.010955,0.011036,122.0,13027.0,0.01
2015-12-21,0.011039,0.013124,0.010127,0.010333,547.0,10535.0,0.01
2015-12-22,0.010305,0.025958,0.010305,0.02044,2554.0,9916.0,0.02
2015-12-23,0.017279,0.087454,0.015397,0.059487,93709.0,16776.0,0.05
2015-12-24,0.064951,0.119366,0.054196,0.098026,34634.0,64018.0,0.09
2015-12-25,0.120144,0.121678,0.060378,0.065137,24727.0,122918.0,0.09
2015-12-26,0.06677,0.076972,0.047272,0.053373,11130.0,70036.0,0.06
2015-12-27,0.053277,0.0705,0.046987,0.05531,5340.0,56062.0,0.06
2015-12-28,0.055378,0.063484,0.035944,0.041694,5909.0,58607.0,0.05
2015-12-29,0.041676,0.046917,0.036558,0.040794,1733.0,44378.0,0.04
2015-12-30,0.040824,0.04823,0.036264,0.041533,3280.0,43709.0,0.04
2015-12-31,0.041484,0.041922,0.033937,0.038537,1037.0,44656.0,0.04
2016-01-01,0.03855,0.040077,0.037772,0.037965,447.0,41793.0,0.04
2016-01-02,0.038941,0.039979,0.033961,0.034014,2951.0,42633.0,0.04
2016-01-03,0.034025,0.038225,0.033633,0.037999,1985.0,37112.0,0.04
2016-01-04,0.038003,0.038777,0.035113,0.037033,1345.0,41741.0,0.04
2016-01-05,0.036874,0.03844,0.030406,0.034436,2394.0,40813.0,0.03
2016-01-06,0.034426,0.034426,0.024926,0.029719,3218.0,38385.0,0.03
2016-01-07,0.029782,0.038268,0.023478,0.032046,3977.0,33490.0,0.03
2016-01-08,0.03201,0.032544,0.023541,0.027067,1965.0,36230.0,0.03
2016-01-09,0.027076,0.028312,0.022677,0.025595,1648.0,30810.0,0.03
2016-01-10,0.025632,0.02806,0.023613,0.026946,718.0,29167.0,0.03
2016-01-11,0.026989,0.031987,0.0237,0.031987,2336.0,30711.0,0.03
2016-01-12,0.03197,0.044156,0.029489,0.036357,4801.0,37240.0,0.04
2016-01-13,0.036272,0.040175,0.032448,0.033384,1379.0,42452.0,0.04
2016-01-14,0.033378,0.05548,0.031057,0.049645,6975.0,39065.0,0.04
2016-01-15,0.049633,0.051378,0.036686,0.036686,2187.0,58089.0,0.04
2016-01-16,0.036765,0.041445,0.028793,0.033873,2550.0,43029.0,0.04
2016-01-17,0.03384,0.037397,0.026731,0.026744,969.0,39605.0,0.03
2016-01-18,0.026705,0.034431,0.025314,0.029092,2037.0,31255.0,0.03
2016-01-19,0.029081,0.035889,0.027584,0.032563,1429.0,34036.0,0.03
2016-01-20,0.032524,0.034051,0.028737,0.032197,950.0,38066.0,0.03
2016-01-21,0.03215,0.038104,0.030015,0.032266,1086.0,37628.0,0.03
2016-01-22,0.032226,0.032612,0.028656,0.029236,280.0,37716.0,0.03
2016-01-23,0.029232,0.031825,0.026857,0.028378,1953.0,34213.0,0.03
2016-01-24,0.028422,0.031976,0.026878,0.02775,1553.0,33265.0,0.03
2016-01-25,0.027705,0.031707,0.026417,0.028375,667.0,32425.0,0.03
2016-01-26,0.028395,0.029943,0.02568,0.02817,933.0,33233.0,0.03
2016-01-27,0.028191,0.035427,0.027422,0.032028,2408.0,32994.0,0.03
2016-01-28,0.032042,0.043183,0.032042,0.039318,3082.0,37501.0,0.04
2016-01-29,0.039299,0.039299,0.032679,0.033089,1774.0,45995.0,0.04
2016-01-30,0.033036,0.03508,0.031723,0.03443,220.0,38665.0,0.03
2016-01-31,0.034434,0.039398,0.031834,0.031915,144.0,40301.0,0.04
2016-02-01,0.031965,0.044488,0.031926,0.037936,2221.0,37412.0,0.04
2016-02-02,0.037922,0.058666,0.037922,0.043846,8480.0,44383.0,0.05
2016-02-03,0.04387,0.05209,0.03754,0.042173,2040.0,51344.0,0.04
2016-02-04,0.042198,0.046016,0.038375,0.042276,2518.0,49388.0,0.04
2016-02-05,0.0422,0.044963,0.035551,0.043324,3335.0,49390.0,0.04
2016-02-06,0.043324,0.043324,0.035904,0.036799,546.0,50705.0,0.04
2016-02-07,0.036799,0.043139,0.036595,0.037139,942.0,43068.0,0.04
2016-02-08,0.037144,0.044441,0.037144,0.039121,860.0,43473.0,0.04
2016-02-09,0.039121,0.052651,0.039121,0.046718,3292.0,45787.0,0.05
