Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-07-25,0.003064,0.003065,0.001308,0.001314,8.0,-1.0,0.0
2015-07-26,0.001313,0.002896,0.001309,0.002113,1.0,-1.0,0.0
2015-07-27,0.002113,0.002935,0.001342,0.002907,20.0,-1.0,0.0
2015-07-28,0.002907,0.002937,0.00154,0.001781,4.0,-1.0,0.0
2015-07-29,0.001782,0.001817,0.001747,0.001752,25.0,-1.0,0.0
2015-07-30,0.001749,0.001751,0.001335,0.001582,1.0,-1.0,0.0
2015-07-31,0.001582,0.001589,0.000711,0.000712,6.0,-1.0,0.0
2015-08-01,0.000712,0.000993,0.00028,0.000282,5.0,-1.0,0.0
2015-08-02,0.00028,0.000962,0.000278,0.000961,4.0,-1.0,0.0
2015-08-03,0.000962,0.000962,0.000289,0.00029,1.0,-1.0,0.0
2015-08-04,0.00029,0.000306,0.00029,0.000305,1.0,-1.0,0.0
2015-08-05,0.000305,0.00031,0.000282,0.00031,2.0,-1.0,0.0
2015-08-06,0.00031,0.00031,0.000306,0.000306,1.0,-1.0,0.0
2015-08-07,0.000307,0.000308,0.000275,0.000277,1.0,-1.0,0.0
2015-08-08,0.000277,0.000649,0.000275,0.000626,3.0,-1.0,0.0
2015-08-09,0.000627,0.000631,0.000259,0.000292,2.0,-1.0,0.0
2015-08-10,0.000292,0.000294,0.000289,0.000291,2.0,-1.0,0.0
2015-08-11,0.000291,0.000297,0.00026,0.000297,2.0,-1.0,0.0
2015-08-12,0.000298,0.000776,0.00026,0.000266,4.0,-1.0,0.0
2015-08-13,0.000266,0.000754,0.000261,0.000261,6.0,-1.0,0.0
2015-08-14,0.000261,0.000265,0.000259,0.000263,1.0,-1.0,0.0
2015-08-15,0.000263,0.000266,0.000259,0.000262,2.0,-1.0,0.0
2015-08-16,0.000262,0.000262,0.000252,0.000253,1.0,-1.0,0.0
2015-08-17,0.000253,0.000261,0.000253,0.000255,2.0,-1.0,0.0
2015-08-18,0.000255,0.000255,0.000207,0.000207,1.0,-1.0,0.0
2015-08-19,0.000221,0.000561,0.00022,0.00034,3.0,-1.0,0.0
2015-08-20,0.00034,0.000588,0.000228,0.000231,1.0,-1.0,0.0
2015-08-21,0.000231,0.000232,0.000225,0.000226,10.0,-1.0,0.0
2015-08-22,0.000226,0.000233,0.000214,0.000221,1.0,-1.0,0.0
2015-08-23,0.000221,0.000232,0.000217,0.000228,2.0,-1.0,0.0
2015-08-24,0.000228,0.000409,0.000192,0.000192,5.0,-1.0,0.0
2015-08-25,0.000191,0.000389,0.00018,0.000222,2.0,-1.0,0.0
2015-08-26,0.000222,0.000285,0.0002,0.000206,2.0,-1.0,0.0
2015-08-27,0.000206,0.000514,0.000204,0.000207,2.0,-1.0,0.0
2015-08-28,0.000207,0.000279,0.000204,0.000275,4.0,-1.0,0.0
2015-08-29,0.000276,0.000466,0.000207,0.000209,2.0,-1.0,0.0
2015-08-30,0.000209,0.000229,0.0002,0.000229,1.0,-1.0,0.0
2015-08-31,0.000229,0.000255,0.000194,0.0002,3.0,-1.0,0.0
2015-09-01,0.0002,0.000272,0.000197,0.000271,6.0,-1.0,0.0
2015-09-02,0.000271,0.000272,0.000201,0.000204,2.0,-1.0,0.0
2015-09-03,0.000204,0.000273,0.000204,0.000251,2.0,-1.0,0.0
2015-09-04,0.000251,0.000342,0.000205,0.000205,2.0,-1.0,0.0
2015-09-05,0.000205,0.000235,0.000204,0.000209,4.0,-1.0,0.0
2015-09-06,0.000209,0.000475,0.000209,0.000472,8.0,-1.0,0.0
2015-09-07,0.000473,0.000473,0.000213,0.000213,9.0,-1.0,0.0
2015-09-08,0.000213,0.000482,0.000213,0.000292,4.0,-1.0,0.0
2015-09-09,0.000292,0.000366,0.000212,0.000214,2.0,-1.0,0.0
2015-09-10,0.000214,0.000288,0.000212,0.000212,2.0,-1.0,0.0
2015-09-11,0.000212,0.000358,0.000212,0.000216,2.0,-1.0,0.0
2015-09-12,0.000216,0.000357,0.000213,0.000282,2.0,-1.0,0.0
2015-09-13,0.000282,0.000561,0.000209,0.000212,1.0,-1.0,0.0
2015-09-14,0.000212,0.000347,0.000204,0.000205,4.0,-1.0,0.0
2015-09-15,0.000205,0.000507,0.000205,0.000507,3.0,-1.0,0.0
2015-09-16,0.000507,0.000508,0.000202,0.000229,1.0,-1.0,0.0
2015-09-17,0.000229,0.000554,0.000204,0.000228,1.0,-1.0,0.0
2015-09-18,0.000205,0.000352,0.000205,0.00035,4.0,-1.0,0.0
2015-09-19,0.000349,0.00035,0.000206,0.000206,1.0,-1.0,0.0
2015-09-20,0.000435,0.000697,0.000416,0.00046,14.0,-1.0,0.0
2015-09-21,0.00046,0.00046,0.000405,0.000406,0.0,-1.0,0.0
2015-09-22,0.000406,0.000409,0.000209,0.00021,1.0,-1.0,0.0
2015-09-23,0.00021,0.000417,0.000205,0.000205,6.0,-1.0,0.0
2015-09-24,0.000205,0.000259,0.000205,0.000258,0.0,-1.0,0.0
2015-09-25,0.000258,0.000647,0.000235,0.000235,4.0,-1.0,0.0
2015-09-26,0.000701,0.000702,0.000222,0.000698,15.0,-1.0,0.0
2015-09-27,0.000698,0.000699,0.000221,0.000221,0.0,-1.0,0.0
2015-09-28,0.000221,0.000359,0.000221,0.000359,5.0,-1.0,0.0
2015-09-29,0.000359,0.00036,0.000245,0.000246,0.0,-1.0,0.0
2015-09-30,0.000246,0.000356,0.000245,0.000246,2.0,-1.0,0.0
2015-10-01,0.000245,0.000453,0.000245,0.000247,2.0,-1.0,0.0
2015-10-02,0.000247,0.000664,0.000247,0.000263,2.0,-1.0,0.0
2015-10-03,0.000263,0.000455,0.000244,0.000251,2.0,-1.0,0.0
2015-10-04,0.00025,0.000251,0.00025,0.00025,0.0,-1.0,0.0
2015-10-05,0.00025,0.000335,0.00025,0.000252,3.0,-1.0,0.0
2015-10-06,0.000252,0.000257,0.000248,0.000249,2.0,-1.0,0.0
2015-10-07,0.000249,0.000369,0.000219,0.000364,10.0,-1.0,0.0
2015-10-08,0.000364,0.000366,0.00022,0.00022,1.0,-1.0,0.0
2015-10-09,0.000221,0.000415,0.00022,0.000415,5.0,-1.0,0.0
2015-10-10,0.000414,0.00059,0.000221,0.000245,3.0,-1.0,0.0
2015-10-11,0.000245,0.000371,0.000244,0.000371,3.0,-1.0,0.0
2015-10-12,0.00037,0.000371,0.000245,0.000368,1.0,-1.0,0.0
2015-10-13,0.000368,0.000697,0.000227,0.00024,2.0,-1.0,0.0
2015-10-14,0.00024,0.000381,0.000239,0.000378,2.0,-1.0,0.0
2015-10-15,0.000378,0.000378,0.000245,0.000254,0.0,-1.0,0.0
2015-10-16,0.000254,0.000264,0.000254,0.000263,0.0,-1.0,0.0
2015-10-17,0.000263,0.000267,0.000254,0.00026,1.0,-1.0,0.0
2015-10-18,0.00026,0.000402,0.00024,0.000288,5.0,-1.0,0.0
2015-10-19,0.000288,0.000291,0.000239,0.00029,2.0,-1.0,0.0
2015-10-20,0.00029,0.00029,0.000238,0.000243,21.0,-1.0,0.0
2015-10-21,0.000242,0.000393,0.000224,0.000229,4.0,-1.0,0.0
2015-10-22,0.000229,0.000267,0.000213,0.000214,11.0,-1.0,0.0
2015-10-23,0.000213,0.000279,0.000211,0.000276,7.0,-1.0,0.0
2015-10-24,0.000277,0.00028,0.000228,0.000228,2.0,-1.0,0.0
2015-10-25,0.000228,0.000288,0.000144,0.000145,13.0,-1.0,0.0
2015-10-26,0.000145,0.000145,0.000143,0.000145,12.0,-1.0,0.0
2015-10-27,6.4e-05,6.5e-05,6.2e-05,6.2e-05,0.0,-1.0,0.0
2015-10-28,6.2e-05,6.4e-05,6.2e-05,6.4e-05,0.0,-1.0,0.0
2015-10-29,7.5e-05,7.6e-05,7.5e-05,7.5e-05,0.0,-1.0,0.0
2015-10-30,7.5e-05,8e-05,7.5e-05,7.8e-05,0.0,-1.0,0.0
2015-10-31,8e-05,8e-05,7.1e-05,7.2e-05,0.0,-1.0,0.0
2015-11-01,7.2e-05,0.000257,7.2e-05,7.8e-05,0.0,-1.0,0.0
2015-11-02,7.8e-05,8.1e-05,7.8e-05,8.1e-05,0.0,-1.0,0.0
2015-11-05,0.000104,0.000336,8.4e-05,8.5e-05,1.0,-1.0,0.0
2015-11-06,8.5e-05,8.5e-05,7.8e-05,7.9e-05,0.0,-1.0,0.0
2015-11-07,7.9e-05,8.2e-05,7.8e-05,8.1e-05,0.0,-1.0,0.0
2015-11-08,8.1e-05,8.1e-05,7.7e-05,7.8e-05,0.0,-1.0,0.0
2015-11-09,7.9e-05,8.1e-05,7.6e-05,8e-05,0.0,-1.0,0.0
2015-11-10,8e-05,8e-05,6.9e-05,7.1e-05,0.0,-1.0,0.0
2015-11-11,7.1e-05,0.000274,6.3e-05,0.000271,0.0,-1.0,0.0
2015-11-12,0.000273,0.0003,7.5e-05,7.8e-05,0.0,-1.0,0.0
2015-11-13,7.8e-05,0.000294,7.5e-05,0.000293,1.0,-1.0,0.0
2015-11-14,0.000293,0.000293,0.000249,0.000253,0.0,-1.0,0.0
2015-11-15,0.000253,0.000254,0.000238,0.00024,0.0,-1.0,0.0
2015-11-16,0.00024,0.000252,0.000237,0.000251,0.0,-1.0,0.0
2015-11-17,0.000251,0.000257,0.000251,0.000255,0.0,-1.0,0.0
