Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-11-27,0.003763,0.006408,0.002712,0.004635,-1.0,110346.0,0.0
2013-11-28,0.004572,0.009102,0.004417,0.007369,-1.0,134750.0,0.01
2013-11-29,0.007424,0.020592,0.005499,0.019924,-1.0,220151.0,0.01
2013-11-30,0.019735,0.04464,0.014256,0.041018,-1.0,588911.0,0.03
2013-12-01,0.041018,0.048815,0.016653,0.02067,-1.0,1232140.0,0.03
2013-12-02,0.020638,0.03122,0.003425,0.017221,-1.0,624040.0,0.02
2013-12-03,0.017351,0.024609,0.0146,0.017594,-1.0,528081.0,0.02
2013-12-04,0.017464,0.022127,0.010942,0.01537,-1.0,535039.0,0.02
2013-12-05,0.015429,0.016231,0.008899,0.014079,-1.0,475695.0,0.01
2013-12-06,0.013876,0.015341,0.007681,0.008967,-1.0,430440.0,0.01
2013-12-07,0.008966,0.00937,0.005326,0.00614,-1.0,279830.0,0.01
2013-12-08,0.006112,0.02981,0.005622,0.024255,-1.0,191929.0,0.02
2013-12-09,0.024211,0.025397,0.01385,0.01708,-1.0,764629.0,0.02
2013-12-10,0.017069,0.036563,0.017069,0.034574,-1.0,539080.0,0.03
2013-12-11,0.034584,0.079771,0.034584,0.048378,-1.0,1105810.0,0.06
2013-12-12,0.048303,0.060282,0.027751,0.03093,-1.0,1553970.0,0.04
2013-12-13,0.034635,0.056376,0.0297,0.039429,-1.0,1121180.0,0.04
2013-12-14,0.039541,0.04207,0.03041,0.037311,-1.0,1287580.0,0.04
2013-12-15,0.037299,0.046652,0.030856,0.046159,-1.0,1222050.0,0.04
2013-12-16,0.0461,0.047464,0.020511,0.031811,-1.0,1519470.0,0.03
2013-12-17,0.030013,0.032128,0.01901,0.020402,-1.0,995404.0,0.03
2013-12-18,0.020256,0.024046,0.008049,0.012359,-1.0,675914.0,0.02
2013-12-19,0.012349,0.018041,0.012288,0.01671,-1.0,414608.0,0.02
2013-12-20,0.01665,0.018352,0.011786,0.012248,-1.0,562427.0,0.02
2013-12-21,0.012048,0.014654,0.009775,0.011425,-1.0,409363.0,0.01
2013-12-22,0.011327,0.013279,0.011315,0.011866,-1.0,387132.0,0.01
2013-12-23,0.011895,0.017814,0.011837,0.014511,-1.0,408948.0,0.01
2013-12-24,0.014531,0.017282,0.012756,0.014155,-1.0,502519.0,0.02
2013-12-25,0.014171,0.025022,0.014171,0.022415,-1.0,492954.0,0.02
2013-12-26,0.022968,0.025423,0.01728,0.01998,-1.0,803634.0,0.02
2013-12-27,0.01998,0.022658,0.016499,0.019056,7808.0,703188.0,0.02
2013-12-28,0.01909,0.022639,0.017464,0.019358,12812.0,675702.0,0.02
2013-12-29,0.019314,0.022701,0.019133,0.020484,8314.0,687595.0,0.02
2013-12-30,0.020411,0.021621,0.019919,0.020233,4715.0,730886.0,0.02
2013-12-31,0.020206,0.02085,0.018541,0.018862,6370.0,727647.0,0.02
2014-01-01,0.018912,0.020518,0.017544,0.018192,5690.0,684875.0,0.02
2014-01-02,0.018871,0.021503,0.01771,0.019,18401.0,687219.0,0.02
2014-01-03,0.018871,0.020131,0.017949,0.019461,6135.0,691030.0,0.02
2014-01-04,0.018695,0.020504,0.018249,0.019532,6448.0,688339.0,0.02
2014-01-05,0.019532,0.021761,0.019522,0.021204,9727.0,723130.0,0.02
2014-01-06,0.021143,0.025112,0.020737,0.023226,13041.0,786989.0,0.02
2014-01-07,0.023236,0.024058,0.016351,0.016351,9050.0,869604.0,0.02
2014-01-08,0.016058,0.018647,0.01517,0.01782,4794.0,604149.0,0.02
2014-01-09,0.017962,0.018856,0.016464,0.017264,4981.0,679140.0,0.02
2014-01-10,0.017292,0.017492,0.015586,0.01625,7470.0,656665.0,0.02
2014-01-11,0.01633,0.019217,0.01633,0.017575,3714.0,623046.0,0.02
2014-01-12,0.017656,0.017824,0.01582,0.016396,4225.0,676742.0,0.02
2014-01-13,0.016281,0.016483,0.012077,0.0133,4565.0,626670.0,0.01
2014-01-14,0.013328,0.014244,0.012324,0.014225,3683.0,515326.0,0.01
2014-01-15,0.014219,0.015642,0.006286,0.011272,5470.0,552199.0,0.01
2014-01-16,0.011265,0.012032,0.010915,0.010915,3066.0,439021.0,0.01
2014-01-17,0.010877,0.011029,0.010481,0.010657,1355.0,425236.0,0.01
2014-01-18,0.010664,0.010863,0.007456,0.009252,2177.0,418027.0,0.01
2014-01-19,0.009261,0.009696,0.008353,0.00894,920.0,364098.0,0.01
2014-01-20,0.008955,0.009537,0.008315,0.008465,1606.0,352809.0,0.01
2014-01-21,0.008508,0.014317,0.008508,0.013245,4954.0,335682.0,0.01
2014-01-22,0.014146,0.01672,0.011116,0.012208,4266.0,558627.0,0.01
2014-01-23,0.012235,0.014318,0.011476,0.011483,2501.0,483517.0,0.01
2014-01-24,0.011477,0.0127,0.010461,0.010684,4457.0,454090.0,0.01
2014-01-25,0.010685,0.011573,0.009974,0.010046,1147.0,423429.0,0.01
2014-01-26,0.010135,0.010397,0.009127,0.009178,1585.0,402855.0,0.01
2014-01-27,0.009189,0.009375,0.007741,0.007741,1034.0,365781.0,0.01
2014-01-28,0.007761,0.009454,0.007737,0.009284,995.0,309131.0,0.01
2014-01-29,0.009231,0.012353,0.008903,0.010202,7103.0,368457.0,0.01
2014-01-30,0.010256,0.010736,0.009224,0.009992,1898.0,410226.0,0.01
2014-01-31,0.010028,0.01091,0.009962,0.010508,460.0,401388.0,0.01
2014-02-01,0.010538,0.011658,0.010503,0.010766,480.0,421959.0,0.01
2014-02-02,0.010867,0.010867,0.010105,0.010202,823.0,435365.0,0.01
2014-02-03,0.0102,0.010794,0.009955,0.010015,1259.0,408960.0,0.01
2014-02-04,0.009986,0.011393,0.009886,0.010775,1550.0,400671.0,0.01
2014-02-05,0.010781,0.011381,0.010394,0.010404,3527.0,433235.0,0.01
