Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-05-01,0.000443,0.000443,0.000374,0.000442,3.0,-1.0,0.0
2016-05-02,0.000442,0.000443,0.000373,0.000395,1.0,1278.0,0.0
2016-05-03,0.000395,0.000424,0.000333,0.000333,1.0,1143.0,0.0
2016-05-04,0.000333,0.000397,0.000333,0.00035,3.0,963.0,0.0
2016-05-05,0.00035,0.000381,0.000349,0.000381,0.0,1013.0,0.0
2016-05-06,0.000381,0.000393,0.000325,0.000336,1.0,1101.0,0.0
2016-05-07,0.000336,0.000394,0.000334,0.000339,1.0,971.0,0.0
2016-05-08,0.000339,0.000418,0.00033,0.000382,7.0,980.0,0.0
2016-05-09,0.000382,0.000438,0.000367,0.00037,8.0,1106.0,0.0
2016-05-10,0.00037,0.000409,0.000355,0.000408,2.0,1071.0,0.0
2016-05-11,0.000408,0.000431,0.000326,0.000328,10.0,1181.0,0.0
2016-05-12,0.000328,0.00034,0.000327,0.000336,1.0,949.0,0.0
2016-05-13,0.000336,0.000342,0.000283,0.000299,2.0,973.0,0.0
2016-05-14,0.000299,0.00032,0.000286,0.00032,1.0,867.0,0.0
2016-05-15,0.00032,0.000342,0.000319,0.000319,3.0,930.0,0.0
2016-05-16,0.000319,0.000384,0.000298,0.000298,3.0,929.0,0.0
2016-05-17,0.000298,0.000371,0.000298,0.000318,1.0,870.0,0.0
2016-05-18,0.000318,0.000397,0.000317,0.000396,0.0,928.0,0.0
2016-05-19,0.000395,0.000396,0.000373,0.000373,1.0,1155.0,0.0
2016-05-20,0.000372,0.000377,0.000328,0.000349,1.0,1087.0,0.0
2016-05-21,0.000349,0.00035,0.000312,0.000312,1.0,1021.0,0.0
2016-05-22,0.000312,0.000314,0.00031,0.00031,1.0,912.0,0.0
2016-05-23,0.00031,0.000413,0.000303,0.000413,15.0,909.0,0.0
2016-05-24,0.000413,0.000421,0.000377,0.00041,2.0,1209.0,0.0
2016-05-25,0.000411,0.000428,0.000326,0.000343,5.0,1204.0,0.0
2016-05-26,0.000343,0.000401,0.000332,0.000379,1.0,1006.0,0.0
2016-05-27,0.000379,0.000434,0.000359,0.00043,1.0,1110.0,0.0
2016-05-28,0.000429,0.00043,0.000324,0.000425,7.0,1261.0,0.0
2016-05-29,0.000423,0.000446,0.000365,0.000426,1.0,1241.0,0.0
2016-05-30,0.000428,0.000429,0.000365,0.000373,0.0,1258.0,0.0
2016-05-31,0.000373,0.000383,0.000359,0.000367,0.0,1095.0,0.0
2016-06-01,0.000366,0.000368,0.000357,0.000363,0.0,1078.0,0.0
2016-06-02,0.000362,0.000425,0.000361,0.000375,2.0,1066.0,0.0
2016-06-03,0.000375,0.000398,0.000375,0.000394,0.0,1104.0,0.0
2016-06-04,0.000394,0.000464,0.00038,0.00046,2.0,1160.0,0.0
2016-06-05,0.000461,0.000468,0.000398,0.000402,0.0,1356.0,0.0
2016-06-06,0.000402,0.00041,0.000402,0.000409,0.0,1183.0,0.0
2016-06-07,0.000457,0.000458,0.000392,0.000393,1.0,1345.0,0.0
2016-06-08,0.000394,0.000422,0.000364,0.00041,1.0,1158.0,0.0
2016-06-09,0.00041,0.00041,0.000361,0.000362,0.0,1207.0,0.0
2016-06-10,0.000357,0.000412,0.000351,0.000412,2.0,1050.0,0.0
2016-06-11,0.000413,0.000566,0.00039,0.000565,7.0,1214.0,0.0
2016-06-12,0.000568,0.000596,0.000446,0.000573,6.0,1671.0,0.0
2016-06-13,0.000572,0.000593,0.000476,0.000499,3.0,1681.0,0.0
2016-06-14,0.000499,0.000499,0.000467,0.00048,1.0,1469.0,0.0
2016-06-15,0.00048,0.000487,0.000465,0.000467,0.0,1412.0,0.0
