Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-20,9.32,12.32,7.89,10.75,203238.0,-1.0,10.11
2017-11-21,10.75,13.66,0.808809,7.29,120385.0,-1.0,7.23
2017-11-22,6.91,13.83,6.88,12.26,124902.0,411568.0,10.36
2017-11-23,12.47,15.43,8.57,9.94,211680.0,844722.0,12.0
2017-11-24,10.71,12.29,8.46,9.21,112800.0,813991.0,10.38
2017-11-25,9.19,14.53,8.9,11.75,134910.0,773376.0,11.71
2017-11-26,11.75,12.99,10.07,11.05,157344.0,1083890.0,11.53
2017-11-27,11.05,18.94,10.6,15.53,300444.0,1110740.0,14.77
2017-11-28,16.5,16.99,13.06,13.85,245674.0,1795600.0,15.02
2017-11-29,13.77,16.49,12.55,14.53,180559.0,1608870.0,14.52
2017-11-30,14.76,18.96,13.38,16.03,226109.0,1847490.0,16.17
2017-12-01,16.02,23.19,14.69,18.56,200001.0,2135720.0,18.94
2017-12-02,18.54,30.63,18.54,28.64,427626.0,2626230.0,24.59
2017-12-03,28.6,28.77,15.5,21.11,411666.0,4284960.0,22.13
2017-12-04,21.18,23.39,17.62,18.88,287186.0,3347840.0,20.51
2017-12-05,18.92,26.84,18.65,26.73,498131.0,3142990.0,22.74
2017-12-06,26.67,42.66,24.44,39.71,691283.0,4654390.0,33.55
2017-12-07,38.59,42.0,23.38,29.22,391246.0,7040130.0,32.69
2017-12-08,29.3,33.75,21.93,26.04,271066.0,5585620.0,27.84
2017-12-09,26.0,29.62,21.51,24.43,334337.0,5174630.0,25.57
2017-12-10,24.52,25.96,19.49,23.79,283375.0,5081310.0,22.73
2017-12-11,23.66,31.02,23.5,26.04,265947.0,5094770.0,27.26
2017-12-12,26.12,28.8,25.01,25.02,298735.0,5843120.0,26.91
2017-12-13,24.9,26.92,16.07,23.13,321178.0,5771890.0,21.5
2017-12-14,23.04,26.12,20.92,22.0,182336.0,5532780.0,23.52
2017-12-15,22.03,24.43,15.3,18.86,231919.0,5470280.0,19.87
2017-12-16,18.94,22.5,15.97,19.46,242367.0,4857700.0,19.23
2017-12-17,19.44,24.81,18.25,20.38,251744.0,5147470.0,21.53
2017-12-18,20.99,26.02,18.64,20.72,228664.0,5730700.0,22.33
2017-12-19,19.26,20.87,17.91,19.57,266236.0,5417090.0,19.39
2017-12-20,19.55,20.71,17.93,19.32,207414.0,5655840.0,19.32
2017-12-21,19.37,23.49,19.37,20.37,237393.0,5767840.0,21.43
2017-12-22,20.44,23.24,14.29,21.91,232116.0,6253360.0,18.77
2017-12-23,23.1,25.17,19.15,20.4,166740.0,7258200.0,22.16
2017-12-24,20.63,21.43,17.61,19.73,126497.0,6652910.0,19.52
2017-12-25,19.94,21.6,18.84,19.8,202837.0,6595110.0,20.22
2017-12-26,19.96,23.11,19.54,19.67,227477.0,6763430.0,21.32
2017-12-27,19.68,22.57,19.53,21.36,288778.0,6832850.0,21.05
2017-12-28,23.13,26.76,19.11,21.91,350834.0,8221140.0,22.94
2017-12-29,22.0,33.97,21.95,26.22,424259.0,7999380.0,27.96
2017-12-30,27.45,39.44,22.41,24.94,315182.0,10211100.0,30.92
2017-12-31,25.02,32.52,24.77,29.77,323487.0,9508990.0,28.65
2018-01-01,29.92,42.69,27.75,30.53,448269.0,11620700.0,35.22
2018-01-02,30.52,40.8,28.89,40.65,448554.0,12104200.0,34.84
2018-01-03,41.65,63.02,40.48,50.77,671676.0,16864300.0,51.75
2018-01-04,51.04,53.31,38.88,43.04,606972.0,21090100.0,46.09
2018-01-05,46.34,48.15,36.72,42.48,374872.0,19527300.0,42.44
2018-01-06,42.51,46.51,36.73,44.06,507972.0,18258700.0,41.62
2018-01-07,44.02,47.63,37.67,39.49,543308.0,19271400.0,42.65
2018-01-08,40.36,41.48,33.19,36.64,354088.0,18000800.0,37.33
2018-01-09,36.54,47.62,36.42,40.26,547818.0,16597000.0,42.02
2018-01-10,40.89,45.28,36.62,42.98,474004.0,18911100.0,40.95
2018-01-11,42.93,54.17,37.73,53.58,864061.0,20207400.0,45.95
2018-01-12,53.94,57.25,49.28,54.42,654599.0,25835200.0,53.27
2018-01-13,54.33,114.65,54.33,74.87,925002.0,26467900.0,84.49
2018-01-14,75.09,84.63,63.36,68.98,858525.0,37200000.0,74.0
2018-01-15,68.81,78.63,59.01,61.53,666464.0,34656700.0,68.82
