Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-02-28,0.002262,0.002566,0.002216,0.002478,798.0,-1.0,0.0
2015-03-01,0.002478,0.002522,0.00187,0.001871,1899.0,-1.0,0.0
2015-03-02,0.001873,0.002547,0.001873,0.002144,273.0,-1.0,0.0
2015-03-03,0.002139,0.002313,0.001886,0.001886,122.0,-1.0,0.0
2015-03-04,0.002094,0.002243,0.0016,0.001832,956.0,-1.0,0.0
2015-03-05,0.00183,0.002022,0.001528,0.00153,557.0,-1.0,0.0
2015-03-06,0.001527,0.001751,0.001148,0.001149,693.0,-1.0,0.0
2015-03-07,0.001147,0.001481,0.001057,0.001304,150.0,-1.0,0.0
2015-03-08,0.001304,0.001516,0.00125,0.001368,36.0,-1.0,0.0
2015-03-09,0.00137,0.001518,0.001149,0.001311,53.0,-1.0,0.0
2015-03-10,0.001312,0.001504,0.001278,0.001392,62.0,-1.0,0.0
2015-03-11,0.00139,0.00144,0.001266,0.001407,74.0,-1.0,0.0
2015-03-12,0.001406,0.001409,0.001227,0.001407,700.0,-1.0,0.0
2015-03-13,0.001406,0.001613,0.001093,0.001333,480.0,-1.0,0.0
2015-03-14,0.001329,0.001332,0.001113,0.001155,198.0,-1.0,0.0
2015-03-15,0.001153,0.001412,0.000867,0.001289,862.0,-1.0,0.0
2015-03-16,0.001286,0.001462,0.001258,0.001296,31.0,457422.0,0.0
2015-03-17,0.001296,0.001336,0.00098,0.000984,216.0,460821.0,0.0
2015-03-18,0.000982,0.001094,0.000834,0.000911,81.0,349495.0,0.0
2015-03-19,0.000909,0.001193,0.000779,0.001016,340.0,323485.0,0.0
2015-03-20,0.001016,0.001232,0.000808,0.001229,232.0,361692.0,0.0
2015-03-21,0.001228,0.00125,0.00102,0.001027,44.0,437250.0,0.0
2015-03-22,0.001026,0.001098,0.000767,0.000844,384.0,365442.0,0.0
2015-03-23,0.000844,0.0011,0.000842,0.001061,58.0,300436.0,0.0
2015-03-24,0.00106,0.001062,0.000909,0.000911,81.0,377803.0,0.0
2015-03-25,0.000918,0.000918,0.000841,0.000874,55.0,327194.0,0.0
2015-03-26,0.000874,0.000927,0.000807,0.000813,227.0,311529.0,0.0
2015-03-27,0.000813,0.001172,0.000807,0.000991,52.0,290011.0,0.0
2015-03-28,0.00099,0.001192,0.00099,0.001122,317.0,353169.0,0.0
2015-03-29,0.001122,0.001184,0.001,0.001147,124.0,400164.0,0.0
2015-03-30,0.001148,0.001149,0.000918,0.000963,113.0,409495.0,0.0
2015-03-31,0.000962,0.001104,0.000962,0.001098,68.0,343146.0,0.0
2015-04-01,0.001098,0.001103,0.000922,0.00094,145.0,391903.0,0.0
2015-04-02,0.000939,0.001061,0.000856,0.000964,7.0,335139.0,0.0
2015-04-03,0.000964,0.001038,0.000873,0.000939,1.0,344229.0,0.0
