Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-08-19,0.811021,0.834525,0.786293,0.832296,27851.0,-1.0,0.81
2017-08-20,0.832951,0.832951,0.787383,0.819366,32961.0,-1.0,0.81
2017-08-21,0.814466,0.8176,0.788943,0.790433,48208.0,-1.0,0.8
2017-08-22,0.800186,0.828568,0.724547,0.818883,28846.0,-1.0,0.78
2017-08-23,0.817213,0.850973,0.808917,0.828154,49430.0,-1.0,0.83
2017-08-24,0.828518,0.873434,0.821817,0.867106,175598.0,-1.0,0.85
2017-08-25,0.865739,1.33,0.850051,1.24,422741.0,-1.0,1.09
2017-08-26,1.24,1.25,1.22,1.24,1000.0,-1.0,1.23
2017-08-27,1.31,1.7,1.31,1.48,19877.0,-1.0,1.5
2017-08-28,1.48,1.86,1.42,1.45,85893.0,-1.0,1.64
2017-08-29,1.45,1.45,0.87546,1.04,55957.0,-1.0,1.16
2017-08-30,1.04,1.69,1.04,1.41,99286.0,-1.0,1.36
2017-08-31,1.41,1.57,1.3,1.56,28927.0,-1.0,1.44
2017-09-01,1.56,1.58,1.26,1.43,15597.0,-1.0,1.42
2017-09-02,1.43,1.43,1.19,1.32,16260.0,-1.0,1.31
2017-09-03,1.33,1.34,0.973364,1.13,17733.0,-1.0,1.16
2017-09-04,1.13,1.33,0.941862,1.27,27797.0,-1.0,1.14
2017-09-05,1.27,1.31,1.02,1.2,22536.0,-1.0,1.17
2017-09-06,1.2,1.33,1.06,1.22,34604.0,1196160.0,1.2
2017-09-07,1.22,1.37,1.09,1.34,26818.0,1224190.0,1.23
2017-09-08,1.34,1.39,1.12,1.25,52889.0,1338470.0,1.25
2017-09-09,1.26,1.29,1.17,1.26,11689.0,1257090.0,1.23
2017-09-10,1.26,1.28,1.12,1.27,15232.0,1259790.0,1.2
2017-09-11,1.27,1.4,1.22,1.33,31461.0,1273500.0,1.31
2017-09-12,1.33,1.4,1.24,1.25,23848.0,1326550.0,1.32
2017-09-13,1.25,1.26,1.11,1.23,25566.0,1252300.0,1.19
2017-09-14,1.23,1.26,0.991472,1.03,28562.0,1251190.0,1.13
2017-09-15,1.03,1.23,0.926998,1.18,18982.0,1047090.0,1.08
2017-09-16,1.19,1.23,1.07,1.12,12068.0,1210380.0,1.15
2017-09-17,1.12,1.24,1.01,1.22,24279.0,1142610.0,1.12
2017-09-18,1.22,1.31,1.17,1.27,12417.0,1242090.0,1.24
2017-09-19,1.27,1.29,1.21,1.25,13641.0,1297530.0,1.25
2017-09-20,1.25,1.27,1.19,1.21,13745.0,1277590.0,1.23
2017-09-21,1.21,1.21,1.04,1.08,10165.0,1230530.0,1.12
2017-09-22,1.08,1.14,1.05,1.12,3254.0,1103100.0,1.09
2017-09-23,1.11,1.17,1.09,1.17,5169.0,1140040.0,1.13
2017-09-24,1.17,1.18,1.08,1.12,6693.0,1199220.0,1.13
2017-09-25,1.12,1.19,1.11,1.18,7246.0,1148310.0,1.15
2017-09-26,1.18,1.27,1.15,1.25,11584.0,1213320.0,1.21
2017-09-27,1.24,1.31,1.16,1.3,7204.0,1277010.0,1.23
2017-09-28,1.3,1.32,1.0,1.3,15060.0,1339900.0,1.16
2017-09-29,1.3,1.3,0.892173,1.26,10903.0,1336060.0,1.1
2017-09-30,1.26,1.28,1.09,1.09,24452.0,1292300.0,1.19
2017-10-01,1.09,1.26,1.06,1.1,11996.0,1119260.0,1.16
2017-10-02,1.1,1.25,1.09,1.1,11531.0,1138920.0,1.17
2017-10-03,1.1,1.97,1.1,1.25,25880.0,1134100.0,1.54
2017-10-04,1.25,1.31,0.940275,1.12,15359.0,1292050.0,1.13
2017-10-05,1.12,1.21,1.09,1.2,14540.0,1155540.0,1.15
2017-10-06,1.2,1.28,1.19,1.27,6382.0,1238980.0,1.23
2017-10-07,1.27,1.27,1.19,1.27,5481.0,1315720.0,1.23
2017-10-08,1.26,1.29,1.19,1.24,8284.0,1311710.0,1.24
2017-10-09,1.24,1.35,1.06,1.34,13205.0,1291840.0,1.21
2017-10-10,1.34,1.36,1.08,1.17,4664.0,1389750.0,1.22
2017-10-11,1.17,1.25,1.16,1.19,3437.0,1217150.0,1.21
2017-10-12,1.19,1.32,0.954847,1.06,12325.0,1236620.0,1.14
2017-10-13,1.07,1.1,0.809788,1.04,2460.0,1114780.0,0.95
2017-10-14,1.04,1.27,1.04,1.1,1041.0,1090480.0,1.16
2017-10-15,1.1,1.28,0.82715,1.27,4141.0,1147220.0,1.05
2017-10-16,1.27,1.28,0.947744,1.24,8647.0,1331990.0,1.11
2017-10-17,1.24,1.24,0.959285,1.18,7252.0,1298870.0,1.1
2017-10-18,1.18,1.18,0.975371,1.12,195.0,1234540.0,1.08
2017-10-19,1.12,1.13,0.985781,1.08,1312.0,1174180.0,1.06
2017-10-20,1.08,1.08,0.791488,0.927198,1512.0,1137000.0,0.94
2017-10-21,0.925248,1.03,0.839694,1.01,2775.0,974750.0,0.93
2017-10-22,1.01,1.2,0.87534,1.2,5015.0,1061560.0,1.04
2017-10-23,1.19,1.21,1.01,1.11,1891.0,1261360.0,1.11
2017-10-24,1.11,1.11,0.865344,1.06,2933.0,1175450.0,0.99
2017-10-25,1.06,1.09,0.887386,1.06,5399.0,1122700.0,0.99
2017-10-26,1.06,1.11,0.875679,1.05,3680.0,1122850.0,0.99
2017-10-27,1.05,1.07,0.891557,0.911921,2113.0,1110450.0,0.98
2017-10-28,0.914244,0.959745,0.407971,0.95587,1322.0,972066.0,0.68
2017-10-29,0.954564,0.956307,0.800998,0.927428,1371.0,1016280.0,0.88
2017-10-30,0.922203,0.92252,0.640693,0.804713,3525.0,983132.0,0.78
2017-10-31,0.801988,0.957752,0.742784,0.933056,4343.0,856187.0,0.85
2017-11-01,0.932373,0.932603,0.78179,0.813793,2401.0,996822.0,0.86
2017-11-02,0.814701,0.814701,0.759532,0.781276,1114.0,872277.0,0.79
2017-11-03,0.780253,0.893838,0.771083,0.801285,3237.0,836607.0,0.83
2017-11-04,0.799202,1.13,0.780877,0.92473,7792.0,858167.0,0.96
2017-11-05,0.92298,1.13,0.913836,1.1,1960.0,992514.0,1.02
2017-11-06,1.11,1.11,0.878736,0.881941,731.0,1191230.0,0.99
2017-11-07,0.880528,0.965478,0.880528,0.95014,1230.0,949587.0,0.92
2017-11-08,0.947157,1.02,0.825621,0.915212,1290.0,1023020.0,0.92
2017-11-09,0.914269,0.918238,0.71758,0.725469,2808.0,989024.0,0.82
2017-11-10,0.727623,1.36,0.697494,0.904412,11550.0,788334.0,1.03
2017-11-11,0.901229,1.22,0.900129,1.11,7273.0,977937.0,1.06
2017-11-12,1.11,1.28,0.776003,0.843695,8557.0,1209820.0,1.03
2017-11-13,0.844924,1.19,0.823955,1.04,2515.0,919679.0,1.01
2017-11-14,1.05,1.14,0.838671,1.0,3287.0,1141040.0,0.99
2017-11-15,1.01,1.22,0.932385,1.13,2541.0,1097900.0,1.08
2017-11-16,1.13,1.26,0.927825,1.26,11354.0,1240770.0,1.09
2017-11-17,1.26,1.31,1.06,1.26,7172.0,1374940.0,1.19
2017-11-18,1.26,1.26,1.11,1.23,2233.0,1377210.0,1.19
2017-11-19,1.23,1.29,1.1,1.19,2955.0,1350040.0,1.2
2017-11-20,1.19,1.43,1.19,1.43,15600.0,1313690.0,1.31
2017-11-21,1.43,1.43,1.16,1.34,10154.0,1571930.0,1.29
2017-11-22,1.34,1.37,1.19,1.33,3188.0,1477560.0,1.28
2017-11-23,1.33,1.34,1.05,1.05,1285.0,1472740.0,1.2
2017-11-24,1.04,1.2,0.973577,1.16,1624.0,1156840.0,1.09
2017-11-25,1.16,1.22,0.442203,1.2,4271.0,1285990.0,0.83
2017-11-26,1.2,1.43,0.725743,1.42,16859.0,1335990.0,1.08
2017-11-27,1.42,1.44,1.04,1.07,4482.0,1582690.0,1.24
