Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-12-28,6.12,6.63,5.9,6.48,1262670.0,-1,6.27
2017-12-29,6.31,11.13,6.11,11.13,3936710.0,-1,8.62
2017-12-30,11.07,13.22,9.38,10.79,4656270.0,-1,11.3
2017-12-31,10.57,11.63,10.22,10.75,2403170.0,-1,10.93
2018-01-01,11.05,11.09,8.43,9.0,1494160.0,-1,9.76
2018-01-02,9.0,10.03,7.2,8.42,1448590.0,-1,8.62
2018-01-03,8.41,8.99,6.01,8.86,1591800.0,-1,7.5
2018-01-04,9.01,9.85,7.51,8.33,1982580.0,-1,8.68
2018-01-05,8.33,8.37,6.6,7.18,949010.0,-1,7.48
2018-01-06,7.11,7.23,5.42,6.14,729909.0,-1,6.33
2018-01-07,6.14,6.14,4.41,5.42,694057.0,-1,5.28
2018-01-08,5.43,5.51,4.34,5.31,459474.0,-1,4.92
2018-01-09,5.16,6.8,5.07,6.49,716942.0,-1,5.94
2018-01-10,6.5,6.78,5.31,6.25,607218.0,-1,6.04
2018-01-11,6.24,6.36,4.22,5.15,575884.0,-1,5.29
2018-01-12,5.18,5.8,4.83,5.78,484716.0,-1,5.31
2018-01-13,5.82,6.04,5.63,5.93,461037.0,-1,5.83
2018-01-14,5.93,5.97,4.51,5.25,496773.0,-1,5.24
2018-01-15,5.21,5.58,4.81,5.46,382844.0,-1,5.2
