Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-03-20,0.115226,0.158544,0.115226,0.15786,27.0,3305.0,0.14
2017-03-21,0.157997,0.163913,0.087672,0.089699,22.0,4534.0,0.13
2017-03-22,0.089708,0.210525,0.078362,0.209723,63.0,2580.0,0.14
2017-03-23,0.209905,1.57,0.123547,1.56,1173.0,6058.0,0.85
2017-03-24,1.56,1.56,0.429823,0.431278,305.0,45205.0,0.99
2017-03-25,0.430827,0.814144,0.093916,0.194556,202.0,12551.0,0.45
2017-03-26,0.194803,0.418449,0.114997,0.116007,118.0,5704.0,0.27
2017-03-27,0.116647,0.200211,0.109444,0.126287,209.0,3430.0,0.15
2017-03-28,0.126143,0.410197,0.124997,0.193723,192.0,3715.0,0.27
2017-03-29,0.193525,0.393186,0.191717,0.33277,281.0,5731.0,0.29
2017-03-30,0.333486,0.620775,0.316284,0.472158,67.0,9928.0,0.47
2017-03-31,0.472254,0.528197,0.22489,0.231571,12.0,14068.0,0.38
2017-04-01,0.231554,0.27305,0.229259,0.233453,26.0,6907.0,0.25
2017-04-02,0.233477,0.240007,0.232362,0.239182,1.0,6964.0,0.24
2017-04-03,0.239351,0.680388,0.239351,0.411772,201.0,7252.0,0.46
2017-04-04,0.412387,0.619315,0.254666,0.259514,165.0,13022.0,0.44
2017-04-05,0.259718,0.339304,0.254932,0.27149,224.0,8521.0,0.3
2017-04-06,0.271755,0.389882,0.227671,0.269386,137.0,9260.0,0.31
2017-04-07,0.268573,0.438466,0.251221,0.253056,169.0,9505.0,0.34
2017-04-08,0.252145,0.453156,0.250035,0.294021,154.0,9248.0,0.35
2017-04-09,0.294176,0.916776,0.294176,0.916776,2564.0,11171.0,0.61
2017-04-10,0.91717,1.06,0.34651,0.552696,768.0,35971.0,0.7
2017-04-11,0.591756,0.655501,0.456078,0.520849,467.0,23942.0,0.56
2017-04-12,0.520805,0.836246,0.403419,0.74535,1107.0,21768.0,0.62
2017-04-13,0.74563,0.948793,0.465104,0.572377,425.0,32092.0,0.71
2017-04-14,0.57398,1.23,0.444965,1.18,3720.0,25416.0,0.84
2017-04-15,1.18,2.11,0.722591,0.722591,1368.0,53943.0,1.42
2017-04-16,0.722268,0.951941,0.397997,0.687907,728.0,33809.0,0.67
2017-04-17,0.687885,0.794279,0.470942,0.779139,1035.0,33116.0,0.63
2017-04-18,0.779052,0.823499,0.316142,0.358579,716.0,38488.0,0.57
2017-04-19,0.360409,0.774584,0.316678,0.424827,611.0,18259.0,0.55
2017-04-20,0.425073,8.13,0.4225,5.86,10523.0,22070.0,4.28
2017-04-21,6.28,6.34,0.911551,0.980372,2857.0,334144.0,3.63
2017-04-22,0.978949,1.88,0.973725,1.08,1438.0,53347.0,1.43
2017-04-23,1.08,1.41,1.07,1.07,1538.0,60380.0,1.24
2017-04-24,1.07,1.15,0.880207,0.894853,488.0,61010.0,1.02
2017-04-25,0.895078,1.9,0.87465,1.26,1630.0,52161.0,1.39
2017-04-26,1.26,1.52,1.22,1.25,673.0,74965.0,1.37
2017-04-27,1.25,1.88,1.16,1.18,2346.0,76057.0,1.52
2017-04-28,1.18,1.74,0.95991,1.03,3917.0,73213.0,1.35
2017-04-29,1.03,1.4,0.89459,0.91324,1837.0,65362.0,1.15
2017-04-30,0.913296,1.41,0.909642,1.16,1815.0,59036.0,1.16
2017-05-01,1.15,1.64,0.668862,0.680867,1529.0,76058.0,1.15
2017-05-02,0.682122,1.58,0.675292,1.33,2404.0,45842.0,1.13
2017-05-03,1.33,1.43,0.808123,0.810898,948.0,91176.0,1.12
2017-05-04,0.817814,1.9,0.652019,1.08,2752.0,55862.0,1.28
2017-05-05,1.08,1.27,0.773752,0.812631,827.0,73824.0,1.02
2017-05-06,0.813376,1.5,0.789305,0.958416,2054.0,55559.0,1.14
2017-05-07,0.957497,1.25,0.596462,0.676317,362.0,65403.0,0.92
2017-05-08,0.684464,1.0,0.422419,0.429806,902.0,46753.0,0.71
2017-05-09,0.429992,1.11,0.423988,0.908025,776.0,29371.0,0.77
2017-05-10,0.912182,1.1,0.567925,0.57202,340.0,62308.0,0.83
2017-05-11,0.573014,0.905898,0.156645,0.34259,652.0,39140.0,0.53
2017-05-12,0.34285,0.69261,0.320471,0.392129,391.0,23419.0,0.51
2017-05-13,0.391571,1.03,0.372087,0.541373,1059.0,26747.0,0.7
2017-05-14,0.542768,0.625468,0.315511,0.529903,312.0,37074.0,0.47
2017-05-15,0.530225,0.597136,0.368853,0.378176,181.0,36218.0,0.48
2017-05-16,0.377691,0.548053,0.238714,0.314468,361.0,25799.0,0.39
2017-05-17,0.313046,0.44601,0.272702,0.393961,331.0,21383.0,0.36
2017-05-18,0.393529,0.590337,0.206806,0.319494,188.0,26880.0,0.4
2017-05-19,0.319654,0.372046,0.251553,0.361663,597.0,21834.0,0.31
