Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-09-19,1e-06,2e-06,9.6e-07,1e-06,366.0,54952.0,0.0
2014-09-20,1e-06,2e-06,9.2e-07,1e-06,421.0,50536.0,0.0
2014-09-21,1e-06,2e-06,1e-06,1e-06,119.0,59021.0,0.0
2014-09-22,1e-06,1e-06,1e-06,1e-06,30.0,49808.0,0.0
2014-09-23,1e-06,2e-06,1e-06,2e-06,33.0,50083.0,0.0
2014-09-24,2e-06,2e-06,5.3e-07,1e-06,384.0,60316.0,0.0
2014-09-25,1e-06,1e-06,3.4e-07,1e-06,536.0,52275.0,0.0
2014-09-26,1e-06,2e-06,1e-06,1e-06,516.0,48665.0,0.0
2014-09-27,1e-06,2e-06,9.7e-07,1e-06,112.0,51578.0,0.0
2014-09-28,1e-06,1e-06,5.3e-07,7.1e-07,277.0,44644.0,0.0
2014-09-29,7.1e-07,9.8e-07,3.7e-07,7.1e-07,218.0,28007.0,0.0
2014-09-30,7.1e-07,7.1e-07,5.1e-07,5.5e-07,58.0,27974.0,0.0
2014-10-01,5.5e-07,6.8e-07,4.7e-07,4.7e-07,38.0,21699.0,0.0
2014-10-02,5.1e-07,5.8e-07,3.7e-07,3.7e-07,99.0,20396.0,0.0
2014-10-03,3.7e-07,4.1e-07,2.9e-07,3e-07,80.0,14541.0,0.0
2014-10-04,2.9e-07,1e-06,2.9e-07,4e-07,247.0,11699.0,0.0
2014-10-05,4e-07,4.3e-07,2.9e-07,3.3e-07,102.0,15753.0,0.0
2014-10-06,3.5e-07,3.8e-07,3e-07,3.7e-07,9.0,13781.0,0.0
2014-10-07,3.7e-07,9.7e-07,3.2e-07,8.1e-07,40.0,14839.0,0.0
2014-10-08,8.1e-07,8.5e-07,5.7e-07,8.2e-07,80.0,32080.0,0.0
2014-10-09,8.2e-07,8.3e-07,6.3e-07,8e-07,48.0,32526.0,0.0
2014-10-10,8e-07,2e-06,4.7e-07,2e-06,1517.0,31914.0,0.0
2014-10-11,2e-06,3e-06,1e-06,2e-06,384.0,84868.0,0.0
2014-10-12,2e-06,3e-06,1e-06,2e-06,111.0,83741.0,0.0
2014-10-13,2e-06,2e-06,2.7e-07,1e-06,900.0,73902.0,0.0
2014-10-14,1e-06,1e-06,1.8e-07,3.3e-07,168.0,40868.0,0.0
2014-10-15,3.3e-07,7.6e-07,2e-07,5e-07,191.0,13309.0,0.0
2014-10-16,5e-07,2e-06,5e-07,2e-06,1349.0,20005.0,0.0
2014-10-17,2e-06,2e-06,2e-06,2e-06,83.0,70151.0,0.0
2014-10-18,2e-06,2e-06,2e-06,2e-06,251.0,90552.0,0.0
2014-10-19,2e-06,2e-06,2e-06,2e-06,114.0,72039.0,0.0
2014-10-20,2e-06,2e-06,2e-06,2e-06,362.0,71273.0,0.0
2014-10-21,2e-06,2e-06,2e-06,2e-06,127.0,79485.0,0.0
2014-10-22,2e-06,2e-06,2e-06,2e-06,200.0,68097.0,0.0
2014-10-23,2e-06,2e-06,2e-06,2e-06,35.0,77639.0,0.0
2014-10-24,2e-06,2e-06,2e-06,2e-06,120.0,68624.0,0.0
2014-10-25,2e-06,5e-06,2e-06,4e-06,2789.0,69977.0,0.0
2014-10-26,4e-06,4e-06,2e-06,2e-06,1106.0,146563.0,0.0
2014-10-27,2e-06,2e-06,1e-06,2e-06,726.0,90279.0,0.0
2014-10-28,2e-06,3e-06,1e-06,3e-06,831.0,72968.0,0.0
2014-10-29,3e-06,3e-06,2e-06,3e-06,2148.0,111660.0,0.0
2014-10-30,3e-06,3e-06,2e-06,2e-06,1591.0,102032.0,0.0
2014-10-31,2e-06,3e-06,1e-06,1e-06,1915.0,83116.0,0.0
2014-11-01,1e-06,3e-06,1e-06,3e-06,1979.0,56930.0,0.0
2014-11-02,3e-06,4e-06,2e-06,3e-06,843.0,131873.0,0.0
2014-11-03,3e-06,4e-06,2e-06,3e-06,543.0,100441.0,0.0
2014-11-04,3e-06,3e-06,2e-06,3e-06,1111.0,121804.0,0.0
2014-11-05,3e-06,3e-06,2e-06,3e-06,424.0,109783.0,0.0
2014-11-06,3e-06,3e-06,2e-06,3e-06,644.0,102405.0,0.0
2014-11-07,3e-06,3e-06,2e-06,2e-06,632.0,105393.0,0.0
2014-11-08,2e-06,2e-06,2e-06,2e-06,378.0,88904.0,0.0
2014-11-09,2e-06,3e-06,2e-06,2e-06,332.0,82024.0,0.0
2014-11-10,2e-06,2e-06,2e-06,2e-06,1264.0,82180.0,0.0
2014-11-11,2e-06,2e-06,2e-06,2e-06,89.0,77265.0,0.0
2014-11-12,2e-06,2e-06,2e-06,2e-06,335.0,82127.0,0.0
2014-11-13,2e-06,3e-06,2e-06,2e-06,152.0,92331.0,0.0
2014-11-14,2e-06,2e-06,2e-06,2e-06,197.0,86192.0,0.0
2014-11-15,2e-06,2e-06,2e-06,2e-06,2346.0,68555.0,0.0
2014-11-16,2e-06,2e-06,2e-06,2e-06,879.0,74049.0,0.0
2014-11-17,2e-06,2e-06,2e-06,2e-06,54.0,74847.0,0.0
2014-11-18,2e-06,2e-06,2e-06,2e-06,101.0,72286.0,0.0
2014-11-19,2e-06,2e-06,1e-06,1e-06,795.0,71548.0,0.0
2014-11-20,1e-06,2e-06,1e-06,2e-06,433.0,58840.0,0.0
2014-11-21,2e-06,2e-06,2e-06,2e-06,210.0,72504.0,0.0
2014-11-22,2e-06,2e-06,2e-06,2e-06,1942.0,67423.0,0.0
2014-11-23,2e-06,2e-06,1e-06,2e-06,1133.0,68188.0,0.0
