Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-10-29,0.005006,0.005282,0.005006,0.00505,1053.0,-1.0,0.01
2016-10-30,0.005046,0.007513,0.004896,0.004913,2510.0,946.0,0.01
2016-10-31,0.004919,0.00576,0.001513,0.002583,234.0,1005.0,0.0
2016-11-01,0.002584,0.003401,4e-05,8.5e-05,5538.0,564.0,0.0
2016-11-02,8.5e-05,0.000248,6.2e-05,0.00011,2052.0,1712.0,0.0
2016-11-03,0.00011,0.000132,7.7e-05,8e-05,97.0,2229.0,0.0
2016-11-04,8e-05,0.000101,7.1e-05,8.4e-05,61.0,1628.0,0.0
2016-11-05,8.4e-05,8.4e-05,5.3e-05,7.4e-05,23.0,1694.0,0.0
2016-11-06,7.4e-05,0.000112,7.4e-05,0.000103,168.0,1491.0,0.0
2016-11-07,0.000103,0.000104,7e-05,9.1e-05,38.0,2089.0,0.0
2016-11-08,9.1e-05,0.0001,7.5e-05,7.5e-05,4.0,1840.0,0.0
2016-11-09,7.5e-05,8.4e-05,5.9e-05,8e-05,81.0,1518.0,0.0
2016-11-10,8e-05,9.3e-05,5e-05,5e-05,8.0,1620.0,0.0
2016-11-11,5e-05,8.3e-05,3.7e-05,3.7e-05,11.0,1014.0,0.0
2016-11-12,3.7e-05,4.5e-05,3.7e-05,4.5e-05,24.0,748.0,0.0
2016-11-13,4.5e-05,7e-05,4.2e-05,7e-05,5.0,904.0,0.0
2016-11-14,7e-05,7.1e-05,4.2e-05,4.2e-05,6.0,1421.0,0.0
2016-11-15,4.2e-05,4.3e-05,4.2e-05,4.3e-05,1.0,857.0,0.0
2016-11-16,4.3e-05,5.8e-05,4.3e-05,5.8e-05,17.0,864.0,0.0
2016-11-17,5.8e-05,5.8e-05,3.4e-05,3.4e-05,3.0,1166.0,0.0
2016-11-18,3.4e-05,6.8e-05,3.4e-05,6.8e-05,4.0,688.0,0.0
2016-11-19,6.8e-05,6.8e-05,3.8e-05,3.8e-05,0.0,1370.0,0.0
2016-11-20,3.8e-05,3.8e-05,3e-05,3.4e-05,2.0,761.0,0.0
2016-11-21,3.4e-05,3.7e-05,3e-05,3.7e-05,2.0,696.0,0.0
