Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-01-12,8e-06,1.6e-05,8e-06,8e-06,28.0,-1.0,0.0
2017-01-13,8e-06,8e-06,8e-06,8e-06,35.0,-1.0,0.0
2017-01-14,8e-06,1.7e-05,8e-06,8e-06,75.0,-1.0,0.0
2017-01-15,8e-06,8e-06,8e-06,8e-06,9.0,-1.0,0.0
2017-01-16,8e-06,1.7e-05,8e-06,1.7e-05,52.0,-1.0,0.0
2017-01-17,1.7e-05,1.8e-05,8e-06,9e-06,62.0,-1.0,0.0
2017-01-18,9e-06,1.8e-05,9e-06,9e-06,53.0,-1.0,0.0
2017-01-19,9e-06,1.8e-05,9e-06,1.8e-05,337.0,-1.0,0.0
2017-01-20,1.8e-05,1.8e-05,9e-06,9e-06,63.0,-1.0,0.0
2017-01-21,9e-06,1.8e-05,9e-06,1.8e-05,33.0,-1.0,0.0
2017-01-22,1.8e-05,1.9e-05,9e-06,9e-06,5.0,-1.0,0.0
2017-01-23,9e-06,1.8e-05,9e-06,9e-06,95.0,-1.0,0.0
2017-01-24,9e-06,1.8e-05,9e-06,9e-06,12.0,-1.0,0.0
2017-01-25,9e-06,1.8e-05,9e-06,9e-06,2.0,-1.0,0.0
2017-01-26,9e-06,1.8e-05,9e-06,9e-06,314.0,-1.0,0.0
2017-01-27,9e-06,1.8e-05,9e-06,1.8e-05,45.0,-1.0,0.0
2017-01-28,1.8e-05,1.8e-05,9e-06,1.8e-05,48.0,-1.0,0.0
2017-01-29,1.8e-05,1.8e-05,9e-06,1.8e-05,23.0,-1.0,0.0
2017-01-30,9e-06,1.8e-05,9e-06,9e-06,234.0,-1.0,0.0
2017-01-31,9e-06,1.9e-05,9e-06,1e-05,41.0,-1.0,0.0
2017-02-01,1e-05,2e-05,1e-05,1e-05,81.0,-1.0,0.0
2017-02-02,1e-05,2e-05,1e-05,1e-05,287.0,-1.0,0.0
2017-02-03,1e-05,1e-05,1e-05,1e-05,71.0,-1.0,0.0
2017-02-04,1e-05,2.1e-05,1e-05,1e-05,124.0,-1.0,0.0
2017-02-05,1e-05,2.1e-05,1e-05,1e-05,143.0,-1.0,0.0
2017-02-06,1e-05,2.1e-05,1e-05,1e-05,46.0,-1.0,0.0
2017-02-07,1e-05,2.1e-05,1e-05,1.1e-05,35.0,-1.0,0.0
2017-02-08,1.1e-05,2.1e-05,1e-05,1.1e-05,47.0,-1.0,0.0
2017-02-09,1.1e-05,2.2e-05,1e-05,1e-05,267.0,-1.0,0.0
2017-02-10,1e-05,1e-05,9e-06,1e-05,2.0,-1.0,0.0
2017-02-11,1e-05,2e-05,1e-05,1e-05,207.0,-1.0,0.0
2017-02-12,1e-05,2e-05,1e-05,2e-05,1377.0,-1.0,0.0
2017-02-13,2e-05,2e-05,1e-05,1e-05,260.0,-1.0,0.0
2017-02-14,1e-05,2e-05,1e-05,1e-05,71.0,-1.0,0.0
2017-02-15,1e-05,1e-05,1e-05,1e-05,18.0,-1.0,0.0
2017-02-16,1e-05,2.1e-05,1e-05,2.1e-05,22.0,-1.0,0.0
2017-02-17,2.1e-05,2.1e-05,1e-05,2.1e-05,51.0,-1.0,0.0
2017-02-18,2.1e-05,2.1e-05,1e-05,1.1e-05,24.0,-1.0,0.0
2017-02-19,1.1e-05,2.1e-05,1e-05,1e-05,19.0,-1.0,0.0
2017-02-20,1e-05,2.1e-05,1e-05,1.1e-05,89.0,-1.0,0.0
2017-02-21,1.1e-05,2.2e-05,1.1e-05,1.1e-05,557.0,-1.0,0.0
2017-02-22,1.1e-05,2.3e-05,1.1e-05,1.1e-05,138.0,-1.0,0.0
2017-02-23,1.1e-05,2.3e-05,1.1e-05,1.2e-05,36.0,-1.0,0.0
2017-02-24,1.2e-05,2.4e-05,1.1e-05,1.2e-05,26.0,-1.0,0.0
2017-02-25,1.2e-05,2.3e-05,1.1e-05,2.3e-05,36.0,-1.0,0.0
2017-02-26,2.3e-05,2.3e-05,1.1e-05,1.2e-05,19.0,-1.0,0.0
2017-02-27,1.2e-05,1.2e-05,1.2e-05,1.2e-05,162.0,-1.0,0.0
2017-02-28,1.2e-05,1.2e-05,1.2e-05,1.2e-05,20.0,-1.0,0.0
2017-03-01,1.2e-05,1.2e-05,1.2e-05,1.2e-05,24.0,-1.0,0.0
2017-03-02,1.2e-05,1.3e-05,1.2e-05,1.3e-05,16.0,-1.0,0.0
2017-03-03,1.3e-05,1.3e-05,1.3e-05,1.3e-05,56.0,-1.0,0.0
2017-03-04,1.3e-05,1.3e-05,1.2e-05,1.3e-05,8.0,-1.0,0.0
2017-03-05,1.3e-05,1.3e-05,1.2e-05,1.3e-05,7.0,-1.0,0.0
2017-03-06,1.3e-05,1.3e-05,1.3e-05,1.3e-05,163.0,-1.0,0.0
2017-03-07,1.3e-05,1.3e-05,1.2e-05,1.2e-05,21.0,-1.0,0.0
2017-03-08,1.2e-05,1.2e-05,1.1e-05,1.2e-05,14.0,-1.0,0.0
2017-03-09,1.2e-05,2.4e-05,1.1e-05,2.4e-05,94.0,-1.0,0.0
2017-03-10,2.4e-05,2.5e-05,1.1e-05,1.1e-05,62.0,-1.0,0.0
2017-03-11,1.1e-05,1.2e-05,1.1e-05,1.2e-05,8.0,-1.0,0.0
2017-03-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,28.0,-1.0,0.0
2017-03-13,1.2e-05,2.5e-05,1.2e-05,2.5e-05,17.0,-1.0,0.0
2017-03-14,2.5e-05,2.5e-05,1.2e-05,2.5e-05,31.0,-1.0,0.0
2017-03-15,2.5e-05,2.5e-05,1.2e-05,1.2e-05,153.0,-1.0,0.0
2017-03-16,1.3e-05,2.5e-05,1.2e-05,1.2e-05,2.0,-1.0,0.0
2017-03-17,2.4e-05,2.4e-05,1.1e-05,2.2e-05,7.0,-1.0,0.0
2017-03-18,2.2e-05,2.2e-05,1e-05,1e-05,3.0,-1.0,0.0
2017-03-19,1e-05,2.1e-05,1e-05,1e-05,193.0,-1.0,0.0
2017-03-20,1e-05,2.1e-05,1e-05,1.1e-05,20.0,-1.0,0.0
2017-03-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,7.0,-1.0,0.0
2017-03-22,1.1e-05,2.1e-05,1e-05,1e-05,22.0,-1.0,0.0
2017-03-23,1.1e-05,2.1e-05,1e-05,1e-05,17.0,-1.0,0.0
2017-03-24,1e-05,2e-05,1e-05,1.9e-05,38.0,-1.0,0.0
2017-03-25,1.9e-05,1.9e-05,9e-06,1e-05,12.0,-1.0,0.0
2017-03-26,1e-05,1e-05,1e-05,1e-05,1.0,-1.0,0.0
2017-03-27,1e-05,1e-05,1e-05,1e-05,11.0,-1.0,0.0
2017-03-28,1e-05,2.1e-05,1e-05,2.1e-05,21.0,-1.0,0.0
2017-03-29,2.1e-05,2.1e-05,1e-05,1e-05,4.0,-1.0,0.0
2017-03-30,1e-05,1e-05,1e-05,1e-05,39.0,-1.0,0.0
2017-03-31,1e-05,2.1e-05,1e-05,1.1e-05,20.0,-1.0,0.0
2017-04-01,1.1e-05,2.2e-05,1.1e-05,1.4e-05,24.0,-1.0,0.0
2017-04-02,1.4e-05,2.3e-05,1.2e-05,1.2e-05,48.0,-1.0,0.0
2017-04-03,1.2e-05,2.3e-05,1.1e-05,1.2e-05,147.0,-1.0,0.0
2017-04-04,1.2e-05,2.3e-05,1.1e-05,1.2e-05,9.0,-1.0,0.0
2017-04-05,1.2e-05,2.2e-05,1.1e-05,1.2e-05,55.0,-1.0,0.0
2017-04-06,1.2e-05,2.9e-05,1.1e-05,1.3e-05,13.0,-1.0,0.0
2017-04-07,1.3e-05,2.3e-05,1.1e-05,1.2e-05,55.0,-1.0,0.0
2017-04-08,1.2e-05,1.7e-05,1.2e-05,1.6e-05,30.0,-1.0,0.0
2017-04-09,1.5e-05,2.6e-05,1.3e-05,1.4e-05,98.0,-1.0,0.0
2017-04-10,1.4e-05,2.3e-05,1.3e-05,1.3e-05,79.0,-1.0,0.0
2017-04-11,1.3e-05,2.4e-05,1.2e-05,2.2e-05,52.0,-1.0,0.0
2017-04-12,2.2e-05,2.3e-05,1.2e-05,1.2e-05,86.0,-1.0,0.0
2017-04-13,1.2e-05,2.3e-05,1.2e-05,2.3e-05,71.0,-1.0,0.0
2017-04-14,2.3e-05,2.3e-05,1.2e-05,2.3e-05,229.0,-1.0,0.0
2017-04-15,2.3e-05,2.3e-05,1.2e-05,1.2e-05,82.0,-1.0,0.0
2017-04-16,1.2e-05,2.3e-05,1.2e-05,1.2e-05,117.0,-1.0,0.0
2017-04-17,1.2e-05,2.2e-05,1.2e-05,2e-05,211.0,-1.0,0.0
2017-04-18,2e-05,2.3e-05,1.3e-05,2.3e-05,32.0,-1.0,0.0
2017-04-19,2.3e-05,2.9e-05,1.8e-05,2.2e-05,248.0,-1.0,0.0
2017-04-20,2.2e-05,2.3e-05,1.1e-05,2.2e-05,60.0,-1.0,0.0
2017-04-21,2.2e-05,0.000694,1.2e-05,2.4e-05,337.0,-1.0,0.0
2017-04-22,2.4e-05,2.6e-05,1.2e-05,1.3e-05,220.0,-1.0,0.0
2017-04-23,1.3e-05,2.5e-05,1.2e-05,1.3e-05,406.0,-1.0,0.0
2017-04-24,1.3e-05,2.4e-05,1.2e-05,1.4e-05,350.0,-1.0,0.0
