Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-11,0.147178,0.196804,0.139137,0.190913,111560.0,-1.0,0.17
2017-11-12,0.190772,0.37196,0.118191,0.234901,204161.0,-1.0,0.25
2017-11-13,0.235243,0.297866,0.172591,0.240415,215100.0,-1.0,0.24
2017-11-14,0.23903,0.289003,0.233123,0.240499,157707.0,-1.0,0.26
2017-11-15,0.240664,0.466864,0.240664,0.280352,171050.0,-1.0,0.35
2017-11-16,0.281822,0.343738,0.243651,0.317786,180625.0,-1.0,0.29
2017-11-17,0.317261,0.351921,0.290333,0.308211,242643.0,-1.0,0.32
2017-11-18,0.293282,0.309606,0.232269,0.254296,164811.0,-1.0,0.27
2017-11-19,0.253826,0.256761,0.134897,0.137937,162666.0,-1.0,0.2
2017-11-20,0.137951,0.160365,0.090494,0.090494,96976.0,-1.0,0.13
2017-11-21,0.087267,0.114918,0.071747,0.08669,148227.0,-1.0,0.09
2017-11-22,0.086901,0.147185,0.083021,0.090633,108720.0,-1.0,0.12
2017-11-23,0.082283,0.105158,0.080356,0.105158,106290.0,-1.0,0.09
2017-11-24,0.105086,0.111239,0.092497,0.094176,18058.0,-1.0,0.1
2017-11-25,0.094002,0.102976,0.09176,0.097268,13904.0,-1.0,0.1
2017-11-26,0.095142,0.108919,0.088584,0.096125,20699.0,-1.0,0.1
2017-11-27,0.096144,0.102505,0.05031,0.058866,109632.0,-1.0,0.08
2017-11-28,0.059018,0.05902,0.018616,0.02523,36133.0,-1.0,0.04
2017-11-29,0.025678,0.039105,0.020843,0.025507,34907.0,-1.0,0.03
2017-11-30,0.022742,0.039248,0.015115,0.027949,31477.0,-1.0,0.03
2017-12-01,0.027819,0.031832,0.022225,0.025584,16948.0,-1.0,0.03
2017-12-02,0.025561,0.025598,0.016746,0.024115,22976.0,-1.0,0.02
2017-12-03,0.024139,0.038391,0.020353,0.032102,34924.0,-1.0,0.03
2017-12-04,0.033875,0.033876,0.023941,0.029027,16213.0,-1.0,0.03
2017-12-05,0.029085,0.030025,0.021823,0.026663,11749.0,-1.0,0.03
2017-12-06,0.026602,0.037771,0.021082,0.024767,31660.0,1771970.0,0.03
2017-12-07,0.024725,0.028758,0.021737,0.023845,21433.0,1646970.0,0.03
2017-12-08,0.023898,0.03829,0.020381,0.023572,25839.0,1591840.0,0.03
2017-12-09,0.024647,0.026937,0.017745,0.023371,20700.0,1641760.0,0.02
2017-12-10,0.023464,0.028711,0.017518,0.021923,21960.0,1562960.0,0.02
2017-12-11,0.021764,0.030404,0.01813,0.021309,35652.0,1449690.0,0.02
2017-12-12,0.021386,0.021927,0.011423,0.016738,35208.0,1424510.0,0.02
2017-12-13,0.016752,0.017386,0.012135,0.014122,16569.0,1115860.0,0.01
2017-12-14,0.014391,0.015843,0.011125,0.012493,13534.0,958560.0,0.01
2017-12-15,0.012524,0.015288,0.011507,0.011863,6000.0,834254.0,0.01
2017-12-16,0.011877,0.018245,0.010559,0.017756,52982.0,917462.0,0.01
2017-12-17,0.017718,0.020484,0.012761,0.015685,33779.0,1384710.0,0.02
2017-12-18,0.016439,0.027049,0.012813,0.016839,33857.0,1299940.0,0.02
2017-12-19,0.017229,0.017371,0.012782,0.014283,23832.0,1378760.0,0.02
2017-12-20,0.01427,0.015428,0.009083,0.011959,23262.0,1155480.0,0.01
2017-12-21,0.011352,0.012789,0.008843,0.009482,12295.0,929728.0,0.01
2017-12-22,0.009513,0.011004,0.007517,0.009353,5774.0,787752.0,0.01
2017-12-23,0.009442,0.011353,0.009276,0.010712,15267.0,790947.0,0.01
2017-12-24,0.010829,0.010829,0.008887,0.01008,10293.0,917286.0,0.01
2017-12-25,0.010178,0.043282,0.00968,0.034421,186397.0,871247.0,0.03
2017-12-26,0.030595,0.0394,0.021004,0.029925,148214.0,2641770.0,0.03
2017-12-27,0.030255,0.03456,0.027983,0.032357,39462.0,2632510.0,0.03
2017-12-28,0.032292,0.033823,0.026186,0.029347,44234.0,2832970.0,0.03
2017-12-29,0.029647,0.035282,0.028505,0.029212,32419.0,2628850.0,0.03
2017-12-30,0.029136,0.030782,0.024685,0.025879,21000.0,2604800.0,0.03
2017-12-31,0.025606,0.038412,0.02531,0.038176,40281.0,2308120.0,0.03
2018-01-01,0.038072,0.038656,0.027421,0.035546,29307.0,3457360.0,0.03
2018-01-02,0.035538,0.105688,0.034473,0.096426,465600.0,3253770.0,0.07
2018-01-03,0.095993,0.101939,0.067972,0.090494,234804.0,8866640.0,0.08
2018-01-04,0.089988,0.092994,0.058024,0.069783,208906.0,8380890.0,0.08
2018-01-05,0.070778,0.076881,0.059753,0.060062,95431.0,6643920.0,0.07
2018-01-06,0.058722,0.08239,0.045388,0.069894,119122.0,5553340.0,0.06
2018-01-07,0.069842,0.094563,0.063862,0.092628,114672.0,6673910.0,0.08
2018-01-08,0.093801,0.105774,0.071812,0.09574,190707.0,9039430.0,0.09
2018-01-09,0.095479,0.098102,0.073858,0.08722,152826.0,9283840.0,0.09
2018-01-10,0.087335,0.09308,0.065023,0.085791,118672.0,8560950.0,0.08
2018-01-11,0.082398,0.086799,0.057307,0.072262,71627.0,8142050.0,0.07
2018-01-12,0.072739,0.075195,0.041097,0.064912,139149.0,7244110.0,0.06
2018-01-13,0.060942,0.070995,0.055106,0.068457,83425.0,6118730.0,0.06
2018-01-14,0.068502,0.077468,0.053058,0.06081,98093.0,6931690.0,0.07
2018-01-15,0.060369,0.069506,0.054914,0.064829,75630.0,6159290.0,0.06
