Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-09-28,0.00194,0.002086,0.001919,0.002017,341.0,2937.0,0.0
2015-09-29,0.002016,0.002025,0.001827,0.001922,564.0,3052.0,0.0
2015-09-30,0.001922,0.003495,0.001824,0.002941,1129.0,2908.0,0.0
2015-10-01,0.002832,0.004459,0.002505,0.004038,1936.0,4287.0,0.0
2015-10-02,0.004034,0.006808,0.003562,0.006754,2515.0,6105.0,0.01
2015-10-03,0.006751,0.006839,0.004822,0.00656,3515.0,10218.0,0.01
2015-10-04,0.006554,0.006554,0.002644,0.004269,2980.0,9921.0,0.0
2015-10-05,0.004267,0.004397,0.002465,0.002466,436.0,6459.0,0.0
2015-10-06,0.002711,0.004269,0.002488,0.003103,706.0,4103.0,0.0
2015-10-07,0.002797,0.00339,0.002486,0.003071,302.0,4233.0,0.0
2015-10-08,0.003072,0.003392,0.002565,0.002854,365.0,4650.0,0.0
2015-10-09,0.002857,0.003327,0.002592,0.00291,328.0,4324.0,0.0
2015-10-10,0.002908,0.003246,0.002256,0.003125,531.0,4402.0,0.0
2015-10-11,0.003123,0.003124,0.002222,0.002263,368.0,4727.0,0.0
2015-10-12,0.002262,0.002459,0.002117,0.002181,1168.0,3424.0,0.0
2015-10-13,0.00218,0.002492,0.002096,0.002418,947.0,3300.0,0.0
2015-10-14,0.002418,0.002451,0.002144,0.002374,410.0,3660.0,0.0
2015-10-15,0.002375,0.002392,0.001775,0.00178,237.0,3595.0,0.0
2015-10-16,0.00178,0.002441,0.00178,0.001972,3.0,2695.0,0.0
2015-10-17,0.001971,0.002013,0.001892,0.001935,4.0,2983.0,0.0
2015-10-18,0.001937,0.001942,0.001865,0.00188,2.0,2932.0,0.0
2015-10-19,0.001582,0.001604,0.001582,0.001596,1.0,2394.0,0.0
2015-10-20,0.001597,0.001977,0.001595,0.001967,0.0,2418.0,0.0
2015-10-21,0.001966,0.002543,0.001963,0.00253,41.0,2976.0,0.0
2015-10-22,0.002532,0.002621,0.002523,0.00257,3.0,3832.0,0.0
2015-10-23,0.002567,0.002614,0.00167,0.001676,1.0,3885.0,0.0
2015-10-24,0.001676,0.001697,0.001676,0.001685,1.0,2536.0,0.0
2015-10-25,0.002111,0.002117,0.002071,0.002077,22.0,3196.0,0.0
2015-10-26,0.002076,0.00271,0.002076,0.00271,198.0,3143.0,0.0
2015-10-27,0.002709,0.002809,0.002045,0.002057,3.0,4101.0,0.0
2015-10-28,0.002057,0.002888,0.002057,0.00244,74.0,3113.0,0.0
2015-10-29,0.002437,0.003145,0.002417,0.003132,8.0,3689.0,0.0
2015-10-30,0.003133,0.003335,0.003133,0.003233,8.0,4743.0,0.0
2015-11-03,0.002953,0.002973,0.002901,0.002965,5.0,4469.0,0.0
2015-11-04,0.002967,0.003642,0.002797,0.003025,1.0,4491.0,0.0
2015-11-05,0.002999,0.00329,0.002753,0.0029,1.0,4540.0,0.0
2015-11-06,0.002271,0.002395,0.002204,0.002266,1.0,3437.0,0.0
2015-11-07,0.002264,0.002318,0.001417,0.001438,36.0,3428.0,0.0
2015-11-08,0.00143,0.001446,0.00143,0.00144,36.0,2164.0,0.0
2015-11-19,0.003154,0.003166,0.003074,0.003081,1.0,4774.0,0.0
2015-11-20,0.003085,0.003085,0.001294,0.001305,0.0,4669.0,0.0
2015-11-21,0.001304,0.001329,0.001294,0.001317,0.0,1975.0,0.0
2015-11-22,0.002274,0.002279,0.002242,0.002265,0.0,3442.0,0.0
2015-11-23,0.002264,0.003877,0.002248,0.003877,147.0,3427.0,0.0
2015-11-24,0.003876,0.003877,0.002227,0.002234,0.0,5867.0,0.0
2015-11-25,0.002234,0.004234,0.001931,0.004225,11.0,3381.0,0.0
2015-11-26,0.004224,0.004946,0.0024,0.002469,20.0,6393.0,0.0
2015-11-27,0.002463,0.002545,0.002435,0.002509,20.0,3728.0,0.0
2015-11-28,0.002141,0.002162,0.002136,0.002162,4.0,3241.0,0.0
2015-11-29,0.002163,0.002203,0.002152,0.002191,4.0,3274.0,0.0
2015-12-01,0.00148,0.001483,0.001444,0.001468,35.0,2240.0,0.0
2015-12-02,0.001465,0.001466,0.001415,0.001434,34.0,2218.0,0.0
2015-12-08,0.001598,0.001662,0.001577,0.001662,30.0,2418.0,0.0
2015-12-09,0.001658,0.001669,0.000658,0.000676,0.0,2509.0,0.0
2015-12-10,0.000677,0.00068,0.000672,0.000673,0.0,1025.0,0.0
2015-12-13,0.000663,0.000667,0.000655,0.000655,0.0,1003.0,0.0
2015-12-14,0.000654,0.000675,0.00065,0.000671,0.0,990.0,0.0
2015-12-15,0.00067,0.000693,0.00067,0.000686,0.0,1015.0,0.0
2015-12-17,0.00069,0.000691,0.000684,0.000689,0.0,1044.0,0.0
2015-12-18,0.000688,0.000702,0.000687,0.000695,0.0,1042.0,0.0
2015-12-19,0.000695,0.000698,0.000685,0.000693,0.0,1053.0,0.0
2015-12-20,0.000693,0.000738,0.000692,0.000713,2.0,1050.0,0.0
2015-12-21,0.000713,0.000713,0.000646,0.000654,0.0,1080.0,0.0
2015-12-23,0.000709,0.000716,0.000709,0.000712,4.0,1073.0,0.0
2015-12-24,0.000712,0.004335,0.000712,0.004313,2.0,1078.0,0.0
2015-12-25,0.004312,0.004345,0.000688,0.000688,0.0,6527.0,0.0
2015-12-26,0.000688,0.000691,0.000613,0.000628,0.0,1042.0,0.0
2015-12-29,0.000931,0.000953,0.000926,0.000953,3.0,1409.0,0.0
2015-12-30,0.000953,0.000956,0.000949,0.00095,3.0,1443.0,0.0
2015-12-31,0.000721,0.000736,0.000712,0.000732,5.0,1092.0,0.0
2016-01-01,0.000732,0.000742,0.000731,0.00074,5.0,1108.0,0.0
2016-01-02,0.000738,0.00074,0.000734,0.000737,2.0,1117.0,0.0
2016-01-03,0.000737,0.001897,0.000731,0.001896,2.0,1116.0,0.0
2016-01-04,0.001897,0.001916,0.000649,0.00065,0.0,2871.0,0.0
2016-01-05,0.00065,0.000651,0.000645,0.000648,0.0,983.0,0.0
2016-01-07,0.004046,0.004091,0.001358,0.002748,68.0,6124.0,0.0
2016-01-08,0.002745,0.002773,0.002688,0.002719,142.0,4155.0,0.0
2016-01-09,0.00272,0.002888,0.002249,0.002462,108.0,4118.0,0.0
2016-01-10,0.002465,0.002466,0.002422,0.002449,32.0,3732.0,0.0
2016-01-11,0.004006,0.004039,0.004001,0.004036,103.0,6063.0,0.0
2016-01-12,0.004034,0.004034,0.001564,0.001564,57.0,6106.0,0.0
2016-01-13,0.00156,0.001562,0.001524,0.001529,0.0,2362.0,0.0
2016-01-18,0.001387,0.002716,0.001387,0.00271,57.0,2099.0,0.0
2016-01-19,0.002709,0.003631,0.001394,0.003573,21.0,4101.0,0.0
2016-01-20,0.00357,0.003741,0.001437,0.002942,75.0,5403.0,0.0
2016-01-21,0.002937,0.00296,0.002844,0.002848,36.0,4446.0,0.0
2016-01-22,0.000791,0.000801,0.000751,0.000765,47.0,1198.0,0.0
2016-01-23,0.000765,0.000788,0.000765,0.000785,48.0,1158.0,0.0
2016-01-24,0.00065,0.000677,0.000649,0.000673,21.0,984.0,0.0
2016-01-25,0.000672,0.00177,0.000662,0.001763,40.0,1017.0,0.0
2016-01-26,0.001764,0.00179,0.001758,0.001788,0.0,2670.0,0.0
2016-01-27,0.00179,0.002293,0.001787,0.002291,1.0,2709.0,0.0
2016-01-28,0.002292,0.002294,0.001709,0.001711,0.0,3469.0,0.0
2016-01-29,0.00171,0.00171,0.000654,0.000664,53.0,2589.0,0.0
