Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-06-24,13.27,17.78,13.27,14.13,1625.0,26583.0,15.53
2017-06-25,14.14,90.86,14.09,57.06,19432.0,28320.0,52.48
2017-06-26,81.88,82.0,28.37,49.98,4321.0,163978.0,55.19
2017-06-27,41.23,48.88,24.03,35.45,1881.0,82570.0,36.45
2017-06-28,35.68,50.45,24.91,35.77,2698.0,71453.0,37.68
2017-06-29,35.74,46.39,25.49,31.72,2988.0,71573.0,35.94
2017-06-30,31.79,39.7,17.25,26.93,3373.0,63664.0,28.48
2017-07-01,26.92,38.84,16.74,32.98,3406.0,53921.0,27.79
2017-07-02,32.98,37.05,23.79,36.9,4570.0,66052.0,30.42
2017-07-03,36.76,38.16,21.33,38.04,8479.0,73634.0,29.74
2017-07-04,37.95,44.89,31.52,39.91,4365.0,76019.0,38.2
2017-07-05,39.89,39.89,34.36,39.63,3456.0,79902.0,37.12
2017-07-06,39.65,43.98,37.12,37.65,3551.0,79435.0,40.55
2017-07-07,37.68,75.01,36.93,66.26,9618.0,75485.0,55.97
2017-07-08,66.32,82.35,50.74,74.24,9188.0,132862.0,66.55
2017-07-09,74.31,74.54,42.85,53.01,1817.0,148870.0,58.7
2017-07-10,53.11,53.39,34.9,35.88,1233.0,106406.0,44.14
2017-07-11,35.81,47.12,34.78,36.44,1891.0,71743.0,40.95
2017-07-12,36.39,44.7,30.64,42.91,3330.0,72910.0,37.67
2017-07-13,42.94,43.27,25.83,37.48,1665.0,86049.0,34.55
2017-07-14,37.45,40.17,23.87,32.44,1591.0,75051.0,32.02
2017-07-15,32.39,35.27,22.41,22.9,944.0,64899.0,28.84
2017-07-16,32.22,32.46,21.32,25.02,244.0,64555.0,26.89
2017-07-17,25.0,33.76,22.42,25.28,947.0,50089.0,28.09
2017-07-18,25.35,34.19,22.77,23.04,1418.0,50792.0,28.48
2017-07-19,23.07,34.46,20.9,21.49,972.0,46239.0,27.68
2017-07-20,21.43,35.16,21.43,26.71,774.0,42942.0,28.29
2017-07-21,26.91,39.76,5.45,26.68,5849.0,53932.0,22.61
2017-07-22,26.68,37.57,25.22,26.32,515.0,53464.0,31.39
2017-07-23,28.28,28.57,19.59,19.83,477.0,56683.0,24.08
2017-07-24,19.81,25.73,16.8,16.83,581.0,39700.0,21.27
2017-07-25,16.82,21.82,14.04,19.19,770.0,33722.0,17.93
2017-07-26,19.2,20.12,14.13,14.4,532.0,38489.0,17.12
2017-07-27,14.44,20.49,11.94,11.94,686.0,28949.0,16.21
2017-07-28,11.97,16.64,11.71,12.01,251.0,24002.0,14.18
2017-07-29,11.96,16.66,11.96,16.59,317.0,23974.0,14.31
2017-07-30,16.59,21.36,15.85,21.03,287.0,33259.0,18.61
2017-07-31,21.05,21.07,11.97,13.16,493.0,42191.0,16.52
2017-08-01,13.17,21.82,11.97,13.81,155.0,26394.0,16.89
2017-08-02,13.81,19.28,12.14,12.43,761.0,27688.0,15.71
2017-08-03,12.44,13.83,12.44,12.88,94.0,24945.0,13.13
2017-08-04,12.88,17.09,12.82,16.99,430.0,25814.0,14.96
2017-08-05,16.98,18.98,9.55,9.76,341.0,34050.0,14.27
2017-08-06,9.77,16.4,9.53,16.14,36.0,19578.0,12.96
2017-08-07,16.1,17.02,11.44,12.27,95.0,32279.0,14.23
2017-08-08,12.28,15.54,10.05,13.68,315.0,24617.0,12.79
2017-08-09,13.67,13.71,6.36,13.34,292.0,27418.0,10.04
2017-08-10,13.34,13.63,6.68,8.54,212.0,26744.0,10.16
2017-08-11,8.54,14.06,8.5,10.96,106.0,17125.0,11.28
2017-08-12,10.95,11.87,9.11,11.61,34.0,21958.0,10.49
2017-08-13,11.6,12.17,8.36,8.54,226.0,23254.0,10.27
2017-08-14,8.54,12.91,8.37,12.52,292.0,17125.0,10.64
2017-08-15,12.55,13.57,8.12,13.41,388.0,25166.0,10.84
2017-08-16,13.43,13.99,8.37,9.66,353.0,26930.0,11.18
2017-08-17,9.66,10.02,8.09,9.87,116.0,19362.0,9.05
2017-08-18,9.84,9.9,7.86,9.13,64.0,19739.0,8.88
2017-08-19,9.12,10.5,8.8,10.48,34.0,18291.0,9.65
2017-08-20,9.21,10.21,9.0,10.21,10.0,18477.0,9.61
2017-08-21,10.17,10.3,8.86,8.88,261.0,20403.0,9.58
2017-08-22,8.9,10.55,8.06,10.42,147.0,17842.0,9.3
2017-08-23,10.4,10.75,9.07,9.2,363.0,20862.0,9.91
2017-08-24,9.21,10.74,9.13,9.65,81.0,18462.0,9.94
2017-08-25,9.63,9.92,9.41,9.47,172.0,19316.0,9.66
2017-08-26,9.49,12.61,7.99,8.0,702.0,19029.0,10.3
2017-08-27,7.99,10.89,7.8,10.81,266.0,16031.0,9.35
2017-08-28,10.82,15.7,8.52,15.7,347.0,21697.0,12.11
