Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-09-06,0.018527,0.134302,0.018496,0.038711,19260.0,-1.0,0.08
2017-09-07,0.038727,0.045736,0.027495,0.030933,7343.0,-1.0,0.04
2017-09-08,0.030925,0.030925,0.015923,0.020004,1191.0,-1.0,0.02
2017-09-09,0.02004,0.022892,0.014252,0.018718,1963.0,-1.0,0.02
2017-09-10,0.018805,0.019905,0.013488,0.019864,2815.0,-1.0,0.02
2017-09-11,0.014297,0.020909,0.004875,0.010453,2579.0,-1.0,0.01
2017-09-12,0.013659,0.013745,0.009283,0.010606,1001.0,-1.0,0.01
2017-09-13,0.010609,0.014365,0.009649,0.01162,412.0,17647.0,0.01
2017-09-14,0.011621,0.01187,0.009113,0.009113,271.0,19459.0,0.01
2017-09-15,0.009099,0.011765,0.006994,0.01012,1382.0,15408.0,0.01
2017-09-16,0.010242,0.011966,0.009601,0.01,482.0,17600.0,0.01
2017-09-17,0.010016,0.021246,0.007889,0.01032,1418.0,17483.0,0.01
2017-09-18,0.0103,0.020309,0.008372,0.010327,1612.0,18225.0,0.01
2017-09-19,0.010352,0.014061,0.009313,0.011668,947.0,18476.0,0.01
2017-09-20,0.011652,0.020665,0.011535,0.013204,1346.0,21079.0,0.02
2017-09-21,0.01314,0.014557,0.010398,0.010995,839.0,24051.0,0.01
2017-09-22,0.010982,0.013624,0.010511,0.013612,522.0,20392.0,0.01
2017-09-23,0.013573,0.017868,0.011444,0.013467,1617.0,25559.0,0.01
2017-09-24,0.013466,0.018328,0.012591,0.015582,862.0,25721.0,0.02
2017-09-25,0.015566,0.018235,0.013595,0.015047,1039.0,30061.0,0.02
2017-09-26,0.015045,0.0179,0.013796,0.014311,510.0,29453.0,0.02
2017-09-27,0.014272,0.016783,0.014146,0.015041,1405.0,28280.0,0.02
2017-09-28,0.015042,0.015858,0.013852,0.014099,884.0,30234.0,0.01
2017-09-29,0.014088,0.016422,0.013914,0.014517,1207.0,28687.0,0.02
2017-09-30,0.014519,0.015687,0.01301,0.013817,615.0,29966.0,0.01
2017-10-01,0.013824,0.0139,0.010901,0.010951,1009.0,28903.0,0.01
2017-10-02,0.010944,0.012642,0.010944,0.011096,615.0,23188.0,0.01
2017-10-03,0.011096,0.01389,0.010055,0.010909,1192.0,23811.0,0.01
2017-10-04,0.010722,0.01496,0.010093,0.010279,919.0,23308.0,0.01
2017-10-05,0.010281,0.012243,0.010237,0.012126,633.0,22627.0,0.01
2017-10-06,0.012126,0.013744,0.012097,0.012717,413.0,27012.0,0.01
2017-10-07,0.012721,0.015213,0.01224,0.012448,853.0,28692.0,0.01
2017-10-08,0.012415,0.034228,0.011257,0.016258,14102.0,28336.0,0.02
2017-10-09,0.016262,0.021227,0.013624,0.01369,1645.0,37583.0,0.02
2017-10-10,0.013689,0.020049,0.013432,0.013659,3135.0,32012.0,0.02
2017-10-11,0.013657,0.020138,0.013476,0.015358,2224.0,32300.0,0.02
2017-10-12,0.015371,0.017418,0.014772,0.016476,3300.0,36779.0,0.02
2017-10-13,0.016526,0.017848,0.016421,0.017192,3376.0,39979.0,0.02
2017-10-14,0.017517,0.017517,0.015034,0.01512,1518.0,42847.0,0.02
2017-10-15,0.015134,0.015725,0.011286,0.011799,476.0,37431.0,0.01
2017-10-16,0.011801,0.015277,0.010295,0.011311,689.0,29519.0,0.01
2017-10-17,0.011312,0.01429,0.010664,0.011342,1191.0,28598.0,0.01
2017-10-18,0.011342,0.011742,0.010124,0.011464,570.0,28983.0,0.01
2017-10-19,0.01127,0.012301,0.010774,0.010972,390.0,29110.0,0.01
2017-10-20,0.010974,0.012365,0.008993,0.009187,1292.0,28632.0,0.01
2017-10-21,0.009167,0.01257,0.009119,0.010135,675.0,24165.0,0.01
2017-10-22,0.010138,0.014653,0.009748,0.010121,685.0,27001.0,0.01
2017-10-23,0.010105,0.011669,0.00874,0.01017,687.0,27182.0,0.01
2017-10-24,0.010147,0.013301,0.009201,0.009538,550.0,27572.0,0.01
2017-10-25,0.009542,0.010321,0.009309,0.009998,347.0,26067.0,0.01
2017-10-26,0.009997,0.012169,0.009356,0.00946,503.0,27553.0,0.01
2017-10-27,0.009462,0.010542,0.008489,0.008493,372.0,26277.0,0.01
2017-10-28,0.008516,0.008674,0.008205,0.008205,67.0,23820.0,0.01
2017-10-29,0.008193,0.010027,0.00702,0.007893,366.0,23028.0,0.01
2017-10-30,0.007848,0.009127,0.007677,0.007732,274.0,22225.0,0.01
2017-10-31,0.007706,0.009013,0.007233,0.007767,211.0,22032.0,0.01
2017-11-01,0.007762,0.009194,0.007655,0.007945,484.0,22382.0,0.01
2017-11-02,0.007954,0.008576,0.007954,0.008191,351.0,23102.0,0.01
2017-11-03,0.00818,0.008556,0.007783,0.008013,336.0,23870.0,0.01
2017-11-04,0.007992,0.008104,0.005109,0.005381,182.0,23435.0,0.01
2017-11-05,0.005371,0.009359,0.004163,0.005611,545.0,15889.0,0.01
2017-11-06,0.005623,0.006177,0.002933,0.003694,369.0,16786.0,0.0
2017-11-07,0.003688,0.005079,0.003688,0.005079,394.0,11112.0,0.0
2017-11-08,0.005066,0.012115,0.005036,0.010228,1099.0,15384.0,0.01
2017-11-09,0.010218,0.016746,0.006996,0.007405,337.0,31205.0,0.01
2017-11-10,0.007427,0.009104,0.006154,0.006266,396.0,22846.0,0.01
2017-11-11,0.006243,0.007036,0.005831,0.006014,203.0,19367.0,0.01
2017-11-12,0.00601,0.0067,0.00538,0.005922,195.0,18748.0,0.01
2017-11-13,0.005931,0.007289,0.005729,0.006746,760.0,18620.0,0.01
2017-11-14,0.006761,0.007271,0.006012,0.006062,250.0,21349.0,0.01
2017-11-15,0.006067,0.006819,0.006067,0.0066,103.0,19249.0,0.01
2017-11-16,0.006634,0.007802,0.006499,0.00769,196.0,21158.0,0.01
2017-11-17,0.007677,0.008073,0.006899,0.008073,241.0,24582.0,0.01
2017-11-18,0.008021,0.008021,0.007031,0.007634,187.0,25873.0,0.01
2017-11-19,0.00762,0.008285,0.006969,0.008198,133.0,24759.0,0.01
2017-11-20,0.008194,0.008209,0.007287,0.007689,397.0,26745.0,0.01
2017-11-21,0.00769,0.00975,0.007204,0.007309,517.0,25293.0,0.01
2017-11-22,0.007328,0.009396,0.007291,0.0075,312.0,24301.0,0.01
2017-11-23,0.007498,0.007573,0.005526,0.006238,421.0,25065.0,0.01
2017-11-24,0.00623,0.007665,0.005366,0.007443,455.0,20987.0,0.01
2017-11-25,0.007428,0.008807,0.007159,0.008758,558.0,25222.0,0.01
2017-11-26,0.008755,0.009216,0.008187,0.008543,366.0,30090.0,0.01
2017-11-27,0.008545,0.013981,0.008545,0.009786,1404.0,29601.0,0.01
2017-11-28,0.009811,0.011819,0.009519,0.00964,357.0,34255.0,0.01
2017-11-29,0.00963,0.011712,0.008905,0.009481,264.0,33870.0,0.01
2017-11-30,0.009627,0.011499,0.008893,0.009897,210.0,34073.0,0.01
2017-12-01,0.009848,0.012322,0.009623,0.011465,507.0,35061.0,0.01
2017-12-02,0.011455,0.013331,0.009213,0.011108,366.0,41096.0,0.01
2017-12-03,0.011119,0.011763,0.010271,0.010868,173.0,40100.0,0.01
2017-12-04,0.010904,0.012744,0.010562,0.011284,931.0,39496.0,0.01
2017-12-05,0.011307,0.015876,0.011149,0.011803,570.0,41229.0,0.01
2017-12-06,0.011777,0.017811,0.011777,0.014542,382.0,43147.0,0.01
2017-12-07,0.014517,0.031448,0.014311,0.025419,4157.0,53517.0,0.02
2017-12-08,0.025479,0.025548,0.019359,0.019536,876.0,94575.0,0.02
2017-12-09,0.019517,0.022295,0.014562,0.015195,277.0,72786.0,0.02
2017-12-10,0.015256,0.021865,0.012841,0.017964,602.0,57226.0,0.02
2017-12-11,0.017834,0.021765,0.017756,0.021012,797.0,67180.0,0.02
2017-12-12,0.02108,0.02325,0.018624,0.020076,641.0,79766.0,0.02
2017-12-13,0.020093,0.020673,0.016742,0.017944,947.0,76520.0,0.02
2017-12-14,0.017886,0.019214,0.013891,0.01542,2100.0,68471.0,0.02
2017-12-15,0.015443,0.016763,0.013853,0.01653,178.0,59292.0,0.02
2017-12-16,0.016553,0.016783,0.01295,0.01519,663.0,63701.0,0.01
2017-12-17,0.015192,0.021189,0.014809,0.014878,541.0,58566.0,0.02
2017-12-18,0.014923,0.019903,0.014278,0.014338,319.0,57804.0,0.02
2017-12-19,0.01435,0.034929,0.013639,0.01584,1515.0,55788.0,0.02
2017-12-20,0.015824,0.056979,0.012873,0.047186,5416.0,61800.0,0.03
2017-12-21,0.047309,0.059772,0.020571,0.039304,6440.0,185684.0,0.04
2017-12-22,0.039441,0.051644,0.018626,0.026648,1621.0,155637.0,0.04
2017-12-23,0.0269,0.037921,0.0269,0.033492,1526.0,106704.0,0.03
2017-12-24,0.033862,0.034884,0.025318,0.028989,1014.0,134958.0,0.03
2017-12-25,0.02929,0.029838,0.017193,0.020985,1966.0,117012.0,0.02
2017-12-26,0.020967,0.033166,0.020882,0.030954,408.0,84172.0,0.03
2017-12-27,0.030911,0.045608,0.024542,0.029733,2630.0,124496.0,0.04
2017-12-28,0.029671,0.038241,0.020976,0.032031,3352.0,119501.0,0.03
2017-12-29,0.032363,0.040934,0.021155,0.040428,4020.0,130698.0,0.03
2017-12-30,0.0267,0.040204,0.023886,0.030638,2285.0,108230.0,0.03
2017-12-31,0.037021,0.040271,0.030209,0.035224,1921.0,150295.0,0.04
2018-01-01,0.035343,0.041951,0.016612,0.030921,5725.0,144239.0,0.03
2018-01-02,0.030918,0.034409,0.02479,0.029277,2578.0,126802.0,0.03
2018-01-03,0.029173,0.051376,0.029155,0.051376,7165.0,119941.0,0.04
2018-01-04,0.051658,0.129795,0.039978,0.114636,31601.0,213204.0,0.08
2018-01-05,0.11621,0.513957,0.094423,0.284982,218717.0,481394.0,0.3
2018-01-06,0.284712,0.447585,0.115813,0.252631,91755.0,1184610.0,0.28
2018-01-07,0.221116,0.300988,0.182954,0.23384,40262.0,925457.0,0.24
2018-01-08,0.236437,0.239071,0.157001,0.166536,20700.0,995137.0,0.2
2018-01-09,0.166074,0.199948,0.144586,0.165819,23646.0,703130.0,0.17
2018-01-10,0.166037,0.171828,0.094911,0.122186,12584.0,706393.0,0.13
2018-01-11,0.122049,0.162013,0.105646,0.13509,10039.0,522428.0,0.13
2018-01-12,0.135982,0.144008,0.097102,0.114389,7762.0,585132.0,0.12
2018-01-13,0.114259,0.14126,0.106004,0.129308,13489.0,494139.0,0.12
2018-01-14,0.129392,0.539538,0.108487,0.174366,248196.0,562731.0,0.32
2018-01-15,0.173101,0.481045,0.155628,0.158385,99701.0,756226.0,0.32
