Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-02-08,0.00048,0.00048,0.000478,0.000478,7241.0,-1,0.0
2017-02-09,0.00082,0.003756,0.000385,0.000477,92505.0,-1,0.0
2017-02-10,0.000478,0.000478,0.000159,0.000168,37092.0,-1,0.0
2017-02-11,0.000168,0.000279,0.000153,0.000181,24055.0,-1,0.0
2017-02-12,0.000181,0.00019,0.0001,0.00015,39285.0,-1,0.0
2017-02-13,0.00014,0.000179,0.000109,0.000119,41895.0,-1,0.0
2017-02-14,0.000119,0.00012,7.9e-05,9e-05,20148.0,-1,0.0
2017-02-15,9.1e-05,0.000121,8e-05,0.000111,9223.0,-1,0.0
2017-02-16,0.000111,0.000143,0.000103,0.000123,9048.0,-1,0.0
2017-02-17,0.000123,0.000123,9.4e-05,0.000117,7216.0,-1,0.0
2017-02-18,0.000108,0.000118,8.5e-05,9.5e-05,8944.0,-1,0.0
2017-02-19,9.5e-05,0.000137,8.4e-05,9.4e-05,23906.0,-1,0.0
2017-02-20,9.4e-05,0.000106,8.4e-05,8.6e-05,16601.0,-1,0.0
2017-02-21,8.6e-05,0.000101,6.5e-05,9.1e-05,7387.0,-1,0.0
2017-02-22,9.1e-05,9.2e-05,5.6e-05,6.7e-05,11252.0,-1,0.0
2017-02-23,6.7e-05,6.9e-05,4.5e-05,5.8e-05,2326.0,-1,0.0
2017-02-24,5.9e-05,7.2e-05,4.7e-05,5.9e-05,653.0,-1,0.0
2017-02-25,5.9e-05,7e-05,4.5e-05,5.7e-05,1043.0,-1,0.0
2017-02-26,5.7e-05,6.5e-05,4.5e-05,6e-05,1046.0,-1,0.0
2017-02-27,6e-05,7.1e-05,4.7e-05,5.9e-05,1555.0,-1,0.0
2017-02-28,5.9e-05,7.1e-05,4.7e-05,5.2e-05,922.0,-1,0.0
2017-03-01,5.2e-05,6.3e-05,4.9e-05,5e-05,1217.0,-1,0.0
2017-03-02,5e-05,7.5e-05,5e-05,6.3e-05,2418.0,-1,0.0
2017-03-03,6.3e-05,8.1e-05,5.1e-05,7e-05,341.0,-1,0.0
2017-03-04,7e-05,8.2e-05,5.3e-05,6.4e-05,915.0,-1,0.0
2017-03-05,6.4e-05,6.7e-05,5.4e-05,6.5e-05,724.0,-1,0.0
2017-03-06,6.5e-05,6.8e-05,5.1e-05,5.2e-05,2298.0,-1,0.0
2017-03-07,5.2e-05,6.4e-05,4.9e-05,6.1e-05,1242.0,-1,0.0
2017-03-08,6.2e-05,6.3e-05,3.9e-05,5.7e-05,1178.0,-1,0.0
2017-03-09,5.7e-05,7.1e-05,4.7e-05,4.9e-05,3449.0,-1,0.0
2017-03-10,4.9e-05,6.1e-05,3.8e-05,4.5e-05,1000.0,-1,0.0
2017-03-11,4.5e-05,5.8e-05,3.6e-05,4.6e-05,305.0,-1,0.0
2017-03-12,4.6e-05,6.1e-05,3.6e-05,6.1e-05,8964.0,-1,0.0
2017-03-13,6.1e-05,7.4e-05,4.9e-05,7.4e-05,8604.0,-1,0.0
2017-03-14,7.4e-05,0.000112,6.1e-05,8.7e-05,6449.0,-1,0.0
2017-03-15,8.7e-05,8.8e-05,6.3e-05,6.3e-05,4506.0,-1,0.0
2017-03-16,6.3e-05,9.9e-05,6e-05,7.1e-05,2627.0,-1,0.0
2017-03-17,7.1e-05,8.9e-05,5.7e-05,5.8e-05,803.0,-1,0.0
2017-03-18,5.8e-05,6.7e-05,5e-05,5.8e-05,1326.0,-1,0.0
2017-03-19,5.8e-05,7.4e-05,5.2e-05,6.4e-05,777.0,-1,0.0
2017-03-20,6.4e-05,7.4e-05,5.7e-05,7.4e-05,674.0,-1,0.0
2017-03-21,7.4e-05,7.8e-05,5.7e-05,6.7e-05,1542.0,-1,0.0
2017-03-22,6.7e-05,9.2e-05,6.2e-05,8.4e-05,4383.0,-1,0.0
2017-03-23,8.4e-05,0.000114,7.4e-05,0.000114,8035.0,-1,0.0
2017-03-24,0.000114,0.000125,7.9e-05,8.5e-05,4203.0,-1,0.0
2017-03-25,8.5e-05,9.8e-05,8.3e-05,9.8e-05,3456.0,-1,0.0
2017-03-26,9.8e-05,0.000112,8.6e-05,9.9e-05,2203.0,-1,0.0
2017-03-27,0.0001,0.000123,9.7e-05,0.000115,2867.0,-1,0.0
2017-03-28,0.000115,0.000261,0.000114,0.000261,26857.0,-1,0.0
2017-03-29,0.00027,0.000311,0.000222,0.00025,27212.0,-1,0.0
2017-03-30,0.00025,0.000268,0.000166,0.000193,14618.0,-1,0.0
2017-03-31,0.000196,0.000246,0.000172,0.000182,11742.0,-1,0.0
2017-04-01,0.000182,0.000233,0.000181,0.000206,7477.0,-1,0.0
2017-04-02,0.000206,0.000233,0.000205,0.00022,5361.0,-1,0.0
2017-04-03,0.00022,0.000275,0.00018,0.000274,12993.0,-1,0.0
2017-04-04,0.000264,0.000274,0.000204,0.000248,4483.0,-1,0.0
2017-04-05,0.000248,0.000258,0.000215,0.000238,3035.0,-1,0.0
2017-04-06,0.000238,0.000277,0.000217,0.000277,6018.0,-1,0.0
2017-04-07,0.000286,0.000329,0.000257,0.000315,10653.0,-1,0.0
2017-04-08,0.000313,0.000329,0.000291,0.000302,3377.0,-1,0.0
2017-04-09,0.000302,0.000317,0.000274,0.000285,3810.0,-1,0.0
2017-04-10,0.000285,0.000297,0.00024,0.000284,7121.0,-1,0.0
2017-04-11,0.000284,0.000304,0.000272,0.000284,3027.0,-1,0.0
2017-04-12,0.000284,0.000291,0.00025,0.000287,3954.0,-1,0.0
2017-04-13,0.000287,0.000287,0.00026,0.00027,2225.0,-1,0.0
2017-04-14,0.00027,0.000284,0.000266,0.000273,3251.0,-1,0.0
2017-04-15,0.000273,0.000327,0.000259,0.000305,6455.0,-1,0.0
2017-04-16,0.000305,0.000309,0.000276,0.000306,4283.0,-1,0.0
2017-04-17,0.000306,0.000311,0.000271,0.0003,4046.0,-1,0.0
2017-04-18,0.0003,0.000317,0.00029,0.000304,3976.0,-1,0.0
2017-04-19,0.000304,0.000397,0.000302,0.000397,11524.0,-1,0.0
2017-04-20,0.000397,0.000398,0.000318,0.000391,9496.0,-1,0.0
2017-04-21,0.000391,0.000439,0.000346,0.000393,13107.0,-1,0.0
2017-04-22,0.000393,0.000448,0.000275,0.000331,20859.0,-1,0.0
2017-04-23,0.000331,0.000348,0.000139,0.000183,36487.0,-1,0.0
2017-04-24,0.000174,0.000196,0.000115,0.000115,19889.0,-1,0.0
2017-04-25,0.000138,0.000168,0.000127,0.000141,5356.0,-1,0.0
2017-04-26,0.00013,0.000166,0.000128,0.000166,9001.0,-1,0.0
