Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-07-13,0.015058,0.015216,0.014424,0.015,33267.0,504487.0,0.01
2016-07-14,0.014978,0.015879,0.013143,0.013168,46750.0,501798.0,0.01
2016-07-15,0.013183,0.014294,0.011996,0.014114,109853.0,441689.0,0.01
2016-07-16,0.014119,0.014554,0.012744,0.01385,8369.0,473057.0,0.01
2016-07-17,0.013875,0.013929,0.011293,0.011524,13341.0,464976.0,0.01
2016-07-18,0.011536,0.018518,0.010977,0.01851,31775.0,386657.0,0.01
2016-07-19,0.0185,0.019564,0.013811,0.018901,25702.0,620171.0,0.02
2016-07-20,0.018186,0.019279,0.015966,0.016123,26494.0,609743.0,0.02
2016-07-21,0.016105,0.018277,0.014426,0.018115,13476.0,540079.0,0.02
2016-07-22,0.018119,0.0183,0.011788,0.011854,12812.0,607724.0,0.02
2016-07-23,0.011856,0.013105,0.011222,0.013105,4135.0,397735.0,0.01
2016-07-24,0.013088,0.013944,0.012416,0.013854,12954.0,439155.0,0.01
2016-07-25,0.013853,0.014767,0.013345,0.014639,19275.0,464907.0,0.01
2016-07-26,0.014642,0.016318,0.013771,0.016151,13063.0,491444.0,0.02
2016-07-27,0.016278,0.017628,0.015095,0.016477,14975.0,546455.0,0.02
2016-07-28,0.01648,0.017356,0.010916,0.012852,19751.0,553354.0,0.01
2016-07-29,0.01286,0.013633,0.011267,0.012535,9592.0,431874.0,0.01
2016-07-30,0.012542,0.012723,0.010671,0.012695,9548.0,421291.0,0.01
2016-07-31,0.012696,0.012711,0.011106,0.012394,11421.0,426522.0,0.01
2016-08-01,0.01238,0.014172,0.008249,0.009816,20034.0,415928.0,0.01
2016-08-02,0.010078,0.012622,0.005331,0.00686,33671.0,338616.0,0.01
2016-08-03,0.00699,0.007719,0.005447,0.006774,15501.0,234857.0,0.01
2016-08-04,0.006773,0.008826,0.006726,0.008813,11736.0,227621.0,0.01
2016-08-05,0.008807,0.008812,0.007685,0.008522,6429.0,296027.0,0.01
2016-08-06,0.008528,0.009919,0.007977,0.009422,7658.0,286684.0,0.01
2016-08-07,0.009398,0.009737,0.008717,0.009732,4794.0,316014.0,0.01
2016-08-08,0.009733,0.010746,0.006847,0.007831,25429.0,327314.0,0.01
2016-08-09,0.007831,0.008572,0.003512,0.004996,18754.0,263414.0,0.01
2016-08-10,0.005207,0.00658,0.002374,0.002374,31280.0,175161.0,0.0
2016-08-11,0.002813,0.004038,0.002076,0.002651,2921.0,94640.0,0.0
2016-08-12,0.00265,0.003284,0.002191,0.002685,3438.0,89171.0,0.0
2016-08-13,0.002684,0.002875,0.0014,0.002682,5859.0,90353.0,0.0
2016-08-14,0.002682,0.002682,0.00021,0.001854,2172.0,90294.0,0.0
2016-08-15,0.001843,0.00287,0.001117,0.002246,581.0,62049.0,0.0
2016-08-16,0.002246,0.002552,0.00155,0.001998,291.0,75653.0,0.0
2016-08-17,0.001999,0.002003,0.001141,0.001863,179.0,67339.0,0.0
2016-08-18,0.001865,0.001866,0.000925,0.001614,86.0,62819.0,0.0
2016-08-19,0.001614,0.001615,0.001018,0.001163,76.0,54384.0,0.0
2016-08-20,0.001164,0.001598,0.001033,0.00132,140.0,39221.0,0.0
2016-08-21,0.001321,0.001603,0.001046,0.001343,79.0,44531.0,0.0
2016-08-22,0.001343,0.001538,0.001092,0.001197,79.0,45275.0,0.0
2016-08-23,0.001197,0.001393,0.001197,0.001284,89.0,40366.0,0.0
2016-08-24,0.001284,0.001296,0.001053,0.001108,135.0,43291.0,0.0
2016-08-25,0.001108,0.001234,0.001055,0.001057,42.0,37383.0,0.0
2016-08-26,0.001057,0.001206,0.000927,0.000927,38.0,35674.0,0.0
2016-08-27,0.000927,0.001078,0.000854,0.000969,65.0,31287.0,0.0
2016-08-28,0.000969,0.000982,0.000723,0.000924,60.0,32697.0,0.0
2016-08-29,0.000924,0.000928,0.000455,0.00089,127.0,31202.0,0.0
2016-08-30,0.00089,0.001438,0.000727,0.001386,102.0,30047.0,0.0
2016-08-31,0.001386,0.001387,0.000316,0.00061,622.0,46815.0,0.0
2016-09-01,0.000575,0.000818,0.000558,0.000692,453.0,19438.0,0.0
2016-09-02,0.000692,0.001092,0.000646,0.000863,111.0,23395.0,0.0
2016-09-03,0.000863,0.000909,0.000741,0.000873,14.0,29171.0,0.0
2016-09-04,0.000874,0.000885,0.00063,0.0007,42.0,29536.0,0.0
2016-09-05,0.0007,0.000879,0.000626,0.000873,79.0,23673.0,0.0
2016-09-06,0.000873,0.000873,0.00043,0.000617,260.0,29531.0,0.0
2016-09-07,0.000617,0.000681,0.000487,0.000504,8.0,20848.0,0.0
2016-09-08,0.000504,0.000539,0.000387,0.000476,152.0,17043.0,0.0
2016-09-09,0.000476,0.000648,0.000449,0.000648,25.0,16103.0,0.0
2016-09-10,0.000648,0.000648,7.5e-05,0.000368,664.0,21918.0,0.0
2016-09-11,0.000368,0.000437,0.000279,0.000279,8.0,12448.0,0.0
2016-09-12,0.000279,0.000279,0.000272,0.000274,0.0,9449.0,0.0
2016-09-13,0.000274,0.000483,0.000273,0.000475,357.0,9263.0,0.0
2016-09-14,0.000475,0.000475,0.000312,0.000366,10.0,16073.0,0.0
2016-09-15,0.000366,0.000372,0.000261,0.000261,24.0,12400.0,0.0
2016-09-16,0.000261,0.000335,0.000243,0.000261,28.0,8839.0,0.0
2016-09-17,0.000261,0.000261,0.000133,0.000212,82.0,8839.0,0.0
2016-09-18,0.000212,0.000317,9.7e-05,0.000281,96.0,7181.0,0.0
2016-09-19,0.000281,0.000281,0.000122,0.000122,43.0,9499.0,0.0
2016-09-20,0.000122,0.000171,4.9e-05,0.000134,342.0,4126.0,0.0
2016-09-21,0.000133,0.000149,0.000107,0.000149,32.0,4497.0,0.0
2016-09-22,0.000149,0.00015,5.4e-05,8.3e-05,42.0,5056.0,0.0
2016-09-23,8.3e-05,8.4e-05,7.2e-05,7.8e-05,1.0,2828.0,0.0
2016-09-24,7.8e-05,0.000133,7.2e-05,0.000102,14.0,2655.0,0.0
2016-09-25,0.000102,0.000127,0.000102,0.00012,1.0,3470.0,0.0
2016-09-26,0.00012,0.000127,0.000109,0.000109,1.0,4071.0,0.0
2016-09-27,0.000109,0.000127,6.7e-05,7.9e-05,15.0,3708.0,0.0
2016-09-28,7.9e-05,0.000109,7.3e-05,0.000109,9.0,2670.0,0.0
2016-09-29,0.000109,0.000133,0.000109,0.000115,8.0,3690.0,0.0
2016-09-30,0.000115,0.000133,9.7e-05,0.000128,20.0,3900.0,0.0
2016-10-01,0.000128,0.000135,7.4e-05,9.8e-05,40.0,4340.0,0.0
2016-10-02,9.8e-05,0.000141,9.1e-05,9.2e-05,31.0,3330.0,0.0
2016-10-03,9.2e-05,0.000129,9.2e-05,9.8e-05,3.0,3107.0,0.0
2016-10-04,9.8e-05,0.000153,9.2e-05,0.000104,31.0,3320.0,0.0
2016-10-05,0.000104,0.000117,0.000104,0.00011,4.0,3517.0,0.0
2016-10-06,0.00011,0.000135,0.00011,0.000116,2.0,3738.0,0.0
2016-10-07,0.000116,0.000142,0.000116,0.000142,3.0,3947.0,0.0
2016-10-08,0.000142,0.000143,0.000117,0.000136,1.0,4816.0,0.0
2016-10-09,0.000136,0.000136,0.000123,0.000136,8.0,4620.0,0.0
2016-10-10,0.000136,0.000136,0.000117,0.00013,1.0,4603.0,0.0
2016-10-11,0.00013,0.000148,0.000114,0.000148,13.0,4410.0,0.0
2016-10-12,0.000147,0.000148,0.000141,0.000146,3.0,5003.0,0.0
2016-10-13,0.000146,0.000147,0.00014,0.000146,1.0,4965.0,0.0
2016-10-14,0.000146,0.000147,0.000128,0.000134,1.0,4971.0,0.0
2016-10-15,0.000134,0.000135,0.000122,0.000134,0.0,4565.0,0.0
2016-10-16,0.000134,0.000141,0.000122,0.000141,2.0,4553.0,0.0
2016-10-17,0.000141,0.000141,0.000115,0.000115,6.0,4793.0,0.0
2016-10-18,0.000115,0.000128,0.000115,0.000128,2.0,3907.0,0.0
2016-10-19,0.000128,0.000128,0.000113,0.000113,16.0,4334.0,0.0
2016-10-20,0.000113,0.000114,0.000113,0.000114,5.0,3856.0,0.0
2016-10-21,0.00012,0.00012,0.000114,0.000114,0.0,4086.0,0.0
2016-10-22,0.000114,0.000191,0.000114,0.000191,35.0,3871.0,0.0
2016-10-23,0.000191,0.000192,0.000131,0.000177,4.0,6479.0,0.0
2016-10-24,0.000177,0.000177,2.6e-05,2.6e-05,103.0,6032.0,0.0
2016-10-25,2.6e-05,0.000105,2e-05,6.6e-05,11.0,889.0,0.0
2016-10-26,6.6e-05,9.9e-05,4.6e-05,4.7e-05,14.0,2236.0,0.0
2016-10-27,4.7e-05,6.9e-05,4.7e-05,6.9e-05,4.0,1615.0,0.0
2016-10-28,6.9e-05,8.3e-05,5.5e-05,5.5e-05,12.0,2341.0,0.0
2016-10-29,5.5e-05,5.8e-05,5.5e-05,5.7e-05,6.0,1877.0,0.0
2016-10-30,5.6e-05,6.3e-05,5.6e-05,6.3e-05,1.0,1914.0,0.0
