Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-04-06,2.04,3.77,1.45,3.77,222502.0,-1.0,2.61
2016-04-07,3.92,8.29,2.02,4.99,203863.0,-1.0,5.15
2016-04-08,5.01,7.89,2.5,4.53,468420.0,-1.0,5.2
2016-04-09,4.06,4.59,2.4,2.44,272260.0,-1.0,3.5
2016-04-10,2.44,2.76,1.14,1.37,242123.0,-1.0,1.95
2016-04-11,1.37,3.17,1.27,3.13,163666.0,-1.0,2.22
2016-04-12,3.14,3.14,1.17,1.23,117448.0,-1.0,2.16
2016-04-13,1.29,1.38,0.977091,1.29,85572.0,-1.0,1.18
2016-04-14,1.0,1.31,0.73644,1.19,114725.0,-1.0,1.02
2016-04-15,1.19,1.74,1.09,1.2,98647.0,-1.0,1.42
2016-04-16,1.2,1.26,0.867777,1.23,57511.0,-1.0,1.06
2016-04-17,1.23,1.8,1.15,1.66,36480.0,-1.0,1.48
2016-04-18,1.66,1.66,0.928835,1.02,48480.0,-1.0,1.29
2016-04-19,1.02,1.96,1.02,1.85,26391.0,-1.0,1.49
2016-04-20,1.85,1.85,1.3,1.33,64546.0,-1.0,1.58
2016-04-21,1.33,1.84,1.33,1.65,46650.0,-1.0,1.58
2016-04-22,1.65,1.98,0.948411,1.82,38998.0,-1.0,1.46
2016-04-23,1.82,2.1,1.15,1.27,182681.0,-1.0,1.62
2016-04-24,1.27,1.74,0.986183,1.41,54516.0,-1.0,1.36
2016-04-25,1.42,1.42,0.773489,0.773489,30326.0,-1.0,1.1
2016-04-26,0.773862,0.802259,0.70129,0.729231,16705.0,-1.0,0.75
2016-04-27,0.729496,0.835437,0.622453,0.623225,14913.0,-1.0,0.73
2016-04-28,0.623713,0.742672,0.454936,0.738716,6142.0,-1.0,0.6
2016-04-29,0.739369,0.788671,0.514736,0.765815,14024.0,-1.0,0.65
2016-04-30,0.765952,1.65,0.734653,1.27,66785.0,-1.0,1.19
2016-05-01,1.27,1.63,0.559062,0.70878,19716.0,-1.0,1.09
2016-05-02,0.708871,1.4,0.676872,1.18,38309.0,-1.0,1.04
2016-05-03,1.18,1.44,0.723931,0.725287,26812.0,-1.0,1.08
2016-05-04,0.725092,1.52,0.717662,1.52,51102.0,-1.0,1.12
2016-05-05,1.52,1.56,1.23,1.42,34428.0,-1.0,1.4
2016-05-06,1.42,1.63,0.814017,0.814017,15278.0,-1.0,1.22
2016-05-07,0.814081,0.85114,0.694595,0.696178,13246.0,-1.0,0.77
2016-05-08,0.696016,1.08,0.635132,0.790503,13948.0,-1.0,0.86
2016-05-09,0.789914,0.789914,0.745417,0.761164,10017.0,-1.0,0.77
2016-05-10,0.761222,0.85854,0.748928,0.833555,10911.0,-1.0,0.8
2016-05-11,0.833497,1.51,0.833497,1.22,34101.0,-1.0,1.17
