Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-03-19,2e-05,2.8e-05,1.3e-05,1.6e-05,9902.0,-1.0,0.0
2015-03-20,1.6e-05,1.8e-05,1e-05,1.6e-05,6117.0,-1.0,0.0
2015-03-21,1.6e-05,1.6e-05,8e-06,1e-05,4068.0,-1.0,0.0
2015-03-22,1e-05,1e-05,5e-06,8e-06,1336.0,-1.0,0.0
2015-03-23,8e-06,8e-06,3e-06,8e-06,1142.0,-1.0,0.0
2015-03-24,8e-06,1.1e-05,5e-06,1e-05,1750.0,-1.0,0.0
2015-03-25,1e-05,1e-05,5e-06,7e-06,1160.0,-1.0,0.0
2015-03-26,7e-06,8e-06,5e-06,8e-06,356.0,-1.0,0.0
2015-03-27,8e-06,1e-05,5e-06,1e-05,1491.0,-1.0,0.0
2015-03-28,1e-05,1.2e-05,8e-06,1e-05,1307.0,-1.0,0.0
2015-03-29,1.2e-05,1.2e-05,7e-06,1e-05,950.0,-1.0,0.0
2015-03-30,1e-05,1e-05,7e-06,1e-05,666.0,-1.0,0.0
2015-03-31,1e-05,1e-05,5e-06,1e-05,893.0,-1.0,0.0
2015-04-01,1e-05,1e-05,7e-06,9e-06,350.0,-1.0,0.0
2015-04-02,9e-06,1e-05,5e-06,6e-06,182.0,-1.0,0.0
2015-04-03,1e-05,1e-05,8e-06,8e-06,263.0,-1.0,0.0
2015-04-04,8e-06,1e-05,7e-06,1e-05,79.0,-1.0,0.0
2015-04-05,1e-05,1e-05,5e-06,8e-06,318.0,-1.0,0.0
2015-04-06,8e-06,8e-06,5e-06,8e-06,385.0,-1.0,0.0
2015-04-07,8e-06,1e-05,8e-06,8e-06,186.0,-1.0,0.0
2015-04-08,8e-06,1e-05,5e-06,1e-05,332.0,-1.0,0.0
2015-04-09,1e-05,1e-05,5e-06,7e-06,236.0,-1.0,0.0
2015-04-10,7e-06,7e-06,5e-06,7e-06,91.0,-1.0,0.0
2015-04-11,7e-06,7e-06,5e-06,7e-06,365.0,-1.0,0.0
2015-04-12,7e-06,7e-06,3e-06,7e-06,617.0,-1.0,0.0
2015-04-13,7e-06,7e-06,4e-06,4e-06,70.0,-1.0,0.0
2015-04-14,4e-06,5e-06,2e-06,2e-06,70.0,-1.0,0.0
2015-04-15,2e-06,4e-06,2e-06,4e-06,276.0,-1.0,0.0
2015-04-16,4e-06,6e-06,2e-06,5e-06,7.0,-1.0,0.0
2015-04-17,5e-06,6e-06,2e-06,4e-06,174.0,-1.0,0.0
2015-04-18,4e-06,7e-06,2e-06,7e-06,309.0,12353.0,0.0
2015-04-19,7e-06,7e-06,4e-06,4e-06,195.0,18195.0,0.0
2015-04-20,4e-06,5e-06,2e-06,2e-06,95.0,12340.0,0.0
2015-04-21,2e-06,7e-06,2e-06,5e-06,5.0,6387.0,0.0
2015-04-22,5e-06,7e-06,5e-06,7e-06,50.0,13060.0,0.0
2015-04-23,7e-06,7e-06,5e-06,7e-06,303.0,19453.0,0.0
2015-04-24,7e-06,7e-06,5e-06,7e-06,91.0,19536.0,0.0
2015-04-25,7e-06,7e-06,5e-06,7e-06,252.0,19213.0,0.0
2015-04-26,7e-06,7e-06,2e-06,4e-06,111.0,18148.0,0.0
2015-04-27,4e-06,7e-06,2e-06,7e-06,188.0,12255.0,0.0
2015-04-28,7e-06,7e-06,4e-06,4e-06,173.0,18993.0,0.0
2015-04-29,4e-06,7e-06,4e-06,4e-06,132.0,12370.0,0.0
