Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-27,2.06,3.17,2.06,3.16,42049.0,-1.0,2.62
2017-10-28,3.26,3.44,2.32,3.38,55256.0,-1.0,2.88
2017-10-29,3.37,3.72,3.01,3.47,57616.0,-1.0,3.37
2017-10-30,3.45,3.45,2.29,2.47,43509.0,-1.0,2.87
2017-10-31,2.46,2.68,2.14,2.16,30974.0,-1.0,2.41
2017-11-01,2.18,2.45,0.855815,1.78,36310.0,-1.0,1.65
2017-11-02,1.78,1.8,1.34,1.44,18028.0,-1.0,1.57
2017-11-03,1.44,2.91,1.44,1.66,15817.0,-1.0,2.17
2017-11-04,1.66,2.22,1.6,2.22,15149.0,371046.0,1.91
2017-11-05,1.85,2.11,1.69,1.83,14343.0,431413.0,1.9
2017-11-06,1.84,1.84,1.47,1.64,10947.0,447337.0,1.66
2017-11-07,1.64,1.73,1.6,1.67,6905.0,414535.0,1.67
2017-11-08,1.66,1.83,1.59,1.72,18426.0,438542.0,1.71
2017-11-09,1.72,1.79,1.36,1.63,28155.0,469351.0,1.58
2017-11-10,1.64,1.64,1.23,1.27,12170.0,462778.0,1.44
2017-11-11,1.27,1.36,0.661549,1.02,16977.0,370872.0,1.01
2017-11-12,1.02,1.17,0.71217,0.794338,22792.0,307100.0,0.94
2017-11-13,0.795495,1.21,0.772773,0.980621,45059.0,247427.0,0.99
2017-11-14,0.982698,1.39,0.760573,1.16,341924.0,315339.0,1.08
2017-11-15,1.19,1.87,1.18,1.44,315536.0,393633.0,1.52
2017-11-16,1.45,1.77,1.41,1.61,112419.0,494290.0,1.59
2017-11-17,1.57,1.74,1.46,1.47,90422.0,549783.0,1.6
2017-11-18,1.46,1.58,1.0,1.16,100699.0,525853.0,1.29
2017-11-19,1.14,1.37,1.01,1.17,41594.0,422227.0,1.19
2017-11-20,1.17,1.4,1.16,1.16,66386.0,442646.0,1.28
2017-11-21,1.17,1.26,1.09,1.17,33349.0,452401.0,1.18
2017-11-22,1.16,1.3,1.04,1.17,59195.0,460644.0,1.17
2017-11-23,1.17,1.27,1.05,1.05,31534.0,475593.0,1.16
2017-11-24,1.06,1.09,0.91117,0.961606,23568.0,441461.0,1.0
2017-11-25,0.959663,1.09,0.943095,0.968275,20477.0,408226.0,1.02
2017-11-26,0.96664,1.23,0.830224,1.07,63944.0,420356.0,1.03
2017-11-27,1.07,1.26,0.97715,1.21,36738.0,475449.0,1.12
2017-11-28,1.21,1.35,1.17,1.35,55517.0,541738.0,1.26
2017-11-29,1.32,1.73,1.19,1.29,56551.0,609038.0,1.46
2017-11-30,1.31,1.89,1.3,1.5,89425.0,618948.0,1.59
2017-12-01,1.49,1.86,1.44,1.78,52449.0,717214.0,1.65
2017-12-02,1.78,4.26,1.74,3.3,716972.0,871654.0,3.0
2017-12-03,3.47,4.7,2.74,4.25,722336.0,1733080.0,3.72
2017-12-04,4.27,9.08,4.25,8.84,1534250.0,2170100.0,6.67
2017-12-05,8.55,9.39,7.07,7.74,1277350.0,4428240.0,8.23
2017-12-06,7.74,8.14,5.33,7.82,1045670.0,4080360.0,6.74
2017-12-07,7.81,8.52,4.82,8.52,810347.0,4186800.0,6.67
2017-12-08,8.16,9.85,6.85,7.42,477747.0,4448140.0,8.35
2017-12-09,7.41,8.5,6.51,7.96,294691.0,4111490.0,7.5
2017-12-10,8.24,8.31,5.44,6.92,418515.0,4651020.0,6.88
2017-12-11,6.41,7.56,5.72,6.21,412048.0,3678020.0,6.64
2017-12-12,6.23,7.69,6.02,6.61,376225.0,3627840.0,6.86
2017-12-13,6.61,6.8,5.84,6.61,350746.0,3912040.0,6.32
2017-12-14,6.57,6.79,5.53,5.74,294388.0,3942350.0,6.16
2017-12-15,5.74,6.75,4.66,4.73,291374.0,3492640.0,5.71
2017-12-16,4.74,6.17,4.74,5.64,233876.0,2922740.0,5.46
2017-12-17,5.26,5.97,4.78,5.2,262896.0,3280700.0,5.38
2017-12-18,5.22,7.06,4.72,6.76,432347.0,3293860.0,5.89
2017-12-19,6.77,6.78,5.34,5.81,334252.0,4332880.0,6.06
2017-12-20,5.79,5.86,4.84,5.29,230072.0,3756050.0,5.35
2017-12-21,5.44,6.14,4.62,5.28,359124.0,3572560.0,5.38
2017-12-22,5.3,6.06,3.7,5.62,425924.0,3521800.0,4.88
2017-12-23,5.44,6.68,5.15,5.8,303916.0,3666250.0,5.92
2017-12-24,5.86,6.02,5.02,5.43,121020.0,3997250.0,5.52
2017-12-25,5.47,6.98,5.1,6.98,566539.0,3772120.0,6.04
2017-12-26,6.89,8.38,5.71,7.02,613448.0,4804690.0,7.04
2017-12-27,7.13,8.77,6.78,8.15,491914.0,5030300.0,7.78
2017-12-28,8.13,11.18,8.09,11.18,1241650.0,5800080.0,9.63
2017-12-29,11.4,16.96,10.56,14.61,2474190.0,8222080.0,13.76
2017-12-30,14.97,15.0,10.4,10.44,1415890.0,10924200.0,12.7
2017-12-31,10.74,11.29,8.05,9.35,1285890.0,7930780.0,9.67
2018-01-01,9.41,10.18,7.9,9.17,635098.0,7020190.0,9.04
2018-01-02,9.11,10.64,8.34,9.81,794615.0,6866900.0,9.49
2018-01-03,9.77,11.3,9.65,11.05,913649.0,7444500.0,10.48
2018-01-04,11.34,13.03,10.09,12.73,1097790.0,8731540.0,11.56
2018-01-05,12.65,13.49,11.42,13.49,838278.0,9836640.0,12.46
2018-01-06,13.66,23.32,13.22,18.61,1294080.0,10734700.0,18.27
2018-01-07,18.41,22.79,15.78,22.5,2474260.0,14604900.0,19.29
2018-01-08,22.47,24.55,19.5,23.83,1811610.0,18008100.0,22.02
2018-01-09,23.94,38.79,22.83,35.22,3406630.0,19378400.0,30.81
2018-01-10,34.57,34.95,28.7,30.45,1575990.0,28247700.0,31.83
2018-01-11,30.13,41.43,23.61,32.84,3054530.0,24849700.0,32.52
2018-01-12,33.33,48.25,32.75,47.37,3753820.0,27747400.0,40.5
2018-01-13,46.33,50.25,36.95,39.45,2452590.0,38916400.0,43.6
2018-01-14,38.78,41.78,30.06,33.78,1895850.0,32872900.0,35.92
2018-01-15,35.59,41.65,33.26,34.27,2164280.0,30440300.0,37.45
