Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-11-14,0.04787,0.04787,0.047747,0.047747,74389.0,-1.0,0.05
2016-11-15,0.047797,0.047797,0.047337,0.047466,148901.0,-1.0,0.05
2016-11-16,0.047466,0.047553,0.047288,0.047469,165986.0,-1.0,0.05
2016-11-17,0.047469,0.047469,0.047244,0.047261,174691.0,-1.0,0.05
2016-11-18,0.047191,0.047446,0.047079,0.047087,109794.0,-1.0,0.05
2016-11-19,0.047156,0.047156,0.046935,0.046935,32027.0,-1.0,0.05
2016-11-20,0.046935,0.046935,0.046857,0.046857,37019.0,-1.0,0.05
2016-11-21,0.046863,0.047009,0.046798,0.046798,55514.0,-1.0,0.05
2016-11-22,0.046875,0.046875,0.046638,0.046715,126665.0,-1.0,0.05
2016-11-23,0.046733,0.046734,0.046547,0.046686,47841.0,-1.0,0.05
2016-11-24,0.046683,0.046709,0.0453,0.045652,149585.0,-1.0,0.05
2016-11-25,0.045639,0.045687,0.04527,0.045271,104415.0,-1.0,0.05
2016-11-26,0.045271,0.046432,0.045271,0.046432,4421.0,-1.0,0.05
2016-11-27,0.046432,0.04651,0.046178,0.04651,6.0,-1.0,0.05
2016-11-28,0.04651,0.04651,0.046156,0.046156,62.0,-1.0,0.05
2016-11-29,0.046151,0.04648,0.046087,0.04648,557.0,-1.0,0.05
2016-11-30,0.046563,0.046563,0.045725,0.045725,53045.0,1396890.0,0.05
2016-12-01,0.045725,0.045727,0.04572,0.045727,50987.0,1371760.0,0.05
2016-12-02,0.045728,0.046729,0.045728,0.046729,7131.0,1371860.0,0.05
2016-12-03,0.046722,0.046746,0.046722,0.046746,7115.0,1401660.0,0.05
2016-12-04,0.046746,0.04678,0.046745,0.04678,2140.0,1402370.0,0.05
2016-12-05,0.04668,0.04669,0.04668,0.046682,6628.0,1400400.0,0.05
2016-12-06,0.046814,0.046936,0.046814,0.046913,38981.0,1404420.0,0.05
2016-12-07,0.046908,0.04694,0.0469,0.04694,24862.0,1407240.0,0.05
2016-12-08,0.04694,0.04694,0.046596,0.046737,2215.0,1408200.0,0.05
