Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-02-07,7.6e-05,9.6e-05,7.6e-05,9.5e-05,8.0,595.0,0.0
2015-02-08,9.6e-05,0.0001,8.6e-05,8.9e-05,0.0,748.0,0.0
2015-02-09,8.9e-05,9.2e-05,7.1e-05,8.6e-05,6.0,701.0,0.0
2015-02-10,8.6e-05,8.6e-05,6.4e-05,7.7e-05,4.0,676.0,0.0
2015-02-11,7.7e-05,7.8e-05,7.6e-05,7.7e-05,4.0,604.0,0.0
2015-02-12,7.7e-05,7.7e-05,6.6e-05,6.7e-05,5.0,610.0,0.0
2015-02-13,6.7e-05,8.1e-05,5.8e-05,8e-05,5.0,527.0,0.0
2015-02-14,8e-05,8.5e-05,6.2e-05,6.7e-05,6.0,634.0,0.0
2015-02-15,6.7e-05,8.5e-05,5.8e-05,5.9e-05,0.0,536.0,0.0
2015-02-16,5.9e-05,8.1e-05,5.8e-05,6.3e-05,1.0,473.0,0.0
2015-02-17,6.3e-05,6.9e-05,6e-05,6.8e-05,4.0,508.0,0.0
2015-02-18,6.8e-05,7.1e-05,6.6e-05,6.7e-05,0.0,548.0,0.0
2015-02-19,6.7e-05,7e-05,6.7e-05,7e-05,2.0,540.0,0.0
2015-02-20,7e-05,7.2e-05,6.1e-05,6.1e-05,2.0,562.0,0.0
2015-02-21,6.1e-05,7.5e-05,5.8e-05,7.1e-05,3.0,493.0,0.0
2015-02-22,7.1e-05,7.2e-05,5.4e-05,5.5e-05,3.0,580.0,0.0
2015-02-23,5.5e-05,6.1e-05,5.5e-05,6.1e-05,0.0,446.0,0.0
2015-02-24,6.1e-05,0.000104,6e-05,7.6e-05,10.0,494.0,0.0
2015-02-25,7.6e-05,0.000108,7.4e-05,0.000104,0.0,623.0,0.0
2015-02-26,0.000104,0.000105,5.9e-05,9e-05,1.0,855.0,0.0
2015-02-27,9e-05,9.7e-05,6.5e-05,7.6e-05,0.0,742.0,0.0
2015-02-28,7.6e-05,7.6e-05,6.3e-05,6.4e-05,1.0,624.0,0.0
2015-03-01,6.4e-05,7.8e-05,6.3e-05,7.8e-05,0.0,525.0,0.0
2015-03-02,7.8e-05,9.7e-05,6.5e-05,9.7e-05,0.0,644.0,0.0
2015-03-03,9.6e-05,0.00011,7.9e-05,8.1e-05,1.0,800.0,0.0
2015-03-04,8.1e-05,8.1e-05,7.2e-05,7.5e-05,2.0,675.0,0.0
2015-03-05,7.5e-05,7.7e-05,7.3e-05,7.5e-05,3.0,626.0,0.0
2015-03-06,7.5e-05,7.6e-05,7.4e-05,7.5e-05,4.0,627.0,0.0
2015-03-07,7.5e-05,7.9e-05,7.4e-05,7.6e-05,5.0,625.0,0.0
2015-03-08,7.6e-05,8.8e-05,7.1e-05,7.2e-05,10.0,638.0,0.0
2015-03-09,7.2e-05,8.5e-05,7.2e-05,8.4e-05,11.0,610.0,0.0
2015-03-10,8.4e-05,8.5e-05,6.1e-05,6.1e-05,1.0,711.0,0.0
2015-03-11,6.1e-05,6.8e-05,6.1e-05,6.8e-05,1.0,518.0,0.0
2015-03-12,6.8e-05,9.1e-05,6.7e-05,9e-05,2.0,578.0,0.0
2015-03-13,9e-05,9.1e-05,6.8e-05,6.8e-05,1.0,770.0,0.0
2015-03-14,6.8e-05,9e-05,6.7e-05,7.6e-05,1.0,583.0,0.0
2015-03-15,7.6e-05,8.3e-05,7.3e-05,7.5e-05,1.0,651.0,0.0
2015-03-16,7.5e-05,0.000103,7.5e-05,0.000102,1.0,646.0,0.0
2015-03-17,0.000102,0.000105,8.2e-05,9.2e-05,2.0,875.0,0.0
2015-03-18,9.2e-05,0.000102,7.9e-05,8e-05,1.0,792.0,0.0
2015-03-19,7.9e-05,8.1e-05,6.8e-05,7e-05,2.0,686.0,0.0
2015-03-20,7e-05,0.000105,7e-05,0.000105,1.0,610.0,0.0
2015-03-21,0.000105,0.000183,0.000104,0.00018,16.0,909.0,0.0
2015-03-22,0.00018,0.00018,7.6e-05,9e-05,3.0,1566.0,0.0
2015-03-23,9e-05,0.000131,6.9e-05,6.9e-05,3.0,788.0,0.0
2015-03-24,6.6e-05,7.3e-05,6.2e-05,6.7e-05,8.0,574.0,0.0
2015-03-25,6.5e-05,0.00012,6.3e-05,7e-05,0.0,569.0,0.0
2015-03-26,7e-05,7.4e-05,6.2e-05,6.3e-05,0.0,615.0,0.0
2015-03-27,6.3e-05,6.8e-05,6.2e-05,6.6e-05,0.0,550.0,0.0
2015-03-28,6.5e-05,7.8e-05,6.5e-05,7.7e-05,0.0,578.0,0.0
2015-03-29,7.7e-05,7.7e-05,6.8e-05,7e-05,0.0,678.0,0.0
2015-03-30,7e-05,0.000121,6.6e-05,0.000121,4.0,624.0,0.0
