Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-01-04,0.001041,0.002605,0.001041,0.001429,211.0,953.0,0.0
2016-01-05,0.001429,0.002372,0.00086,0.000994,189.0,1344.0,0.0
2016-01-06,0.000993,0.002798,0.00091,0.001974,267.0,1104.0,0.0
2016-01-07,0.001978,0.002927,0.001978,0.002922,93.0,2541.0,0.0
2016-01-08,0.002919,0.003476,0.002062,0.002512,1678.0,4255.0,0.0
2016-01-09,0.002513,0.002517,0.001833,0.001833,1132.0,4093.0,0.0
2016-01-10,0.001878,0.002028,0.001584,0.001658,395.0,3376.0,0.0
2016-01-11,0.001661,0.001719,0.001407,0.001433,613.0,3272.0,0.0
2016-01-12,0.00142,0.001473,0.001058,0.00113,338.0,3032.0,0.0
2016-01-13,0.001471,0.00163,0.000886,0.00094,280.0,3390.0,0.0
2016-01-14,0.000939,0.001198,0.000722,0.000864,200.0,2328.0,0.0
2016-01-15,0.000863,0.000863,0.000624,0.000634,120.0,2287.0,0.0
2016-01-16,0.000636,0.000679,0.000519,0.00053,122.0,1789.0,0.0
2016-01-17,0.00053,0.000545,0.000431,0.000433,118.0,1579.0,0.0
2016-01-18,0.000432,0.000649,0.000432,0.000481,149.0,1361.0,0.0
2016-01-19,0.000481,0.000622,0.000473,0.000513,122.0,1599.0,0.0
2016-01-20,0.000513,0.00052,0.000392,0.000394,142.0,1791.0,0.0
2016-01-21,0.000393,0.000497,0.000389,0.000397,79.0,1439.0,0.0
2016-01-22,0.000396,0.000537,0.000362,0.000489,289.0,1519.0,0.0
2016-01-23,0.000531,0.000886,0.000458,0.000639,237.0,2127.0,0.0
2016-01-24,0.00065,0.000923,0.000623,0.000689,254.0,2705.0,0.0
2016-01-25,0.000688,0.000688,0.000561,0.000595,151.0,2971.0,0.0
2016-01-26,0.000596,0.001099,0.000575,0.000952,936.0,2669.0,0.0
2016-01-27,0.000953,0.000982,0.000757,0.00076,357.0,4431.0,0.0
2016-01-28,0.00076,0.001145,0.000603,0.000627,487.0,3663.0,0.0
2016-01-29,0.000626,0.000731,0.000597,0.000672,283.0,3120.0,0.0
2016-01-30,0.000677,0.000689,0.000559,0.00056,117.0,3481.0,0.0
2016-01-31,0.000552,0.000555,0.000463,0.000465,223.0,2935.0,0.0
