Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-08-27,0.070831,0.71808,0.070831,0.369194,17517.0,-1.0,0.39
2017-08-28,0.347825,0.452097,0.129832,0.19106,5140.0,-1.0,0.29
2017-08-29,0.191029,0.435218,0.191029,0.37831,8897.0,-1.0,0.31
2017-08-30,0.378089,0.381965,0.203345,0.206436,4441.0,-1.0,0.29
2017-08-31,0.206076,0.307504,0.186574,0.19208,3043.0,-1.0,0.25
2017-09-01,0.192003,0.324351,0.188582,0.224316,2232.0,-1.0,0.26
2017-09-02,0.224738,0.322626,0.162946,0.1661,1131.0,-1.0,0.24
2017-09-03,0.166491,0.254429,0.135666,0.184101,1657.0,-1.0,0.2
2017-09-04,0.18419,0.413434,0.113866,0.386883,3375.0,-1.0,0.26
2017-09-05,0.385505,0.387506,0.223536,0.245114,3541.0,-1.0,0.31
2017-09-06,0.243264,0.462265,0.243264,0.462265,7281.0,-1.0,0.35
2017-09-07,0.462455,0.747969,0.411969,0.432502,13156.0,-1.0,0.58
2017-09-08,0.432387,0.605695,0.371663,0.474184,8026.0,-1.0,0.49
2017-09-09,0.432045,0.438478,0.290258,0.34898,2533.0,-1.0,0.36
2017-09-10,0.34935,0.600878,0.299033,0.594156,6833.0,-1.0,0.45
2017-09-11,0.596034,1.24,0.431088,0.8842,36757.0,1232850.0,0.84
2017-09-12,0.883895,1.22,0.80467,0.933797,30521.0,1834270.0,1.01
2017-09-13,0.934043,1.14,0.683538,1.06,32162.0,1944570.0,0.91
2017-09-14,1.06,1.07,0.688528,0.688528,18874.0,2210510.0,0.88
2017-09-15,0.687442,1.03,0.687442,0.921871,24908.0,1439240.0,0.86
2017-09-16,0.930401,1.04,0.622862,0.804587,14050.0,1953150.0,0.83
2017-09-17,0.805854,1.08,0.679707,1.04,23439.0,1696220.0,0.88
2017-09-18,1.03,1.15,0.840085,1.07,39383.0,2184100.0,1.0
2017-09-19,1.07,1.17,0.972625,1.01,43449.0,2270150.0,1.07
2017-09-20,1.01,1.03,0.990014,1.03,44455.0,2140140.0,1.01
2017-09-21,1.05,1.06,0.824088,0.888236,14243.0,2242750.0,0.94
2017-09-22,0.88722,0.999905,0.759427,0.994651,20396.0,1895790.0,0.88
2017-09-23,0.921073,1.22,0.903684,1.09,45977.0,1974350.0,1.06
2017-09-24,1.09,1.14,0.947592,0.947592,26209.0,2337510.0,1.04
2017-09-25,0.946632,1.05,0.875922,0.877994,15712.0,2040020.0,0.96
2017-09-26,0.877906,0.990769,0.767478,0.76888,26689.0,1897690.0,0.88
2017-09-27,0.761196,0.930476,0.761196,0.798875,10540.0,1650480.0,0.85
2017-09-28,0.798887,0.9574,0.701509,0.77751,16886.0,1737390.0,0.83
2017-09-29,0.723759,0.791101,0.652714,0.698763,11851.0,1578340.0,0.72
2017-09-30,0.698854,0.921819,0.698205,0.767607,12028.0,1528670.0,0.81
2017-10-01,0.768022,0.853415,0.696038,0.71532,9788.0,1685140.0,0.77
2017-10-02,0.715006,0.788707,0.468685,0.653987,13127.0,1572760.0,0.63
2017-10-03,0.721446,0.783846,0.536556,0.582506,12532.0,1591650.0,0.66
2017-10-04,0.583851,0.704238,0.567597,0.61543,6832.0,1291590.0,0.64
2017-10-05,0.615986,0.767495,0.554524,0.681528,10166.0,1366450.0,0.66
2017-10-06,0.681525,1.06,0.636568,0.70908,20834.0,1516300.0,0.85
2017-10-07,0.709307,0.783183,0.666321,0.739461,12290.0,1582960.0,0.72
2017-10-08,0.737484,0.768372,0.671015,0.673489,9040.0,1650540.0,0.72
2017-10-09,0.673661,0.7015,0.590756,0.600362,11497.0,1511700.0,0.65
2017-10-10,0.600341,0.683442,0.366439,0.461795,15699.0,1351260.0,0.52
2017-10-11,0.461718,0.556905,0.461718,0.478086,6761.0,1042180.0,0.51
2017-10-12,0.50372,0.559876,0.478444,0.528153,7809.0,1139500.0,0.52
2017-10-13,0.52978,0.603827,0.457873,0.470647,7946.0,1201680.0,0.53
2017-10-14,0.470775,0.487953,0.455464,0.467493,7382.0,1070960.0,0.47
2017-10-15,0.46833,0.49113,0.436796,0.457914,8532.0,1068350.0,0.46
2017-10-16,0.457976,0.50938,0.447056,0.497816,8418.0,1047570.0,0.48
2017-10-17,0.497893,0.507644,0.449816,0.452607,8874.0,1142210.0,0.48
2017-10-18,0.452639,0.459374,0.41901,0.457859,7527.0,1041360.0,0.44
2017-10-19,0.458096,0.4825,0.447723,0.47145,7102.0,1056990.0,0.47
2017-10-20,0.471583,0.507076,0.457228,0.490174,14871.0,1091290.0,0.48
2017-10-21,0.489143,0.513917,0.479619,0.488933,7968.0,1135240.0,0.5
2017-10-22,0.489082,0.494772,0.46824,0.486528,5295.0,1138460.0,0.48
2017-10-23,0.485745,0.499323,0.453312,0.470382,14081.0,1134030.0,0.48
2017-10-24,0.469348,0.507609,0.445295,0.479548,17518.0,1098940.0,0.48
2017-10-25,0.485854,0.574679,0.475203,0.536597,24104.0,1140700.0,0.52
2017-10-26,0.536543,0.639471,0.531051,0.573715,17161.0,1263170.0,0.59
2017-10-27,0.573848,0.644547,0.55639,0.609059,20008.0,1354950.0,0.6
2017-10-28,0.589698,0.617246,0.552082,0.578489,17676.0,1396230.0,0.58
2017-10-29,0.577637,0.620673,0.547827,0.547827,14040.0,1371480.0,0.58
2017-10-30,0.544642,0.626765,0.446703,0.55368,9206.0,1296680.0,0.54
2017-10-31,0.551992,0.609244,0.515914,0.527565,12403.0,1317900.0,0.56
2017-11-01,0.527179,0.563545,0.49155,0.549626,15361.0,1261590.0,0.53
2017-11-02,0.550239,0.570656,0.293187,0.39415,12191.0,1320560.0,0.43
2017-11-03,0.48463,0.534615,0.347603,0.438162,7056.0,1166480.0,0.44
2017-11-04,0.438902,0.527718,0.379804,0.465953,11266.0,1059390.0,0.45
2017-11-05,0.465124,0.519353,0.389455,0.393631,5336.0,1125870.0,0.45
2017-11-06,0.394505,0.758579,0.330169,0.432823,73680.0,957605.0,0.54
2017-11-07,0.43213,0.465583,0.426032,0.460986,75706.0,1051920.0,0.45
2017-11-08,0.459538,0.531957,0.456805,0.488928,9425.0,1121770.0,0.49
2017-11-09,0.488425,0.517425,0.356467,0.371265,12612.0,1195420.0,0.44
2017-11-10,0.372367,0.451338,0.322563,0.390659,10006.0,914012.0,0.39
2017-11-11,0.389302,0.400359,0.31517,0.347772,8410.0,958240.0,0.36
2017-11-12,0.347774,0.357195,0.267912,0.297603,12759.0,858390.0,0.31
2017-11-13,0.298062,0.357531,0.298062,0.35567,12889.0,737643.0,0.33
2017-11-14,0.356423,0.374291,0.301386,0.303247,27133.0,884454.0,0.34
2017-11-15,0.303455,0.385263,0.299905,0.33751,8122.0,755114.0,0.34
2017-11-16,0.339279,0.381334,0.321662,0.350638,6234.0,846535.0,0.35
2017-11-17,0.350063,0.388469,0.319404,0.352672,4666.0,875845.0,0.35
2017-11-18,0.351838,0.362803,0.193482,0.337525,11443.0,882721.0,0.28
