Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-05-21,2.47,2.65,1.23,1.6,246540.0,2079640.0,1.94
2014-05-22,1.59,2.19,1.36,2.1,132918.0,1371470.0,1.77
2014-05-23,2.05,3.43,2.05,2.96,266852.0,1816200.0,2.74
2014-05-24,2.92,4.01,2.62,3.7,248028.0,2653720.0,3.31
2014-05-25,4.04,4.04,2.8,3.14,283545.0,3774890.0,3.42
2014-05-26,3.22,3.76,2.31,3.02,220148.0,3070190.0,3.04
2014-05-27,3.03,3.03,2.07,2.21,97603.0,2958060.0,2.55
2014-05-28,2.24,2.85,1.91,2.27,177716.0,2231880.0,2.38
2014-05-29,2.21,2.49,1.68,1.68,109157.0,2251030.0,2.08
2014-05-30,1.68,1.87,1.08,1.57,119296.0,1742630.0,1.48
2014-05-31,1.58,2.28,1.41,1.94,117399.0,1675440.0,1.84
2014-06-01,1.94,2.57,1.54,1.74,130602.0,2111850.0,2.05
2014-06-02,1.76,1.94,1.6,1.73,47672.0,1964820.0,1.77
2014-06-03,1.73,2.1,1.65,1.93,91332.0,1966370.0,1.88
2014-06-04,1.93,1.99,1.71,1.81,51886.0,2238440.0,1.85
2014-06-06,1.46,1.51,1.17,1.24,100635.0,1781530.0,1.34
2014-06-07,1.24,1.69,1.21,1.36,44187.0,1523430.0,1.45
2014-06-08,1.36,1.44,1.24,1.34,40634.0,1702900.0,1.34
2014-06-09,1.33,1.64,1.27,1.52,56500.0,1697580.0,1.46
2014-06-10,1.48,2.39,1.31,1.73,182599.0,1917820.0,1.85
2014-06-11,1.72,2.17,1.53,1.62,85735.0,2279840.0,1.85
2014-06-12,1.62,2.17,1.53,1.74,108619.0,2174900.0,1.85
2014-06-13,1.65,1.96,1.62,1.92,84237.0,2257650.0,1.79
2014-06-14,1.93,2.82,1.88,2.34,276919.0,2677530.0,2.35
2014-06-15,2.32,2.75,2.25,2.69,150652.0,3288170.0,2.5
2014-06-16,2.72,3.55,2.62,3.18,438776.0,3905660.0,3.08
2014-06-17,3.15,3.31,2.72,2.82,228445.0,4601540.0,3.02
2014-06-18,2.9,2.98,2.46,2.79,183102.0,4304890.0,2.72
2014-06-19,2.78,3.52,2.68,3.13,283962.0,4188790.0,3.1
2014-06-20,3.17,4.59,3.12,4.56,543764.0,4844000.0,3.85
2014-06-21,4.33,5.85,4.14,5.01,723077.0,6730580.0,4.99
