Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-01-06,1e-05,1.9e-05,9e-06,1e-05,1754.0,72279.0,0.0
2014-01-07,1e-05,1.9e-05,1e-05,1.5e-05,2166.0,82925.0,0.0
2014-01-08,1.5e-05,1.8e-05,1e-05,1.2e-05,782.0,134577.0,0.0
2014-01-09,1.2e-05,1.5e-05,8e-06,1.4e-05,2298.0,115151.0,0.0
2014-01-10,1.4e-05,1.4e-05,8e-06,1e-05,1812.0,144114.0,0.0
2014-01-11,1e-05,1.2e-05,9e-06,9e-06,1.0,108754.0,0.0
2014-01-12,6e-06,6e-06,6e-06,6e-06,2264.0,77227.0,0.0
2014-01-13,6e-06,6e-06,5e-06,5e-06,1980.0,75752.0,0.0
2014-01-14,5e-06,5e-06,2e-06,2e-06,1508.0,67700.0,0.0
2014-01-15,2e-06,4e-06,2e-06,3e-06,555.0,31244.0,0.0
2014-01-16,3e-06,4e-06,2e-06,3e-06,546.0,53690.0,0.0
2014-01-17,3e-06,3e-06,3e-06,3e-06,498.0,51933.0,0.0
2014-01-18,3e-06,3e-06,3e-06,3e-06,387.0,51596.0,0.0
2014-01-19,3e-06,1.2e-05,3e-06,1.2e-05,18041.0,51929.0,0.0
2014-01-20,1.2e-05,4.6e-05,1e-05,3.4e-05,36821.0,242325.0,0.0
2014-01-21,3.3e-05,4.5e-05,2.9e-05,4.1e-05,13834.0,703648.0,0.0
2014-01-22,3.9e-05,4e-05,3e-05,3.9e-05,6709.0,837440.0,0.0
2014-01-23,4e-05,0.00019,4e-05,0.000188,68037.0,874631.0,0.0
2014-01-24,0.00019,0.000258,0.000154,0.000191,424852.0,4409800.0,0.0
2014-01-25,0.000191,0.000194,0.000134,0.000154,97316.0,4583520.0,0.0
2014-01-26,0.000155,0.000157,0.000112,0.000138,103589.0,3824280.0,0.0
2014-01-27,0.000137,0.00014,9.6e-05,9.8e-05,33466.0,3490320.0,0.0
2014-01-28,9.8e-05,0.000123,8.9e-05,0.000102,41755.0,2538110.0,0.0
2014-01-29,0.000101,0.000115,0.0001,0.000106,17247.0,2643150.0,0.0
2014-01-30,0.000107,0.000114,0.000103,0.000107,22427.0,2792900.0,0.0
2014-01-31,0.000104,0.000106,8.4e-05,8.7e-05,24855.0,2726040.0,0.0
2014-02-01,8.7e-05,9.1e-05,7.2e-05,7.2e-05,18286.0,2323540.0,0.0
2014-02-02,7.2e-05,8.1e-05,6.7e-05,7.2e-05,16403.0,1905770.0,0.0
2014-02-03,7.2e-05,0.000129,5.5e-05,0.000111,82122.0,1910950.0,0.0
2014-02-04,0.000111,0.000148,0.0001,0.0001,588765.0,2945070.0,0.0
2014-02-05,0.000108,0.000115,9.1e-05,9.7e-05,156478.0,2870440.0,0.0
2014-02-06,9.7e-05,0.000104,9e-05,9.4e-05,43402.0,2599700.0,0.0
2014-02-07,9.4e-05,9.4e-05,7.3e-05,7.8e-05,128101.0,2504270.0,0.0
