Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-21,0.00101,0.00101,0.000991,0.001002,21.0,625.0,0.0
2016-09-22,0.001002,0.001674,0.000978,0.001664,34.0,620.0,0.0
2016-09-23,0.001663,0.001666,0.000979,0.000995,3.0,1030.0,0.0
2016-09-24,0.000995,0.003323,0.00099,0.000994,58.0,616.0,0.0
2016-09-25,0.000995,0.002404,0.000994,0.002403,6.0,616.0,0.0
2016-09-26,0.002403,0.002426,0.001221,0.001222,0.0,1488.0,0.0
2016-09-27,0.001222,0.002821,0.001219,0.002813,11.0,757.0,0.0
2016-09-28,0.002813,0.002907,0.002805,0.002897,14.0,1742.0,0.0
2016-09-29,0.002898,0.003334,0.001753,0.003299,38.0,1795.0,0.0
2016-09-30,0.003299,0.003347,0.00309,0.003347,3.0,2043.0,0.0
2016-10-01,0.003349,0.003376,0.001228,0.001228,9.0,2074.0,0.0
2016-10-02,0.001228,0.002816,0.001227,0.002778,3.0,761.0,0.0
2016-10-03,0.002779,0.002785,0.001302,0.001304,1.0,1721.0,0.0
2016-10-04,0.001304,0.001304,0.001299,0.0013,1.0,808.0,0.0
2016-10-07,0.001962,0.001977,0.001338,0.001339,0.0,1216.0,0.0
2016-10-08,0.00134,0.002046,0.00134,0.002043,1.0,830.0,0.0
2016-10-09,0.002043,0.002043,0.001012,0.001906,38.0,1266.0,0.0
2016-10-10,0.001906,0.002792,0.001892,0.002792,6.0,1181.0,0.0
2016-10-11,0.002793,0.002859,0.002789,0.002851,1.0,1731.0,0.0
2016-10-12,0.002785,0.002831,0.002784,0.002831,11.0,1727.0,0.0
2016-10-13,0.003053,0.003181,0.00305,0.003178,4.0,1893.0,0.0
2016-10-14,0.003179,0.003189,0.001049,0.00105,28.0,1971.0,0.0
2016-10-15,0.00105,0.003205,0.00105,0.003197,28.0,651.0,0.0
2016-10-16,0.003199,0.003216,0.001289,0.00249,71.0,1984.0,0.0
2016-10-17,0.00249,0.002492,0.001342,0.001342,1.0,1544.0,0.0
2016-10-18,0.001343,0.001346,0.001336,0.001336,1.0,833.0,0.0
2016-10-19,0.00136,0.002395,0.001338,0.001368,9.0,843.0,0.0
2016-10-20,0.001369,0.001461,0.001363,0.00146,7.0,849.0,0.0
2016-10-21,0.00146,0.001485,0.001391,0.001392,6.0,906.0,0.0
2016-10-22,0.001393,0.001394,0.001392,0.001393,6.0,864.0,0.0
2016-10-24,0.00196,0.001965,0.001958,0.001961,1.0,1216.0,0.0
2016-10-25,0.001962,0.001993,0.001956,0.001973,1.0,1217.0,0.0
2016-10-26,0.001973,0.002002,0.001168,0.001173,7.0,1224.0,0.0
2016-10-27,0.001173,0.001988,0.001173,0.001988,5.0,728.0,0.0
2016-10-28,0.001989,0.001995,0.001197,0.0012,3.0,1234.0,0.0
2016-10-29,0.001201,0.001251,0.001201,0.001251,1.0,745.0,0.0
2016-11-01,0.001286,0.00129,0.001278,0.001284,2.0,798.0,0.0
2016-11-02,0.001284,0.001285,0.001271,0.001281,2.0,797.0,0.0
2016-11-03,0.001246,0.00125,0.001146,0.001164,3.0,773.0,0.0
2016-11-04,0.001165,0.0014,0.001139,0.001399,8.0,723.0,0.0
2016-11-05,0.0014,0.001408,0.001388,0.0014,0.0,869.0,0.0
2016-11-06,0.001401,0.001421,0.001392,0.001404,0.0,870.0,0.0
2016-11-07,0.001399,0.002117,0.001398,0.002109,8.0,869.0,0.0
2016-11-08,0.002109,0.002122,0.001214,0.001746,0.0,1310.0,0.0
2016-11-09,0.001746,0.001821,0.001239,0.001244,0.0,1085.0,0.0
