Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-12-17,0.004403,0.007164,0.003813,0.004203,-1.0,789974.0,0.01
2013-12-18,0.004173,0.004802,0.001286,0.00248,-1.0,751369.0,0.0
2013-12-19,0.002478,0.004297,0.002386,0.003929,-1.0,448227.0,0.0
2013-12-20,0.003915,0.00582,0.003649,0.005643,-1.0,711362.0,0.0
2013-12-21,0.004981,0.005493,0.003653,0.004903,-1.0,909055.0,0.0
2013-12-22,0.004861,0.005025,0.003951,0.004822,-1.0,891019.0,0.0
2013-12-23,0.004834,0.005123,0.004479,0.004668,-1.0,889988.0,0.0
2013-12-24,0.004675,0.019003,0.004482,0.016014,-1.0,864455.0,0.01
2013-12-25,0.016031,0.016637,0.011246,0.012123,-1.0,2977370.0,0.01
2013-12-26,0.012154,0.013101,0.010784,0.011651,-1.0,2266380.0,0.01
2013-12-27,0.011671,0.012122,0.010055,0.011695,21383.0,2185690.0,0.01
2013-12-28,0.011741,0.015008,0.010921,0.014447,29781.0,2208520.0,0.01
2013-12-29,0.014452,0.015022,0.013452,0.013553,25850.0,2729550.0,0.01
2013-12-30,0.013485,0.015714,0.013149,0.015334,26613.0,2557740.0,0.01
2013-12-31,0.015419,0.023458,0.015183,0.022243,122424.0,2936780.0,0.02
2014-01-01,0.022272,0.02981,0.022272,0.02981,109716.0,4259690.0,0.03
2014-01-02,0.028995,0.031146,0.028152,0.030884,61225.0,5574610.0,0.03
2014-01-03,0.03091,0.033763,0.027092,0.030792,71885.0,5959900.0,0.03
2014-01-04,0.03098,0.03098,0.021356,0.024075,38463.0,5998550.0,0.03
2014-01-05,0.024048,0.026645,0.021312,0.02612,35669.0,4675340.0,0.02
2014-01-06,0.025732,0.028218,0.016922,0.019167,70108.0,5023580.0,0.02
2014-01-07,0.019216,0.020994,0.014468,0.014468,16584.0,3766810.0,0.02
2014-01-08,0.01436,0.016445,0.013878,0.015073,15758.0,2826560.0,0.02
2014-01-09,0.025933,0.027346,0.016473,0.017284,38453.0,5131660.0,0.02
2014-01-10,0.017281,0.018193,0.016251,0.017943,29241.0,3428360.0,0.02
2014-01-11,0.017919,0.019072,0.016733,0.01795,11506.0,3570050.0,0.02
2014-01-12,0.018061,0.018236,0.016259,0.017696,16464.0,3613740.0,0.02
2014-01-13,0.017634,0.018447,0.013927,0.014384,28516.0,3541820.0,0.02
2014-01-14,0.014418,0.016266,0.014316,0.014316,11058.0,2907310.0,0.02
2014-01-15,0.014313,0.016047,0.014204,0.014696,27569.0,2897640.0,0.02
2014-01-16,0.014685,0.014889,0.014053,0.014114,10316.0,2984570.0,0.01
2014-01-17,0.014094,0.014247,0.011574,0.013189,18395.0,2875840.0,0.01
2014-01-18,0.013212,0.013215,0.011298,0.012038,16406.0,2706110.0,0.01
2014-01-20,0.013745,0.013759,0.013592,0.01374,18249.0,2844730.0,0.01
2014-01-21,0.013714,0.014171,0.012117,0.012959,34049.0,2839210.0,0.01
2014-01-22,0.013459,0.014596,0.013159,0.014062,23643.0,2796930.0,0.01
2014-01-23,0.01406,0.014277,0.012853,0.012996,11564.0,2932700.0,0.01
2014-01-24,0.013003,0.013003,0.011876,0.012618,16808.0,2722150.0,0.01
2014-01-29,0.01224,0.012712,0.011605,0.011812,17739.0,2614170.0,0.01
2014-01-30,0.01182,0.012211,0.011601,0.012072,7847.0,2528390.0,0.01
2014-01-31,0.01199,0.012264,0.011613,0.011868,16383.0,2573310.0,0.01
2014-02-01,0.011849,0.012547,0.01183,0.011864,9355.0,2551860.0,0.01
2014-02-02,0.01196,0.01236,0.011405,0.011415,11551.0,2584400.0,0.01
2014-02-03,0.011397,0.012044,0.011154,0.011591,15560.0,2471380.0,0.01
2014-02-04,0.01159,0.0118,0.010984,0.011039,25991.0,2520770.0,0.01
2014-02-05,0.01107,0.011559,0.01052,0.010643,23431.0,2415420.0,0.01
2014-02-06,0.010749,0.010776,0.010046,0.010116,15526.0,2351930.0,0.01
2014-02-07,0.01013,0.010153,0.008323,0.008695,7038.0,2221010.0,0.01
2014-02-08,0.008471,0.009505,0.008056,0.008194,7945.0,1860950.0,0.01
2014-02-09,0.008164,0.008582,0.007984,0.008229,10086.0,1796400.0,0.01
2014-02-10,0.008479,0.008783,0.006697,0.008357,6636.0,1868870.0,0.01
2014-02-11,0.008382,0.00867,0.006557,0.006974,6731.0,1850660.0,0.01
2014-02-12,0.007046,0.007551,0.006711,0.007152,16051.0,1557810.0,0.01
2014-02-13,0.006899,0.007299,0.00665,0.006915,25044.0,1527580.0,0.01
2014-02-14,0.00692,0.007464,0.006061,0.007367,56987.0,1534000.0,0.01
2014-02-15,0.00737,0.009924,0.007052,0.008892,203478.0,1636680.0,0.01
2014-02-16,0.008701,0.009839,0.008422,0.008507,70375.0,1935300.0,0.01
