Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-05-04,0.005065,0.005067,0.001127,0.003797,12.0,-1.0,0.0
2016-05-05,0.003797,0.003811,0.003567,0.003584,8.0,43.0,0.0
2016-05-06,0.003584,0.003691,0.003577,0.003677,8.0,46.0,0.0
2016-05-07,0.003677,0.003685,0.003659,0.003668,8.0,50.0,0.0
2016-05-08,0.003667,0.003675,0.003648,0.003667,8.0,53.0,0.0
2016-05-18,0.004391,0.004391,0.0016,0.0016,4893.0,-1.0,0.0
2016-05-19,0.003182,0.003182,0.000909,0.002172,1223.0,-1.0,0.0
2016-05-20,0.002167,0.002182,0.000663,0.001107,449.0,-1.0,0.0
2016-05-21,0.001107,0.001814,0.000181,0.001795,1540.0,-1.0,0.0
2016-05-22,0.001795,0.006583,0.000549,0.003717,4738.0,-1.0,0.0
2016-05-23,0.003717,0.003717,0.000665,0.001506,290.0,-1.0,0.0
2016-05-24,0.001506,0.001506,0.000555,0.000714,548.0,-1.0,0.0
2016-05-25,0.000714,0.001134,0.000607,0.000638,54.0,-1.0,0.0
2016-05-26,0.00085,0.000901,0.000453,0.000453,46.0,-1.0,0.0
2016-05-27,0.000453,0.000802,0.000453,0.000511,19.0,-1.0,0.0
2016-05-28,0.000511,0.000821,0.000511,0.00053,84.0,-1.0,0.0
2016-05-29,0.000527,0.000777,0.000512,0.000526,13.0,-1.0,0.0
2016-05-30,0.000528,0.000529,0.000422,0.000422,10.0,-1.0,0.0
2016-05-31,0.000422,0.000427,0.00038,0.000388,3.0,-1.0,0.0
2016-06-01,0.000388,0.000405,0.000384,0.000403,0.0,-1.0,0.0
2016-06-02,0.000402,0.000558,0.000379,0.000403,20.0,-1.0,0.0
2016-06-03,0.000403,0.000603,0.000403,0.000598,6.0,-1.0,0.0
2016-06-04,0.000598,0.000608,0.0004,0.000401,3.0,-1.0,0.0
2016-06-05,0.000401,0.000407,0.000401,0.000402,3.0,-1.0,0.0
2016-06-06,0.000593,0.000604,0.00041,0.000603,1.0,-1.0,0.0
2016-06-07,0.000603,0.000608,0.000585,0.000594,1.0,-1.0,0.0
2016-06-08,0.000594,0.0006,0.000419,0.000576,1.0,-1.0,0.0
2016-06-09,0.000576,0.000576,0.000268,0.00027,6.0,-1.0,0.0
2016-06-10,0.000271,0.000272,0.000247,0.000248,1.0,-1.0,0.0
2016-06-11,0.000249,0.000252,0.000249,0.00025,0.0,-1.0,0.0
2016-06-16,0.000318,0.000332,0.000237,0.000238,5.0,-1.0,0.0
2016-06-17,0.000238,0.00024,0.000222,0.000231,1.0,-1.0,0.0
2016-06-18,0.000379,0.000379,8.2e-05,8.3e-05,5.0,-1.0,0.0
2016-06-19,8.3e-05,0.000437,8.2e-05,0.000435,0.0,-1.0,0.0
2016-06-20,0.000435,0.000436,0.000418,0.00042,0.0,-1.0,0.0
2016-06-21,7.1e-05,7.1e-05,5.8e-05,6e-05,3.0,-1.0,0.0
2016-06-22,6e-05,0.000387,5.3e-05,5.4e-05,0.0,-1.0,0.0
2016-06-23,5.4e-05,5.6e-05,5e-05,5.5e-05,0.0,-1.0,0.0
2016-06-25,0.000281,0.000355,0.00028,0.000353,2.0,-1.0,0.0
2016-06-26,0.000353,0.000362,7.5e-05,7.6e-05,1.0,-1.0,0.0
2016-06-27,7.6e-05,0.000328,7.4e-05,0.000328,0.0,-1.0,0.0
2016-06-28,0.000329,0.00033,0.000319,0.000325,0.0,-1.0,0.0
2016-06-29,0.000114,0.000116,0.000114,0.000115,0.0,-1.0,0.0
2016-06-30,0.000115,0.000121,0.000115,0.000121,0.0,-1.0,0.0
2016-07-01,0.00034,0.00034,0.000108,0.000108,15.0,-1.0,0.0
2016-07-02,0.000108,0.000112,8.3e-05,8.4e-05,9.0,-1.0,0.0
2016-07-03,8.5e-05,0.000326,7.8e-05,0.000323,0.0,-1.0,0.0
2016-07-04,0.000323,0.000513,0.000315,0.000513,10.0,-1.0,0.0
2016-07-05,0.000512,0.000533,0.000499,0.00053,4.0,-1.0,0.0
2016-07-06,0.00053,0.009453,0.00053,0.002879,30964.0,-1.0,0.0
2016-07-07,0.002879,0.003072,0.001429,0.002428,7256.0,-1.0,0.0
2016-07-08,0.002428,0.00245,0.001401,0.001733,4555.0,-1.0,0.0
2016-07-09,0.001733,0.002418,0.001178,0.001178,15445.0,-1.0,0.0
2016-07-10,0.001178,0.001924,0.00058,0.000584,74.0,-1.0,0.0
2016-07-11,0.000584,0.001194,0.000584,0.000628,15.0,-1.0,0.0
2016-07-12,0.000629,0.001186,0.000587,0.000997,5.0,-1.0,0.0
