Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-12-21,0.181836,0.345451,0.176832,0.241477,-1.0,195961.0,0.26
2013-12-22,0.23993,0.279441,0.205834,0.249273,-1.0,258609.0,0.24
2013-12-23,0.247609,0.261055,0.201464,0.219148,-1.0,267040.0,0.23
2013-12-24,0.218806,0.256233,0.170999,0.199774,-1.0,236082.0,0.21
2013-12-25,0.199993,0.217898,0.09877,0.187226,-1.0,215921.0,0.16
2013-12-26,0.1877,0.232692,0.185082,0.217187,-1.0,202741.0,0.21
2013-12-27,0.217558,0.23144,0.188828,0.19397,4348.0,235098.0,0.21
2013-12-28,0.194738,0.218801,0.177699,0.184731,1858.0,210553.0,0.2
2013-12-29,0.184786,0.186401,0.156224,0.186248,1259.0,199874.0,0.17
2013-12-30,0.185323,0.194038,0.171771,0.174749,2674.0,200582.0,0.18
2013-12-31,0.175718,0.192282,0.141082,0.187982,3356.0,190254.0,0.17
2014-01-01,0.188222,0.192346,0.153326,0.176643,1463.0,203798.0,0.17
2014-01-02,0.17711,0.179523,0.154473,0.178131,1780.0,191766.0,0.17
2014-01-03,0.178233,0.182057,0.158061,0.16399,1057.0,192982.0,0.17
2014-01-04,0.164901,0.182051,0.160422,0.163917,586.0,178547.0,0.17
2014-01-05,0.163734,0.185134,0.112702,0.168091,1622.0,177283.0,0.15
2014-01-06,0.168545,0.188869,0.116266,0.122563,1554.0,182492.0,0.15
2014-01-07,0.122875,0.173026,0.09625,0.114766,868.0,133043.0,0.13
2014-01-08,0.113906,0.145816,0.089957,0.137987,378.0,123332.0,0.12
2014-01-09,0.137782,0.14008,0.093053,0.101793,91.0,149183.0,0.12
2014-01-10,0.101772,0.115163,0.092224,0.114804,158.0,110193.0,0.1
2014-01-11,0.114651,0.120824,0.0839,0.087383,822.0,124138.0,0.1
2014-01-12,0.087923,0.104059,0.085083,0.097397,240.0,95199.0,0.09
2014-01-13,0.097055,0.097179,0.089165,0.090639,303.0,105086.0,0.09
2014-01-14,0.090852,0.09565,0.08354,0.094634,327.0,98369.0,0.09
2014-01-15,0.094617,0.190499,0.067739,0.089413,6119.0,102447.0,0.13
2014-01-16,0.08935,0.090276,0.074025,0.08231,607.0,96743.0,0.08
2014-01-17,0.082197,0.08382,0.074316,0.075656,178.0,88999.0,0.08
2014-01-18,0.075788,0.08715,0.075788,0.08568,331.0,82060.0,0.08
2014-01-19,0.085645,0.087514,0.077364,0.087514,649.0,92732.0,0.08
2014-01-20,0.087557,0.096895,0.081712,0.094907,532.0,94802.0,0.09
2014-05-31,0.026883,0.029756,0.026343,0.028072,50.0,36475.0,0.03
2014-06-01,0.028072,0.031303,0.027903,0.028373,36.0,38159.0,0.03
2014-06-02,0.028347,0.029982,0.027856,0.029767,13.0,38684.0,0.03
2014-06-03,0.029764,0.033474,0.029298,0.031377,87.0,40781.0,0.03
2014-06-04,0.031338,0.031948,0.028676,0.029271,57.0,43109.0,0.03
2014-06-05,0.029246,0.031623,0.029069,0.029773,119.0,40388.0,0.03
2014-06-06,0.0298,0.032805,0.02812,0.028861,165.0,41314.0,0.03
2014-06-07,0.028853,0.030794,0.028053,0.028154,28.0,40155.0,0.03
2014-06-08,0.028165,0.028981,0.028099,0.028214,48.0,39346.0,0.03
2014-06-09,0.028192,0.032665,0.027859,0.027933,74.0,39537.0,0.03
2014-06-10,0.027971,0.030241,0.02789,0.028739,29.0,39382.0,0.03
2014-06-11,0.02874,0.02891,0.025302,0.025321,41.0,40622.0,0.03
2014-06-12,0.025337,0.026801,0.021217,0.021723,26.0,35949.0,0.02
2014-06-13,0.021677,0.024001,0.021677,0.024001,13.0,30873.0,0.02
2014-06-14,0.024024,0.055962,0.021568,0.048266,902.0,34344.0,0.04
2014-06-15,0.048146,0.054094,0.030519,0.036966,699.0,69091.0,0.04
2014-06-16,0.037047,0.04953,0.033375,0.044228,427.0,53361.0,0.04
2014-06-17,0.044184,0.046376,0.035934,0.036708,251.0,63878.0,0.04
2014-06-18,0.036641,0.075468,0.036637,0.063854,475.0,53168.0,0.06
2014-06-19,0.063866,0.075154,0.054482,0.05812,49.0,93019.0,0.06
2014-06-20,0.058002,0.073406,0.053919,0.055279,122.0,84789.0,0.06
2014-06-21,0.055236,0.056553,0.051437,0.051437,114.0,81045.0,0.05
2014-06-22,0.051516,0.056813,0.046482,0.05422,312.0,75860.0,0.05
2014-06-23,0.054194,0.055587,0.0383,0.042739,364.0,80093.0,0.05
2014-06-24,0.053939,0.054868,0.041936,0.041936,75.0,80177.0,0.05
2014-06-25,0.041896,0.050881,0.039914,0.040273,119.0,62367.0,0.05
2014-06-26,0.040213,0.051598,0.037117,0.04072,128.0,60080.0,0.04
2014-06-27,0.040746,0.041296,0.035937,0.035937,98.0,61100.0,0.04
2014-06-28,0.038051,0.038738,0.035819,0.037235,69.0,57318.0,0.04
2014-06-29,0.037175,0.041619,0.031071,0.037655,293.0,56141.0,0.04
2014-06-30,0.037676,0.043303,0.034858,0.039025,1292.0,57098.0,0.04
2014-07-01,0.035277,0.039731,0.035258,0.036617,240.0,53648.0,0.04
2014-07-02,0.03663,0.039833,0.03519,0.03956,2262.0,55903.0,0.04
2014-07-03,0.039548,0.039548,0.030361,0.030385,178.0,60570.0,0.03
2014-07-04,0.030361,0.039209,0.030337,0.034063,109.0,46621.0,0.03
2014-07-05,0.034023,0.046128,0.033636,0.041259,761.0,52297.0,0.04
2014-07-06,0.034748,0.040551,0.034714,0.034969,1.0,53464.0,0.04
2014-07-07,0.039447,0.039486,0.031785,0.037781,268.0,60756.0,0.04
2014-07-08,0.037665,0.042715,0.027965,0.037808,1024.0,58069.0,0.04
2014-07-09,0.037832,0.040734,0.033075,0.033099,257.0,58385.0,0.04
2014-07-10,0.033116,0.040337,0.032202,0.035988,73.0,51157.0,0.04
2014-07-11,0.035982,0.037093,0.032282,0.03349,43.0,55640.0,0.03
2014-07-12,0.033483,0.044879,0.032571,0.043942,338.0,51826.0,0.04
2014-07-13,0.043977,0.047267,0.040794,0.041411,49.0,68139.0,0.04
2014-07-14,0.041416,0.044557,0.040225,0.040255,48.0,64234.0,0.04
2014-07-15,0.0403,0.043254,0.040276,0.043194,22.0,62540.0,0.04
2014-07-16,0.041295,0.043268,0.035731,0.035774,72.0,64175.0,0.04
2014-07-17,0.035759,0.040912,0.034193,0.035741,80.0,55625.0,0.04
2014-07-18,0.0357,0.04074,0.034519,0.03772,19.0,55534.0,0.04
2014-07-19,0.037744,0.040817,0.035866,0.035888,24.0,58828.0,0.04
2014-07-20,0.035891,0.038233,0.035161,0.036324,82.0,55995.0,0.04
2014-07-21,0.036326,0.038676,0.035949,0.03867,72.0,56732.0,0.04
2014-07-22,0.038674,0.038839,0.035054,0.035066,26.0,60458.0,0.04
2014-07-23,0.03505,0.037043,0.032509,0.037043,43.0,54844.0,0.03
2014-07-24,0.037048,0.037082,0.031801,0.036405,166.0,58026.0,0.03
2014-07-25,0.036392,0.036626,0.02961,0.033246,165.0,57053.0,0.03
2014-07-26,0.033271,0.03398,0.028736,0.033062,86.0,52214.0,0.03
2014-07-27,0.033054,0.034289,0.029671,0.029693,32.0,51924.0,0.03
2014-07-28,0.029707,0.029729,0.028055,0.028699,38.0,46712.0,0.03
2014-07-29,0.028692,0.034601,0.028237,0.034113,483.0,45160.0,0.03
2014-07-30,0.034114,0.035136,0.028186,0.034685,327.0,53748.0,0.03
2014-07-31,0.03469,0.036354,0.027309,0.028979,247.0,54708.0,0.03
2014-08-01,0.028978,0.03584,0.028518,0.029007,276.0,45743.0,0.03
2014-08-02,0.035434,0.036786,0.02758,0.033411,183.0,55990.0,0.03
2014-08-03,0.033386,0.034374,0.021749,0.023947,314.0,52803.0,0.03
2014-08-04,0.032305,0.032434,0.02564,0.026501,313.0,51143.0,0.03
