Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-09-15,3.4e-05,3.5e-05,3.4e-05,3.5e-05,0.0,-1.0,0.0
2015-09-16,3.5e-05,3.5e-05,3.4e-05,3.4e-05,0.0,-1.0,0.0
2015-09-17,3.4e-05,3.5e-05,3.4e-05,3.4e-05,0.0,-1.0,0.0
2015-09-18,3.5e-05,8.2e-05,7e-06,7e-06,0.0,-1.0,0.0
2015-09-19,2.1e-05,2.1e-05,2.1e-05,2.1e-05,0.0,-1.0,0.0
2015-09-20,1.9e-05,2.3e-05,1.9e-05,2.3e-05,0.0,-1.0,0.0
2015-09-21,2.3e-05,2.3e-05,5e-06,2.3e-05,0.0,-1.0,0.0
2015-09-22,2.3e-05,2.3e-05,2.3e-05,2.3e-05,0.0,-1.0,0.0
2015-09-23,2.3e-05,2.3e-05,1.6e-05,1.6e-05,0.0,-1.0,0.0
2015-09-24,1.6e-05,1.6e-05,7e-06,7e-06,0.0,-1.0,0.0
2015-09-25,7e-06,7e-06,2e-06,2e-06,0.0,-1.0,0.0
2015-09-26,2e-06,2e-06,2e-06,2e-06,0.0,-1.0,0.0
2015-09-28,1.7e-05,2.9e-05,1.4e-05,1.4e-05,0.0,-1.0,0.0
2015-09-29,1.4e-05,1.4e-05,1.4e-05,1.4e-05,0.0,-1.0,0.0
2015-10-01,9e-06,1e-05,7e-06,1e-05,0.0,-1.0,0.0
2015-10-02,9e-06,1.2e-05,7e-06,1.2e-05,0.0,-1.0,0.0
2015-10-03,1.2e-05,1.4e-05,1.2e-05,1.4e-05,0.0,-1.0,0.0
2015-10-04,1.4e-05,1.4e-05,1.2e-05,1.2e-05,0.0,-1.0,0.0
2015-10-05,1.2e-05,0.000358,7e-06,0.000358,22.0,-1.0,0.0
2015-10-06,0.000358,0.000359,0.00027,0.000276,0.0,-1.0,0.0
2015-10-07,2.2e-05,2.2e-05,2.2e-05,2.2e-05,0.0,-1.0,0.0
2015-10-08,2.2e-05,4.6e-05,2.2e-05,4.6e-05,0.0,-1.0,0.0
2015-10-09,4.6e-05,4.6e-05,4.6e-05,4.6e-05,0.0,-1.0,0.0
2015-10-10,2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,-1.0,0.0
2015-10-11,2.4e-05,3e-05,1.7e-05,3e-05,1.0,-1.0,0.0
2015-10-12,3e-05,3e-05,2.9e-05,2.9e-05,0.0,-1.0,0.0
2015-10-13,1.7e-05,2.8e-05,1.7e-05,1.7e-05,0.0,-1.0,0.0
2015-10-14,1.7e-05,1.8e-05,1.7e-05,1.8e-05,1.0,-1.0,0.0
2015-10-15,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,-1.0,0.0
2015-10-16,1.8e-05,1.9e-05,1.8e-05,1.8e-05,0.0,-1.0,0.0
2015-10-17,1.8e-05,1.9e-05,1.8e-05,1.9e-05,0.0,-1.0,0.0
2015-10-18,1.9e-05,1.9e-05,1.8e-05,1.8e-05,0.0,-1.0,0.0
2015-10-19,1.8e-05,2.1e-05,1.6e-05,2.1e-05,0.0,-1.0,0.0
2015-10-20,2.1e-05,2.4e-05,2.1e-05,2.4e-05,1.0,-1.0,0.0
2015-10-21,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,-1.0,0.0
2015-10-22,2.4e-05,2.4e-05,2.1e-05,2.2e-05,0.0,-1.0,0.0
2015-10-23,2.2e-05,2.2e-05,1.6e-05,1.7e-05,1.0,-1.0,0.0
2015-10-24,1.7e-05,2e-05,1.7e-05,2e-05,1.0,-1.0,0.0
2015-10-25,2e-05,2.1e-05,2e-05,2e-05,1.0,-1.0,0.0
