Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-05-11,5.7e-05,7.9e-05,5.6e-05,7e-05,821.0,20573.0,0.0
2014-05-12,7e-05,7.5e-05,3.5e-05,4.4e-05,6319.0,25558.0,0.0
2014-05-13,4.4e-05,5.3e-05,3.1e-05,3.5e-05,367.0,16068.0,0.0
2014-05-14,3.5e-05,6.2e-05,3.5e-05,3.6e-05,286.0,12831.0,0.0
2014-05-15,3.6e-05,4.5e-05,3.1e-05,3.6e-05,266.0,12927.0,0.0
2014-05-16,3.6e-05,3.6e-05,1.3e-05,1.8e-05,183.0,13023.0,0.0
2014-05-17,1.8e-05,6.3e-05,1.8e-05,3.1e-05,535.0,6523.0,0.0
2014-05-18,3.1e-05,4.5e-05,1.8e-05,3.1e-05,737.0,11437.0,0.0
2014-05-19,3.1e-05,0.000129,3.1e-05,0.000129,7545.0,11370.0,0.0
2014-05-20,0.000125,0.00014,7.7e-05,9.7e-05,7091.0,45471.0,0.0
2014-05-21,9.7e-05,0.000132,5.4e-05,7.4e-05,2977.0,35358.0,0.0
2014-05-22,7.9e-05,7.9e-05,4.6e-05,6.8e-05,802.0,28639.0,0.0
2014-05-23,6.8e-05,8.4e-05,4.7e-05,5.7e-05,838.0,24821.0,0.0
2014-05-24,5.7e-05,7.9e-05,5.7e-05,7.9e-05,1145.0,20828.0,0.0
2014-05-25,7.9e-05,0.000128,6.9e-05,7.4e-05,1935.0,28671.0,0.0
2014-05-26,7.4e-05,0.000105,4.6e-05,8.7e-05,1537.0,27046.0,0.0
2014-05-27,8.8e-05,9.3e-05,5.5e-05,6.9e-05,1416.0,31853.0,0.0
2014-05-28,6.9e-05,9.1e-05,2.8e-05,8.1e-05,3682.0,24951.0,0.0
2014-05-29,8.1e-05,0.000195,6.3e-05,0.000136,24303.0,29405.0,0.0
2014-05-30,0.000136,0.000462,9.1e-05,0.000462,29231.0,49634.0,0.0
2014-05-31,0.000455,0.000524,0.000247,0.000425,37193.0,165736.0,0.0
2014-06-01,0.000424,0.000429,0.000213,0.000264,8080.0,154366.0,0.0
2014-06-02,0.00029,0.000347,0.000194,0.000238,6029.0,105521.0,0.0
2014-06-03,0.000238,0.000293,0.000204,0.000214,7081.0,86564.0,0.0
2014-06-04,0.000214,0.000355,0.000178,0.000289,8919.0,77760.0,0.0
2014-06-05,0.000289,0.000392,0.000257,0.000389,14035.0,105093.0,0.0
2014-06-06,0.000389,0.001482,0.000369,0.00063,209820.0,141579.0,0.0
2014-06-07,0.0006,0.000735,0.000536,0.000665,23882.0,218312.0,0.0
2014-06-08,0.000665,0.000705,0.000537,0.000555,16800.0,242184.0,0.0
2014-06-09,0.000555,0.00072,0.000534,0.000568,16795.0,201929.0,0.0
