Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-12-11,0.607511,1.01,0.605883,0.87304,39428.0,-1.0,0.81
2017-12-12,0.875843,1.04,0.755543,0.829764,63774.0,-1.0,0.9
2017-12-13,0.830458,0.874261,0.584542,0.589116,16986.0,-1.0,0.73
2017-12-14,0.587225,0.666742,0.572798,0.585568,24776.0,-1.0,0.62
2017-12-15,0.585328,0.899031,0.554038,0.652018,36365.0,-1.0,0.73
2017-12-16,0.652933,0.774822,0.638513,0.684636,16094.0,-1.0,0.71
2017-12-17,0.666796,0.729369,0.612658,0.612661,6254.0,-1.0,0.67
2017-12-18,0.614517,0.628006,0.494885,0.584201,11853.0,-1.0,0.56
2017-12-19,0.625328,0.794163,0.572634,0.647598,31846.0,-1.0,0.68
2017-12-20,0.604851,0.655593,0.492738,0.50866,19413.0,-1.0,0.57
2017-12-21,0.509991,0.606692,0.45194,0.470232,12525.0,648955.0,0.53
2017-12-22,0.471862,0.489646,0.328619,0.362826,8904.0,607558.0,0.41
2017-12-23,0.366253,0.484106,0.364528,0.388766,7878.0,477082.0,0.42
2017-12-24,0.393059,0.730709,0.371177,0.581805,38656.0,517956.0,0.55
2017-12-25,0.587847,0.599411,0.439981,0.5816,25452.0,783460.0,0.52
2017-12-26,0.581006,0.623292,0.478883,0.545981,13534.0,783150.0,0.55
2017-12-27,0.546376,0.621724,0.509508,0.591311,17440.0,744790.0,0.57
2017-12-28,0.590071,0.71079,0.479095,0.515638,22245.0,813127.0,0.59
2017-12-29,0.520976,0.554148,0.466174,0.472301,13882.0,725730.0,0.51
2017-12-30,0.471113,0.50738,0.401235,0.505777,21910.0,663380.0,0.45
2017-12-31,0.500314,0.777516,0.456172,0.603197,40296.0,712050.0,0.62
2018-01-01,0.605531,0.605531,0.50381,0.591273,33528.0,870893.0,0.55
2018-01-02,0.591227,0.746052,0.554136,0.64155,28496.0,859230.0,0.65
2018-01-03,0.639272,0.833499,0.638882,0.83143,125105.0,938787.0,0.74
2018-01-04,0.836592,0.837991,0.718214,0.759211,50016.0,1241000.0,0.78
2018-01-05,0.766649,0.808141,0.660638,0.780641,20911.0,1148970.0,0.73
2018-01-06,0.781263,0.848026,0.663982,0.72321,24703.0,1182590.0,0.76
2018-01-07,0.722679,0.945802,0.708354,0.867899,101110.0,1104760.0,0.83
2018-01-08,0.866685,0.942347,0.741914,0.815001,71749.0,1337860.0,0.84
2018-01-09,0.812931,0.8919,0.73281,0.797234,67355.0,1266710.0,0.81
2018-01-10,0.798279,0.929899,0.721409,0.929899,64502.0,1243880.0,0.83
2018-01-11,0.928856,0.932244,0.694686,0.736828,29305.0,1447340.0,0.81
2018-01-12,0.741695,0.768708,0.690973,0.714313,29902.0,1189030.0,0.73
2018-01-13,0.713497,0.781045,0.713497,0.753313,22626.0,1154570.0,0.75
2018-01-14,0.736285,0.7438,0.660585,0.67939,31639.0,1202550.0,0.7
2018-01-15,0.674327,0.733502,0.663034,0.663572,29577.0,1111590.0,0.7
