Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-27,0.114543,0.196763,0.114543,0.195193,9082.0,-1.0,0.16
2017-10-28,0.158414,0.25401,0.155469,0.183544,23137.0,-1.0,0.2
2017-10-29,0.177984,0.26065,0.177819,0.253909,29571.0,383710.0,0.22
2017-10-30,0.215492,0.493239,0.209532,0.416117,166560.0,481240.0,0.35
2017-10-31,0.422249,0.451493,0.306459,0.359802,82688.0,976850.0,0.38
2017-11-01,0.33663,0.337474,0.241165,0.275112,29054.0,801986.0,0.29
2017-11-02,0.269849,0.304148,0.262482,0.289904,22425.0,662301.0,0.28
2017-11-03,0.291574,0.315084,0.264661,0.288157,24190.0,737282.0,0.29
2017-11-04,0.28904,0.305806,0.268401,0.278213,14099.0,752282.0,0.29
2017-11-05,0.278907,0.387145,0.276188,0.387145,59923.0,745755.0,0.33
2017-11-06,0.391769,0.747874,0.351171,0.571372,370387.0,1078030.0,0.55
2017-11-07,0.564496,0.659648,0.469878,0.56058,305699.0,1602590.0,0.56
2017-11-08,0.556175,0.675098,0.552872,0.635548,100530.0,1616610.0,0.61
2017-11-09,0.638457,0.638457,0.504583,0.513075,94210.0,1901980.0,0.57
2017-11-10,0.515889,0.542806,0.414055,0.464182,57574.0,1572530.0,0.48
2017-11-11,0.446367,0.471671,0.288624,0.355931,55542.0,1392760.0,0.38
2017-11-12,0.355759,0.446335,0.320514,0.411852,43975.0,1134390.0,0.38
2017-11-13,0.412995,0.469263,0.365362,0.396977,42335.0,1349150.0,0.42
2017-11-14,0.394741,0.448467,0.390981,0.413624,32620.0,1316810.0,0.42
2017-11-15,0.414033,0.440656,0.37831,0.388655,44336.0,1411700.0,0.41
2017-11-16,0.39082,0.450907,0.387742,0.428541,33069.0,1360700.0,0.42
2017-11-17,0.425997,0.492623,0.374121,0.390097,55535.0,1514960.0,0.43
2017-11-18,0.388524,0.434047,0.371423,0.371423,24708.0,1409480.0,0.4
2017-11-19,0.373964,0.430724,0.359381,0.386409,47568.0,1384030.0,0.4
2017-11-20,0.385973,0.434711,0.350281,0.408051,105930.0,1455630.0,0.39
2017-11-21,0.408124,0.456013,0.375586,0.405038,54845.0,1570470.0,0.42
