Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-29,0.001016,0.002511,0.001016,0.001858,28765.0,35675.0,0.0
2017-10-30,0.001847,0.00227,0.000923,0.001599,33501.0,64869.0,0.0
2017-10-31,0.001593,0.001916,0.00126,0.001354,3521.0,55954.0,0.0
2017-11-01,0.001353,0.001834,0.001165,0.001277,3703.0,47525.0,0.0
2017-11-02,0.001278,0.001599,0.001233,0.001406,1491.0,44899.0,0.0
2017-11-03,0.001405,0.001467,0.001067,0.00115,8112.0,49332.0,0.0
2017-11-04,0.001147,0.001229,0.000887,0.000887,1422.0,40272.0,0.0
2017-11-05,0.000885,0.001339,0.000876,0.001107,252.0,31089.0,0.0
2017-11-06,0.001109,0.001336,0.000904,0.001115,667.0,38948.0,0.0
2017-11-07,0.001113,0.001275,0.000994,0.001142,422.0,39104.0,0.0
2017-11-08,0.001139,0.001647,0.001132,0.001346,3918.0,39987.0,0.0
2017-11-09,0.001344,0.001504,0.001128,0.001208,1566.0,47206.0,0.0
2017-11-10,0.001212,0.00139,0.000945,0.001056,852.0,42562.0,0.0
2017-11-11,0.001052,0.001354,0.001051,0.001146,1428.0,36945.0,0.0
2017-11-12,0.001145,0.001145,0.000831,0.000879,633.0,40213.0,0.0
2017-11-13,0.000881,0.001203,0.000874,0.000978,278.0,30927.0,0.0
2017-11-14,0.00098,0.001255,0.000975,0.000991,572.0,34405.0,0.0
2017-11-15,0.000992,0.001156,0.000865,0.000872,443.0,34830.0,0.0
2017-11-16,0.000876,0.001166,0.000819,0.000864,1018.0,30778.0,0.0
2017-11-17,0.000863,0.00111,0.000837,0.000849,119.0,30306.0,0.0
2017-11-18,0.000846,0.00109,0.000841,0.000936,211.0,29695.0,0.0
2017-11-19,0.000934,0.001174,0.000926,0.000966,592.0,32817.0,0.0
2017-11-20,0.000965,0.000967,0.000492,0.000906,1990.0,33898.0,0.0
2017-11-21,0.000907,0.000907,0.00041,0.000648,1269.0,31838.0,0.0
2017-11-22,0.000649,0.000745,0.000569,0.000576,527.0,22797.0,0.0
2017-11-23,0.000576,0.000579,0.000405,0.000563,303.0,20221.0,0.0
2017-11-24,0.000563,0.000736,0.00049,0.000494,408.0,19758.0,0.0
2017-11-25,0.000493,0.000945,0.000492,0.000525,1241.0,17300.0,0.0
2017-11-26,0.000525,0.0009,0.000524,0.000838,220.0,18430.0,0.0
2017-11-27,0.000839,0.000876,0.000664,0.000778,33.0,29451.0,0.0
2017-11-28,0.00078,0.000794,0.000496,0.000497,785.0,27409.0,0.0
2017-11-29,0.000496,0.000825,0.000455,0.000774,899.0,17434.0,0.0
2017-11-30,0.000786,0.000855,0.000485,0.000502,57.0,27615.0,0.0
2017-12-01,0.0005,0.000877,0.000473,0.000763,113.0,17548.0,0.0
2017-12-02,0.000762,0.000895,0.000536,0.000546,54.0,26758.0,0.0
2017-12-03,0.000547,0.000947,0.000543,0.000896,117.0,19196.0,0.0
2017-12-04,0.000899,0.000909,0.000544,0.000814,275.0,31585.0,0.0
2017-12-05,0.000816,0.000938,0.00058,0.000938,808.0,28656.0,0.0
2017-12-06,0.000819,0.00106,0.000504,0.000688,1217.0,28765.0,0.0
2017-12-07,0.000687,0.001179,0.000687,0.000866,278.0,24120.0,0.0
2017-12-08,0.000868,0.001185,0.000704,0.000814,219.0,30476.0,0.0
2017-12-09,0.000813,0.001155,0.000631,0.000749,215.0,28559.0,0.0
2017-12-10,0.000752,0.000938,0.000585,0.000614,239.0,26406.0,0.0
2017-12-11,0.00061,0.000846,0.000607,0.000671,77.0,21419.0,0.0
2017-12-12,0.000673,0.001061,0.000658,0.001036,143.0,23652.0,0.0
2017-12-13,0.001037,0.001181,0.000979,0.000986,374.0,36404.0,0.0
2017-12-14,0.000983,0.001024,0.000823,0.000828,1325.0,34506.0,0.0
2017-12-15,0.000829,0.001265,0.000829,0.000881,67.0,29128.0,0.0
2017-12-16,0.000882,0.001241,0.00088,0.000974,33.0,30988.0,0.0
2017-12-17,0.000974,0.001186,0.000954,0.001144,17.0,34201.0,0.0
2017-12-18,0.001148,0.001708,0.00093,0.000956,452.0,40315.0,0.0
2017-12-19,0.000957,0.001139,0.000936,0.001058,80.0,33599.0,0.0
2017-12-20,0.001057,0.001057,0.000962,0.00105,53.0,37126.0,0.0
2017-12-21,0.001156,0.001217,0.000933,0.00094,196.0,40581.0,0.0
2017-12-22,0.000943,0.001759,0.000766,0.001093,1508.0,33111.0,0.0
2017-12-23,0.001103,0.002018,0.001095,0.001878,364.0,38743.0,0.0
2017-12-24,0.001899,0.001899,0.001017,0.001534,1250.0,66687.0,0.0
2017-12-25,0.00155,0.001841,0.00123,0.001255,616.0,54421.0,0.0
2017-12-26,0.001254,0.002016,0.001249,0.001583,323.0,44029.0,0.0
2017-12-27,0.001584,0.001586,0.001088,0.001088,138.0,55620.0,0.0
2017-12-28,0.001086,0.001617,0.000954,0.001002,214.0,38144.0,0.0
2017-12-29,0.001013,0.001506,0.000856,0.001308,107.0,35567.0,0.0
